"V4","V7","V25","V29","V30","V31","V41","Class"
72,76,60,60,61,61,77,"1"
70,64,76,73,65,70,80,"1"
75,69,79,64,73,75,75,"1"
75,72,72,68,69,65,71,"1"
73,58,66,53,69,63,59,"1"
58,61,67,68,58,68,71,"1"
64,64,66,67,64,68,64,"1"
71,72,79,61,71,68,68,"1"
70,67,68,56,71,68,75,"1"
69,72,79,74,67,72,67,"1"
74,76,70,79,79,78,68,"1"
64,62,65,68,65,74,68,"1"
66,68,79,69,67,69,76,"1"
60,69,74,64,71,70,69,"1"
65,63,67,60,64,63,77,"1"
69,63,63,65,72,70,70,"1"
71,70,68,67,64,67,70,"1"
73,57,72,57,65,66,73,"1"
71,72,73,58,58,58,58,"1"
62,64,64,67,65,66,57,"1"
72,71,73,69,73,75,75,"1"
70,72,75,69,67,66,76,"1"
62,72,63,57,47,52,62,"1"
69,44,59,67,46,42,52,"1"
72,60,70,69,65,72,66,"1"
64,69,73,62,64,70,68,"1"
72,67,44,68,42,45,54,"1"
69,67,66,58,67,66,61,"1"
70,60,65,67,61,64,59,"1"
54,64,60,59,28,25,39,"1"
70,44,58,53,51,38,46,"1"
62,64,53,71,66,67,61,"1"
63,36,61,26,39,44,59,"1"
66,66,58,86,59,52,58,"1"
70,49,71,59,22,15,22,"1"
79,58,70,51,71,65,66,"1"
68,56,77,69,59,62,69,"1"
69,59,73,65,52,36,48,"1"
70,71,69,71,68,69,76,"1"
46,66,68,68,38,40,48,"1"
64,71,73,64,37,40,43,"1"
72,43,61,61,63,67,74,"1"
73,63,76,70,60,63,69,"1"
64,74,68,73,65,67,66,"1"
64,71,64,64,68,63,70,"1"
72,56,66,58,73,70,66,"1"
58,63,63,66,67,63,71,"1"
65,60,68,70,67,65,65,"1"
75,66,75,56,63,67,72,"1"
76,70,74,69,67,67,67,"1"
76,53,49,42,53,30,31,"1"
60,34,43,77,48,32,39,"1"
75,45,54,80,69,48,53,"1"
71,65,69,40,55,53,65,"1"
66,67,46,27,65,67,69,"1"
74,69,62,50,65,63,65,"1"
58,77,72,58,46,67,66,"1"
69,69,47,80,73,73,66,"1"
65,69,68,48,65,68,73,"1"
70,70,69,75,67,71,71,"1"
82,56,45,70,64,35,49,"1"
73,65,69,67,69,61,61,"1"
77,64,75,53,72,64,59,"1"
62,61,62,56,65,64,65,"1"
61,67,73,69,60,66,66,"1"
70,69,65,64,66,68,65,"0"
64,72,58,60,59,60,75,"0"
69,70,72,61,66,66,62,"0"
70,66,58,58,62,61,72,"0"
80,70,85,47,42,39,73,"0"
62,79,73,61,66,68,66,"0"
78,73,67,63,62,58,64,"0"
63,76,61,60,66,74,73,"0"
65,69,70,66,70,70,76,"0"
69,73,75,61,71,75,71,"0"
75,74,63,63,74,69,68,"0"
64,59,67,68,69,64,68,"0"
72,67,73,69,68,68,75,"0"
72,66,76,66,64,65,78,"0"
68,64,78,72,67,67,72,"0"
