"201555_at","202683_s_at","203139_at","204825_at","205751_at","206401_s_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
10.6043,8.8928,8.0005,9.0227,6.6194,7.6448,9.7065,4.5745,10.9838,10.1453,"2"
10.179,9.0843,10.0065,10.1624,3.4495,5.5551,7.9681,11.3159,9.2341,9.2462,"1"
9.7768,8.671,8.2522,7.8425,1.2254,8.1616,8.4329,8.1595,9.3856,11.0201,"2"
11.3627,8.4774,10.3578,10.9267,5.1843,7.4557,7.9754,7.3924,9.2235,8.25,"1"
10.0811,8.7929,7.5071,8.0305,5.6462,10.706,9.0115,10.0373,9.8816,11.1471,"2"
10.9399,8.5249,8.1332,9.2584,6.3242,10.9245,9.4589,3.7585,10.0165,10.4007,"2"
9.6737,9.3496,8.8334,6.5086,7.0117,10.6312,9.6399,7.4601,9.8874,9.5301,"2"
10.4243,9.0988,9.0063,8.7244,7.1863,9.0516,9.5235,4.7845,9.5065,9.6559,"2"
11.489,8.7428,9.6055,10.147,4.9541,5.2623,8.555,9.9467,10.1989,8.6213,"1"
10.7828,8.3378,9.2518,10.2818,5.2113,6.7671,8.9291,10.2675,9.2142,9.9085,"1"
11.1756,9.4808,10.3812,11.3874,7.5126,4.5541,8.9693,4.3763,8.6278,7.6612,"1"
10.9818,8.6481,9.7145,9.3234,2.326,6.711,8.5741,6.42,7.8446,8.8773,"1"
10.5183,8.8667,10.3462,9.1115,2.1703,7.4051,8.9399,8.7184,9.5701,7.5883,"1"
10.1097,8.8376,8.1674,8.7482,5.8002,11.0641,9.5603,7.1009,11.2018,10.5436,"2"
9.8389,8.8409,8.5174,8.9516,5.8737,7.0907,9.1595,4.9203,8.7516,8.8647,"2"
10.3356,8.5476,7.8799,9.2962,4.1024,10.205,8.8288,3.8805,9.5334,9.6685,"2"
10.1426,8.8273,8.953,9.2599,5.1685,9.6662,9.228,8.563,10.4619,9.4151,"2"
10.2234,8.9186,9.3156,8.861,6.9631,9.1906,8.2561,5.045,9.925,10.8503,"2"
9.8379,9.0872,8.1751,7.1354,6.941,10.6106,9.7086,7.213,10.0806,10.232,"2"
10.7093,8.6772,10.3661,9.7813,5.3949,6.9617,8.8503,6.5781,10.0417,9.2289,"2"
10.6596,9.3781,8.3005,9.8995,2.2611,7.8234,8.9428,9.9378,8.9259,9.9047,"1"
11.1921,8.4318,8.1621,10.9992,6.3584,7.0607,8.6123,4.1973,10.7442,8.3375,"2"
10.5659,8.8182,9.8878,11.3268,6.5829,4.6072,8.3668,4.0311,8.5207,8.2948,"1"
10.2238,8.5136,8.976,8.811,3.2886,10.0213,9.3115,7.1212,10.0269,9.6809,"2"
10.6924,8.6583,9.3423,9.5556,6.0104,6.0234,9.0937,5.2871,8.7046,8.3491,"2"
11.686,8.8859,9.2525,10.1972,2.8318,5.0672,8.3819,6.5167,8.4118,11.132,"1"
10.4251,8.3075,8.0614,9.282,4.4016,10.1324,9.653,3.6254,10.3397,10.6706,"2"
9.3162,8.8435,8.752,7.6357,6.4676,10.8409,9.442,5.2725,11.4915,10.1108,"2"
11.4136,8.1166,9.434,8.1501,6.6674,4.3572,9.8019,10.2591,9.7848,8.4253,"2"
9.52,8.967,8.0303,8.1192,4.5499,9.968,10.7207,6.828,10.5472,8.1619,"2"
9.9158,8.4002,8.0292,9.082,5.4407,6.9801,10.0824,10.3347,9.1299,8.7965,"2"
9.6217,8.5629,8.1989,7.6574,5.2043,10.0142,9.215,10.1861,10.0276,11.1699,"2"
10.61,8.4951,8.155,10.2918,5.6975,6.3512,8.9089,6.0076,8.0407,10.3819,"2"
10.2746,8.7774,9.1708,9.495,3.2196,4.6829,9.3043,11.3229,9.2956,8.5291,"1"
9.9329,9.7883,9.4519,9.2073,5.0061,11.2591,9.4618,8.0512,9.7682,9.3779,"2"
11.1504,9.1798,8.8264,9.0335,3.2306,9.2235,8.9624,8.0197,9.2415,9.2028,"1"
10.4431,8.928,6.9247,8.0562,2.0972,11.5201,9.0772,5.7283,10.3272,10.7669,"2"
10.9864,8.295,8.7546,9.2941,5.4513,5.7484,9.3638,8.6792,9.5043,10.4152,"2"
10.7568,8.738,9.7092,9.0568,5.884,10.3504,10.0161,7.8143,9.2139,9.6138,"2"
10.746,8.6235,8.0477,10.3325,1.5661,8.545,8.7633,9.6207,9.6011,9.6985,"2"
10.0589,8.2363,8.4711,4.9519,3.6865,9.6946,9.0083,7.6192,9.4919,10.0585,"2"
9.817,8.6368,8.7714,9.1308,7.5077,8.4009,9.6391,4.0978,9.3871,9.6836,"2"
10.33,8.5998,8.9072,8.1911,5.6695,10.4643,9.2203,8.0776,9.3051,10.4378,"2"
9.811,8.5449,7.4552,9.2677,4.348,4.8113,9.5516,3.4496,6.1981,7.3782,"2"
10.2067,9.1222,8.8871,9.3697,2.3524,11.4547,8.8533,4.955,9.0731,9.638,"2"
10.5579,9.276,10.2481,12.2253,4.474,7.8623,8.5389,6.9049,7.8601,8.2662,"1"
9.2315,8.1839,10.2936,7.237,5.5426,8.2559,9.9116,9.7653,9.7038,9.9697,"2"
10.9098,8.7856,9.3524,8.7246,4.4491,5.7018,9.8144,6.2948,8.9279,8.433,"2"
10.3201,8.8491,8.1271,9.6864,3.2666,7.9792,9.4136,7.7927,8.2781,10.0201,"2"
9.7802,8.6075,8.3285,5.5625,4.4718,10.106,9.6731,8.9199,10.1072,9.5759,"2"
9.816,8.4654,9.506,6.6557,5.9476,9.3415,9.5907,8.6894,8.9289,9.683,"2"
11.1873,7.7173,8.4719,9.3256,5.5688,4.1019,9.5101,6.2424,10.7234,9.1729,"2"
9.6388,8.2919,9.7538,8.765,6.2939,7.7174,8.6604,9.1877,9.1744,9.7048,"2"
10.3642,8.5633,8.9305,10.3825,5.5994,8.1461,7.5699,9.7598,7.8455,6.924,"1"
10.2285,8.6439,7.3983,9.5374,6.5803,11.0142,9.3315,3.7908,9.6596,9.4629,"2"
10.8789,8.806,10.8184,9.2367,6.1573,5.7297,9.401,5.5649,8.6651,8.8685,"2"
10.6276,9.2801,8.092,7.801,5.2914,9.0803,9.2177,10.3221,8.3043,11.0616,"2"
11.0685,8.8977,11.0269,11.1335,6.1338,8.5133,7.6196,4.1918,7.6332,8.6025,"1"
10.4298,8.7418,8.4891,8.4018,7.1928,7.0578,9.2631,6.5365,8.5344,9.7235,"2"
10.9094,8.0082,8.0826,9.9298,3.1448,5.7798,8.4697,8.1365,9.8524,10.0368,"2"
10.714,8.6293,8.4615,8.0873,5.7268,11.1965,9.1321,6.485,9.6625,10.3452,"2"
10.4104,9.3621,7.7771,8.6014,5.8052,10.0359,9.1687,5.3173,7.1339,9.6254,"2"
11.1706,9.3352,9.3584,10.7522,5.4275,6.7518,8.831,4.6463,8.7582,7.5825,"1"
10.1161,8.877,9.1047,8.1237,4.5104,10.0016,9.3431,5.071,10.1595,10.7937,"2"
10.6367,8.7834,7.2354,9.5552,6.7638,7.6172,9.4796,4.5768,8.5304,7.3458,"2"
10.0111,8.0939,8.3784,8.7584,3.0322,5.5155,9.2987,4.708,8.8844,8.8805,"2"
9.6214,8.5245,8.2776,7.6291,5.4867,10.0675,9.1619,10.8215,9.8719,9.5386,"2"
10.119,8.8456,9.118,8.4941,4.1307,10.5054,8.6631,6.4988,9.5176,9.7613,"2"
10.3989,9.5136,9.4682,8.8775,3.3941,7.0226,6.1638,8.7133,8.8454,8.9393,"1"
10.3797,8.9422,8.6879,8.4085,6.4202,5.5951,9.3874,6.3851,4.7031,8.5461,"1"
10.3432,8.7433,9.9159,9.7121,3.9129,8.556,9.4381,8.8787,8.3615,8.7145,"1"
9.2594,8.9028,9.002,6.9412,5.972,10.9204,9.7453,8.197,10.4404,9.5977,"2"
10.0886,8.8492,9.6763,9.0273,2.0715,8.7882,9.5318,7.9037,7.4227,9.4333,"1"
9.511,8.6878,8.671,8.6341,2.9461,5.284,8.8694,9.9681,7.6631,8.9443,"2"
9.6903,8.8657,8.6359,8.9894,5.0141,11.05,9.0913,8.9467,10.9235,9.035,"2"
8.9343,8.3007,8.4905,7.6281,4.0294,10.1206,11.0516,9.4976,8.8778,9.4398,"2"
10.1272,8.5644,8.5892,8.1514,5.1443,9.6513,10.0604,7.9166,8.4289,8.0143,"2"
10.765,9.2796,10.2898,11.3208,5.7946,7.0484,9.0789,3.713,7.1648,6.5367,"1"
9.8021,8.7299,8.4007,9.411,1.232,4.2954,10.0656,7.436,9.2794,8.1647,"1"
10.0018,9.0705,7.0447,8.9287,3.8344,10.3954,9.8773,9.9929,10.4262,10.9748,"2"
9.6159,8.1238,7.4766,9.8079,2.7339,8.1708,8.9253,7.778,9.7524,8.6992,"2"
9.6423,8.4562,7.9537,6.9932,5.2607,9.0735,10.0628,9.9769,10.1004,9.2059,"2"
10.2454,8.3381,8.2153,9.7872,3.1371,7.1284,8.7363,3.7414,7.8991,7.8926,"1"
9.9449,7.7903,9.5739,9.7566,4.3936,4.7041,9.6454,5.2429,8.6519,7.7143,"2"
10.2328,8.0851,9.2652,10.3223,5.7773,8.8404,10.6328,9.0279,9.0565,10.4972,"2"
10.5688,8.8976,8.8491,9.8364,0.7961,4.1098,9.1606,8.4281,7.1628,8.535,"1"
9.1603,9.1237,8.8225,7.1419,4.5822,10.4891,10.1212,8.1173,9.8223,9.8774,"2"
9.0114,8.7824,7.6835,8.009,3.3581,10.8682,9.926,9.5691,10.4791,10.2776,"2"
12.0051,8.5106,9.3039,10.7112,3.735,5.3303,8.7581,3.1129,9.1769,6.2595,"1"
10.2218,9.5648,9.9421,9.9527,5.8808,4.6899,9.006,4.3599,8.5377,7.313,"1"
9.9845,8.9343,9.8124,8.7264,6.134,6.1981,9.6406,4.2612,6.9216,9.245,"2"
9.3789,8.4784,7.7109,8.6923,3.4925,11.0701,8.9292,7.1126,10.0313,9.7807,"2"
10.0404,8.6772,7.0933,8.5499,6.6644,10.0461,10.4052,9.3434,8.9412,9.2452,"2"
9.5745,9.1693,8.6821,4.1824,5.6085,8.4046,9.6868,9.8726,9.7191,9.7318,"2"
10.3878,8.4935,7.6558,9.5473,1.5311,5.3877,9.6473,5.5336,7.8749,7.8689,"2"
9.8527,8.5317,7.5969,9.125,2.0196,9.3646,8.8036,4.1813,10.1679,7.4704,"2"
10.0625,8.2866,9.7358,10.2958,6.5603,5.5229,9.5149,8.0329,9.318,7.1588,"2"
9.5427,7.6009,7.6775,9.7261,5.6486,10.6033,8.7415,4.6478,9.3225,8.9926,"2"
9.5946,8.5372,7.8931,8.1444,5.5728,10.268,10.5002,9.9481,11.2046,9.7026,"2"
9.7531,8.7887,8.941,8.81,2.1782,7.884,9.8015,9.6208,9.4577,8.0276,"1"
10.1059,8.8322,5.8472,9.6292,4.8719,10.4049,10.2823,3.0909,11.4909,9.0474,"2"
10.3072,9.1252,7.612,8.8264,6.3102,8.9693,10.0279,7.9428,9.2784,10.3864,"2"
9.9256,7.9795,7.9671,8.9147,5.4158,9.3479,9.2697,5.9043,9.6648,10.9053,"2"
9.7574,9.0493,8.0763,8.6085,4.5629,7.4395,9.9437,8.5005,10.6833,8.6074,"2"
9.5985,8.785,7.3839,8.0961,5.5352,8.5209,8.7817,5.0411,9.3167,10.2525,"2"
10.2803,8.3615,7.3341,8.5877,4.4578,11.0416,8.6713,8.4736,10.4441,10.3274,"2"
9.4695,8.4348,7.7376,9.115,5.6615,10.162,8.7415,9.0084,9.9836,10.0742,"2"
9.8046,8.5682,7.8807,8.3835,5.9341,8.4216,9.3036,5.6948,10.1201,9.6954,"2"
9.4734,7.9508,8.9056,9.072,2.6444,8.9272,9.1001,5.7558,8.5996,8.7559,"2"
9.3382,9.0723,8.5654,8.2991,1.4321,10.1112,9.511,3.5635,8.0006,9.6344,"2"
