"201555_at","202683_s_at","203139_at","204825_at","205751_at","206401_s_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
10.1311,8.7934,8.2162,8.4362,6.3451,10.579,9.0205,4.0993,9.0986,9.8961,"2"
10.4069,9.6754,10.4546,8.8502,7.6142,5.9527,7.9348,5.315,9.4969,8.6072,"2"
9.9425,8.9794,9.6038,8.2648,6.2785,9.2157,9.066,8.6689,9.947,10.1541,"2"
9.9246,9.732,9.2316,5.7963,6.829,10.3971,9.1481,7.2983,9.9427,9.9988,"2"
10.1045,8.3362,9.7305,7.4187,7.2013,9.6402,9.0941,9.0033,9.2526,8.9726,"2"
10.2922,9.1888,9.7847,8.8774,6.7483,7.1881,9.1704,4.8235,7.848,7.8557,"2"
10.7976,9.5305,9.6846,9.6189,7.4123,7.634,8.6767,7.1927,7.0598,7.6429,"2"
9.9193,8.4065,10.3689,10.4084,6.0104,6.5879,8.4339,6.4955,10.0147,9.0188,"2"
11.1067,9.0967,9.755,10.6941,5.9168,7.4536,8.0023,4.4449,8.6222,8.3968,"2"
10.2627,9.0406,9.6663,8.2705,7.3701,9.2329,10.2698,6.0858,9.9791,10.4383,"2"
10.1205,9.126,8.4742,7.7684,6.5208,10.3414,9.7947,7.2707,10.4644,10.3444,"2"
10.5694,9.1328,9.5024,9.1799,6.9684,8.8899,9.5053,9.365,7.8027,9.7632,"2"
10.5091,9.7022,9.2025,9.4735,4.4373,8.2523,8.6987,5.73,8.873,9.5601,"1"
10.4853,8.6979,9.1493,8.9111,4.341,5.6146,9.2852,8.4235,8.0089,9.9723,"2"
11.7161,9.0326,9.2057,10.9768,6.7453,6.2623,8.6884,5.9387,9.5963,9.2066,"2"
10.7116,8.814,10.6,11.6927,5.7208,5.1178,8.5107,4.525,7.7963,7.5665,"1"
10.201,9.5662,10.2846,9.1457,7.1759,6.6198,9.4734,5.2535,9.4279,8.732,"2"
11.1944,8.8981,8.1836,12.2988,2.8199,9.6811,3.4689,9.9444,7.049,8.6512,"1"
10.1557,8.4416,8.3288,8.6314,6.2132,10.555,9.3536,9.7407,9.5046,9.74,"2"
10.9253,8.2546,10.1838,10.8008,6.5668,7.5951,7.5242,4.4128,9.5055,8.8986,"1"
10.1983,8.8814,8.5274,9.2168,6.5325,8.5435,8.2889,6.6454,9.1399,10.1036,"2"
9.8452,9.0486,9.3554,9.2658,6.9933,5.635,8.6652,6.9586,8.8011,9.6737,"2"
9.1121,8.8423,8.6908,8.0939,4.3638,11.0557,10.4276,5.3078,10.5573,9.5547,"2"
9.3665,8.6827,8.3987,8.6671,5.8975,5.6118,8.4628,4.9031,9.3414,9.7951,"2"
11.1404,8.3331,8.9443,9.6546,5.4147,6.085,9.457,6.3533,8.7124,8.3089,"2"
10.4456,9.231,9.7465,9.9084,4.5862,6.5555,8.9888,5.6931,8.8833,9.4175,"2"
10.5987,8.9036,7.9255,9.6487,5.962,9.4376,9.4484,5.2135,10.7546,10.3948,"2"
10.7568,9.2716,8.1558,9.5514,3.0726,6.8711,8.665,4.0775,8.0037,7.7106,"2"
12.086,9.0063,10.1437,10.7541,7.6041,6.8248,7.0171,4.0082,8.2511,7.6074,"2"
9.8688,8.8268,7.9162,8.7317,5.2699,10.969,9.3027,5.2023,10.5106,10.1647,"2"
10.0665,8.9819,8.2061,9.1103,6.1943,11.1151,7.8627,4.3883,6.9787,10.0524,"2"
9.8911,8.683,7.6204,7.2066,5.4456,10.5063,9.5811,4.2696,10.4108,10.2925,"2"
10.3435,8.9132,8.7482,9.2476,3.8803,8.7001,9.2101,4.5864,9.2604,10.0256,"2"
10.258,8.8511,9.427,8.6683,5.3418,5.4944,8.9967,4.2323,8.6816,8.4964,"1"
9.8626,8.7207,9.1844,7.1589,7.6633,9.4868,9.1719,6.845,9.4363,9.8628,"2"
10.3334,9.013,9.3983,8.5032,7.5268,9.9486,8.2545,4.6656,9.1308,9.9313,"2"
10.7116,8.2951,9.3087,11.7906,6.0372,9.1448,6.3564,8.8595,9.2521,7.5391,"1"
10.5117,9.2731,9.7611,9.089,7.0657,6.2461,8.3016,6.2286,8.7785,8.6541,"1"
10.251,8.7815,9.6669,9.3878,6.8215,10.2965,9.4975,5.1268,9.0341,10.2116,"2"
10.3313,8.6359,8.9769,9.4349,6.9307,8.2527,8.7781,11.0029,9.6161,9.6518,"2"
9.7521,9.134,8.5396,6.801,6.2648,10.3819,9.2935,7.5715,9.4143,10.365,"2"
10.6242,8.4841,9.7804,9.2044,6.9738,3.7298,9.3368,5.6745,8.4886,8.3797,"2"
9.5305,8.8401,7.9855,7.2849,6.3605,9.4121,10.0719,5.3882,10.7189,10.0754,"2"
10.828,8.7175,8.4881,8.976,5.7264,11.7719,9.3897,4.7203,10.3335,9.1524,"2"
10.8125,8.7778,6.8216,9.2016,6.6712,10.9702,8.3276,5.8961,9.4943,8.9102,"2"
11.0857,9.2654,9.7123,11.2279,6.7439,5.5395,9.3042,4.8696,9.2844,8.6834,"2"
9.8613,9.1256,9.4937,8.7446,5.5979,10.3931,9.4687,6.1287,10.7548,10.5801,"2"
10.239,9.2367,9.2171,7.5735,6.4278,8.2257,9.6939,5.661,7.0037,8.3647,"2"
9.9379,9.0848,8.7951,6.2465,6.5943,10.7027,9.5981,5.7103,9.7464,9.0615,"2"
10.3559,9.802,9.0288,8.7333,7.244,8.1389,8.469,5.4561,8.9702,9.4801,"2"
10.0374,8.7298,9.6331,7.4826,6.8328,9.4539,9.0811,5.6585,9.7392,10.03,"2"
9.7018,9.4444,8.8816,7.7057,7.113,9.379,9.8545,5.5724,11.6053,10.0893,"1"
10.1254,8.8494,9.6342,8.1332,6.9637,9.5328,8.881,5.4658,8.2084,10.2134,"2"
9.9156,8.8102,8.9495,7.8245,7.5802,9.0032,9.2812,5.5095,10.2861,10.7078,"2"
10.1322,9.5611,9.6354,8.3821,7.6008,5.3993,9.5254,5.2545,9.3068,9.4244,"2"
10.681,9.3899,9.4285,9.0323,4.7707,9.5047,8.6014,5.7013,6.6258,8.6566,"2"
9.3947,9.0499,9.9223,7.7237,3.346,9.2736,9.5188,5.2605,9.2876,9.8081,"2"
9.2209,9.1513,9.5413,8.9736,7.5919,8.4442,9.0708,5.6077,9.6368,9.7423,"2"
10.9649,9.4754,9.4044,9.0318,7.3383,5.0787,8.7589,4.9683,7.6139,8.8404,"2"
