"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","202088_at","202089_s_at","203963_at","204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210735_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217838_s_at","39549_at"
12.2528,8.6071,7.4646,10.6053,6.1659,8.3096,7.104,4.9369,7.4585,6.149,7.2871,9.4115,11.6744,10.3277,9.1563,7.4136,7.2945,11.8964,8.3414,3.317,6.9568,6.4237,7.5195,3.5392,4.3705,12.4807,4.9035,8.8358,8.3591,11.8983,8.1442,11.046,8.9584,4.212,10.4863,8.0963,9.2198,10.269,7.721,6.3757
10.2911,5.7879,8.5336,11.6995,8.1639,9.9601,8.9861,7.162,9.558,7.5353,7.9248,9.0243,12.6162,11.8285,9.7647,5.8756,12.8889,4.4416,10.9402,5.5166,3.802,12.476,8.2209,11.5105,5.7241,12.5537,6.2231,8.6016,8.3425,12.0589,9.129,10.4459,8.8066,5.6907,10.2178,11.0476,3.1912,10.473,11.0498,3.5423
11.8509,8.7986,7.6671,10.6416,6.4239,8.1251,7.1824,6.529,8.5529,6.0187,8.441,9.2792,11.63,10.3873,8.5081,3.5539,4.5465,11.3565,8.4434,5.0648,5.6521,15.2336,4.8825,14.4102,6.4954,12.0414,4.8564,8.2769,7.8074,11.6384,7.7571,10.7341,8.5333,6.7862,8.621,8.1796,8.1825,8.864,8.2362,5.7942
12.1978,8.8164,8.9842,10.5874,7.2049,8.95,7.7544,7.2877,6.4243,6.9372,8.0925,9.1405,11.5562,10.5635,9.4466,5.0213,7.8511,3.335,8.7318,3.8427,5.4735,13.989,8.0147,11.1748,6.4645,9.9522,5.8309,7.8013,7.9237,11.3765,8.9674,9.7123,8.719,4.9857,10.2349,8.0022,8.7423,9.9293,8.7649,6.5989
11.4072,8.1883,8.4065,10.7249,6.6201,9.2892,8.5075,6.2735,7.2973,6.6559,10.2841,9.1494,10.1381,9.7386,8.6174,5.3555,6.4334,9.0374,8.3963,9.5074,4.8994,8.751,8.1672,4.4583,7.0351,4.5639,5.7452,8.7655,8.2396,11.8763,8.6388,9.4395,9.1617,5.0668,9.8033,9.3316,7.9547,9.9754,9.2812,6.1517
12.7367,8.0052,7.2505,10.6778,6.5738,8.7399,7.74,5.6843,8.5646,6.0655,8.639,8.9123,14.587,13.8794,12.3017,9.9006,12.8536,2.2825,12.5963,11.0595,9.7226,12.9903,8.4653,9.6497,7.5355,14.0042,10.9999,10.9173,10.448,14.3791,11.1387,13.5241,10.8224,4.6854,12.7444,11.8985,2.9889,12.8062,10.7076,5.0339
11.9765,7.6044,7.7339,10.9484,6.7136,9.6752,8.1703,7.3857,5.3547,7.4749,7.7381,9.0538,13.8645,13.1479,12.0313,10.1724,15.2081,4.1053,11.8094,13.1976,10.2337,12.7586,11.673,12.5231,8.4044,14.8256,10.7909,11.2801,11.5412,14.6664,11.0806,12.4003,10.2197,5.834,12.8842,14.5615,2.149,12.651,12.0041,3.8456
11.3246,8.2015,9.2606,11.486,8.4001,9.6273,8.933,5.7281,8.1677,7.9294,8.5019,8.6831,10.4833,9.5786,9.388,5.0777,7.9403,6.9436,9.5325,4.5438,5.026,11.3211,8.523,5.5402,7.9566,8.8531,6.2905,7.2842,8.5502,11.2533,9.4834,9.5156,9.0003,5.5338,9.7176,9.6311,4.9883,9.8165,9.5736,5.0044
12.0941,7.8253,8.07,11.1146,6.5496,9.0196,8.194,7.2592,7.8971,7.0046,8.252,8.6259,14.3957,13.7431,12.2924,9.9225,14.2037,5.136,13.2295,13.5228,10.7522,13.5734,10.6489,13.2658,7.4713,14.4807,11.3928,11.4294,11.2723,14.6063,11.7505,13.3231,11.1793,8.7384,12.8662,12.8826,1.9647,12.8399,10.7607,4.6667
10.7466,4.913,8.4845,11.3563,7.8941,10.443,8.911,7.9951,11.3123,7.5872,8.9707,9.0271,10.3433,9.5884,9.3836,4.9111,8.2241,3.5758,9.8211,7.6988,5.0579,5.6305,6.9457,5.0914,6.5916,9.2244,6.0094,8.0979,8.0455,11.8927,9.4546,9.7818,9.0483,5.5371,10.1881,9.3739,6.2769,10.2575,10.3397,6.7271
11.0495,9.2408,8.9309,10.4922,7.2295,8.6119,7.8846,7.1852,7.4827,6.5649,8.3315,9.3238,11.2105,10.5122,8.1414,4.8718,7.9279,11.3807,8.0818,3.8364,4.8091,6.9865,6.3319,4.2433,7.6336,4.141,5.2971,3.1345,3.262,9.0602,7.6381,10.2891,8.5045,6.0719,8.413,8.4302,3.0053,8.6043,9.3229,3.6856
11.7385,8.1488,8.3088,10.7651,8.2121,9.5151,8.5127,4.8171,9.2808,6.7311,10.2199,9.0383,11.0056,10.1565,8.6106,4.6842,7.2515,7.6181,8.2941,7.6448,3.1729,3.139,5.8694,4.2842,5.354,7.2935,7.725,7.0294,6.7032,9.8569,8.3423,9.4854,8.5315,8.3038,9.2377,8.0744,10.9867,9.4152,9.332,5.8714
11.5092,8.145,7.5542,10.0921,6.0793,9.1847,7.1954,6.792,9.2349,5.7371,8.4388,8.5486,12.9367,11.5638,10.4926,8.6045,7.8954,9.6987,10.7936,8.1116,6.7335,12.3731,7.308,10.9854,6.5441,10.6397,7.3876,9.9289,9.9565,13.3907,9.5395,12.3283,9.8337,4.589,10.9763,10.7099,7.1663,11.0839,9.6999,6.4747
11.7728,8.6772,8.4128,10.8636,6.835,8.9426,7.9112,7.9824,8.8552,6.5393,8.2452,9.1476,12.5052,11.1767,10.5662,7.9291,7.8215,11.7015,10.5265,6.1495,6.8044,11.2854,5.7323,7.6674,7.503,11.1319,5.1298,8.5997,8.3648,11.6264,9.5487,10.6652,8.6718,5.1815,11.2218,8.8677,9.4107,11.1135,9.1552,3.9281
12.1022,7.6784,9.1484,11.4147,7.6491,9.1721,8.5591,8.296,9.9587,7.0013,7.7727,8.9601,13.4201,12.0921,10.9169,6.8564,13.5663,6.1097,10.9363,6.9588,9.3554,11.9552,11.8804,10.8981,8.5327,13.6772,8.5501,10.4971,9.4729,13.6854,9.8627,11.7619,9.514,5.5012,11.6355,12.0207,4.8463,11.483,9.5207,3.7048
12.0736,7.816,6.7201,10.5351,6.5638,9.1324,7.7879,5.097,6.1205,6.0041,8.295,8.7101,13.3529,12.1649,12.0188,10.2253,7.801,2.6155,12.3623,6.9838,6.6352,12.8403,10.0473,7.9773,8.3741,11.8078,8.093,10.9421,11.2154,14.3026,11.1049,13.7027,11.025,9.0583,12.7394,11.9294,3.8809,12.7932,10.2892,6.115
11.2111,7.323,8.6958,11.0041,7.2929,8.7116,8.2641,4.9723,9.7755,7.1016,10.1784,8.3054,10.4181,9.7698,8.4605,4.3686,7.7838,6.7941,7.7249,8.235,2.5537,5.0394,7.1169,3.4144,6.628,3.0582,5.7655,3.3417,6.819,10.0601,8.4864,8.6748,8.6471,7.0039,8.7381,8.6771,10.3695,9.281,8.8599,4.8933
11.8962,8.1039,8.2509,10.5824,6.6114,8.8225,7.8663,6.7729,7.3316,6.05,9.7116,8.5927,11.6431,10.3947,8.1379,3.8683,6.9274,5.6704,8.8049,8.6676,5.8338,11.4325,6.8085,4.3188,4.3361,8.3153,5.9726,9.2261,8.2934,12.4318,8.0598,9.8927,8.6183,4.7759,8.8905,9.1222,9.3743,8.8671,9.1811,3.5243
12.124,8.588,8.1537,10.6233,6.2107,8.8171,7.6919,6.1139,9.5459,6.4074,7.2379,8.4107,11.6854,10.8984,11.6258,9.0213,9.5738,6.6189,10.9305,7.4277,7.8691,14.5502,6.4077,14.0581,7.6251,13.3137,5.4308,10.8712,10.2029,14.2924,10.7424,13.6215,10.8841,10.4425,12.1898,11.7832,3.5025,12.3853,10.9368,3.195
10.9237,8.298,10.4419,10.07,6.5363,8.9755,7.5397,4.0967,12.5265,6.3483,6.6811,9.3462,10.4844,9.3246,6.7377,4.3544,6.7644,12.3075,7.6342,3.528,5.1665,4.9343,5.1583,2.8053,6.3489,7.3533,5.2649,8.666,8.1925,11.803,7.2459,9.1482,7.7555,3.8551,7.9811,8.2849,1.0689,8.1403,10.0251,1.9775
12.236,7.4006,7.7955,10.547,6.97,9.5377,8.112,6.9437,10.07,6.2059,8.6469,8.4169,14.8134,14.0599,12.0679,10.3597,9.7428,4.9253,12.3505,9.9342,6.0367,8.3512,6.9298,3.8597,6.576,11.3438,5.6223,10.8978,11.2649,14.2572,10.4453,13.7271,10.9447,9.0206,12.8639,13.6041,1.2775,12.7802,9.8541,5.9704
10.7914,8.6287,6.9254,10.3318,7.0566,8.5738,7.6991,7.0096,6.7997,7.2502,9.0154,8.8014,11.6542,10.5307,8.3612,4.4654,5.6988,8.7764,5.6522,6.5326,2.3261,3.4982,7.3472,3.4204,7.9794,5.6365,6.14,8.2167,8.8613,11.6091,8.0616,9.7463,8.4252,4.4112,8.0736,8.9717,7.8107,7.8319,9.4187,4.421
12.2148,7.8514,6.9006,11.031,7.705,8.9139,8.6755,7.7324,7.2788,7.3908,8.7886,9.4431,9.9053,9.8291,11.0286,7.6664,11.1445,4.0845,8.8267,6.9673,4.6947,14.1469,8.6548,13.294,6.6679,13.5961,6.0496,9.2572,8.69,12.2612,10.3045,11.4818,9.5784,5.6749,11.7063,9.5184,3.1003,11.6908,10.0276,6.728
11.7166,8.6037,6.9041,10.2148,5.6824,8.8631,7.7002,6.7957,6.5325,5.4535,6.9686,8.7431,14.4335,13.4882,12.7713,10.8188,11.4941,3.129,13.2534,10.4338,9.3341,12.0829,8.7383,10.9965,8.3148,13.6813,10.7697,11.146,10.7143,14.4516,11.756,12.0823,9.4719,8.9997,13.3377,12.3267,1.4498,13.0931,11.0405,5.2823
12.7646,6.7644,8.079,11.1874,7.4942,9.1287,8.4016,7.1104,6.6707,6.8874,9.7158,8.6482,10.4389,9.5351,8.4904,4.2515,7.7597,3.763,8.2067,10.6848,7.3433,7.23,6.5909,4.2971,6.8115,3.4605,5.3236,2.8049,6.3456,9.323,8.3506,8.2743,8.7065,4.8822,8.8348,8.1623,10.4698,9.2041,9.428,6.776
11.9024,7.9691,7.5642,10.7593,6.2799,8.9467,8.5068,7.5574,7.2339,7.0175,9.6001,8.5832,12.4781,11.8692,11.2715,8.7817,13.9184,7.2348,11.2609,9.9571,7.7624,14.1466,8.1456,12.8622,6.4608,12.0547,8.8103,9.8207,10.454,13.8873,10.3099,12.12,9.8329,4.9234,11.7129,11.8198,7.7638,11.738,10.4974,5.6814
12.0173,5.1489,8.6382,11.3509,8.0343,9.3544,8.6227,5.6652,8.7628,7.5915,9.029,9.2669,14.6152,13.9677,11.6632,9.417,9.4318,2.8312,13.2832,9.86,6.9366,6.3348,12.5153,4.8937,8.8404,10.5454,7.0105,11.5757,12.1875,15.0499,10.6589,12.9248,10.8411,6.4109,12.2272,13.6625,2.9577,12.1934,11.661,7.1539
11.2714,7.226,9.7721,11.7383,7.2381,9.6736,8.8532,8.4947,9.2752,8.0422,8.4674,9.342,12.7589,11.9442,11.5773,9.2128,11.8153,2.9817,11.7827,12.3232,8.5264,15.1279,8.2431,14.8214,5.9986,12.0664,9.8275,9.8421,9.8295,12.857,10.5568,11.1322,9.6416,5.9295,12.2272,12.3664,3.1549,12.0557,10.6303,4.8051
11.2179,8.7762,7.8778,10.7529,6.4465,9.5136,8.2276,5.0464,9.333,6.6534,8.1926,9.2466,10.395,9.5073,8.2061,3.8957,7.7087,6.5037,8.3335,6.6963,2.6012,4.1722,5.892,3.8603,4.8625,3.9312,6.9906,7.0231,6.7513,10.9505,8.4672,9.0008,8.2871,3.9414,8.3686,8.475,5.5568,8.5595,10.6666,2.7918
11.2065,8.4165,8.0671,10.8857,7.5553,8.7978,7.8152,6.8182,9.5005,4.8446,10.1328,9.3775,10.1468,8.8476,7.6781,4.5598,6.5596,12.0989,8.3603,4.2248,6.0721,4.6735,7.6677,4.8021,4.3334,4.7922,5.5589,9.408,8.5707,12.9642,8.3953,9.5846,8.7615,4.3284,8.7879,8.2007,6.1849,8.4711,9.3561,4.0649
11.4876,8.1887,6.4387,10.4598,6.4744,9.6372,7.7155,5.0553,10.6336,5.9448,6.5608,8.541,9.9248,9.2473,7.8703,4.1196,7.7106,7.8635,8.9474,3.0887,3.18,3.3179,5.9233,5.2903,4.5703,8.8308,5.6452,7.7035,7.8886,11.1661,7.7053,10.3331,8.8812,4.5722,8.8502,8.3455,1.9105,9.3975,8.6768,5.4665
11.8805,9.0496,8.175,10.5756,6.6547,8.4199,7.6498,6.4126,8.7811,6.1937,8.6273,8.8455,11.1792,9.9674,7.937,4.4122,6.9996,4.3274,7.5993,5.7663,5.6576,6.135,5.3579,4.7796,3.817,3.3998,5.323,6.2378,4.2335,8.4591,7.6586,8.2055,8.1307,4.9951,7.9853,7.468,6.772,8.5712,8.8433,3.1002
11.939,8.5198,11.3532,11.0197,7.7268,9.2153,8.657,7.8144,4.2532,8.1443,9.8449,9.2683,13.8364,12.8841,12.1423,9.0992,15.8673,2.0825,12.0116,13.8127,10.2231,12.5007,9.5652,10.2749,8.1773,14.9549,5.7722,11.4442,10.985,14.4863,10.8523,13.3762,11.197,9.1188,12.3232,12.834,2.8635,12.3886,10.5775,6.3081
11.5551,7.835,7.5747,10.7609,6.4348,8.843,7.6761,7.109,7.7779,6.8448,8.8108,8.6025,14.4914,13.57,12.7245,10.6052,9.305,3.6224,13.5384,13.0434,9.7532,11.0361,9.7597,9.134,8.8012,10.8395,10.6517,10.8067,10.4355,14.0091,11.9909,13.0526,10.3927,8.5006,13.0942,13.6433,2.8702,13.0533,10.3611,7.0434
11.6529,7.4979,7.279,11.2683,8.1479,9.8331,8.4852,8.2738,8.1585,8.007,9.7164,9.7119,11.5951,10.5845,10.1671,5.4812,8.9584,5.9209,10.3875,8.902,7.0746,10.8471,9.7464,5.9668,6.3966,7.2371,6.6035,9.2669,9.0036,12.7246,9.5823,10.7508,9.8074,7.5706,11.0249,9.1751,4.536,11.3191,9.1112,6.1486
12.0608,7.8334,8.1746,10.8744,6.8828,8.8431,8.0919,4.8469,8.0222,7.4336,8.6051,8.2852,12.4875,11.5882,12.6005,10.8056,12.8166,1.6891,11.8833,7.5963,8.2678,14.5282,8.6569,11.8333,5.779,13.1925,7.6581,10.7378,10.3411,14.1508,11.3658,11.8967,9.3444,5.2788,13.3745,11.9934,2.5142,13.306,10.9281,4.9637
11.5139,8.6451,7.7891,10.7761,6.4863,9.5661,7.7018,6.6003,9.193,6.8205,7.9352,8.7273,11.5107,10.5259,11.18,8.6574,9.377,5.998,12.7416,7.3556,4.8891,9.9846,6.7339,5.2458,6.5992,13.4339,4.8659,10.6317,10.6374,13.903,10.1202,12.0272,9.9531,3.5194,11.5067,10.284,1.5145,11.3663,10.7592,6.4184
11.8896,8.1589,8.4072,11.0195,7.7235,8.8264,7.7565,7.5734,8.6382,5.7432,10.2304,8.4826,11.5837,10.1016,8.0563,3.7011,6.6151,6.2828,8.3177,8.4301,2.8532,6.3827,5.9303,4.2755,6.7046,5.3614,9.0112,8.819,8.07,11.9822,8.4238,9.3578,8.4899,6.4048,8.5633,8.3764,8.8079,8.7921,9.2582,3.1027
11.5006,9.1396,7.8892,10.3686,5.5763,8.3074,7.5734,6.5772,8.2266,6.5158,7.4858,9.825,12.2467,11.3382,7.4903,3.9342,6.9351,3.2282,7.5472,5.3488,6.4788,5.3701,4.3457,4.0027,4.3811,8.3047,5.1382,7.2429,6.4117,10.0502,7.6035,8.7783,7.9817,5.3882,6.9621,7.4607,1.7874,8.3667,8.6521,3.4637
11.9052,7.7421,7.9753,11.0098,6.7901,9.0946,8.5149,6.8797,7.6089,7.1504,8.9352,9.237,10.2335,9.5567,7.8818,4.0861,7.5146,3.1677,8.1155,7.2201,2.145,6.5428,7.8528,3.8327,5.1149,3.9912,5.3973,7.1435,6.8301,10.4376,7.9673,9.5652,8.5129,5.1909,8.24,8.7898,10.4593,8.7027,10.4217,7.9516
11.959,9.4844,7.2895,10.5525,6.4399,7.1637,7.5141,7.3492,4.5543,6.5926,10.9877,9.2754,9.6612,8.9751,9.027,5.4141,7.5989,3.5993,7.6352,2.575,1.515,8.4115,5.9165,3.9053,4.0958,5.0813,5.252,2.3006,4.5568,8.647,8.9002,8.6382,8.2246,5.3574,9.8301,8.0685,8.8795,10.6489,9.007,9.3845
12.218,7.7593,8.1299,10.744,6.7948,9.4276,7.8769,6.0541,7.7614,7.1486,7.4954,8.8115,10.5907,10.393,12.0581,9.8616,14.4763,3.3055,12.7813,4.0914,10.072,10.2469,13.8159,9.1695,4.1917,13.0444,5.9309,11.5952,11.0723,14.6049,11.3096,12.9626,10.6657,5.6805,12.6498,11.2899,3.0363,12.5229,8.6044,2.6102
12.3984,8.5418,7.4417,10.7718,5.9748,8.3869,8.0335,7.2477,10.0838,6.7426,9.6928,8.8282,10.5152,9.5408,8.3196,4.4204,7.6139,4.6607,8.1508,6.1454,3.3562,5.8935,7.4362,5.3695,4.73,4.7482,5.8902,3.8402,6.0447,9.2359,7.9996,8.4697,8.1486,4.0213,8.5155,8.2051,11.8767,8.7484,9.1707,7.3519
12.7551,7.7959,8.5725,10.9763,7.3523,9.1167,8.3681,6.6659,8.1232,7.4252,7.0283,9.3073,14.874,14.3929,11.5136,9.7046,10.715,3.1052,13.5231,4.1792,8.4962,11.8966,12.3207,11.2637,5.8354,13.1038,11.0585,11.2158,11.3949,14.6885,10.8409,12.9057,10.3371,9.425,12.3608,11.3359,2.9162,12.4093,9.7364,2.6864
11.9883,7.7519,8.6974,11.1198,7.0225,8.8886,8.1614,7.3107,11.1891,6.5623,8.8565,8.6408,11.4368,10.3984,8.9947,7.569,11.9831,2.761,10.1043,5.1855,7.0835,14.3972,9.1966,14.3595,8.4307,14.1626,5.8207,9.5353,9.5043,13.4794,9.1752,10.9192,9.2242,9.9689,10.1159,10.6781,2.592,10.2875,10.5967,3.7332
12.0864,8.1094,8.0351,10.5097,6.1589,8.3143,7.7409,6.7028,5.3643,6.5634,8.7221,8.973,14.9264,14.4026,10.8395,8.4344,12.5709,3.2726,12.7246,13.1664,10.1068,13.671,10.4358,10.6856,8.0183,13.2235,10.2811,11.8146,12.7051,14.8864,9.346,14.0948,12.0839,8.2472,11.1058,10.3597,5.4828,11.0852,11.6772,6.5274
11.9235,7.5099,8.514,10.9006,5.8074,8.6706,7.9997,5.2107,4.2576,6.6046,7.2276,9.1455,11.9731,10.7411,8.5804,4.4874,8.1514,3.2884,8.3319,2.1198,8.5838,6.1693,6.0087,4.0876,7.3098,11.9111,5.5781,9.4299,9.3373,12.9919,8.2949,10.3159,8.8059,7.9914,8.7368,8.0608,7.7407,8.8986,7.8945,2.875
11.9922,8.9165,8.1214,10.7784,6.6755,9.0158,7.6785,7.0833,10.1766,6.6327,6.7562,8.9059,13.8759,12.9687,9.7646,7.3645,12.6554,1.3786,10.8645,11.2211,8.9769,10.4678,5.4413,11.0479,6.1719,10.2773,9.7769,10.6982,9.5157,14.0646,8.8543,11.6761,9.4294,9.5234,10.4681,11.0422,4.7745,10.8125,10.5001,5.546
11.9809,7.9313,9.3479,11.1509,7.4666,9.4319,7.5501,5.6923,11.3091,7.5302,10.1233,8.6469,10.3844,9.3735,8.9342,4.621,8.3927,6.639,8.744,8.4889,3.5257,4.4611,5.8108,5.0635,5.1527,4.8726,8.2557,6.9871,5.7116,10.9437,9.3786,8.8847,8.6094,5.8108,8.8717,8.8878,6.6003,9.4512,9.1463,6.4632
11.9526,8.126,7.3146,10.6894,6.5379,8.0613,7.7819,3.9012,8.4022,6.765,8.0753,8.6228,14.2486,13.6031,12.26,10.6938,9.8853,2.7814,12.8959,10.198,8.6749,7.1646,11.4088,10.1985,7.572,14.4576,11.0009,11.7803,12.5287,14.8459,11.5847,12.6705,10.2931,10.0317,12.7959,13.1252,2.5212,12.6447,10.1883,7.1329
