"201555_at","202683_s_at","203139_at","203628_at","204825_at","205229_s_at","205713_s_at","205751_at","206401_s_at","208670_s_at","208893_s_at","209173_at","211864_s_at","214164_x_at","216092_s_at","219051_x_at"
9.3428,8.9176,9.6027,7.8213,10.0021,6.899,9.596,6.4841,8.9199,7.3558,4.9197,13.0221,9.5882,10.1915,9.0413,9.2747
11.5675,9.0899,9.5148,10.7013,11.4325,7.1564,3.8133,5.8432,8.3074,8.4846,4.5694,11.9956,10.1424,10.8192,8.8514,6.883
10.2344,9.248,9.5171,6.6642,10.7551,7.4084,3.6812,6.6251,7.585,8.6838,6.339,4.7856,9.6206,8.7484,8.957,6.7185
10.9565,8.7792,8.0143,9.6999,10.1406,6.7249,2.9578,5.8076,9.7653,8.1874,4.4572,12.4992,9.4938,12.8061,8.8968,9.4973
10.2032,8.5043,8.2271,10.5476,7.9566,6.7412,4.1856,4.9222,10.7203,9.7715,7.7039,12.7371,10.2837,13.1942,10.1147,9.3241
10.6043,8.8928,8.0005,10.3318,9.0227,5.7812,2.8687,6.6194,7.6448,9.7065,4.5745,14.6533,10.9838,11.9813,10.1453,9.5304
10.179,9.0843,10.0065,4.6809,10.1624,5.8082,1.9372,3.4495,5.5551,7.9681,11.3159,12.0081,9.2341,9.5298,9.2462,7.5159
9.7768,8.671,8.2522,7.168,7.8425,5.8388,7.2473,1.2254,8.1616,8.4329,8.1595,10.4745,9.3856,9.7979,11.0201,8.0183
11.3627,8.4774,10.3578,8.3783,10.9267,8.3626,3.0084,5.1843,7.4557,7.9754,7.3924,3.8255,9.2235,9.1679,8.25,6.3887
10.0811,8.7929,7.5071,10.3855,8.0305,5.9812,4.1976,5.6462,10.706,9.0115,10.0373,12.5434,9.8816,11.8014,11.1471,10.1672
10.9399,8.5249,8.1332,9.9131,9.2584,6.6363,1.9739,6.3242,10.9245,9.4589,3.7585,14.0505,10.0165,12.0271,10.4007,10.883
9.6737,9.3496,8.8334,9.1156,6.5086,6.2017,8.3189,7.0117,10.6312,9.6399,7.4601,12.0435,9.8874,10.4683,9.5301,9.9682
10.4243,9.0988,9.0063,8.7747,8.7244,6.2836,8.3858,7.1863,9.0516,9.5235,4.7845,13.3049,9.5065,11.6847,9.6559,9.8368
11.489,8.7428,9.6055,4.9963,10.147,6.8129,3.5091,4.9541,5.2623,8.555,9.9467,2.7363,10.1989,8.8358,8.6213,5.3568
10.7828,8.3378,9.2518,6.7392,10.2818,6.9092,7.6023,5.2113,6.7671,8.9291,10.2675,12.1989,9.2142,8.3473,9.9085,7.3035
11.1756,9.4808,10.3812,7.6927,11.3874,10.5168,3.1262,7.5126,4.5541,8.9693,4.3763,3.0943,8.6278,7.5039,7.6612,6.8864
10.9818,8.6481,9.7145,7.1012,9.3234,10.513,6.5944,2.326,6.711,8.5741,6.42,8.6453,7.8446,9.6233,8.8773,8.8829
10.5183,8.8667,10.3462,8.0613,9.1115,7.8297,2.7958,2.1703,7.4051,8.9399,8.7184,6.9472,9.5701,9.2567,7.5883,4.4204
10.1097,8.8376,8.1674,10.119,8.7482,5.4748,9.9649,5.8002,11.0641,9.5603,7.1009,12.8912,11.2018,12.2213,10.5436,10.6273
9.8389,8.8409,8.5174,9.7976,8.9516,6.8918,6.3908,5.8737,7.0907,9.1595,4.9203,10.1942,8.7516,11.885,8.8647,8.8144
10.3356,8.5476,7.8799,10.4411,9.2962,6.1555,7.9133,4.1024,10.205,8.8288,3.8805,14.6352,9.5334,13.5777,9.6685,11.1123
10.1426,8.8273,8.953,10.1586,9.2599,6.9823,8.402,5.1685,9.6662,9.228,8.563,13.5063,10.4619,12.6334,9.4151,9.8677
10.2234,8.9186,9.3156,8.2562,8.861,5.7927,8.4926,6.9631,9.1906,8.2561,5.045,10.5679,9.925,12.2108,10.8503,8.5531
9.8379,9.0872,8.1751,10.7554,7.1354,3.6554,3.4367,6.941,10.6106,9.7086,7.213,13.1252,10.0806,12.3533,10.232,8.8412
10.7093,8.6772,10.3661,8.2252,9.7813,7.415,10.7881,5.3949,6.9617,8.8503,6.5781,15.2752,10.0417,11.7466,9.2289,8.2652
10.6596,9.3781,8.3005,10.0395,9.8995,7.3463,6.5252,2.2611,7.8234,8.9428,9.9378,11.7927,8.9259,12.6511,9.9047,9.0344
11.1921,8.4318,8.1621,9.4743,10.9992,5.3739,3.441,6.3584,7.0607,8.6123,4.1973,3.553,10.7442,7.8891,8.3375,5.3936
10.5659,8.8182,9.8878,8.5987,11.3268,8.3009,4.8939,6.5829,4.6072,8.3668,4.0311,8.3373,8.5207,8.2866,8.2948,7.8476
10.2238,8.5136,8.976,9.4791,8.811,6.3023,6.7067,3.2886,10.0213,9.3115,7.1212,14.1774,10.0269,12.2398,9.6809,9.3622
10.6924,8.6583,9.3423,7.0101,9.5556,8.3615,8.0697,6.0104,6.0234,9.0937,5.2871,6.6653,8.7046,8.1543,8.3491,5.3634
11.686,8.8859,9.2525,4.1982,10.1972,3.4731,2.8617,2.8318,5.0672,8.3819,6.5167,11.7801,8.4118,11.4492,11.132,8.7416
10.4251,8.3075,8.0614,9.39,9.282,5.7539,6.1982,4.4016,10.1324,9.653,3.6254,14.2068,10.3397,12.5708,10.6706,9.8858
9.3162,8.8435,8.752,9.9992,7.6357,6.7953,3.761,6.4676,10.8409,9.442,5.2725,12.4865,11.4915,13.7442,10.1108,10.1553
11.4136,8.1166,9.434,9.0128,8.1501,7.2671,4.9964,6.6674,4.3572,9.8019,10.2591,11.402,9.7848,9.882,8.4253,9.278
9.52,8.967,8.0303,11.8109,8.1192,7.0346,7.0111,4.5499,9.968,10.7207,6.828,13.3625,10.5472,11.2563,8.1619,9.6481
9.9158,8.4002,8.0292,7.5772,9.082,6.3792,7.0009,5.4407,6.9801,10.0824,10.3347,14.1808,9.1299,9.4506,8.7965,10.3363
9.6217,8.5629,8.1989,10.4012,7.6574,5.87,8.0277,5.2043,10.0142,9.215,10.1861,13.2253,10.0276,12.0394,11.1699,10.4495
10.61,8.4951,8.155,7.119,10.2918,6.1757,1.5564,5.6975,6.3512,8.9089,6.0076,13.6606,8.0407,11.076,10.3819,8.0683
10.2746,8.7774,9.1708,6.2579,9.495,7.595,5.6778,3.2196,4.6829,9.3043,11.3229,13.5065,9.2956,12.7615,8.5291,9.1489
9.9329,9.7883,9.4519,9.5526,9.2073,5.7393,6.8589,5.0061,11.2591,9.4618,8.0512,13.0059,9.7682,12.7348,9.3779,10.6303
11.1504,9.1798,8.8264,9.3018,9.0335,6.6562,7.6482,3.2306,9.2235,8.9624,8.0197,12.3969,9.2415,12.2847,9.2028,9.9204
10.4431,8.928,6.9247,10.2279,8.0562,8.0145,8.084,2.0972,11.5201,9.0772,5.7283,14.4849,10.3272,13.5292,10.7669,10.2201
10.9864,8.295,8.7546,8.2331,9.2941,7.9523,5.9316,5.4513,5.7484,9.3638,8.6792,12.7312,9.5043,12.8285,10.4152,10.5481
10.7568,8.738,9.7092,12.7105,9.0568,4.7044,6.165,5.884,10.3504,10.0161,7.8143,15.0447,9.2139,13.0173,9.6138,10.2599
10.746,8.6235,8.0477,6.2098,10.3325,6.0075,5.045,1.5661,8.545,8.7633,9.6207,14.1475,9.6011,9.9437,9.6985,8.9304
10.0589,8.2363,8.4711,11.0676,4.9519,8.7566,7.4501,3.6865,9.6946,9.0083,7.6192,12.1792,9.4919,12.2478,10.0585,9.2275
9.817,8.6368,8.7714,9.8635,9.1308,6.4313,3.3156,7.5077,8.4009,9.6391,4.0978,12.8061,9.3871,14.0764,9.6836,10.5296
10.33,8.5998,8.9072,10.9983,8.1911,4.6737,6.4491,5.6695,10.4643,9.2203,8.0776,13.0796,9.3051,12.7134,10.4378,8.0097
9.811,8.5449,7.4552,12.556,9.2677,5.3591,5.7718,4.348,4.8113,9.5516,3.4496,11.3817,6.1981,9.4755,7.3782,10.9935
10.2067,9.1222,8.8871,10.2914,9.3697,3.9013,7.6386,2.3524,11.4547,8.8533,4.955,10.4101,9.0731,11.4074,9.638,9.0188
10.5579,9.276,10.2481,4.347,12.2253,6.4804,1.9308,4.474,7.8623,8.5389,6.9049,5.1813,7.8601,8.871,8.2662,7.0229
9.2315,8.1839,10.2936,8.2314,7.237,6.1431,7.2137,5.5426,8.2559,9.9116,9.7653,11.0196,9.7038,10.6555,9.9697,7.9759
10.9098,8.7856,9.3524,9.4931,8.7246,7.8229,7.8198,4.4491,5.7018,9.8144,6.2948,4.8882,8.9279,8.0169,8.433,7.6497
10.3201,8.8491,8.1271,11.1697,9.6864,7.1125,8.5666,3.2666,7.9792,9.4136,7.7927,14.8508,8.2781,11.6343,10.0201,10.8283
9.7802,8.6075,8.3285,10.1469,5.5625,7.8392,4.4006,4.4718,10.106,9.6731,8.9199,12.5355,10.1072,12.161,9.5759,9.3183
9.816,8.4654,9.506,9.4591,6.6557,6.6106,8.0786,5.9476,9.3415,9.5907,8.6894,12.9134,8.9289,11.8167,9.683,9.1755
11.1873,7.7173,8.4719,7.6975,9.3256,6.7262,1.5296,5.5688,4.1019,9.5101,6.2424,12.0552,10.7234,9.1091,9.1729,7.5264
9.6388,8.2919,9.7538,7.6028,8.765,6.439,7.8113,6.2939,7.7174,8.6604,9.1877,10.5774,9.1744,11.3181,9.7048,10.7078
10.3642,8.5633,8.9305,6.7144,10.3825,7.7032,3.8454,5.5994,8.1461,7.5699,9.7598,12.427,7.8455,7.8265,6.924,8.2696
10.2285,8.6439,7.3983,9.3901,9.5374,6.3105,6.4839,6.5803,11.0142,9.3315,3.7908,10.898,9.6596,12.7039,9.4629,10.6578
10.8789,8.806,10.8184,7.6682,9.2367,2.8185,8.4809,6.1573,5.7297,9.401,5.5649,7.4995,8.6651,8.643,8.8685,8.9016
10.6276,9.2801,8.092,14.782,7.801,5.6986,7.1223,5.2914,9.0803,9.2177,10.3221,15.2201,8.3043,14.8983,11.0616,9.8594
11.0685,8.8977,11.0269,8.7209,11.1335,4.4888,5.4968,6.1338,8.5133,7.6196,4.1918,5.2211,7.6332,7.6351,8.6025,5.5033
10.4298,8.7418,8.4891,9.5163,8.4018,4.4966,8.8632,7.1928,7.0578,9.2631,6.5365,12.2167,8.5344,11.6794,9.7235,9.3688
10.9094,8.0082,8.0826,7.5281,9.9298,6.1813,10.8606,3.1448,5.7798,8.4697,8.1365,12.9578,9.8524,12.4894,10.0368,9.6567
10.714,8.6293,8.4615,10.0812,8.0873,4.4782,8.6953,5.7268,11.1965,9.1321,6.485,14.0638,9.6625,11.9407,10.3452,10.8656
10.4104,9.3621,7.7771,8.7538,8.6014,6.0085,4.47,5.8052,10.0359,9.1687,5.3173,11.462,7.1339,12.1756,9.6254,10.3462
11.1706,9.3352,9.3584,8.0245,10.7522,9.8931,4.5433,5.4275,6.7518,8.831,4.6463,5,8.7582,7.7479,7.5825,7.121
10.1161,8.877,9.1047,8.3349,8.1237,5.6069,10.4472,4.5104,10.0016,9.3431,5.071,12.0111,10.1595,12.7763,10.7937,10.978
10.6367,8.7834,7.2354,11.285,9.5552,4.3028,8.9201,6.7638,7.6172,9.4796,4.5768,14.8517,8.5304,11.213,7.3458,10.2146
10.0111,8.0939,8.3784,10.8229,8.7584,4.0139,5.4284,3.0322,5.5155,9.2987,4.708,15.1107,8.8844,14.4136,8.8805,10.9033
9.6214,8.5245,8.2776,8.9242,7.6291,4.6673,4.8372,5.4867,10.0675,9.1619,10.8215,13.8721,9.8719,11.5448,9.5386,9.0057
10.119,8.8456,9.118,9.3252,8.4941,4.5943,6.6906,4.1307,10.5054,8.6631,6.4988,13.8655,9.5176,13.1194,9.7613,9.6925
10.3989,9.5136,9.4682,7.4093,8.8775,7.6852,5.4038,3.3941,7.0226,6.1638,8.7133,11.2346,8.8454,9.708,8.9393,7.643
10.3797,8.9422,8.6879,6.0633,8.4085,8.771,2.9544,6.4202,5.5951,9.3874,6.3851,3.4551,4.7031,8.2237,8.5461,6.005
10.3432,8.7433,9.9159,7.1049,9.7121,8.6134,5.3857,3.9129,8.556,9.4381,8.8787,14.4541,8.3615,9.8416,8.7145,9.8355
9.2594,8.9028,9.002,10.3429,6.9412,5.3225,8.9099,5.972,10.9204,9.7453,8.197,13.1825,10.4404,12.8993,9.5977,10.0333
10.0886,8.8492,9.6763,9.0396,9.0273,6.8058,5.5181,2.0715,8.7882,9.5318,7.9037,13.762,7.4227,13.035,9.4333,9.6902
9.511,8.6878,8.671,7.9148,8.6341,7.9629,5.9524,2.9461,5.284,8.8694,9.9681,13.5943,7.6631,9.8019,8.9443,9.3435
9.6903,8.8657,8.6359,9.4836,8.9894,5.2522,9.9554,5.0141,11.05,9.0913,8.9467,12.6767,10.9235,12.908,9.035,9.709
8.9343,8.3007,8.4905,10.6958,7.6281,4.4344,7.9708,4.0294,10.1206,11.0516,9.4976,13.7037,8.8778,13.1264,9.4398,9.2801
10.1272,8.5644,8.5892,8.2568,8.1514,5.326,5.2557,5.1443,9.6513,10.0604,7.9166,13.1267,8.4289,10.2122,8.0143,8.1836
10.765,9.2796,10.2898,7.0799,11.3208,9.623,2.6831,5.7946,7.0484,9.0789,3.713,3.9791,7.1648,7.0129,6.5367,7.0718
9.8021,8.7299,8.4007,8.0274,9.411,6.1043,3.8754,1.232,4.2954,10.0656,7.436,13.2287,9.2794,12.9575,8.1647,9.8094
10.0018,9.0705,7.0447,8.9142,8.9287,4.2984,2.0557,3.8344,10.3954,9.8773,9.9929,13.7975,10.4262,13.1537,10.9748,10.2419
9.6159,8.1238,7.4766,10.3326,9.8079,4.1639,3.6865,2.7339,8.1708,8.9253,7.778,14.0062,9.7524,14.0839,8.6992,9.429
9.6423,8.4562,7.9537,9.6083,6.9932,6.3799,8.6612,5.2607,9.0735,10.0628,9.9769,13.6401,10.1004,11.6268,9.2059,8.8285
10.2454,8.3381,8.2153,5.9113,9.7872,10.7696,8.0579,3.1371,7.1284,8.7363,3.7414,11.5668,7.8991,10.7241,7.8926,8.9863
9.9449,7.7903,9.5739,9.4807,9.7566,7.3417,7.5031,4.3936,4.7041,9.6454,5.2429,8.0232,8.6519,8.2308,7.7143,6.6423
10.2328,8.0851,9.2652,8.5708,10.3223,6.8154,5.7905,5.7773,8.8404,10.6328,9.0279,14.1877,9.0565,13.3777,10.4972,9.4292
10.5688,8.8976,8.8491,7.3792,9.8364,7.1332,4.9178,0.7961,4.1098,9.1606,8.4281,10.9805,7.1628,10.8956,8.535,7.5513
9.1603,9.1237,8.8225,15.5445,7.1419,4.9962,7.765,4.5822,10.4891,10.1212,8.1173,14.4754,9.8223,13.9203,9.8774,8.109
9.0114,8.7824,7.6835,10.1334,8.009,6.4454,10.391,3.3581,10.8682,9.926,9.5691,14.886,10.4791,13.4985,10.2776,9.4868
12.0051,8.5106,9.3039,7.4771,10.7112,5.1277,4.3679,3.735,5.3303,8.7581,3.1129,6.7552,9.1769,6.5685,6.2595,4.8958
10.2218,9.5648,9.9421,9.2369,9.9527,6.5007,4.9285,5.8808,4.6899,9.006,4.3599,4.0842,8.5377,8.8265,7.313,8.3302
9.9845,8.9343,9.8124,9.3583,8.7264,4.4093,9.005,6.134,6.1981,9.6406,4.2612,14.7441,6.9216,10.9554,9.245,9.3296
9.3789,8.4784,7.7109,10.7715,8.6923,7.8909,7.4318,3.4925,11.0701,8.9292,7.1126,13.9515,10.0313,13.7563,9.7807,10.3511
10.0404,8.6772,7.0933,9.5154,8.5499,7.5469,3.5201,6.6644,10.0461,10.4052,9.3434,15.71,8.9412,12.3503,9.2452,9.4159
9.5745,9.1693,8.6821,10.434,4.1824,6.7466,7.8491,5.6085,8.4046,9.6868,9.8726,13.3759,9.7191,11.0469,9.7318,9.1391
10.3878,8.4935,7.6558,8.4852,9.5473,6.2651,2.6847,1.5311,5.3877,9.6473,5.5336,13.3574,7.8749,11.4131,7.8689,8.5591
9.8527,8.5317,7.5969,11.8836,9.125,3.5563,8.3625,2.0196,9.3646,8.8036,4.1813,15.6894,10.1679,11.6872,7.4704,9.34
10.0625,8.2866,9.7358,7.6683,10.2958,2.7421,5.4673,6.5603,5.5229,9.5149,8.0329,8.2217,9.318,9.1538,7.1588,7.4397
9.5427,7.6009,7.6775,8.8261,9.7261,4.4322,2.9714,5.6486,10.6033,8.7415,4.6478,12.8316,9.3225,13.0672,8.9926,9.2052
9.5946,8.5372,7.8931,8.9492,8.1444,6.7384,8.6038,5.5728,10.268,10.5002,9.9481,13.0504,11.2046,12.4113,9.7026,9.8797
9.7531,8.7887,8.941,8.7811,8.81,7.6573,8.0537,2.1782,7.884,9.8015,9.6208,10.2521,9.4577,9.3508,8.0276,7.0023
10.1059,8.8322,5.8472,8.7039,9.6292,6.1002,2.6853,4.8719,10.4049,10.2823,3.0909,12.9753,11.4909,12.7731,9.0474,9.8472
10.3072,9.1252,7.612,8.7127,8.8264,6.4824,8.2076,6.3102,8.9693,10.0279,7.9428,14.3954,9.2784,13.0116,10.3864,10.1342
9.9256,7.9795,7.9671,9.9817,8.9147,4.0641,3.0284,5.4158,9.3479,9.2697,5.9043,13.7937,9.6648,13.9149,10.9053,8.9544
9.7574,9.0493,8.0763,8.5383,8.6085,6.3929,10.4589,4.5629,7.4395,9.9437,8.5005,13.6344,10.6833,12.0102,8.6074,8.1638
9.5985,8.785,7.3839,8.0269,8.0961,2.3535,7.9763,5.5352,8.5209,8.7817,5.0411,13.0409,9.3167,12.1311,10.2525,10.2525
10.2803,8.3615,7.3341,9.6906,8.5877,3.077,8.8773,4.4578,11.0416,8.6713,8.4736,14.2911,10.4441,13.1068,10.3274,9.5077
9.4695,8.4348,7.7376,10.2376,9.115,4.2331,5.6396,5.6615,10.162,8.7415,9.0084,15.7265,9.9836,14.0103,10.0742,10.4424
9.8046,8.5682,7.8807,7.9791,8.3835,4.8126,6.8398,5.9341,8.4216,9.3036,5.6948,15.2493,10.1201,13.9384,9.6954,10.5126
9.4734,7.9508,8.9056,7.2608,9.072,6.7334,7.8268,2.6444,8.9272,9.1001,5.7558,8.7273,8.5996,12.7241,8.7559,8.5887
9.3382,9.0723,8.5654,10.7241,8.2991,3.6513,7.8337,1.4321,10.1112,9.511,3.5635,12.4046,8.0006,12.2817,9.6344,9.8953
