"201555_at","202683_s_at","203139_at","203628_at","204825_at","205229_s_at","205713_s_at","205751_at","206401_s_at","208670_s_at","208893_s_at","209173_at","211864_s_at","214164_x_at","216092_s_at","219051_x_at"
9.7696,9.2349,9.7394,8.4765,5.131,6.9528,7.0996,6.9308,6.5679,8.6223,8.3351,12.1042,9.39,11.1489,9.7664,8.4779
9.7629,9.5725,8.38,5.8185,9.5011,5.8739,7.302,4.1376,7.9526,9.0472,9.1135,12.4807,9.2731,10.4863,9.5203,10.2026
10.3438,9.28,9.2906,6.7312,7.7534,7.7302,3.7231,6.2246,5.6745,9.1214,5.9221,12.5537,6.8246,10.2178,8.4435,7.8203
10.2161,8.2933,8.3442,6.5279,10.4037,6.1927,7.4311,3.6381,7.6048,8.9399,9.6461,12.0414,10.1455,8.621,8.2704,9.6338
10.1697,9.1473,8.4578,7.3048,10.9307,7.5264,2.7854,6.2403,6.7645,8.6684,5.7518,9.9522,9.9033,10.2349,8.8652,6.1497
10.5388,8.0626,9.9106,6.0125,9.8896,8.0521,3.0531,6.5406,7.6486,9.5982,5.6327,4.5639,9.5125,9.8033,10.2043,5.826
10.1804,8.5283,8.3011,10.1825,7.5225,5.5413,8.4969,5.4808,10.4524,9.5689,6.4512,14.0042,10.9302,12.7444,10.5386,8.9293
9.7414,8.8818,8.8134,10.3907,8.6405,6.6512,8.0966,6.4894,10.3261,9.4933,6.6187,14.8256,9.8738,12.8842,9.5736,8.4213
10.6784,8.8102,9.7061,5.1206,9.3761,6.9183,3.6195,8.0514,5.5532,8.9333,6.1241,8.8531,8.5828,9.7176,7.1506,7.219
10.2872,8.8178,8.7764,10.3884,7.913,6.4985,3.0033,2.8618,10.2809,10.044,4.9612,14.4807,10.7663,12.8662,9.7678,9.2239
9.971,8.9657,9.7097,7.9524,8.266,9.2418,6.3255,5.4719,5.4465,8.916,6.3888,9.2244,8.312,10.1881,8.9952,7.3153
11.3858,9.5847,9.9307,7.0103,10.5696,9.1681,3.4543,7.662,8.1006,9.2633,4.5178,4.141,6.6097,8.413,8.0624,6.4161
11.2473,9.396,9.3468,8.861,9.7544,7.7156,10.6102,3.3061,6.1902,8.3582,5.5881,7.2935,8.9915,9.2377,8.2192,6.0221
9.7646,8.2116,9.2267,9.0276,7.4019,6.9985,8.0656,3.7318,7.7088,9.6738,9.344,10.6397,10.5188,10.9763,9.2433,7.5877
9.3936,8.9714,8.8209,7.4228,8.5758,6.217,4.8122,5.6378,8.3359,9.0088,8.6112,11.1319,9.2655,11.2218,9.3554,9.2754
9.8132,9.7897,9.3846,9.437,7.8682,6.4983,5.0795,6.7129,9.4683,9.1828,6.4709,13.6772,9.6002,11.6355,9.69,8.4996
9.6172,9.2809,9.1584,8.6975,3.7292,6.9902,11.213,6.8895,10.4172,10.25,7.1348,11.8078,10.1093,12.7394,10.8367,9.2045
9.7439,9.3533,9.9282,7.9236,8.4215,7.6526,8.0019,6.4521,5.015,8.021,8.4683,3.0582,9.0219,8.7381,8.1451,7.9382
11.7024,8.8077,9.5278,7.8752,10.3916,7.7563,9.4825,6.8028,6.9606,8.2877,5.187,8.3153,10.1222,8.8905,8.4804,6.0709
10.7528,8.5953,8.0395,8.7981,9.3481,6.7533,8.415,5.3719,10.2361,9.5458,5.0588,13.3137,9.9928,12.1898,10.34,9.7186
10.5929,8.404,9.3293,4.4798,10.0711,9.1308,6.111,6.5476,6.6248,8.8484,4.7105,7.3533,8.5897,7.9811,7.9836,5.0377
9.6352,9.0844,9.1309,10.4302,7.7212,6.2076,9.9134,5.2005,7.4732,9.5123,4.5759,11.3438,9.1775,12.8639,10.6483,8.8767
10.6535,8.7151,9.7226,4.6028,10.9925,8.0398,4.6767,5.503,8.231,9.0311,6.5023,5.6365,8.9805,8.0736,8.5319,7.2409
10.1827,9.1852,10.3948,8.7041,8.9125,6.7111,7.2639,6.1203,8.695,8.425,9.0735,13.5961,7.7709,11.7063,8.5892,8.8326
10.1311,8.7934,8.2162,9.1625,8.4362,7.256,8.723,6.3451,10.579,9.0205,4.0993,13.6813,9.0986,13.3377,9.8961,9.7309
10.4069,9.6754,10.4546,9.0528,8.8502,7.975,9.4737,7.6142,5.9527,7.9348,5.315,3.4605,9.4969,8.8348,8.6072,8.6412
9.9425,8.9794,9.6038,9.6508,8.2648,7.2861,8.3146,6.2785,9.2157,9.066,8.6689,12.0547,9.947,11.7129,10.1541,6.5172
9.9246,9.732,9.2316,9.4672,5.7963,7.2516,5.5457,6.829,10.3971,9.1481,7.2983,10.5454,9.9427,12.2272,9.9988,9.8967
10.1045,8.3362,9.7305,9.1514,7.4187,7.103,4.8913,7.2013,9.6402,9.0941,9.0033,12.0664,9.2526,12.2272,8.9726,9.5508
10.2922,9.1888,9.7847,7.9267,8.8774,8.4748,2.7439,6.7483,7.1881,9.1704,4.8235,3.9312,7.848,8.3686,7.8557,7.8388
10.7976,9.5305,9.6846,8.3347,9.6189,7.3768,3.5051,7.4123,7.634,8.6767,7.1927,4.7922,7.0598,8.7879,7.6429,7.729
9.9193,8.4065,10.3689,4.0254,10.4084,5.4621,5.9713,6.0104,6.5879,8.4339,6.4955,8.8308,10.0147,8.8502,9.0188,8.5538
11.1067,9.0967,9.755,8.5249,10.6941,6.3084,4.0529,5.9168,7.4536,8.0023,4.4449,3.3998,8.6222,7.9853,8.3968,7.6614
10.2627,9.0406,9.6663,9.8129,8.2705,4.0896,4.275,7.3701,9.2329,10.2698,6.0858,14.9549,9.9791,12.3232,10.4383,8.2422
10.1205,9.126,8.4742,9.9881,7.7684,7.5368,4.9142,6.5208,10.3414,9.7947,7.2707,10.8395,10.4644,13.0942,10.3444,11.4004
10.5694,9.1328,9.5024,7.435,9.1799,7.7206,5.4672,6.9684,8.8899,9.5053,9.365,7.2371,7.8027,11.0249,9.7632,6.9686
10.5091,9.7022,9.2025,12.2986,9.4735,4.2145,10.2309,4.4373,8.2523,8.6987,5.73,13.1925,8.873,13.3745,9.5601,9.2385
10.4853,8.6979,9.1493,6.5843,8.9111,6.6419,2.8616,4.341,5.6146,9.2852,8.4235,13.4339,8.0089,11.5067,9.9723,9.5587
11.7161,9.0326,9.2057,7.5966,10.9768,8.2667,8.6929,6.7453,6.2623,8.6884,5.9387,5.3614,9.5963,8.5633,9.2066,7.6339
10.7116,8.814,10.6,7.1474,11.6927,4.2233,3.4848,5.7208,5.1178,8.5107,4.525,8.3047,7.7963,6.9621,7.5665,5.0224
10.201,9.5662,10.2846,8.2433,9.1457,7.5634,4.9832,7.1759,6.6198,9.4734,5.2535,3.9912,9.4279,8.24,8.732,6.4384
11.1944,8.8981,8.1836,7.4085,12.2988,8.6401,2.5223,2.8199,9.6811,3.4689,9.9444,5.0813,7.049,9.8301,8.6512,4.7193
10.1557,8.4416,8.3288,10.1112,8.6314,7.0754,5.0756,6.2132,10.555,9.3536,9.7407,13.0444,9.5046,12.6498,9.74,9.8744
10.9253,8.2546,10.1838,9.5169,10.8008,10.1872,5.2358,6.5668,7.5951,7.5242,4.4128,4.7482,9.5055,8.5155,8.8986,7.2025
10.1983,8.8814,8.5274,8.5343,9.2168,6.1234,6.837,6.5325,8.5435,8.2889,6.6454,13.1038,9.1399,12.3608,10.1036,10.5979
9.8452,9.0486,9.3554,9.2725,9.2658,7.6317,4.0583,6.9933,5.635,8.6652,6.9586,14.1626,8.8011,10.1159,9.6737,8.7619
9.1121,8.8423,8.6908,11.4441,8.0939,6.8471,7.033,4.3638,11.0557,10.4276,5.3078,13.2235,10.5573,11.1058,9.5547,10.3458
9.3665,8.6827,8.3987,7.0208,8.6671,6.0145,8.8862,5.8975,5.6118,8.4628,4.9031,11.9111,9.3414,8.7368,9.7951,10.3458
11.1404,8.3331,8.9443,8.8926,9.6546,7.3455,5.1546,5.4147,6.085,9.457,6.3533,10.2773,8.7124,10.4681,8.3089,9.309
10.4456,9.231,9.7465,7.9447,9.9084,7.7528,7.9064,4.5862,6.5555,8.9888,5.6931,4.8726,8.8833,8.8717,9.4175,6.0894
10.5987,8.9036,7.9255,9.4475,9.6487,6.7416,3.7811,5.962,9.4376,9.4484,5.2135,14.4576,10.7546,12.7959,10.3948,10.3727
10.7568,9.2716,8.1558,6.9133,9.5514,6.2023,4.5262,3.0726,6.8711,8.665,4.0775,4.0719,8.0037,9.0181,7.7106,8.7068
12.086,9.0063,10.1437,8.1674,10.7541,10.2194,3.0774,7.6041,6.8248,7.0171,4.0082,3.1516,8.2511,7.5327,7.6074,6.7879
9.8688,8.8268,7.9162,8.9959,8.7317,4.4339,6.6904,5.2699,10.969,9.3027,5.2023,11.552,10.5106,12.8998,10.1647,9.8182
10.0665,8.9819,8.2061,8.5023,9.1103,6.7313,3.0512,6.1943,11.1151,7.8627,4.3883,11.3997,6.9787,11.4617,10.0524,10.0358
9.8911,8.683,7.6204,9.8825,7.2066,5.8631,2.9774,5.4456,10.5063,9.5811,4.2696,11.5582,10.4108,12.9611,10.2925,10.963
10.3435,8.9132,8.7482,8.9981,9.2476,5.5598,8.0578,3.8803,8.7001,9.2101,4.5864,15.3556,9.2604,12.9039,10.0256,9.7822
10.258,8.8511,9.427,4.3836,8.6683,6.5959,3.6715,5.3418,5.4944,8.9967,4.2323,8.4765,8.6816,9.2465,8.4964,8.807
9.8626,8.7207,9.1844,9.139,7.1589,6.6642,3.5516,7.6633,9.4868,9.1719,6.845,11.685,9.4363,11.4765,9.8628,8.6672
10.3334,9.013,9.3983,9.0423,8.5032,7.0785,8.5302,7.5268,9.9486,8.2545,4.6656,12.9798,9.1308,12.789,9.9313,10.2798
10.7116,8.2951,9.3087,7.6812,11.7906,8.133,7.7396,6.0372,9.1448,6.3564,8.8595,5.3255,9.2521,8.3656,7.5391,7.531
10.5117,9.2731,9.7611,7.2241,9.089,9.1292,3.5181,7.0657,6.2461,8.3016,6.2286,5.2065,8.7785,8.2833,8.6541,7.365
10.251,8.7815,9.6669,8.2905,9.3878,7.5407,6.2089,6.8215,10.2965,9.4975,5.1268,12.223,9.0341,11.9448,10.2116,9.2939
10.3313,8.6359,8.9769,8.2702,9.4349,6.6465,9.1481,6.9307,8.2527,8.7781,11.0029,12.8604,9.6161,9.4902,9.6518,8.8718
9.7521,9.134,8.5396,9.9206,6.801,5.8006,2.8476,6.2648,10.3819,9.2935,7.5715,13.3603,9.4143,11.7493,10.365,9.343
10.6242,8.4841,9.7804,8.3453,9.2044,7.5177,7.8698,6.9738,3.7298,9.3368,5.6745,5.3604,8.4886,8.9249,8.3797,7.9287
9.5305,8.8401,7.9855,9.2947,7.2849,7.7132,9.1997,6.3605,9.4121,10.0719,5.3882,12.0754,10.7189,11.1682,10.0754,10.8558
10.828,8.7175,8.4881,9.4695,8.976,7.4702,6.4745,5.7264,11.7719,9.3897,4.7203,12.1631,10.3335,13.5164,9.1524,10.3207
10.8125,8.7778,6.8216,13.4662,9.2016,8.1689,8.3678,6.6712,10.9702,8.3276,5.8961,12.8863,9.4943,12.7153,8.9102,9.1681
11.0857,9.2654,9.7123,6.8871,11.2279,7.4517,4.2499,6.7439,5.5395,9.3042,4.8696,5.0304,9.2844,8.2417,8.6834,8.1032
9.8613,9.1256,9.4937,9.9689,8.7446,8.3472,8.6283,5.5979,10.3931,9.4687,6.1287,14.1503,10.7548,13.5806,10.5801,9.7975
10.239,9.2367,9.2171,7.9576,7.5735,6.9128,3.2404,6.4278,8.2257,9.6939,5.661,7.6098,7.0037,10.6804,8.3647,8.1639
9.9379,9.0848,8.7951,10.5135,6.2465,5.2875,5.9209,6.5943,10.7027,9.5981,5.7103,14.2875,9.7464,13.1077,9.0615,9.4716
10.3559,9.802,9.0288,9.4933,8.7333,6.7634,8.1414,7.244,8.1389,8.469,5.4561,13.7924,8.9702,13.1647,9.4801,9.0562
10.0374,8.7298,9.6331,7.9548,7.4826,7.8758,9.7418,6.8328,9.4539,9.0811,5.6585,12.5467,9.7392,12.0015,10.03,9.5161
9.7018,9.4444,8.8816,9.6106,7.7057,7.0884,3.1697,7.113,9.379,9.8545,5.5724,13.773,11.6053,13.7664,10.0893,8.2132
10.1254,8.8494,9.6342,8.8567,8.1332,7.3516,8.9822,6.9637,9.5328,8.881,5.4658,10.9161,8.2084,11.9236,10.2134,9.6909
9.9156,8.8102,8.9495,8.8804,7.8245,7.2108,5.9249,7.5802,9.0032,9.2812,5.5095,12.5006,10.2861,12.0267,10.7078,10.5624
10.1322,9.5611,9.6354,8.7057,8.3821,7.5096,3.2454,7.6008,5.3993,9.5254,5.2545,13.8195,9.3068,12.6125,9.4244,9.3371
10.681,9.3899,9.4285,8.2033,9.0323,4.8963,3.4315,4.7707,9.5047,8.6014,5.7013,10.0185,6.6258,12.0551,8.6566,9.789
9.3947,9.0499,9.9223,4.2641,7.7237,6.2737,2.6787,3.346,9.2736,9.5188,5.2605,8.2524,9.2876,9.9491,9.8081,9.0017
9.2209,9.1513,9.5413,10.1458,8.9736,8.7439,6.575,7.5919,8.4442,9.0708,5.6077,11.3642,9.6368,13.6554,9.7423,9.1175
10.9649,9.4754,9.4044,8.9645,9.0318,7.4622,3.2547,7.3383,5.0787,8.7589,4.9683,13.4346,7.6139,12.6882,8.8404,8.1827
