"215729_s_at","213201_s_at","1007_s_at","203963_at","205440_s_at","206754_s_at","212956_at","214164_x_at","1053_at","204508_s_at","205029_s_at","205225_at","212960_at","117_at","121_at","1316_at","209173_at","209603_at","1294_at","209604_s_at","1255_g_at","Class"
1.8945,4.8261,12.0125,7.7502,5.8714,6.3841,10.5317,8.3473,8.3706,4.1328,13.6065,7.6136,8.7878,7.5099,10.5047,7.8796,12.1989,7.5922,8.3223,11.4554,6.609,"1"
10.5956,4.3345,11.1958,7.0838,6.831,6.7498,10.1753,7.5039,8.5326,4.7115,9.5716,8.4559,8.5951,8.0492,10.1873,7.3467,3.0943,6.7856,9.0845,10.1851,4.7842,"1"
8.0793,7.3113,11.5379,8.9223,9.2353,5.48,9.7544,9.6233,8.6753,5.852,10.2186,7.8963,8.3719,7.9931,10.5404,7.2883,8.6453,7.3408,9.0678,10.699,2.4833,"1"
10.2683,4.0866,12.2426,8.1957,8.8528,7.1052,9.7492,9.2567,8.6863,5.6595,7.0262,8.15,8.2607,9.017,10.358,7.724,6.9472,8.4789,8.1464,12.1241,3.8942,"1"
1.6071,8.9135,11.7422,12.1092,11.7697,7.0218,12.6052,12.2213,8.3868,10.076,5.3168,12.7341,10.1141,7.0016,10.2935,7.5293,12.8912,11.1457,8.5742,14.3155,6.3874,"2"
3.94,6.5507,12.1271,11.6731,7.0192,8.3354,12.7904,11.885,7.2132,8.0906,3.2306,12.9117,10.6801,7.9736,10.9648,8.5276,10.1942,10.9915,9.4323,14.9286,6.1438,"2"
1.5849,7.5989,11.9852,13.0861,3.2194,8.2143,13.3609,13.5777,7.7999,11.4458,0.7843,13.8611,10.7132,8.0232,10.4751,7.0972,14.6352,11.4351,8.6265,14.3454,6.0201,"2"
3.4418,8.3551,11.831,12.2741,14.3158,12.9351,12.8879,12.6334,7.5973,9.7068,3.3148,11.6071,10.1562,7.9636,10.3086,8.3119,13.5063,11.157,9.2248,14.4465,3.9819,"2"
2.2721,5.1455,11.9298,11.9837,9.9379,11.1861,11.3677,12.2108,6.9393,9.3395,3.6023,12.9999,8.4909,8.6826,11.1207,8.8439,10.5679,11.0987,9.045,14.404,7.2069,"2"
2.6906,8.8349,11.5563,12.1658,12.9115,10.1335,13.2225,12.3533,8.5456,9.8688,8.183,14.1548,10.0517,7.1632,10.3012,7.781,13.1252,11.3986,8.6548,14.3343,6.4049,"2"
4.5106,9.4362,12.3898,11.7799,9.6092,8.3816,12.177,11.7466,8.2476,9.4071,5.171,11.7896,8.2661,8.0326,10.5134,7.9979,15.2752,10.7427,8.1164,14.2872,5.3924,"2"
2.1948,9.4897,12.2223,12.0982,10.9252,13.0941,13.0678,12.6511,8.2085,10.1436,3.2335,13.1663,10.6223,6.9243,10.6213,7.6972,11.7927,12.036,8.1863,14.4551,6.4243,"2"
10.8661,7.8973,12.2161,7.3925,3.8593,5.3369,9.2101,7.8891,8.3784,3.1318,7.5902,7.4166,8.3023,9.2722,10.2165,8.0228,3.553,7.7591,8.6948,11.528,6.3052,"1"
6.6686,3.9969,11.3958,7.9611,10.7432,6.7483,8.8312,8.2866,9.0461,4.7862,7.1734,8.6856,7.99,7.7128,10.5946,7.8164,8.3373,5.3853,9.7664,9.4435,5.9523,"1"
2.6082,5.7185,11.9744,11.8307,13.0675,9.9301,12.2257,12.2398,8.3758,9.3766,2.1234,12.0832,10.2502,7.0766,10.8679,8.2426,14.1774,10.4631,9.6753,14.7315,6.8361,"2"
6.1628,4.6241,11.7052,8.0296,5.6536,4.486,8.6669,8.1543,8.1315,3.5843,7.3938,8.1952,8.4119,8.3681,10.8449,8.0314,6.6653,7.2157,10.0139,11.3759,3.8701,"1"
3.5924,8.756,12.7443,11.5362,1.9116,5.5528,10.5998,11.4492,8.4647,8.9374,5.3151,10.719,8.7242,7.8223,10.5702,7.9954,11.7801,9.6384,9.6306,14.1977,5.4462,"1"
1.6383,9.4491,12.2154,12.0082,11.46,6.7119,13.022,12.5708,8.3121,10.1122,5.6973,12.9374,10.5886,7.2899,10.1917,7.8315,14.2068,12.2846,8.3476,14.8685,6.2535,"2"
2.9893,10.0338,13.312,13.321,14.7333,13.6082,13.4395,13.7442,7.8254,11.2929,3.8335,12.5191,11.0586,6.9466,10.4662,8.022,12.4865,11.2264,9.5929,14.8729,6.848,"2"
1.7282,5.5353,12.2111,8.8828,4.6527,3.9488,8.8364,9.882,9.0572,6.8452,4.0575,3.6784,8.2816,8.5728,10.062,7.0238,11.402,7.164,9.6644,11.1143,6.2139,"1"
3.1802,7.0928,11.175,11.0726,10.6663,10.7713,13.5637,11.2563,7.5085,9.1324,3.8768,12.0389,10.8038,6.6375,9.8587,7.558,13.3625,11.0791,7.6266,14.2505,5.1536,"2"
9.8613,4.0524,12.1514,8.5622,4.3719,6.3018,11.359,9.4506,8.1922,7.0044,5.7111,8.2599,8.3448,7.162,9.8131,6.1357,14.1808,7.8118,7.8944,11.6584,5.6407,"1"
2.6362,4.1395,11.4223,11.5175,11.5748,8.5557,12.5382,12.0394,7.4375,9.7578,2.5227,13.6226,10.4601,7.9292,10.0836,6.9798,13.2253,10.6735,9.0406,13.9018,5.4157,"2"
3.3684,2.9514,12.0307,10.3906,2.8139,4.495,11.1295,11.076,8.4269,8.353,3.8878,10.8245,8.1114,7.7089,9.721,7.1219,13.6606,9.0168,8.5239,12.9159,4.8613,"2"
8.5637,8.2043,12.7472,11.86,2.9088,6.8992,9.6608,12.7615,9.0996,10.3654,3.4613,7.4097,8.8188,7.3965,10.1024,6.777,13.5065,8.0759,9.1688,12.7958,5.4298,"1"
-0.4146,4.5086,11.2817,12.4411,6.9738,12.1784,12.2744,12.7348,8.9329,10.7588,2.2075,13.5035,10.1967,7.7798,9.6646,7.7264,13.0059,10.629,7.6899,13.7334,4.9849,"2"
5.1159,9.8769,13.2494,11.8202,4.8975,13.1538,10.9664,12.2847,8.3434,10.1203,2.5782,12.0186,9.4758,8.0536,10.0269,8.1692,12.3969,10.7869,8.9744,14.2651,6.5806,"2"
4.824,9.7626,13.9012,12.7794,8.1088,10.4051,12.3577,13.5292,8.0363,10.8232,6.1219,13.483,11.1463,8.07,10.1831,7.5931,14.4849,11.1849,8.8238,14.5038,4.6155,"2"
2.5159,11.0877,12.8156,11.7608,7.383,13.6021,11.6939,12.8285,7.6095,10.2651,4.7032,12.1408,10.3844,7.8763,10.0088,7.5027,12.7312,10.725,10.1426,14.5693,5.1124,"2"
1.701,7.6053,13.0941,12.1047,9.63,8.7143,12.2083,13.0173,8.2012,10.1747,5.6457,12.2749,11.3707,7.7559,10.3299,7.3013,15.0447,10.7588,10.2102,13.8295,4.7353,"2"
2.6172,5.074,11.3834,9.659,5.048,8.8027,9.8368,9.9437,9.0703,7.6257,1.8203,7.7153,8.438,9.1601,10.0044,7.6541,14.1475,7.6964,8.1921,11.0267,5.6649,"1"
2.7682,8.6156,12.129,11.8247,9.2967,11.1075,12.9762,12.2478,7.4496,10.746,3.9006,13.0559,10.5611,8.8902,10.7078,7.4945,12.1792,10.9914,10.1611,14.3148,7.6729,"2"
3.7095,10.7164,12.773,13.5149,6.5173,13.7228,10.3379,14.0764,6.7233,11.6026,3.7642,14.0098,10.3516,7.9394,10.25,8.4165,12.8061,9.569,10.0817,13.8379,6.2095,"2"
0.816,8.5691,11.8927,12.1587,7.4954,14.6157,12.5246,12.7134,8.0734,10.7002,4.1736,14.0217,10.062,7.7017,10.047,7.4058,13.0796,11.3047,9.781,14.4673,3.2102,"2"
3.267,8.5687,11.6298,9.5252,7.8973,13.6878,12.7891,9.4755,9.2991,7.4145,0.9597,12.5402,10.1193,5.5157,10.3062,7.1694,11.3817,11.802,7.5662,14.3213,5.0891,"2"
2.7492,9.9305,12.3467,11.466,6.6514,8.8658,9.9531,11.4074,6.9379,9.0546,2.3956,10.9442,8.4802,8.1185,10.6482,8.8043,10.4101,11.272,8.6094,14.8717,6.9164,"2"
8.8624,4.3715,11.6358,8.0705,7.758,5.4812,7.9427,8.871,8.4829,6.5162,2.6561,7.2509,7.8309,7.9534,10.0925,7.9352,5.1813,7.3315,8.8942,10.5023,6.1355,"1"
3.1297,5.3789,10.33,9.8024,9.3266,8.8766,11.4561,10.6555,6.5923,8.0046,2.4842,7.895,8.7074,8.3097,10.6239,8.1461,11.0196,8.0909,8.9825,11.6816,5.4715,"2"
11.5796,6.8551,12.1404,8.3039,8.818,5.8111,9.2672,8.0169,8.2031,4.5782,3.6974,7.4147,9.0729,8.8399,11.3086,8.9099,4.8882,7.3256,9.5427,9.708,7.7022,"1"
5.9483,10.0048,13.0893,10.7601,6.6191,5.6429,12.6507,11.6343,5.6899,7.6451,5.53,12.2433,9.9546,7.4396,10.7778,9.2577,14.8508,10.5622,8.8424,14.9933,5.6582,"2"
1.8744,5.1845,12.2036,11.9975,7.4243,10.7595,12.2621,12.161,7.3499,9.2572,5.6322,13.2485,10.0258,8.0411,10.9716,8.1226,12.5355,11.2837,8.6703,14.936,7.1035,"2"
6.9551,4.8678,12.0666,11.0794,8.0617,8.531,11.265,11.8167,7.8288,8.5738,8.2717,10.2287,8.9229,8.7373,10.63,8.3098,12.9134,10.0573,10.4539,13.3445,6.2158,"1"
0.7577,7.7128,12.7526,8.9283,2.8346,5.6632,8.7523,9.1091,9.3658,5.1272,4.9701,6.2819,8.1439,7.2033,10.4761,7.0516,12.0552,3.7156,8.7093,8.305,5.1883,"1"
5.8246,8.5678,12.8956,10.8238,3.5207,6.7752,10.4149,11.3181,7.9326,8.7904,1.4162,5.8987,8.5516,8.2136,10.1922,7.7264,10.5774,9.2016,9.3062,12.8519,5.2942,"1"
4.9343,8.1794,12.4378,8.2676,3.8875,5.9518,8.948,7.8265,7.9344,4.5907,4.9012,7.3404,8.4621,7.3127,10.5937,8.1776,12.427,5.1312,8.6848,10.5326,6.1852,"1"
3.4363,10.3548,11.9015,12.189,7.0303,12.9648,12.7044,12.7039,8.7145,10.3686,1.0188,11.8458,10.4334,6.5302,10.1871,7.3414,10.898,10.78,8.4655,14.1947,5.2615,"2"
9.9681,5.4413,12.326,7.8912,6.4124,6.2562,7.7249,8.643,7.5579,3.6682,5.5632,7.8375,8.2011,8.2514,10.6992,8.3991,7.4995,6.9875,9.2367,9.724,6.5959,"1"
1.4841,4.9083,11.7169,14.8948,7.5555,14.6779,13.929,14.8983,8.1215,12.795,2.765,14.1295,11.678,6.5229,10.4799,8.0828,15.2201,11.9385,9.2466,14.996,6.6469,"2"
13.2827,6.2957,11.6612,8.0651,6.0477,4.5939,7.9109,7.6351,8.8958,3.4802,6.1161,7.9667,8.4441,9.9619,10.7859,8.0212,5.2211,4.6863,8.4762,7.3236,7.0617,"1"
2.2872,7.2599,13.1617,11.073,7.8241,12.6124,12.7331,11.6794,5.3555,8.475,4.7228,11.1843,9.8244,5.3663,11.0304,8.6182,12.2167,10.4262,9.4998,14.627,7.4018,"2"
6.1705,7.2673,12.7796,12.2047,2.0402,4.976,11.2042,12.4894,8.356,10.3336,5.9818,7.2503,9.5143,5.2388,9.7685,7.9792,12.9578,10.7034,8.4502,13.8973,6.5849,"1"
1.4321,9.1157,12.8244,11.9398,10.9699,8.7579,12.2626,11.9407,8.0495,8.8656,2.4673,12.9698,9.8656,6.2341,10.6172,8.1041,14.0638,11.411,8.9927,14.4276,6.5377,"2"
2.9005,9.3687,11.3217,11.6818,8.5508,9.9181,11.2163,12.1756,7.9271,9.4682,6.1694,11.7818,8.7717,7.7589,10.5197,7.6715,11.462,11.0567,9.1694,14.5758,4.2561,"2"
10.6022,8.2513,11.3358,7.8811,6.9938,7.0876,9.4619,7.7479,9.3691,4.3129,6.898,7.9329,8.218,8.3139,10.6199,7.4075,5,7.2876,9.5037,10.2403,6.1752,"1"
4.7159,9.6292,12.1187,11.8006,8.4114,9.8341,12.8769,12.7763,8.1785,9.737,2.8086,10.8334,10.1834,7.5536,10.3438,7.384,12.0111,11.3628,9.0085,14.2774,5.9128,"2"
2.7434,9.2596,12.2341,10.976,8.3107,10.1617,11.248,11.213,8.512,8.0685,0.6985,12.0949,9.2464,8.032,9.9146,8.8592,14.8517,11.0086,8.4844,14.3484,4.9786,"2"
1.8943,4.7466,12.3349,13.7843,5.9828,8.2991,13.3934,14.4136,8.615,12.238,5.9964,12.9905,10.9715,7.0662,10.2843,7.4229,15.1107,11.2769,9.0752,14.4267,5.7919,"2"
8.7336,4.6352,12.1046,10.6024,8.593,10.355,11.6239,11.5448,7.6096,8.4227,8.6976,12.652,9.6075,7.1057,10.2708,7.3841,13.8721,10.3587,8.5409,13.9074,6.5307,"1"
1.4228,8.4889,11.6775,12.1372,9.2034,14.0049,12.1265,13.1194,7.7698,10.106,8.617,11.202,9.4588,7.6795,10.5458,7.9936,13.8655,9.6543,9.2096,13.6494,5.4783,"2"
7.4765,5.4459,12.8251,9.3087,6.4987,5.7331,9.5934,9.708,8.0386,5.2147,9.2697,8.8311,9.2432,7.8439,10.2954,7.1581,11.2346,8.9991,8.5503,12.9684,7.4171,"1"
2.6406,4.8171,9.0519,7.4954,6.6908,7.647,10.9837,8.2237,8.1997,4.5194,2.6419,8.0794,8.9648,7.7855,10.6594,7.2745,3.4551,6.966,9.9925,9.7665,6.7714,"1"
6.3434,9.1956,12.0038,9.4839,6.8544,7.4808,10.5981,9.8416,9.2597,7.1318,3.134,8.1639,9.0827,7.5193,10.3678,8.2007,14.4541,7.8156,8.7714,12.6122,6.2126,"1"
2.7467,9.4916,11.0649,12.2494,10.7608,7.9622,12.9209,12.8993,8.4225,10.3476,6.0022,11.995,9.9301,7.6146,9.1654,6.8978,13.1825,10.9685,8.589,14.3931,4.7903,"2"
6.5546,8.6107,11.257,12.2392,1.3456,12.5008,12.2946,13.035,7.8519,10.788,6.3639,10.2914,9.9232,7.4249,9.0598,7.6229,13.762,9.8598,9.3089,13.7352,6.0069,"2"
4.2245,6.2087,10.4539,7.9268,5.9659,6.8735,10.3561,9.8019,8.1741,7.5743,2.3719,10.0307,8.4213,8.4277,9.2309,6.6223,13.5943,9.2359,8.6534,12.7592,4.6786,"1"
1.2579,8.511,11.6801,12.3648,9.1349,11.231,13.6283,12.908,9.0948,10.3959,-0.252,12.9166,11.7053,7.0226,8.339,6.6701,12.6767,12.0863,7.8656,14.9263,3.159,"2"
4.9697,4.2844,11.5621,12.3251,14.0911,12.0609,12.3058,13.1264,8.6892,10.3555,4.9878,12.2656,9.4515,8.7898,9.2185,7.6513,13.7037,10.3972,9.4366,14.1932,5.6917,"2"
5.4411,8.1425,9.9731,10.0077,9.7605,9.9181,11.3646,10.2122,8.6738,6.4935,1.0795,11.8145,9.0806,6.4079,8.7011,7.0615,13.1267,10.003,9.7739,13.2399,6.0851,"2"
7.4804,6.7405,10.8753,2.8155,8.0506,3.5907,7.2423,7.0129,8.3727,3.9804,10.8376,3.8104,7.0533,6.9672,8.5734,6.9573,3.9791,7.1924,7.8764,9.582,2.9456,"1"
2.5081,7.3482,12.2256,12.4701,1.8522,7.9438,12.9655,12.9575,8.8031,10.9673,1.2044,12.5353,10.2371,8.1089,8.5361,3.4466,13.2287,11.7446,8.7821,14.956,6.2796,"2"
1.5728,8.5078,11.7194,12.6421,8.6838,11.9917,12.9782,13.1537,9.2548,10.9712,1.8882,13.422,10.7038,7.5005,8.5366,6.4119,13.7975,11.5473,9.2607,14.674,6.1188,"2"
5.4503,9.6882,11.5853,13.1886,5.3428,10.0849,13.6062,14.0839,8.7691,11.6516,4.7455,12.5867,11.0206,5.7518,9.1967,7.1994,14.0062,11.8294,8.8812,14.9417,5.5916,"2"
6.9009,6.8693,11.0264,10.9067,10.0018,9.049,12.5998,11.6268,7.8698,8.9403,7.0772,11.8206,9.6936,7.7956,9.363,7.7694,13.6401,9.5336,9.369,13.671,6.4745,"2"
7.8752,5.2608,11.3208,10.7021,1.2487,6.0737,11.6962,10.7241,8.3444,8.6209,1.3933,9.17,8.9946,7.3242,9.3491,7.2297,11.5668,10.0765,7.8612,13.839,5.9859,"1"
9.051,3.5246,11.0071,6.5338,8.3657,5.1177,8.976,8.2308,8.2161,3.3617,8.191,7.0398,7.1155,4.9808,8.4744,6.1991,8.0232,6.457,8.7898,9.9527,6.579,"1"
1.4502,8.2365,11.0788,13.3377,7.4793,11.4973,13.0948,13.3777,9.8339,11.5707,5.0397,9.6024,11.3319,7.859,9.1951,7.9584,14.1877,9.9781,8.6397,14.0026,5.759,"2"
1.135,6.5549,10.6582,10.4313,5.0689,5.4899,10.866,10.8956,8.7218,8.1877,5.0809,11.0475,8.8849,7.2115,8.9446,6.756,10.9805,9.5281,10.141,13.3156,5.2425,"2"
5.199,7.118,11.6867,13.8283,5.9463,3.0643,14.3211,13.9203,7.8849,11.9468,5.8716,12.7629,11.7982,7.8478,9.0146,6.6863,14.4754,12.4544,9.6084,15.2349,6.0089,"2"
5.2731,8.3088,10.8107,13.074,13.0567,9.8656,13.7081,13.4985,8.1872,10.9283,1.1215,12.8106,11.7758,7.4594,9.0434,7.1327,14.886,11.9442,9.2191,14.9183,5.8772,"2"
5.4453,3.7996,10.4926,4.6608,7.8199,2.4356,7.6085,6.5685,9.4877,3.5299,12.0569,6.3992,6.5165,7.8447,8.151,6.6808,6.7552,6.7758,8.609,10.0017,2.857,"1"
10.5501,4.246,11.2444,7.828,5.6925,5.9063,7.8995,8.8265,9.0395,6.4021,7.5897,7.5145,7.9606,7.8213,8.6443,7.7637,4.0842,4.6637,8.8878,10.3415,6.3307,"1"
3.1645,8.4874,11.3286,10.7427,8.5176,8.319,12.346,10.9554,8.5836,8.3631,3.2923,12.3486,10.0879,10.8994,10.2326,8.8445,14.7441,10.8329,8.6831,14.0905,7.6195,"2"
2.2442,11.184,11.467,13.7544,13.5373,14.507,14.4063,13.7563,8.6341,11.7365,5.4527,12.6635,11.7574,7.5481,8.7837,7.5046,13.9515,12.2991,9.6369,15.0195,3.9129,"2"
4.0078,10.0626,10.8638,11.8654,14.3681,6.4488,13.5991,12.3503,8.9588,9.9419,2.1345,14.0632,11.2822,7.1194,9.0359,6.5766,15.71,10.476,9.6063,13.773,6.4596,"2"
5.3496,5.6223,11.4372,10.797,11.5708,7.2043,12.5977,11.0469,7.9948,8.7742,7.4674,12.1359,9.9247,8.9652,9.5543,8.3338,13.3759,9.3952,9.2207,13.6573,7.734,"2"
1.8686,8.902,10.7467,10.5987,3.014,9.2064,10.228,11.4131,9.2031,8.8494,2.1248,10.2524,8.0714,6.8035,8.6608,7.2404,13.3574,9.4884,9.731,13.186,3.2901,"2"
6.1776,7.6729,12.1157,11.4559,6.8477,10.1785,13.0467,11.6872,7.9863,9.1732,2.619,12.9502,11.0139,9.3651,9.4216,7.6162,15.6894,11.1543,7.5062,14.7152,6.5618,"2"
9.396,5.3577,10.9493,7.6876,6.7691,2.815,9.441,9.1538,8.6641,7.3977,7.6532,8.3734,7.7009,8.1691,8.7642,7.361,8.2217,7.668,9.6722,11.7681,4.543,"1"
5.6724,8.1957,10.8874,12.7582,10.2548,12.4693,13.1114,13.0672,8.9912,10.2045,3.3703,12.3648,10.3256,5.055,9.5064,7.1626,12.8316,10.2034,9.6594,14.2836,6.8145,"1"
2.7471,11.2562,11.3958,11.7433,9.3713,9.2609,12.4623,12.4113,8.7964,9.9137,1.1519,12.4009,10.1567,6.5209,8.6307,7.1752,13.0504,12.0558,8.4064,15.0045,5.0247,"2"
8.726,3.3696,10.4125,8.4484,7.4758,3.5391,11.2233,9.3508,7.9602,5.4341,10.1013,9.3602,8.7271,7.8744,9.2398,6.938,10.2521,8.2222,9.4794,11.7642,7.3331,"1"
2.2476,7.7779,10.9733,12.2367,9.6006,7.3898,11.9581,12.7731,9.7423,10.4918,3.5651,12.5568,9.4933,7.4428,8.3553,6.5985,12.9753,9.9061,7.3518,14.0287,6.0301,"2"
1.9478,9.2794,11.9543,11.8789,7.4398,8.8301,12.8542,13.0116,9.0305,10.356,2.285,11.5745,9.8661,7.5594,8.9145,6.3781,14.3954,10.3189,8.5893,14.4412,6.416,"2"
6.1308,7.4751,11.6233,13.5676,8.8419,10.0982,11.4698,13.9149,8.2703,11.4213,3.4701,11.3717,8.7772,8.14,9.2847,6.8366,13.7937,10.5788,9.531,14.1005,5.8938,"2"
3.174,3.9101,10.5767,11.7728,11.1015,10.4567,12.0226,12.0102,8.9054,9.8751,2.5537,11.1494,9.3381,6.9691,8.5916,6.7439,13.6344,10.5111,8.237,14.2047,3.4296,"2"
5.6502,7.8935,11.4375,11.6557,0.7447,9.0095,12.7002,12.1311,7.9564,9.7861,1.7207,12.1828,10.1287,6.7612,9.0276,7.166,13.0409,11.2168,9.2387,14.7614,5.9875,"2"
2.5696,4.2828,11.6268,12.4714,4.8423,12.1128,13.6442,13.1068,8.0073,10.6719,5.527,14.7744,11.1524,7.1604,9.3056,5.9092,14.2911,11.4996,9.0741,14.8724,2.7648,"2"
3.621,10.3992,11.4041,13.452,15.1813,7.1043,13.2354,14.0103,8.7849,11.8875,-0.09,13.3059,10.9948,8.1964,8.5677,6.6631,15.7265,11.5555,9.7455,15.1204,3.2988,"2"
5.5826,9.9986,10.7539,13.7906,14.2297,7.7708,11.5862,13.9384,8.6856,11.3125,2.8986,12.3296,9.4518,6.9133,9.7126,7.1716,15.2493,9.9595,9.6322,13.769,6.4256,"2"
