"V2","V4","V9","V15","V18","V19","V20","V22","V23","V26","V27","V31","V32","V34","V37","V40","V42","V45","Class"
67,77,70,74,65,65,73,75,76,66,65,67,76,63,64,76,72,64,0
71,74,56,64,71,68,72,79,78,63,60,74,67,67,64,83,74,54,0
64,71,78,70,75,76,73,80,78,74,70,75,77,65,72,71,68,57,0
76,68,75,75,63,67,59,67,72,56,56,68,73,65,67,77,74,61,0
74,72,67,71,65,69,79,81,80,60,62,69,75,66,66,66,62,56,0
65,69,66,75,64,62,73,77,74,66,59,69,76,65,60,69,69,57,0
59,70,74,73,74,67,78,75,73,67,64,75,76,59,69,65,61,55,0
76,73,72,73,69,70,60,66,76,65,64,71,77,61,70,73,62,59,0
71,78,72,74,66,67,66,78,80,67,72,65,77,61,66,77,78,59,0
80,75,75,70,67,75,74,74,77,61,58,63,75,66,61,69,65,58,0
68,66,82,65,72,77,69,72,78,69,69,63,66,58,69,77,69,64,0
67,73,73,72,70,68,65,79,68,62,66,69,70,65,67,69,70,59,0
72,67,81,80,70,77,69,73,79,56,58,68,69,62,70,74,71,65,0
62,78,74,72,63,67,54,71,71,54,57,64,75,62,64,72,62,65,0
69,74,73,77,66,70,67,76,72,56,61,73,76,58,68,70,64,56,0
59,53,69,70,72,70,70,75,78,71,71,71,71,62,73,64,70,49,0
66,63,72,71,71,69,65,76,78,65,64,71,73,58,71,77,79,66,0
62,66,71,75,71,68,58,65,66,64,70,72,71,67,71,70,75,59,0
71,69,73,76,74,71,58,76,78,68,66,68,71,59,66,78,68,55,0
63,75,70,73,76,73,68,79,76,66,73,75,72,65,67,72,68,58,0
74,80,77,68,68,68,67,74,80,57,62,65,71,63,67,63,68,64,0
69,73,71,74,63,58,63,75,76,75,77,68,77,70,64,69,74,59,0
70,68,69,65,74,68,65,74,75,63,63,61,62,66,58,75,79,58,0
65,70,74,68,65,62,72,79,78,66,67,76,72,65,63,67,66,57,0
64,74,70,74,65,63,63,72,73,75,68,66,72,64,65,75,74,67,0
70,71,70,69,73,72,75,81,81,71,70,72,76,60,66,73,66,58,0
72,75,73,75,69,69,73,81,77,67,64,68,70,63,63,81,79,66,0
70,72,78,74,67,64,74,77,77,61,61,69,76,64,67,70,64,54,0
59,67,70,71,67,64,62,64,75,76,79,77,71,56,64,71,64,56,0
67,73,70,67,66,69,67,74,75,66,71,69,73,64,64,68,74,68,0
68,72,74,67,68,68,70,77,77,49,48,69,76,63,69,73,68,44,0
66,69,72,70,70,69,66,73,72,67,63,68,75,65,65,67,71,59,0
