"var1","var2","var3","var4","var5","var6","var7","var8","var107","var129","var187","var246","var248","var255","var422","var509","var545","var554","var566","var603","var742","var842","var1645"
-0.190676361,-1.513219055,0.824438566,-2.391416307,-1.112609798,0.591944675,2.101031786,0.405531773,-1.597509342,-2.887775132,-1.740116236,-0.725877005,0.21317402,0.699178953,-0.373385215,0.062693069,0.50095709,-1.328025453,-2.008424054,-2.662121269,1.603802061,-0.562294372,-1.311929279
1.321409113,0.495366749,0.041525747,-1.541779264,-1.627092848,-1.184170177,2.187813768,0.474244624,1.071789075,2.400491899,2.592766539,-1.292804018,0.404598066,-0.975244875,-0.429245637,1.748138422,0.589895551,1.284676832,-1.552585101,-0.350408902,-0.14792013,0.802315438,-1.654435278
-1.6820086053,-2.4395509481,0.6848125438,-2.1020962322,-1.6949958008,-0.9118008266,1.682204986,0.4671244885,-1.9696906777,-2.8490378944,-2.9818293684,-1.2559680994,-1.7837912996,-2.0226832079,-1.3692406066,-2.3538783874,0.227852447,-1.5297029444,-2.6736487744,-2.3655248928,-2.0272286702,1.0543120298,-2.6722005482
-0.3322611158,-2.2000285047,-0.4634650524,-2.6009911288,-1.2046396933,-1.0300194972,1.9691941044,-0.2447503051,2.3962029325,-1.9442115924,-1.2740376788,1.1576356291,0.4289863031,-2.167180456,-0.2019937926,-0.4164249483,1.1536684944,-1.5535302805,0.5089238165,-1.299016353,-1.1731203408,1.0884946105,2.0741148802
1.11123232,-1.98195192,0.223543471,-1.465770563,-1.20330636,1.506186283,1.584550781,0.415679431,-1.712024501,-1.330292171,0.409257906,0.681580544,-0.540082805,-1.935860813,-0.69254736,0.996321132,0.252236226,-1.043556083,-1.510497965,-0.012072581,-1.182537524,0.428074251,0.103097958
0.648724963,-1.386694441,-0.562645372,-2.00619108,-1.098112414,0.944644925,1.99456425,0.295873431,-0.245772669,-1.504177402,1.553206128,1.893277612,-1.031982206,-1.950520762,-0.588607001,2.01278077,1.665761533,-1.10473097,0.028684634,-1.089454351,-1.534794369,0.753065671,0.432042123
-0.2714151,-1.1254697428,-1.5380479163,-2.6493097061,-1.1485380974,-0.3553900555,1.8116928069,0.3444404063,-0.2840885369,1.865242246,1.7640284955,-1.061605563,0.2634406081,-2.0596389144,-0.4815904985,2.1908263746,0.1203574967,1.0514507975,-2.1777161109,1.6414209583,-0.8974689776,1.5112295369,0.3633227979
-0.445818462,-1.380312289,0.299289445,-2.739540868,-1.468806783,0.991657911,2.057783695,0.295054827,-0.750140902,-2.20183519,-0.579997083,-0.727531607,-0.071173819,-0.033556784,-0.780013114,1.274496503,0.540695057,-1.342851803,-0.560190953,-1.572142128,1.319967575,0.013902905,-0.781759839
0.259436907,-0.7826343471,-1.2779782176,-1.8898134097,-0.659132302,0.5876199843,1.4275562589,-0.2378765509,0.6163201304,0.8219360954,2.4286537082,-0.6794415335,-0.0795844793,0.0407579925,-0.3542493167,2.5618445425,0.5741947114,0.280884018,-0.5433488155,-0.1270382332,-0.7217524376,0.9926960631,-0.7062324201
-0.192493112,-1.063052113,0.203185712,-2.058071516,-1.285906187,0.663821351,2.358870904,0.304317926,-1.091239534,-2.424752727,-1.850236399,-0.916790857,0.030432207,0.615293741,-0.133874309,-0.601845022,0.184070027,-1.124237836,-2.024196067,-2.091514123,1.6970641,-0.19723217,0.47162731
