"var842","var1645","var1","var603","var2","var545","var509","var3","var8","var187","var246","var4","var7","var129","var248","var255","var554","var742","var107","var566","var6","var5","Class"
-0.562294372,-1.311929279,-0.190676361,-2.662121269,-1.513219055,0.50095709,0.062693069,0.824438566,0.405531773,-1.740116236,-0.725877005,-2.391416307,2.101031786,-2.887775132,0.21317402,0.699178953,-1.328025453,1.603802061,-1.597509342,-2.008424054,0.591944675,-1.112609798,"3"
0.802315438,-1.654435278,1.321409113,-0.350408902,0.495366749,0.589895551,1.748138422,0.041525747,0.474244624,2.592766539,-1.292804018,-1.541779264,2.187813768,2.400491899,0.404598066,-0.975244875,1.284676832,-0.14792013,1.071789075,-1.552585101,-1.184170177,-1.627092848,"4"
1.0543120298,-2.6722005482,-1.6820086053,-2.3655248928,-2.4395509481,0.227852447,-2.3538783874,0.6848125438,0.4671244885,-2.9818293684,-1.2559680994,-2.1020962322,1.682204986,-2.8490378944,-1.7837912996,-2.0226832079,-1.5297029444,-2.0272286702,-1.9696906777,-2.6736487744,-0.9118008266,-1.6949958008,"1"
1.0884946105,2.0741148802,-0.3322611158,-1.299016353,-2.2000285047,1.1536684944,-0.4164249483,-0.4634650524,-0.2447503051,-1.2740376788,1.1576356291,-2.6009911288,1.9691941044,-1.9442115924,0.4289863031,-2.167180456,-1.5535302805,-1.1731203408,2.3962029325,0.5089238165,-1.0300194972,-1.2046396933,"2"
0.428074251,0.103097958,1.11123232,-0.012072581,-1.98195192,0.252236226,0.996321132,0.223543471,0.415679431,0.409257906,0.681580544,-1.465770563,1.584550781,-1.330292171,-0.540082805,-1.935860813,-1.043556083,-1.182537524,-1.712024501,-1.510497965,1.506186283,-1.20330636,"2"
0.753065671,0.432042123,0.648724963,-1.089454351,-1.386694441,1.665761533,2.01278077,-0.562645372,0.295873431,1.553206128,1.893277612,-2.00619108,1.99456425,-1.504177402,-1.031982206,-1.950520762,-1.10473097,-1.534794369,-0.245772669,0.028684634,0.944644925,-1.098112414,"2"
1.5112295369,0.3633227979,-0.2714151,1.6414209583,-1.1254697428,0.1203574967,2.1908263746,-1.5380479163,0.3444404063,1.7640284955,-1.061605563,-2.6493097061,1.8116928069,1.865242246,0.2634406081,-2.0596389144,1.0514507975,-0.8974689776,-0.2840885369,-2.1777161109,-0.3553900555,-1.1485380974,"4"
0.013902905,-0.781759839,-0.445818462,-1.572142128,-1.380312289,0.540695057,1.274496503,0.299289445,0.295054827,-0.579997083,-0.727531607,-2.739540868,2.057783695,-2.20183519,-0.071173819,-0.033556784,-1.342851803,1.319967575,-0.750140902,-0.560190953,0.991657911,-1.468806783,"3"
0.9926960631,-0.7062324201,0.259436907,-0.1270382332,-0.7826343471,0.5741947114,2.5618445425,-1.2779782176,-0.2378765509,2.4286537082,-0.6794415335,-1.8898134097,1.4275562589,0.8219360954,-0.0795844793,0.0407579925,0.280884018,-0.7217524376,0.6163201304,-0.5433488155,0.5876199843,-0.659132302,"4"
-0.19723217,0.47162731,-0.192493112,-2.091514123,-1.063052113,0.184070027,-0.601845022,0.203185712,0.304317926,-1.850236399,-0.916790857,-2.058071516,2.358870904,-2.424752727,0.030432207,0.615293741,-1.124237836,1.6970641,-1.091239534,-2.024196067,0.663821351,-1.285906187,"3"
