"V2","V7","V9","V11","V25","V27","V29","V34","V41","Class"
23,64,46,28,60,56,59,59,39,"1"
59,44,72,56,58,54,53,71,46,"1"
72,64,75,67,53,35,71,57,61,"1"
68,36,55,56,61,32,26,44,59,"1"
62,66,79,55,58,49,86,58,58,"1"
37,49,20,32,71,76,59,64,22,"1"
75,58,68,62,70,43,51,67,66,"1"
65,56,60,63,77,53,69,62,69,"1"
72,59,68,56,73,46,65,58,48,"1"
69,71,74,67,69,64,71,59,76,"1"
62,66,67,56,68,64,68,53,48,"1"
47,71,79,39,73,74,64,65,43,"1"
64,43,73,63,61,17,61,57,74,"1"
69,63,72,66,76,63,70,62,69,"1"
55,74,67,66,68,75,73,64,66,"1"
64,71,72,52,64,71,64,56,70,"1"
54,56,67,61,66,67,58,61,66,"1"
65,63,76,58,63,67,66,56,71,"1"
69,60,76,68,68,63,70,55,65,"1"
73,66,61,68,75,59,56,60,72,"1"
68,70,75,58,74,80,69,58,67,"1"
32,53,54,51,49,19,42,61,31,"1"
76,34,50,37,43,23,77,48,39,"1"
60,45,55,61,54,47,80,72,53,"1"
64,65,64,59,69,59,40,71,65,"1"
65,67,72,64,46,48,27,62,69,"1"
71,69,75,64,62,48,50,64,65,"1"
55,77,73,69,72,60,58,69,66,"1"
76,69,80,56,47,46,80,60,66,"1"
70,69,76,68,68,44,48,57,73,"1"
64,70,74,69,69,65,75,54,71,"1"
76,56,67,58,45,48,70,39,49,"1"
54,65,72,50,69,78,67,67,61,"1"
68,64,71,53,75,67,53,66,59,"1"
64,61,74,63,62,55,56,61,65,"1"
40,67,75,71,73,63,69,57,66,"1"
70,69,65,72,65,68,64,67,65,"0"
66,72,77,66,58,61,60,58,75,"0"
68,70,73,68,72,63,61,70,62,"0"
64,66,72,63,58,53,58,64,72,"0"
58,70,71,63,85,71,47,50,73,"0"
61,79,71,77,73,67,61,67,66,"0"
73,73,75,66,67,60,63,59,64,"0"
56,76,73,54,61,64,60,65,73,"0"
73,69,81,62,70,63,66,66,76,"0"
59,73,68,55,75,69,61,65,71,"0"
74,74,77,67,63,61,63,65,68,"0"
72,59,66,66,67,68,68,56,68,"0"
75,67,73,65,73,69,69,61,75,"0"
59,66,76,67,76,69,66,57,78,"0"
64,64,73,67,78,62,72,65,72,"0"
