"V4","V5","V7","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V40","V41","V42","V43","V44","V45"
70,75,71,66,72,60,66,69,71,63,67,65,58,64,65,71,73,57,63
68,62,63,57,37,78,55,35,37,57,41,35,70,53,43,38,35,32,26
66,63,62,65,62,71,48,23,26,59,66,66,74,70,74,34,33,11,12
75,72,67,64,57,78,50,37,38,73,61,61,73,46,58,35,37,24,20
71,72,75,68,71,80,68,57,59,56,62,68,73,63,65,65,67,53,42
76,74,68,58,69,78,72,69,72,61,59,70,75,64,60,72,61,55,63
66,68,69,71,63,82,71,52,47,64,66,67,75,70,71,67,64,52,53
68,74,59,53,19,79,53,19,14,50,67,71,54,57,72,31,30,15,11
79,78,73,71,57,74,72,36,44,54,49,56,81,58,64,52,57,49,50
65,68,64,71,61,73,69,48,59,44,66,59,74,74,67,51,48,45,45
64,70,58,71,63,77,73,59,58,67,65,69,76,71,71,71,69,66,61
68,70,70,74,71,73,74,63,67,68,66,69,79,73,77,72,76,64,66
69,67,59,66,55,73,79,69,65,66,68,65,71,81,75,74,65,69,66
70,77,75,72,70,75,68,69,68,69,71,74,76,70,73,66,68,58,59
79,77,76,73,68,67,69,68,64,61,69,68,75,73,76,79,73,65,63
74,80,72,77,64,82,68,63,60,60,54,56,73,73,70,69,65,42,41
74,76,69,62,69,81,68,75,69,70,58,65,76,78,68,75,68,62,60
71,68,69,72,69,79,65,62,66,65,71,68,71,74,71,69,68,63,59
77,74,66,74,60,76,81,66,65,63,63,67,80,76,75,72,74,65,64
74,74,74,64,72,78,68,63,60,67,76,74,79,83,76,74,73,54,54
71,69,70,70,70,78,81,74,70,79,73,75,73,71,74,68,67,58,57
68,78,72,75,58,72,73,56,56,52,67,68,78,77,75,74,70,63,61
72,75,62,71,67,80,73,60,62,67,69,69,75,66,69,62,65,55,56
69,76,68,75,63,74,69,66,59,59,69,69,79,69,74,69,70,62,57
70,76,70,73,61,73,68,67,64,68,70,75,77,65,72,61,61,51,55
73,69,73,73,67,76,75,65,64,60,74,71,79,73,76,62,69,52,59
78,78,67,74,66,80,75,67,72,67,67,65,78,77,67,78,76,60,59
75,75,68,70,65,77,67,61,58,67,61,63,75,69,67,65,66,61,58
66,72,71,65,62,78,77,69,69,74,64,63,70,77,77,69,77,65,64
73,78,68,72,66,68,75,62,66,78,68,69,76,69,72,70,68,60,59
67,69,70,80,65,79,68,56,58,64,68,68,74,74,77,71,72,63,65
78,84,68,72,53,71,74,54,57,57,62,64,72,72,77,62,62,61,65
74,76,67,77,61,72,62,56,61,62,67,73,74,70,72,64,68,60,56
53,60,74,70,71,78,71,71,71,64,67,71,74,64,71,70,69,53,49
63,70,70,71,67,78,70,65,64,71,70,71,74,77,79,79,79,66,66
66,68,76,75,68,66,76,64,70,60,70,72,77,70,72,75,79,62,59
69,71,65,76,62,78,74,68,66,68,68,68,74,78,74,68,70,57,55
75,72,71,73,72,76,76,66,73,68,72,75,75,72,72,68,71,57,58
80,78,69,68,61,80,74,57,62,65,61,65,76,63,72,68,70,61,64
73,72,70,74,62,76,80,75,77,62,74,68,77,69,66,74,75,62,59
68,67,68,65,67,75,69,63,63,64,56,61,68,75,64,79,74,59,58
70,78,72,68,62,78,76,66,67,61,68,76,78,67,77,66,66,59,57
74,70,63,74,59,73,76,75,68,58,69,66,76,75,80,74,67,71,67
71,74,66,69,66,81,75,71,70,82,69,72,74,73,72,66,63,54,58
75,80,70,75,65,77,79,67,64,66,69,68,75,81,78,79,75,65,66
72,72,71,74,61,77,72,61,61,58,63,69,75,70,71,64,67,56,54
67,71,68,71,71,75,72,76,79,70,71,77,69,71,68,64,63,56,56
73,75,77,67,70,75,64,66,71,61,64,69,76,68,75,74,80,67,68
72,72,74,67,64,77,60,49,48,69,70,69,79,73,75,68,56,58,44
69,66,69,70,68,72,73,67,63,57,70,68,75,67,69,71,68,59,59
