"V2","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V16","V17","V19","V20","V21","V23","V24","V26","V27","V28","V29","V30","V31","V32","V33","V34","V36","V38","V39","V40","V41","V43","V45","Class"
80,82,77,74,74,73,77,64,61,73,73,73,62,66,68,63,61,75,70,59,64,63,69,66,66,70,77,62,60,67,66,74,71,71,62,1
63,66,55,56,58,69,74,44,48,63,60,76,73,73,66,68,63,74,70,77,75,70,71,71,67,75,73,60,71,65,62,70,69,70,61,1
70,65,62,68,67,77,74,62,61,66,61,69,64,62,71,74,70,78,69,67,65,67,70,49,48,73,71,65,73,75,71,73,72,70,64,1
61,58,62,56,60,67,75,61,57,64,71,56,66,62,76,71,75,84,69,69,69,69,71,49,43,59,64,56,64,70,73,69,70,68,62,1
70,52,58,75,89,70,72,26,30,46,55,54,40,40,37,35,17,52,66,23,46,8,31,17,20,49,72,61,31,40,23,31,30,67,57,1
75,54,51,53,50,68,69,46,55,11,12,43,61,60,77,46,45,59,65,54,60,55,66,54,41,53,52,58,72,33,23,64,54,46,52,1
77,62,68,62,58,72,68,77,71,76,77,72,62,57,74,61,58,76,69,56,53,57,54,69,70,73,79,65,66,67,66,71,67,60,57,1
75,75,79,72,68,79,77,69,66,73,77,67,57,58,69,67,65,68,69,58,54,68,60,67,66,75,78,63,68,72,69,73,61,44,37,1
78,71,72,65,71,75,74,70,64,65,76,65,59,57,65,73,73,80,68,59,44,62,63,62,59,71,74,59,64,77,76,62,67,42,30,1
69,75,74,78,72,75,72,61,57,72,71,75,70,68,62,62,66,67,74,64,68,62,62,64,63,75,77,66,69,62,63,64,59,75,67,1
72,75,67,61,59,64,63,61,67,75,76,66,61,56,68,68,68,75,69,68,71,70,68,48,47,74,79,63,62,64,67,56,52,83,73,1
64,70,75,70,71,74,71,59,60,62,68,70,69,72,69,61,63,60,62,69,71,62,63,67,65,62,58,52,67,61,56,64,65,73,63,1
72,68,62,72,63,79,61,57,49,76,75,55,43,37,52,57,56,78,57,35,37,57,57,41,35,67,70,75,53,63,62,53,43,35,26,1
79,66,63,69,62,78,70,72,71,73,78,75,68,62,71,68,68,71,52,23,26,66,59,66,66,72,74,56,67,66,69,70,74,33,12,1
66,75,72,69,67,74,81,67,73,76,75,69,58,57,74,56,62,78,55,37,38,65,73,61,61,73,73,61,67,60,71,46,58,37,20,1
65,71,72,67,75,76,83,70,74,70,76,70,63,71,76,72,73,80,69,57,59,59,56,62,68,75,73,65,69,66,70,63,65,67,42,1
71,76,74,71,68,67,68,69,75,75,74,59,71,69,74,74,72,78,69,69,72,63,61,59,70,72,75,61,70,59,64,64,60,61,63,1
70,66,68,71,69,64,61,68,67,50,53,73,73,63,73,80,81,82,67,52,47,67,64,66,67,66,75,58,65,71,67,70,71,64,53,1
73,68,74,56,59,73,76,54,48,75,78,47,25,19,56,56,54,79,47,19,14,58,50,67,71,63,54,49,66,62,58,57,72,30,11,1
68,79,78,63,73,68,78,64,71,73,77,67,58,57,63,52,64,74,53,36,44,52,54,49,56,73,81,65,53,63,70,58,64,57,50,1
68,65,68,63,64,77,73,75,72,80,77,70,61,61,68,63,62,73,69,48,59,62,44,66,59,75,74,64,63,70,69,74,67,48,45,1
62,64,70,59,58,67,74,60,66,68,68,73,60,63,74,64,65,77,69,59,58,58,67,65,69,78,76,61,64,72,74,71,71,69,61,0
62,68,70,65,70,73,77,69,70,69,73,71,71,71,75,66,67,73,70,63,67,58,68,66,69,78,79,69,71,72,71,73,77,76,66,0
59,69,67,69,59,78,73,66,65,77,73,74,66,55,66,69,68,73,80,69,65,69,66,68,65,75,71,59,65,73,71,81,75,65,66,0
75,70,77,67,75,75,75,67,66,74,73,68,64,70,70,67,63,75,72,69,68,75,69,71,74,75,76,63,71,66,63,70,73,68,59,0
77,79,77,74,76,76,81,65,68,66,66,74,72,68,73,63,62,67,76,68,64,64,61,69,68,73,75,70,64,70,70,73,76,73,63,0
68,74,80,76,72,78,75,67,64,75,80,78,66,64,67,70,60,82,70,63,60,64,60,54,56,70,73,59,55,50,51,73,70,65,41,0
76,74,76,60,69,76,76,68,69,78,79,57,69,69,66,73,69,81,58,75,69,73,70,58,65,79,76,74,66,65,62,78,68,68,60,0
61,71,68,77,69,77,69,64,75,71,81,75,71,69,73,61,71,79,64,62,66,61,65,71,68,67,71,59,66,60,68,74,71,68,59,0
67,77,74,67,66,67,70,65,64,75,78,66,62,60,65,73,72,76,74,66,65,65,63,63,67,76,80,63,63,73,72,76,75,74,64,0
71,74,74,76,74,69,56,68,78,71,78,58,70,72,68,72,71,78,67,63,60,67,67,76,74,67,79,67,71,70,74,83,76,73,54,0
64,71,69,72,70,75,78,61,66,69,68,68,71,70,76,73,72,78,79,74,70,72,79,73,75,77,73,65,72,59,62,71,74,67,57,0
76,68,78,71,72,72,75,61,65,67,70,67,60,58,67,59,63,72,74,56,56,52,52,67,68,73,78,65,61,69,74,77,75,70,61,0
74,72,75,63,62,67,67,73,74,75,79,70,64,67,69,79,78,80,71,60,62,69,67,69,69,75,75,66,67,71,73,66,69,65,56,0
65,69,76,62,68,65,66,65,64,74,73,60,66,63,62,73,65,74,69,66,59,68,59,69,69,76,79,65,60,69,64,69,74,70,57,0
59,70,76,62,70,65,74,65,67,75,76,70,63,61,67,78,69,73,70,67,64,79,68,70,75,76,77,59,72,64,64,65,72,61,55,0
76,73,69,67,73,74,72,60,65,73,66,66,68,67,70,60,58,76,69,65,64,63,60,74,71,77,79,61,71,62,63,73,76,69,59,0
71,78,78,68,67,75,72,67,68,72,75,74,67,66,67,66,66,80,73,67,72,67,67,67,65,77,78,61,63,51,57,77,67,76,59,0
80,75,75,69,68,74,75,77,77,76,78,74,66,65,75,74,73,77,68,61,58,60,67,61,63,75,75,66,59,77,74,69,67,66,58,0
68,66,72,63,71,77,82,61,63,61,62,61,65,62,77,69,73,78,74,69,69,77,74,64,63,66,70,58,65,75,77,77,77,77,64,0
67,73,78,63,68,72,73,61,59,59,76,71,69,66,68,65,77,68,71,62,66,70,78,68,69,70,76,65,66,62,72,69,72,68,59,0
72,67,69,69,70,74,81,66,70,73,78,69,65,65,77,69,70,79,64,56,58,67,64,68,68,69,74,62,66,73,77,74,77,72,65,0
62,78,84,64,68,72,74,53,57,71,70,71,54,53,67,54,57,71,70,54,57,54,57,62,64,75,72,62,60,64,67,72,77,62,65,0
69,74,76,70,67,69,73,68,75,75,76,71,58,61,70,67,72,72,56,56,61,57,62,67,73,76,74,58,64,66,76,70,72,68,56,0
59,53,60,72,74,67,69,64,67,64,65,71,68,71,70,70,70,78,72,71,71,67,64,67,71,71,74,62,72,57,57,64,71,69,49,0
66,63,70,69,70,73,72,61,62,68,68,70,71,67,69,65,65,78,71,65,64,68,71,70,71,73,74,58,68,70,72,77,79,79,66,0
62,66,68,73,76,68,71,62,62,63,68,74,63,68,68,58,58,66,65,64,70,63,60,70,72,71,77,67,72,63,63,70,72,79,59,0
71,69,71,65,65,76,73,67,66,69,79,76,63,62,71,58,66,78,78,68,66,69,68,68,68,71,74,59,65,73,71,78,74,70,55,0
63,75,72,68,71,69,70,64,56,70,75,76,70,72,73,68,68,76,68,66,73,58,68,72,75,72,75,65,66,58,57,72,72,71,58,0
74,80,78,70,69,74,77,69,71,73,76,68,62,61,68,67,70,80,68,57,62,57,65,61,65,71,76,63,67,70,74,63,72,70,64,0
69,73,72,49,70,66,71,57,56,64,62,76,65,62,58,63,63,76,78,75,77,51,62,74,68,77,77,70,68,59,58,69,66,75,59,0
70,68,67,76,68,76,69,67,64,69,65,62,70,67,68,65,65,75,64,63,63,64,64,56,61,62,68,66,62,57,48,75,64,74,58,0
65,70,78,65,72,72,74,64,69,71,73,72,62,62,62,72,75,78,72,66,67,62,61,68,76,72,78,65,67,64,67,67,77,66,57,0
64,74,70,65,63,70,70,57,57,64,64,73,65,59,63,63,62,73,79,75,68,60,58,69,66,72,76,64,63,63,65,75,80,67,67,0
70,71,74,68,66,72,70,66,69,74,72,70,64,66,72,75,73,81,76,71,70,74,82,69,72,76,74,60,66,64,64,73,72,63,58,0
72,75,80,73,70,76,73,66,56,72,70,73,67,65,69,73,72,77,80,67,64,64,66,69,68,70,75,63,66,74,77,81,78,75,66,0
70,72,72,67,71,71,78,63,67,73,76,71,59,61,64,74,71,77,70,61,61,62,58,63,69,76,75,64,66,68,70,70,71,67,54,0
59,67,71,66,68,68,70,56,62,77,61,67,75,71,64,62,54,75,71,76,79,75,70,71,77,71,69,56,62,56,53,71,68,63,56,0
67,73,75,77,77,74,70,65,62,74,75,65,68,70,69,67,60,75,62,66,71,62,61,64,69,73,76,64,61,65,60,68,75,80,68,0
68,72,72,47,74,76,74,67,66,71,69,69,63,64,68,70,74,77,73,49,48,42,69,70,69,76,79,63,64,71,73,73,75,56,44,0
66,69,66,69,69,75,72,63,62,68,66,68,71,68,69,66,68,72,65,67,63,60,57,70,68,75,75,65,69,65,64,67,69,68,59,0
