"V2","V4","V5","V7","V9","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41"
61,62,70,79,71,77,80,73,61,67,61,66,68,71,67,67,66
73,78,78,73,75,66,76,67,60,60,63,62,58,77,59,64,64
56,63,66,76,73,54,56,61,73,64,60,66,74,75,65,61,73
73,65,66,69,81,62,61,70,67,63,66,70,70,70,66,74,76
59,69,74,73,68,55,75,75,73,69,61,71,75,77,65,74,71
74,75,70,74,77,67,74,63,66,61,63,74,69,75,65,71,68
72,64,66,59,66,66,81,67,69,68,68,69,64,73,56,69,68
75,72,77,67,73,65,74,73,67,69,69,68,68,74,61,79,75
59,72,74,66,76,67,72,76,65,69,66,64,65,72,57,77,78
64,68,71,64,73,67,81,78,61,62,72,67,67,75,65,75,72
