"1007_s_at","1053_at","117_at","121_at","1316_at","1431_at","1438_at","1487_at","160020_at","1773_at","200000_s_at","200001_at","200002_at","200005_at","200006_at","201983_s_at","202088_at","203256_at","203628_at","203963_at","204508_s_at","204863_s_at","205029_s_at","205472_s_at","205696_s_at","205862_at","206754_s_at","207626_s_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211000_s_at","212148_at","212195_at","212956_at","213201_s_at","215552_s_at","215729_s_at","215867_x_at","217528_at","220414_at","221765_at","39549_at","Class"
11.1349,7.6111,8.7835,11.1829,8.0528,6.8954,7.1327,9.4504,9.7649,7.4258,9.4765,11.9097,12.9414,11.5819,12.5722,6.5064,13.8576,5.298,8.7482,10.975,9.0767,8.8275,4.0579,4.0195,6.3237,4.9057,7.9484,6.8438,9.9895,10.0288,14.088,10.7399,8.4126,10.9404,10.1435,12.4273,6.6855,7.7336,5.2469,12.0586,4.76,6.7949,8.3236,3.8037,"2"
11.8757,8.0035,8.1103,10.6567,7.2557,5.6942,8.1523,9.4601,9.5604,6.9379,10.73,11.8351,13.3566,11.4301,13.486,8.0534,14.5652,5.3675,11.4914,10.7894,8.8618,7.4494,3.4555,8.7569,9.9414,10.0934,9.1798,4.9164,10.9835,10.9478,14.6333,9.7376,7.3408,11.7877,8.6414,12.4745,9.4616,8.469,3.9259,11.2566,1.081,4.5903,8.8997,4.258,"2"
12.6326,8.3098,7.4773,10.4499,8.2354,6.3751,9.0223,9.147,9.6527,5.7332,9.744,11.3139,14.4188,12.0123,12.8019,9.9087,11.6836,11.2289,7.6174,9.2444,7.2568,8.1566,4.3995,4.5828,6.4253,6.5143,5.6576,3.8961,9.1959,8.886,13.2361,9.0941,7.4405,10.4846,9.3846,10.9061,10.8879,5.5439,5.8684,9.8661,11.3404,10.4507,8.3369,6.6734,"1"
12.5807,8.0104,7.5885,10.1383,8.0392,6.2767,8.3341,9.2451,9.734,5.4319,11.2362,12.4592,13.4936,11.2119,12.593,7.1925,12.932,6.5259,8.2848,10.8107,8.201,9.0422,3.5527,7.1145,5.1879,6.6643,7.2889,2.8542,10.1162,10.1557,14.1058,9.6425,8.3312,10.5958,10.8553,10.9066,3.5288,6.691,5.6927,10.931,7.1607,5.8312,7.9097,6.7817,"1"
12.4304,7.6919,8.0937,10.1545,8.6325,6.2651,9.7055,8.6808,8.9612,7.7353,9.8559,12.4097,13.105,10.607,12.9117,7.5673,11.4543,7.4434,6.3248,10.3061,8.4555,8.9011,6.2372,7.968,6.1162,6.7538,7.9678,4.2359,9.2392,9.0275,12.722,9.4931,7.5125,11.2868,9.9773,10.6692,3.8446,6.7015,2.1542,10.7828,7.4035,12.2095,8.9592,5.6251,"1"
11.9454,7.4614,8.4695,10.7476,7.9473,7.0174,7.0581,9.644,10.0771,7.1117,9.9598,11.7537,13.4807,11.2913,12.8772,8.2242,11.3805,11.1149,7.8213,9.284,5.8544,7.5339,2.8189,4.2492,2.4784,4.3118,5.7934,3.2843,8.8079,8.4549,12.5708,8.8212,7.8092,9.2244,9.8942,10.2593,10.1851,6.1294,3.3872,10.5213,3.4108,11.1919,6.9937,6.7875,"1"
12.1154,7.9201,6.207,10.5313,7.6032,6.1417,9.6857,8.368,9.2182,7.6312,11.0635,11.7299,13.9215,12.1698,12.6983,8.8581,13.8154,7.6736,10.7013,10.3446,7.7363,9.6556,7.2878,3.954,5.6437,8.3615,7.5721,5.5392,8.9575,8.9255,12.6522,10.0638,9.1445,11.5945,11.6532,11.99,4.0985,7.9518,9.8497,10.7924,5.9924,10.4939,8.1902,5.9577,"1"
11.9077,7.6548,9.1468,11.5483,8.4888,6.7768,8.9326,8.6963,10.3506,8.1402,9.78,10.1749,14.2503,11.1057,11.8461,9.4118,10.0835,11.4311,6.6642,8.508,5.4881,9.1329,5.4765,4.0421,6.4871,3.9198,7.9186,5.5657,3.9655,8.068,10.8359,8.9721,7.9869,8.2524,8.9414,8.9875,5.8045,6.1542,8.4034,9.3723,5.4461,8.6401,6.6231,3.168,"1"
11.8592,8.7641,6.7698,10.6987,6.656,6.6082,8.3433,9.045,9.5605,7.3738,9.5852,11.4238,13.9455,11.0099,13.0706,3.3533,12.1994,5.5007,9.6999,12.0857,10.3608,8.8289,4.905,2.1265,10.0839,10.2367,12.6914,6.7468,11.2706,11.4367,14.664,11.9763,8.3199,11.3568,11.2945,11.6637,9.3871,8.8905,2.3699,12.5183,2.6382,10.988,9.1526,2.4011,"2"
12.0612,8.3111,8.0799,10.6865,7.5659,6.6752,7.8008,8.2427,9.544,8.0573,10.2404,11.9185,12.6025,10.8398,12.8177,4.4415,14.8448,5.276,10.5476,12.6455,10.4822,10.5581,3.6396,9.0869,10.2329,8.6706,11.5871,8.4885,11.3341,10.3884,14.508,12.0741,10.5145,12.2201,12.6114,13.9558,4.9498,10.8226,1.7151,12.9994,4.9353,4.5141,11.026,7.881,"2"
12.7259,8.4282,8.3729,10.7377,7.8665,6.5377,7.651,9.0271,8.8911,7.9343,9.6706,11.4543,12.6187,10.8042,12.5852,4.235,14.7702,6.0226,10.3318,11.916,9.5693,10.1392,6.3044,8.7825,9.1186,10.0397,10.4399,4.9683,10.8359,10.9906,14.3534,11.0802,9.4412,10.8587,11.9628,13.1016,7.9428,8.1825,4.4885,12.217,1.3409,4.0739,8.0802,5.2643,"2"
12.3641,8.9391,7.882,10.1676,6.9513,6.2463,9.2795,9.2244,9.5821,7.546,9.8086,12.3148,13.31,10.9215,12.8209,7.567,12.2009,4.5132,4.6809,8.6398,6.3788,7.1922,1.2731,5.6818,6.0267,5.5229,7.1454,4.0705,10.3926,10.4111,13.6927,8.6477,7.0588,11.0426,9.0738,11.971,3.6708,6.7452,3.8248,9.5794,11.5271,4.2236,7.6985,7.3757,"1"
12.0602,8.6066,7.6073,10.6249,7.7108,6.4236,4.8455,9.4301,8.8503,6.9995,9.6952,12.0903,11.9637,10.6628,13.1267,11.1111,12.9895,4.5812,7.168,8.8253,6.2395,8.5096,10.658,2.9987,6.1564,7.8444,14.3442,4.5808,6.7092,7.4519,10.2794,8.9561,7.4195,8.9488,10.0313,9.7345,4.3296,6.8016,5.049,9.7829,8.8607,8.0419,8.3157,4.9221,"1"
11.281,8.6218,8.3951,10.6988,7.8661,5.8614,10.5521,8.9671,9.807,7.3566,9.8869,11.5652,14.2544,11.3682,12.7776,7.7024,10.7953,10.5841,8.3783,8.6587,4.7333,8.1448,7.271,1.5165,5.2398,2.7226,4.8695,5.361,7.6899,7.9928,11.3702,7.6934,7.2478,9.096,8.8029,9.3805,5.8475,6.8075,7.03,9.5442,6.3143,10.925,7.6277,5.2721,"1"
12.5553,7.4527,8.5629,10.3224,7.4899,6.8494,8.2723,9.0767,9.1857,7.5356,10.257,12.3123,13.1255,11.6091,13.353,5.6613,14.5712,5.5915,10.3855,11.7422,9.3072,11.1168,10.7932,9.9076,6.1592,8.2397,12.5693,6.1054,11.4216,11.508,14.4045,10.4727,10.2516,11.7366,12.5457,13.1174,6.4542,9.0253,3.5265,11.9344,12.2423,4.1541,9.0061,6.0256,"2"
12.2333,7.8985,7.4182,10.2844,6.6916,6.2231,7.8735,8.4661,8.8064,7.4296,9.675,12.7374,13.3013,11.8615,13.4994,6.2229,14.1932,4.2987,9.9131,11.728,9.7793,9.2481,2.5779,8.7108,8.2701,9.5064,10.1326,5.7895,11.2286,11.5596,14.3113,10.7946,8.5213,13.1219,11.2633,13.7972,9.4534,9.0103,1.9596,11.8592,4.6182,3.7768,10.3056,1.2808,"2"
11.8859,7.5916,7.0778,10.6391,7.797,6.411,9.9146,8.5494,9.7449,8.1204,10.3805,11.7503,13.8973,12.1137,12.948,6.937,13.0582,5.1766,9.1156,10.3171,8.1056,10.2326,4.9048,6.5219,6.3474,7.0217,11.0953,7.8673,11.578,11.7166,14.7897,9.9596,10.2295,11.451,12.1061,13.2411,8.4078,7.996,1.7007,10.5819,3.9565,8.4732,8.6289,6.4407,"2"
12.1708,7.8654,8.1378,10.9722,8.5748,7.7601,9.5658,6.4902,10.2517,7.4304,10.2701,12.0978,13.2669,10.9495,12.9538,8.1656,13.8039,8.7017,8.7747,11.356,8.7031,9.7008,3.4077,6.7646,9.4033,8.9754,8.4029,4.6189,8.3442,8.9839,13.169,10.3508,8.6925,10.44,10.9762,12.5047,9.2998,8.0386,6.2134,11.6647,9.3068,7.4573,9.083,3.7341,"2"
12.8908,8.094,9.3695,10.7094,7.1841,6.255,8.011,8.8111,9.4865,7.4633,9.5009,11.7734,12.2254,11.1342,12.0692,9.336,10.5884,10.3593,4.9963,8.3462,4.5763,8.0287,3.8579,3.1389,6.0849,2.612,6.8341,4.1226,8.2722,7.8222,12.1343,8.6782,7.9352,8.5953,9.9126,8.9354,5.4763,5.7397,10.3828,9.0829,7.4824,5.0819,7.3754,7.7487,"1"
12.0125,8.3706,7.5099,10.5047,7.8796,6.17,9.1196,9.1538,8.9049,7.9794,9.545,12.0731,12.9723,10.9807,12.6451,14.7814,12.3104,9.0198,6.7392,7.7502,4.1328,7.4103,13.6065,3.9771,6.1126,6.982,6.3841,4.8073,7.4846,7.5922,11.4554,7.4385,5.4796,10.7819,8.6073,10.5317,4.8261,6.5195,1.8945,8.7861,10.866,10.972,8.2982,7.137,"1"
11.1958,8.5326,8.0492,10.1873,7.3467,6.0888,9.4018,8.5791,9.7567,7.8007,10.0349,11.4588,13.5893,10.9273,13.1452,8.3823,11.0008,11.2605,7.6927,7.0838,4.7115,8.4199,9.5716,2.8677,5.3526,5.1907,6.7498,6.7218,6.5262,6.7856,10.1851,7.6504,7.9163,9.6663,9.5308,10.1753,4.3345,6.5877,10.5956,8.1038,4.5233,8.4484,7.8555,5.5392,"1"
11.5379,8.6753,7.9931,10.5404,7.2883,5.322,10.4916,8.5851,9.7392,8.0631,9.5698,11.5576,13.1581,11.605,13.163,8.8751,11.6687,11.3929,7.1012,8.9223,5.852,7.3272,10.2186,2.268,6.0802,6.9668,5.48,4.3891,7.2882,7.3408,10.699,8.5991,7.3067,9.5647,8.9099,9.7544,7.3113,5.251,8.0793,9.7983,5.381,12.4711,6.345,6.805,"1"
12.2426,8.6863,9.017,10.358,7.724,5.773,10.5751,8.3001,10.1677,6.8822,9.5273,11.466,13.485,11.1518,12.249,9.1262,12.2739,10.1492,8.0613,8.1957,5.6595,8.4059,7.0262,3.4143,5.1908,5.7937,7.1052,4.7844,8.4579,8.4789,12.1241,7.985,8.1422,10.0428,10.3064,9.7492,4.0866,6.6996,10.2683,9.3203,4.0805,4.9686,7.7467,5.5615,"1"
11.7422,8.3868,7.0016,10.2935,7.5293,6.6221,7.7011,8.5411,9.5436,7.7301,10.2815,12.1731,13.6313,11.1871,12.8732,7.5562,14.3521,9.7639,10.119,12.1092,10.076,10.37,5.3168,7.5896,9.3567,10.8913,7.0218,8.7955,10.9844,11.1457,14.3155,11.5397,9.7912,11.5708,12.3112,12.6052,8.9135,8.8302,1.6071,12.3123,8.6522,7.533,9.8328,5.9411,"2"
12.1271,7.2132,7.9736,10.9648,8.5276,7.4931,8.5073,8.8522,9.8854,8.23,9.5879,11.1203,12.7157,10.6304,12.4294,7.7752,14.6268,5.8088,9.7976,11.6731,8.0906,8.1351,3.2306,9.0157,7.7112,8.8619,8.3354,7.3792,11.3471,10.9915,14.9286,11.2167,8.1922,11.5808,9.8862,12.7904,6.5507,9.5355,3.94,12.1451,2.4997,7.7179,10.3784,3.7556,"2"
11.9852,7.7999,8.0232,10.4751,7.0972,6.7049,7.9032,8.6658,9.4632,7.0766,10.2706,11.9148,12.9209,11.2292,13.0822,6.5727,14.6215,6.4944,10.4411,13.0861,11.4458,9.1509,0.7843,6.5549,10.8799,9.2879,8.2143,7.1047,11.4407,11.4351,14.3454,12.572,8.08,11.8618,11.705,13.3609,7.5989,10.1611,1.5849,13.3377,5.7984,10.4555,9.4373,2.108,"2"
11.831,7.5973,7.9636,10.3086,8.3119,6.6006,7.803,8.3713,9.4609,7.8282,10.526,11.6379,13.8489,11.4575,13.0815,6.9257,14.5849,5.0626,10.1586,12.2741,9.7068,11.6872,3.3148,8.0885,10.502,8.2527,12.9351,7.656,10.8253,11.157,14.4465,11.2184,11.2485,10.7861,12.8748,12.8879,8.3551,7.8888,3.4418,12.4268,5.2722,7.0518,11.4367,4.7677,"2"
11.9298,6.9393,8.6826,11.1207,8.8439,7.541,8.8032,9.4167,9.537,5.4525,9.5678,11.5932,14.196,11.1585,12.4516,7.4022,12.272,9.7619,8.2562,11.9837,9.3395,9.5861,3.6023,6.6714,9.0638,9.0777,11.1861,5.8981,10.7504,11.0987,14.404,11.1162,8.709,11.3412,12.0238,11.3677,5.1455,8.563,2.2721,12.156,6.6983,5.5304,8.6282,3.5396,"2"
11.5563,8.5456,7.1632,10.3012,7.781,6.2408,9.228,8.3581,9.1108,7.7609,10.8989,11.9196,13.3557,11.2197,13.3207,5.7415,14.6166,4.3802,10.7554,12.1658,9.8688,10.2815,8.183,8.6022,9.9024,9.2368,10.1335,7.8581,11.2149,11.3986,14.3343,11.73,10.8391,12.0494,12.8381,13.2225,8.8349,10.4376,2.6906,12.3598,8.1887,11.5056,9.4813,1.6548,"2"
12.3898,8.2476,8.0326,10.5134,7.9979,6.8398,8.2578,8.7604,9.8293,7.0107,11.1615,11.9135,13.6411,11.4953,12.7364,6.8964,13.5248,6.7781,8.2252,11.7799,9.4071,8.3545,5.171,6.7507,8.8339,7.0331,8.3816,7.419,10.5645,10.7427,14.2872,10.7053,8.2247,11.2753,10.5754,12.177,9.4362,7.5456,4.5106,11.7531,3.6324,10.7443,9.1093,4.2214,"2"
12.2223,8.2085,6.9243,10.6213,7.6972,5.8929,9.0887,9.0371,9.4665,7.5015,9.9748,12.0685,13.4918,11.7433,12.6047,6.5298,14.1483,6.2268,10.0395,12.0982,10.1436,10.3415,3.2335,8.3361,6.5267,9.2656,13.0941,8.1493,11.4773,12.036,14.4551,11.1614,10.0655,11.8226,12.6476,13.0678,9.4897,9.013,2.1948,12.4881,1.4204,11.5186,12.1734,5.6723,"2"
12.2161,8.3784,9.2722,10.2165,8.0228,6.6244,10.5251,9.2971,9.3717,7.111,9.6894,11.4552,14.2542,12.3619,12.7629,8.7545,9.1827,11.1185,9.4743,7.3925,3.1318,7.7077,7.5902,3.4898,6.2507,5.7083,5.3369,4.4086,7.8565,7.7591,11.528,7.8961,7.5678,9.4481,9.0385,9.2101,7.8973,6.6848,10.8661,7.8491,6.1997,11.6752,6.9921,3.2293,"1"
11.3958,9.0461,7.7128,10.5946,7.8164,6.2809,10.4048,9.1636,9.3718,7.6112,10.2572,11.4179,13.7968,11.9346,12.5621,8.8483,10.9274,9.5173,8.5987,7.9611,4.7862,7.949,7.1734,3.8868,3.6644,6.1798,6.7483,4.1337,5.773,5.3853,9.4435,8.7508,7.9979,9.7944,9.9881,8.8312,3.9969,3.6285,6.6686,8.7277,3.5388,11.936,7.5935,6.1143,"1"
11.9744,8.3758,7.0766,10.8679,8.2426,6.4484,9.1156,9.1713,9.8459,8.0899,10.1695,12.1108,13.1061,10.8269,12.6908,4.9106,13.5231,6.09,9.4791,11.8307,9.3766,10.6974,2.1234,5.4091,9.0476,8.8133,9.9301,8.4158,10.3976,10.4631,14.7315,11.1342,9.9885,10.5556,12.0752,12.2257,5.7185,8.784,2.6082,12.3237,6.4544,4.4774,9.192,3.6365,"2"
11.7052,8.1315,8.3681,10.8449,8.0314,6.5377,10.6929,8.8065,9.8109,8.1636,9.9504,11.4527,12.8849,11.1576,12.5638,9.8788,11.337,10.9988,7.0101,8.0296,3.5843,8.7409,7.3938,2.1383,6.6152,2.664,4.486,7.0917,7.2402,7.2157,11.3759,8.11,7.8357,9.4249,10.2378,8.6669,4.6241,7.2991,6.1628,8.8596,5.7005,5.0355,7.9526,5.5353,"1"
12.7443,8.4647,7.8223,10.5702,7.9954,5.9951,8.7336,8.6847,9.4497,7.6333,9.7889,12.113,13.0406,11.528,12.4058,4.6514,11.9665,6.2285,4.1982,11.5362,8.9374,8.1693,5.3151,4.5086,6.3311,5.3361,5.5528,4.7332,10.4453,9.6384,14.1977,10.285,7.8221,10.0333,9.7338,10.5998,8.756,7.6068,3.5924,11.3998,8.1862,11.8734,8.1815,3.8283,"1"
12.2154,8.3121,7.2899,10.1917,7.8315,5.9374,8.1621,8.7758,8.7004,4.7694,9.5301,12.5321,12.523,11.9971,13.14,3.8544,12.5746,4.8085,9.39,12.0082,10.1122,10.1343,5.6973,8.3943,1.9752,9.328,6.7119,4.3627,11.2285,12.2846,14.8685,10.8788,9.5004,11.9824,12.0772,13.022,9.4491,7.975,1.6383,12.2942,4.6143,6.9343,9.0788,2.9299,"2"
13.312,7.8254,6.9466,10.4662,8.022,7.3725,9.0078,8.5027,9.5388,7.5294,10.356,12.15,12.6914,11.0858,12.9649,5.264,14.5636,6.5111,9.9992,13.321,11.2929,9.2737,3.8335,8.6287,11.4275,6.7728,13.6082,7.4375,11.2332,11.2264,14.8729,12.4535,8.6124,11.5608,11.5511,13.4395,10.0338,8.9631,2.9893,13.5062,3.3544,6.7623,10.6886,4.8006,"2"
12.2111,9.0572,8.5728,10.062,7.0238,7.1817,8.4561,8.973,9.3471,7.9095,10.9032,11.5021,14.5859,11.9191,12.3064,9.1271,12.0894,9.6587,9.0128,8.8828,6.8452,7.5126,4.0575,4.0016,6.4629,6.0758,3.9488,3.4461,6.7967,7.164,11.1143,8.3163,7.8934,9.4503,7.6908,8.8364,5.5353,5.9411,1.7282,9.9496,7.2266,10.3472,7.7591,6.0841,"1"
11.175,7.5085,6.6375,9.8587,7.558,6.5518,8.6835,8.5064,8.142,7.5412,9.6837,12.8846,13.8825,10.6738,13.3455,6.5102,13.293,4.2153,11.8109,11.0726,9.1324,9.4073,3.8768,9.4209,9.3333,10.3847,10.7713,7.4713,10.9272,11.0791,14.2505,9.8943,8.9823,12.7296,11.6479,13.5637,7.0928,8.1781,3.1802,11.2328,2.9789,5.4381,10.1947,3.6231,"2"
12.1514,8.1922,7.162,9.8131,6.1357,6.4509,7.8662,9.259,8.0749,7.0438,9.8982,12.3194,13.3912,11.699,13.4514,8.2248,11.7379,8.824,7.5772,8.5622,7.0044,7.9706,5.7111,2.8277,5.2885,2.6665,6.3018,5.1242,8.2617,7.8118,11.6584,7.7867,7.4521,11.5574,9.9765,11.359,4.0524,6.4237,9.8613,9.7074,7.667,12.3457,9.0158,6.6631,"1"
11.4223,7.4375,7.9292,10.0836,6.9798,6.0906,7.338,9.3501,8.8076,7.4394,10.0197,11.9056,13.4675,10.8675,13.1259,9.2909,13.9358,4.6006,10.4012,11.5175,9.7578,6.9281,2.5227,8.6926,10.5906,10.0776,8.5557,6.7751,10.4623,10.6735,13.9018,10.7831,6.2171,12.0274,7.3028,12.5382,4.1395,9.9076,2.6362,11.5032,12.5915,7.9779,9.3431,4.1765,"2"
12.0307,8.4269,7.7089,9.721,7.1219,5.938,8.4986,9.6447,9.0993,6.7281,10.3145,12.0387,13.5142,11.515,13.0271,4.1252,13.4694,8.5259,7.119,10.3906,8.353,8.3829,3.8878,6.9843,5.9502,5.2106,4.495,4.8009,9.3914,9.0168,12.9159,8.5793,7.3856,11.1959,9.977,11.1295,2.9514,7.0612,3.3684,11.2002,8.6215,10.7823,7.8924,2.2808,"2"
12.7472,9.0996,7.3965,10.1024,6.777,6.7085,9.1524,8.6491,9.588,6.8923,10.4561,12.2378,13.7897,11.9745,12.4755,8.799,12.009,11.2777,6.2579,11.86,10.3654,4.4275,3.4613,4.2278,4.6478,4.9951,6.8992,6.9435,7.5495,8.0759,12.7958,11.0401,6.7959,10.1212,8.0674,9.6608,8.2043,3.8235,8.5637,12.6609,9.2271,10.6091,8.3823,4.1233,"1"
11.2817,8.9329,7.7798,9.6646,7.7264,5.754,6.0916,7.9109,8.2301,7.7487,9.9757,12.6541,13.4853,11.1111,13.2251,3.0805,13.5839,6.7188,9.5526,12.4411,10.7588,9.254,2.2075,4.5152,11.7225,7.2195,12.1784,8.3198,10.4448,10.629,13.7334,11.7114,9.3928,10.6307,11.5437,12.2744,4.5086,10.145,-0.4146,12.4754,2.7407,5.7509,9.1768,5.8943,"2"
13.2494,8.3434,8.0536,10.0269,8.1692,6.3809,8.5297,9.9045,9.5872,7.2944,11.2654,12.0782,14.7668,11.4571,12.5844,7.1445,11.7664,9.518,9.3018,11.8202,10.1203,8.8708,2.5782,8.2387,6.5669,6.4805,13.1538,7.7662,9.9629,10.7869,14.2651,10.8935,8.7043,11.3881,8.8683,10.9664,9.8769,8.8157,5.1159,12.3601,6.93,7.83,8.957,3.0701,"2"
13.9012,8.0363,8.07,10.1831,7.5931,6.3637,9.021,9.3547,8.638,6.005,9.9309,12.3754,13.5557,11.8082,12.6303,6.3695,13.9572,5.8805,10.2279,12.7794,10.8232,9.6922,6.1219,8.3822,9.0521,6.6332,10.4051,7.0505,9.9886,11.1849,14.5038,11.8609,9.8677,11.4162,10.4083,12.3577,9.7626,10.6026,4.824,12.9799,5.3309,5.74,9.5458,5.7722,"2"
12.8156,7.6095,7.8763,10.0088,7.5027,7.3868,8.0802,9.2385,8.1544,7.0966,10.8031,12.1182,14.149,11.7081,12.6365,4.779,12.3134,9.3181,8.2331,11.7608,10.2651,9.2968,4.7032,3.9067,8.36,5.5035,13.6021,5.8322,9.4858,10.725,14.5693,10.9715,9.6606,12.0936,9.7196,11.6939,11.0877,8.0566,2.5159,12.1248,4.1535,11.5965,9.4477,2.768,"2"
13.0941,8.2012,7.7559,10.3299,7.3013,6.5646,7.7407,8.2111,9.2988,6.8753,11.5893,11.7373,14.4894,11.4121,12.1741,7.286,13.21,7.8846,12.7105,12.1047,10.1747,8.4152,5.6457,5.8922,9.8425,5.8866,8.7143,3.7826,9.4651,10.7588,13.8295,11.3171,8.8123,11.5354,9.3407,12.2083,7.6053,8.6376,1.701,12.5534,6.0531,7.1226,11.155,3.7246,"2"
11.3834,9.0703,9.1601,10.0044,7.6541,5.696,8.6588,9.4454,8.5679,7.4716,10.6116,11.1749,13.5513,11.4216,12.9481,7.7062,12.4048,11.0444,6.2098,9.659,7.6257,7.5862,1.8203,3.3626,5.8142,2.8125,8.8027,3.9639,7.2383,7.6964,11.0267,8.6828,7.4478,8.6597,9.5489,9.8368,5.074,5.2149,2.6172,9.9286,8.4606,10.1125,9.3451,5.9992,"1"
12.129,7.4496,8.8902,10.7078,7.4945,7.3074,8.3044,8.9293,10.0384,7.2333,10.9454,11.3219,13.922,11.6951,12.5888,7.9752,13.1868,5.8673,11.0676,11.8247,10.746,8.6548,3.9006,7.9183,8.0342,6.7253,11.1075,6.2631,9.6359,10.9914,14.3148,10.8518,8.9915,11.4661,10.1568,12.9762,8.6156,7.3367,2.7682,12.313,2.6309,4.4948,10.5003,7.2674,"2"
