"V4","V5","V7","V9","V10","V11","V12","V13","V17","V18","V19","V20","V23","V24","V29","V32","V34","V35","V37","V38","V40","V41","V42","V45","Class"
68,62,63,61,57,49,76,75,37,54,52,57,78,57,57,67,75,72,46,63,53,43,38,26,1
66,63,62,70,72,71,73,78,62,76,71,68,71,52,59,72,56,58,63,66,70,74,34,12,1
75,72,67,81,67,73,76,75,57,74,74,56,78,55,73,73,61,63,66,60,46,58,35,20,1
71,72,75,83,70,74,70,76,71,69,76,72,80,69,56,75,65,61,73,66,63,65,65,42,1
76,74,68,68,69,75,75,74,69,70,74,74,78,69,61,72,61,66,71,59,64,60,72,63,1
66,68,69,61,68,67,50,53,63,71,73,80,82,67,64,66,58,62,65,71,70,71,67,53,1
68,74,59,76,54,48,75,78,19,60,56,56,79,47,50,63,49,48,65,62,57,72,31,11,1
79,78,73,78,64,71,73,77,57,61,63,52,74,53,54,73,65,80,60,63,58,64,52,50,1
65,68,64,73,75,72,80,77,61,73,68,63,73,69,44,75,64,64,61,70,74,67,51,45,1
64,70,58,74,60,66,68,68,63,64,74,64,77,69,67,78,61,62,67,72,71,71,71,61,0
68,70,70,77,69,70,69,73,71,76,75,66,73,70,68,78,69,70,73,72,73,77,72,66,0
69,67,59,73,66,65,77,73,55,71,66,69,73,80,66,75,59,61,64,73,81,75,74,66,0
70,77,75,75,67,66,74,73,70,76,70,67,75,72,69,75,63,70,69,66,70,73,66,59,0
79,77,76,81,65,68,66,66,68,67,73,63,67,76,61,73,70,66,70,70,73,76,79,63,0
74,80,72,75,67,64,75,80,64,67,67,70,82,70,60,70,59,65,58,50,73,70,69,41,0
74,76,69,76,68,69,78,79,69,67,66,73,81,58,70,79,74,71,64,65,78,68,75,60,0
71,68,69,69,64,75,71,81,69,70,73,61,79,64,65,67,59,64,65,60,74,71,69,59,0
77,74,66,70,65,64,75,78,60,65,65,73,76,74,63,76,63,64,64,73,76,75,72,64,0
74,74,74,56,68,78,71,78,72,71,68,72,78,67,67,67,67,71,64,70,83,76,74,54,0
71,69,70,78,61,66,69,68,70,75,76,73,78,79,79,77,65,64,72,59,71,74,68,57,0
68,78,72,75,61,65,67,70,58,63,67,59,72,74,52,73,65,68,67,69,77,75,74,61,0
72,75,62,67,73,74,75,79,67,65,69,79,80,71,67,75,66,67,66,71,66,69,62,56,0
69,76,68,66,65,64,74,73,63,64,62,73,74,69,59,76,65,63,60,69,69,74,69,57,0
70,76,70,74,65,67,75,76,61,74,67,78,73,70,68,76,59,63,69,64,65,72,61,55,0
73,69,73,72,60,65,73,66,67,69,70,60,76,69,60,77,61,68,70,62,73,76,62,59,0
78,78,67,72,67,68,72,75,66,66,67,66,80,73,67,77,61,64,66,51,77,67,78,59,0
75,75,68,75,77,77,76,78,65,67,75,74,77,68,67,75,66,62,61,77,69,67,65,58,0
66,72,71,82,61,63,61,62,62,72,77,69,78,74,74,66,58,60,69,75,77,77,69,64,0
73,78,68,73,61,59,59,76,66,70,68,65,68,71,78,70,65,65,67,62,69,72,70,59,0
67,69,70,81,66,70,73,78,65,70,77,69,79,64,64,69,62,67,70,73,74,77,71,65,0
78,84,68,74,53,57,71,70,53,63,67,54,71,70,57,75,62,65,64,64,72,77,62,65,0
74,76,67,73,68,75,75,76,61,66,70,67,72,56,62,76,58,63,68,66,70,72,64,56,0
53,60,74,69,64,67,64,65,71,72,70,70,78,72,64,71,62,66,73,57,64,71,70,49,0
63,70,70,72,61,62,68,68,67,71,69,65,78,71,71,73,58,63,71,70,77,79,79,66,0
66,68,76,71,62,62,63,68,68,71,68,58,66,65,60,71,67,69,71,63,70,72,75,59,0
69,71,65,73,67,66,69,79,62,74,71,58,78,78,68,71,59,57,66,73,78,74,68,55,0
75,72,71,70,64,56,70,75,72,76,73,68,76,68,68,72,65,61,67,58,72,72,68,58,0
80,78,69,77,69,71,73,76,61,68,68,67,80,68,65,71,63,65,67,70,63,72,68,64,0
73,72,70,71,57,56,64,62,62,63,58,63,76,78,62,77,70,68,64,59,69,66,74,59,0
68,67,68,69,67,64,69,65,67,74,68,65,75,64,64,62,66,66,58,57,75,64,79,58,0
70,78,72,74,64,69,71,73,62,65,62,72,78,72,61,72,65,64,63,64,67,77,66,57,0
74,70,63,70,57,57,64,64,59,65,63,63,73,79,58,72,64,65,65,63,75,80,74,67,0
71,74,66,70,66,69,74,72,66,73,72,75,81,76,82,76,60,56,66,64,73,72,66,58,0
75,80,70,73,66,56,72,70,65,69,69,73,77,80,66,70,63,59,63,74,81,78,79,66,0
72,72,71,78,63,67,73,76,61,67,64,74,77,70,58,76,64,65,67,68,70,71,64,54,0
67,71,68,70,56,62,77,61,71,67,64,62,75,71,70,71,56,54,64,56,71,68,64,56,0
73,75,77,70,65,62,74,75,70,66,69,67,75,62,61,73,64,66,64,65,68,75,74,68,0
72,72,74,74,67,66,71,69,64,68,68,70,77,73,69,76,63,66,69,71,73,75,68,44,0
69,66,69,72,63,62,68,66,68,70,69,66,72,65,57,75,65,67,65,65,67,69,71,59,0
