"V2","V5","V7","V9","V10","V11","V15","V17","V21","V23","V25","V26","V27","V28","V29","V30","V31","V33","V34","V37","V40","V41","V42","V45"
60,68,48,60,56,48,43,43,44,52,42,20,23,58,60,38,41,70,64,47,65,55,19,17
33,54,52,50,26,29,71,68,73,78,67,62,47,59,57,23,26,74,52,38,11,13,62,40
58,73,41,54,65,77,65,48,67,64,58,60,59,73,70,45,40,74,52,62,36,39,22,24
58,43,57,53,68,58,50,73,59,61,56,48,63,75,77,13,7,52,54,31,17,6,15,40
77,71,66,75,73,72,65,58,74,79,64,60,55,70,68,76,74,75,65,73,73,73,63,52
65,61,57,74,64,69,71,53,66,73,70,47,39,80,75,67,64,66,53,64,74,63,59,49
77,78,34,63,65,26,46,66,63,56,47,12,6,28,23,56,48,55,63,20,56,57,5,10
64,72,52,66,68,63,64,57,59,73,67,49,42,66,51,58,48,73,76,62,72,51,71,39
57,82,67,70,74,64,73,54,62,69,63,54,50,61,53,59,60,74,72,54,73,70,64,57
58,71,60,59,33,39,75,57,44,78,57,56,56,57,61,60,62,76,59,60,61,74,77,68
61,74,55,63,67,67,67,53,61,66,62,43,35,68,65,61,56,73,59,62,55,61,53,28
67,76,69,81,67,68,77,65,74,81,69,59,63,62,63,67,66,73,61,66,69,63,70,56
69,73,64,66,61,75,76,61,67,69,74,48,48,53,66,64,68,71,60,68,65,70,63,52
77,70,70,79,60,57,66,69,34,47,77,62,66,62,62,57,69,75,62,71,74,76,72,63
46,68,48,45,54,47,63,45,65,79,60,49,52,45,45,31,36,71,63,34,26,35,60,51
67,74,63,72,59,71,77,38,70,84,67,33,38,57,69,62,65,72,54,61,58,67,49,36
73,75,62,70,70,76,77,58,66,74,69,56,44,65,65,68,69,71,57,65,66,62,54,35
68,70,62,80,64,64,64,60,75,77,74,72,73,72,71,67,69,73,64,65,77,69,72,57
57,71,69,81,67,72,71,63,68,78,72,41,38,48,48,63,68,77,62,69,77,81,67,60
47,69,52,52,58,46,59,38,69,63,70,33,19,49,46,44,43,57,43,27,47,57,14,4
64,73,61,70,63,72,77,38,65,63,77,29,28,53,52,64,68,73,59,66,56,73,37,18
58,61,68,79,61,63,66,59,65,76,72,60,60,64,65,64,70,68,59,66,58,73,48,51
73,68,60,76,75,70,67,59,69,73,58,56,51,58,57,71,68,77,72,70,72,64,62,53
67,65,65,70,71,68,65,70,71,72,49,45,35,71,67,67,64,66,62,72,72,66,76,45
78,66,71,75,67,67,47,73,76,42,43,61,61,71,73,62,64,37,28,71,72,74,65,55
70,67,68,73,63,71,69,65,61,70,72,56,55,67,71,69,70,69,56,67,80,77,71,50
65,77,68,72,68,65,65,58,77,75,72,57,43,69,68,67,67,66,57,59,63,58,63,27
66,74,67,71,72,63,74,74,62,67,72,66,59,73,69,70,73,74,62,66,78,75,73,46
59,65,45,25,45,41,77,25,67,75,77,33,31,14,17,39,43,73,61,24,36,47,29,13
72,65,67,78,72,70,67,60,67,79,67,57,51,68,56,68,63,77,61,65,76,64,71,39
65,72,59,66,67,55,72,62,59,80,67,60,68,64,68,48,40,74,56,59,62,47,73,45
63,69,66,66,61,53,74,65,59,70,71,62,65,64,59,69,62,77,66,69,71,62,65,56
54,55,54,74,61,58,50,40,47,71,40,40,19,77,77,55,56,68,44,68,61,62,45,11
67,54,65,75,63,61,61,57,79,81,76,74,50,69,66,57,47,51,54,66,68,59,62,48
60,58,60,79,74,75,66,65,76,81,56,42,42,50,59,62,66,73,59,66,70,69,67,55
62,68,70,69,68,70,58,50,70,65,74,53,61,59,67,68,72,72,61,69,68,70,61,63
54,60,44,54,12,22,63,35,50,60,60,48,38,37,36,29,22,54,72,18,23,28,49,45
65,71,59,75,65,63,74,59,68,81,82,71,57,68,67,62,69,75,60,69,71,77,74,50
59,80,64,67,54,68,64,56,70,77,65,54,54,61,58,61,64,74,67,58,60,65,61,52
71,74,53,64,69,68,68,50,60,71,53,51,38,78,72,68,68,71,60,67,66,59,52,17
72,73,60,71,72,69,56,60,70,79,58,63,57,73,70,72,59,60,63,65,68,63,61,47
68,61,72,69,73,69,76,69,73,79,80,68,63,73,62,67,63,75,55,60,70,64,71,50
58,76,58,70,63,57,59,41,58,70,66,32,29,66,56,57,63,72,61,62,72,62,49,20
60,74,63,70,59,65,68,41,70,85,46,31,35,56,79,58,64,75,59,66,69,61,41,18
51,63,56,75,65,63,65,55,66,74,69,62,55,67,59,61,48,66,63,55,78,67,72,65
57,53,44,56,68,66,68,68,61,63,62,44,41,63,45,42,61,51,68,69,57,52,38,32
68,69,63,74,73,70,74,60,69,73,71,62,56,67,63,65,65,75,59,69,62,64,68,51
57,51,41,45,63,39,67,52,63,82,66,62,65,71,61,51,25,72,55,51,74,40,69,58
49,44,26,32,69,57,31,19,56,40,35,33,20,57,38,35,25,51,59,14,37,12,34,29
75,63,58,77,73,74,65,68,78,74,66,60,61,57,58,47,40,63,58,66,60,57,63,40
71,71,41,60,57,58,61,34,60,63,61,30,14,72,41,38,36,65,44,40,56,58,20,16
73,54,63,72,60,54,66,59,62,76,68,66,57,80,62,66,60,66,61,61,79,67,74,58
67,48,60,75,65,52,52,62,65,62,64,54,62,63,78,70,59,49,59,65,72,61,68,53
68,83,71,74,65,61,69,56,79,86,79,72,58,75,57,65,53,75,58,56,69,65,65,58
62,70,28,23,54,54,70,11,59,67,75,17,16,49,44,36,19,72,62,29,48,44,28,28
75,73,61,71,61,58,68,52,75,82,80,55,55,60,70,65,67,77,61,65,67,68,59,46
79,70,65,75,69,66,59,59,69,69,53,61,56,66,69,75,66,71,65,75,68,63,41,27
68,65,69,75,63,59,66,68,70,83,69,73,78,80,83,71,70,63,54,70,77,76,66,54
68,84,72,75,73,70,66,58,64,76,64,48,47,49,54,62,64,76,65,68,67,58,58,52
70,66,67,80,70,65,72,66,71,74,76,60,52,60,63,63,61,71,60,67,73,68,66,56
73,84,71,75,61,58,62,54,69,76,76,58,63,62,62,58,57,77,57,53,55,49,63,48
71,74,61,71,74,69,66,64,65,68,70,61,59,68,67,69,66,70,64,68,66,51,61,37
73,79,59,66,65,66,59,54,80,74,62,66,63,63,70,63,60,65,56,62,53,62,54,37
63,75,61,63,61,63,63,56,63,78,73,55,54,62,68,63,64,77,64,65,72,78,68,66
75,75,69,72,67,66,73,69,67,75,71,74,68,80,78,71,67,68,60,68,79,71,73,53
64,51,59,79,66,59,61,61,61,67,73,53,44,62,53,65,61,64,55,68,73,77,71,62
74,77,64,76,70,68,69,55,65,77,61,48,45,61,54,66,65,78,61,58,55,60,28,35
69,67,78,69,60,62,66,75,60,67,63,65,64,70,64,62,63,72,69,64,62,47,70,46
75,74,64,73,73,71,69,64,76,78,70,60,60,65,61,70,65,71,62,67,72,66,61,54
69,68,71,78,64,62,78,73,53,66,75,65,67,64,55,71,72,75,62,66,79,75,73,62
70,70,76,72,62,57,65,60,55,74,60,56,57,60,60,61,61,76,59,63,76,77,74,67
61,74,64,73,64,65,72,62,69,75,76,65,64,74,73,65,70,72,53,68,75,80,71,64
70,78,69,71,68,59,71,65,65,72,79,75,75,70,64,73,75,74,63,63,72,75,73,61
76,77,72,75,68,75,65,64,81,77,72,66,63,65,68,69,65,76,58,75,73,71,64,50
75,75,58,71,65,61,64,57,61,72,66,51,51,58,53,69,63,76,57,64,61,59,45,50
56,67,61,76,44,61,70,70,59,70,67,48,57,52,68,58,68,75,55,68,63,71,52,54
63,72,64,69,68,70,64,67,67,75,66,65,62,68,67,64,68,75,58,69,53,64,59,49
65,72,72,72,54,55,75,70,62,71,79,72,76,62,61,71,68,75,63,70,73,68,75,67
68,70,67,74,69,70,70,68,64,75,68,66,66,64,56,71,68,75,63,62,81,75,74,58
65,62,72,69,68,59,69,70,66,77,79,74,77,70,74,67,72,67,61,64,73,67,73,52
52,72,76,77,67,66,70,77,80,78,70,79,75,73,79,79,78,71,63,73,66,68,66,38
65,65,62,69,71,74,64,64,75,74,65,54,59,64,68,65,74,78,64,71,59,68,56,51
61,74,68,71,40,42,75,67,65,78,79,69,75,72,69,67,69,69,52,65,75,76,67,63
67,65,69,70,66,63,76,70,68,75,74,73,71,67,64,71,70,70,63,71,66,69,70,66
64,57,63,76,59,55,69,70,52,56,67,64,60,69,60,64,63,66,62,70,79,77,77,60
66,68,63,77,68,68,67,65,63,71,63,65,56,66,65,72,70,74,64,71,77,70,70,52
61,71,70,74,66,63,66,71,67,80,68,65,62,68,67,64,67,75,63,68,72,70,77,65
67,78,57,62,63,63,66,54,69,81,72,55,55,51,57,65,66,74,64,60,69,73,73,58
71,72,72,65,69,65,72,71,61,67,73,67,75,62,58,58,58,69,66,56,65,58,71,70
68,59,64,67,71,62,62,56,69,75,64,62,64,63,67,65,66,67,61,68,69,57,68,59
74,74,71,77,70,73,75,68,71,74,73,67,62,73,69,73,75,76,60,72,71,75,61,51
67,72,72,76,68,71,76,75,72,74,75,70,71,70,69,67,66,63,57,64,76,76,73,56
70,67,72,76,55,59,58,70,68,69,63,69,63,60,57,47,52,64,66,69,60,62,67,56
58,74,44,49,57,62,59,41,66,75,59,57,57,65,67,46,42,68,68,43,47,52,39,50
65,73,60,68,65,70,71,57,68,80,70,58,61,64,69,65,72,74,60,63,45,66,44,44
57,71,69,71,61,60,69,68,65,69,73,74,73,74,62,64,70,77,65,74,66,68,68,56
42,56,67,54,56,56,58,62,56,61,44,38,47,60,68,42,45,62,47,64,51,54,60,45
73,70,67,77,72,66,69,61,64,73,66,70,59,63,58,67,66,71,66,66,70,61,72,59
61,75,60,75,64,67,64,57,68,75,65,55,51,61,67,61,64,78,62,70,50,59,48,45
23,35,64,46,29,28,64,44,52,74,60,53,56,57,59,28,25,67,59,28,39,39,76,53
59,72,44,72,53,56,66,51,55,69,58,56,54,66,53,51,38,67,71,60,68,46,76,61
72,66,64,75,62,67,70,62,70,64,53,47,35,70,71,66,67,73,57,68,70,61,66,46
68,60,36,55,50,56,51,8,77,48,61,18,32,67,26,39,44,64,44,28,63,59,13,11
62,62,66,79,55,55,62,48,68,66,58,42,49,67,86,59,52,74,58,70,67,58,54,42
37,67,49,20,36,32,72,52,58,72,71,75,76,68,59,22,15,72,64,31,21,22,75,49
75,72,58,68,60,62,74,54,61,70,70,46,43,64,51,71,65,77,67,59,73,66,60,58
65,74,56,60,65,63,67,59,75,77,77,61,53,66,69,59,62,76,62,61,67,69,66,44
72,75,59,68,68,56,61,59,61,74,73,62,46,67,65,52,36,73,58,57,65,48,56,31
69,74,71,74,66,67,69,66,70,82,69,66,64,69,71,68,69,72,59,66,68,76,67,61
62,44,66,67,56,56,59,63,69,77,68,64,64,69,68,38,40,64,53,57,47,48,35,43
47,71,71,79,39,39,66,64,59,64,73,75,74,68,64,37,40,75,65,53,41,43,73,70
64,82,43,73,57,63,63,33,67,78,61,24,17,61,61,63,67,74,57,71,48,74,33,9
69,72,63,72,69,66,74,62,71,76,76,65,63,66,70,60,63,75,62,68,73,69,71,62
55,62,74,67,63,66,64,65,70,77,68,67,75,66,73,65,67,72,64,70,63,66,68,61
64,54,71,72,64,52,67,68,49,64,64,76,71,73,64,68,63,62,56,70,72,70,67,52
54,69,56,67,67,61,62,60,71,72,66,72,67,63,58,73,70,72,61,72,76,66,78,59
65,51,63,76,58,58,62,68,61,63,63,76,67,67,66,67,63,54,56,65,75,71,73,58
69,67,60,76,70,68,68,60,70,78,68,61,63,68,70,67,65,69,55,64,68,65,67,41
73,79,66,61,71,68,73,55,75,79,75,65,59,68,56,63,67,73,60,60,70,72,73,61
68,71,70,75,61,58,71,73,74,78,74,72,80,69,69,67,67,74,58,70,70,67,66,64
32,34,53,54,16,51,70,21,37,66,49,17,19,11,42,53,30,9,61,43,29,31,17,11
76,40,34,50,53,37,31,30,45,65,43,23,23,53,77,48,32,32,48,51,43,39,35,21
60,60,45,55,55,61,50,41,62,69,54,51,47,77,80,69,48,59,72,68,62,53,57,30
64,69,65,64,68,59,64,59,56,68,69,66,59,57,40,55,53,63,71,55,65,65,75,56
65,76,67,72,66,64,62,59,45,45,46,64,48,62,27,65,67,72,62,64,72,69,70,61
71,79,69,75,64,64,70,52,50,65,62,56,48,58,50,65,63,75,64,56,61,65,64,38
55,75,77,73,63,69,69,60,70,80,72,53,60,70,58,46,67,84,69,74,67,66,63,60
76,70,69,80,50,56,55,59,72,73,47,43,46,66,80,73,73,65,60,70,64,66,51,22
70,64,69,76,65,68,74,67,51,69,68,49,44,52,48,65,68,72,57,69,76,73,66,53
64,74,70,74,61,69,71,67,71,81,69,65,65,78,75,67,71,74,54,68,69,71,65,58
76,76,56,67,67,58,68,64,66,79,45,49,48,75,70,64,35,60,39,66,71,49,53,15
54,68,65,72,60,50,75,76,60,67,69,69,78,56,67,69,61,71,67,70,70,61,73,61
68,69,64,71,64,53,74,62,61,66,75,72,67,67,53,72,64,77,66,73,70,59,77,63
64,59,61,74,68,63,66,66,59,72,62,63,55,66,56,65,64,71,61,63,77,65,74,54
40,74,67,75,64,71,61,67,60,63,73,57,63,66,69,60,66,71,57,69,59,66,55,60
70,70,69,65,69,72,71,70,74,74,65,71,68,63,64,66,68,75,67,65,69,65,78,63
66,66,72,77,65,66,61,66,72,75,58,58,61,63,60,59,60,65,58,73,73,75,72,62
68,74,70,73,71,68,74,65,67,70,72,62,63,63,61,66,66,80,70,67,69,62,66,50
64,78,66,72,66,63,65,58,61,74,58,60,53,61,58,62,61,72,64,64,74,72,74,59
58,71,70,71,64,63,75,61,52,71,85,71,71,57,47,42,39,70,50,46,76,73,82,66
61,70,79,71,73,77,73,72,75,80,73,61,67,62,61,66,68,71,67,69,67,66,74,58
73,78,73,75,70,66,71,63,75,76,67,60,60,64,63,62,58,77,59,70,64,64,63,51
56,66,76,73,62,54,65,72,53,56,61,73,64,66,60,66,74,75,65,73,61,73,67,56
73,66,69,81,65,62,68,67,66,61,70,67,63,68,66,70,70,70,66,69,74,76,75,63
59,74,73,68,57,55,75,66,67,75,75,73,69,65,61,71,75,77,65,66,74,71,72,60
74,70,74,77,65,67,73,66,63,74,63,66,61,68,63,74,69,75,65,67,71,68,66,57
72,66,59,66,76,66,72,62,78,81,67,69,68,65,68,69,64,73,56,64,69,68,65,52
75,77,67,73,67,65,74,62,64,74,73,67,69,73,69,68,68,74,61,67,79,75,77,71
59,74,66,76,63,67,74,64,66,72,76,65,69,61,66,64,65,72,57,71,77,78,77,70
64,71,64,73,63,67,74,64,66,81,78,61,62,76,72,67,67,75,65,69,75,72,62,54
