"V2","V5","V7","V9","V11","V21","V23","V25","V27","V29","V31","V34","V37","V40","V41","V42","V45","Class"
66,70,70,72,62,65,78,70,64,71,71,58,71,77,79,79,66,"0"
62,68,76,71,62,58,66,76,70,60,72,67,71,70,72,75,59,"0"
71,71,65,73,66,66,78,74,66,68,68,59,66,78,74,68,55,"0"
63,72,71,70,56,68,76,76,73,68,75,65,67,72,72,68,58,"0"
74,78,69,77,71,70,80,74,62,65,65,63,67,63,72,68,64,"0"
69,72,70,71,56,63,76,80,77,62,68,70,64,69,66,74,59,"0"
70,67,68,69,64,65,75,69,63,64,61,66,58,75,64,79,58,"0"
65,78,72,74,69,75,78,76,67,61,76,65,63,67,77,66,57,"0"
64,70,63,70,57,62,73,76,68,58,66,64,65,75,80,74,67,"0"
70,74,66,70,69,73,81,75,70,82,72,60,66,73,72,66,58,"0"
72,80,70,73,56,72,77,79,64,66,68,63,63,81,78,79,66,"0"
70,72,71,78,67,71,77,72,61,58,69,64,67,70,71,64,54,"0"
59,71,68,70,62,54,75,72,79,70,77,56,64,71,68,64,56,"0"
67,75,77,70,62,60,75,64,71,61,69,64,64,68,75,74,68,"0"
68,72,74,74,66,74,77,60,48,69,69,63,69,73,75,68,44,"0"
66,66,69,72,62,68,72,73,63,57,68,65,65,67,69,71,59,"0"
