"V2","V5","V7","V9","V10","V11","V15","V17","V21","V23","V25","V26","V27","V28","V29","V30","V31","V33","V34","V37","V40","V41","V42","V45"
62,70,58,74,60,66,71,63,65,77,73,59,58,58,67,65,69,76,61,67,71,71,71,61
62,70,70,77,69,70,74,71,67,73,74,63,67,58,68,66,69,79,69,73,73,77,72,66
59,67,59,73,66,65,66,55,68,73,79,69,65,69,66,68,65,71,59,64,81,75,74,66
75,77,75,75,67,66,72,70,63,75,68,69,68,75,69,71,74,76,63,69,70,73,66,59
77,77,76,81,65,68,73,68,62,67,69,68,64,64,61,69,68,75,70,70,73,76,79,63
68,80,72,75,67,64,77,64,60,82,68,63,60,64,60,54,56,73,59,58,73,70,69,41
76,76,69,76,68,69,62,69,69,81,68,75,69,73,70,58,65,76,74,64,78,68,75,60
61,68,69,69,64,75,72,69,71,79,65,62,66,61,65,71,68,71,59,65,74,71,69,59
67,74,66,70,65,64,74,60,72,76,81,66,65,65,63,63,67,80,63,64,76,75,72,64
71,74,74,56,68,78,64,72,71,78,68,63,60,67,67,76,74,79,67,64,83,76,74,54
64,69,70,78,61,66,70,70,72,78,81,74,70,72,79,73,75,73,65,72,71,74,68,57
76,78,72,75,61,65,75,58,63,72,73,56,56,52,52,67,68,78,65,67,77,75,74,61
74,75,62,67,73,74,71,67,78,80,73,60,62,69,67,69,69,75,66,66,66,69,62,56
65,76,68,66,65,64,75,63,65,74,69,66,59,68,59,69,69,79,65,60,69,74,69,57
59,76,70,74,65,67,73,61,69,73,68,67,64,79,68,70,75,77,59,69,65,72,61,55
76,69,73,72,60,65,73,67,58,76,75,65,64,63,60,74,71,79,61,70,73,76,62,59
71,78,67,72,67,68,74,66,66,80,75,67,72,67,67,67,65,78,61,66,77,67,78,59
80,75,68,75,77,77,70,65,73,77,67,61,58,60,67,61,63,75,66,61,69,67,65,58
68,72,71,82,61,63,65,62,73,78,77,69,69,77,74,64,63,70,58,69,77,77,69,64
67,78,68,73,61,59,72,66,77,68,75,62,66,70,78,68,69,76,65,67,69,72,70,59
72,69,70,81,66,70,80,65,70,79,68,56,58,67,64,68,68,74,62,70,74,77,71,65
62,84,68,74,53,57,72,53,57,71,74,54,57,54,57,62,64,72,62,64,72,77,62,65
69,76,67,73,68,75,77,61,72,72,62,56,61,57,62,67,73,74,58,68,70,72,64,56
59,60,74,69,64,67,70,71,70,78,71,71,71,67,64,67,71,74,62,73,64,71,70,49
66,70,70,72,61,62,71,67,65,78,70,65,64,68,71,70,71,74,58,71,77,79,79,66
62,68,76,71,62,62,75,68,58,66,76,64,70,63,60,70,72,77,67,71,70,72,75,59
71,71,65,73,67,66,76,62,66,78,74,68,66,69,68,68,68,74,59,66,78,74,68,55
63,72,71,70,64,56,73,72,68,76,76,66,73,58,68,72,75,75,65,67,72,72,68,58
74,78,69,77,69,71,68,61,70,80,74,57,62,57,65,61,65,76,63,67,63,72,68,64
69,72,70,71,57,56,74,62,63,76,80,75,77,51,62,74,68,77,70,64,69,66,74,59
70,67,68,69,67,64,65,67,65,75,69,63,63,64,64,56,61,68,66,58,75,64,79,58
65,78,72,74,64,69,68,62,75,78,76,66,67,62,61,68,76,78,65,63,67,77,66,57
64,70,63,70,57,57,74,59,62,73,76,75,68,60,58,69,66,76,64,65,75,80,74,67
70,74,66,70,66,69,69,66,73,81,75,71,70,74,82,69,72,74,60,66,73,72,66,58
72,80,70,73,66,56,75,65,72,77,79,67,64,64,66,69,68,75,63,63,81,78,79,66
70,72,71,78,63,67,74,61,71,77,72,61,61,62,58,63,69,75,64,67,70,71,64,54
59,71,68,70,56,62,71,71,54,75,72,76,79,75,70,71,77,69,56,64,71,68,64,56
67,75,77,70,65,62,67,70,60,75,64,66,71,62,61,64,69,76,64,64,68,75,74,68
68,72,74,74,67,66,67,64,74,77,60,49,48,42,69,70,69,79,63,69,73,75,68,44
66,66,69,72,63,62,70,68,68,72,73,67,63,60,57,70,68,75,65,65,67,69,71,59
