"V4","V5","V10","V17","V23","V26","V27","V29","V30","V31","V33","V41","V42","V44","V45","Class"
64,65,60,67,78,76,76,73,65,73,63,73,67,58,61,"1"
70,72,71,69,77,62,59,58,61,65,75,70,74,56,60,"1"
74,73,61,71,76,72,69,59,71,68,79,66,74,59,57,"1"
67,72,60,66,80,70,65,65,62,66,76,75,74,62,65,"1"
71,74,69,38,75,42,37,54,20,15,73,35,18,29,22,"1"
68,70,68,62,55,46,49,52,66,72,65,70,56,56,52,"1"
77,82,66,57,79,63,63,67,68,70,77,75,72,62,60,"1"
74,68,66,69,71,69,65,63,54,63,74,71,71,66,60,"1"
70,72,71,74,78,62,60,59,69,66,75,64,58,52,54,"1"
74,68,56,43,52,20,23,60,38,41,70,55,19,18,17,"1"
38,54,26,68,78,62,47,57,23,26,74,13,62,46,40,"1"
62,73,65,48,64,60,59,70,45,40,74,39,22,29,24,"1"
57,43,68,73,61,48,63,77,13,7,52,6,15,30,40,"1"
70,71,73,58,79,60,55,68,76,74,75,73,63,52,52,"1"
67,61,64,53,73,47,39,75,67,64,66,63,59,50,49,"1"
76,78,65,66,56,12,6,23,56,48,55,57,5,13,10,"1"
76,72,68,57,73,49,42,51,58,48,73,51,71,61,39,"1"
67,82,74,54,69,54,50,53,59,60,74,70,64,60,57,"1"
74,71,33,57,78,56,56,61,60,62,76,74,77,66,68,"1"
64,74,67,53,66,43,35,65,61,56,73,61,53,37,28,"1"
73,76,67,65,81,59,63,63,67,66,73,63,70,58,56,"1"
75,73,61,61,69,48,48,66,64,68,71,70,63,50,52,"1"
68,70,60,69,47,62,66,62,57,69,75,76,72,64,63,"1"
65,68,54,45,79,49,52,45,31,36,71,35,60,52,51,"1"
73,74,59,38,84,33,38,69,62,65,72,67,49,27,36,"1"
69,75,70,58,74,56,44,65,68,69,71,62,54,44,35,"1"
67,70,64,60,77,72,73,71,67,69,73,69,72,65,57,"1"
65,71,67,63,78,41,38,48,63,68,77,81,67,55,60,"1"
48,69,58,38,63,33,19,46,44,43,57,57,14,21,4,"1"
74,73,63,38,63,29,28,52,64,68,73,73,37,24,18,"1"
63,61,61,59,76,60,60,65,64,70,68,73,48,39,51,"1"
71,68,75,59,73,56,51,57,71,68,77,64,62,53,53,"1"
67,65,71,70,72,45,35,67,67,64,66,66,76,58,45,"1"
69,66,67,73,42,61,61,73,62,64,37,74,65,56,55,"1"
69,67,63,65,70,56,55,71,69,70,69,77,71,52,50,"1"
71,77,68,58,75,57,43,68,67,67,66,58,63,34,27,"1"
75,74,72,74,67,66,59,69,70,73,74,75,73,50,46,"1"
51,65,45,25,75,33,31,17,39,43,73,47,29,52,13,"1"
65,65,72,60,79,57,51,56,68,63,77,64,71,41,39,"1"
74,72,67,62,80,60,68,68,48,40,74,47,73,54,45,"1"
76,69,61,65,70,62,65,59,69,62,77,62,65,54,56,"1"
58,55,61,40,71,40,19,77,55,56,68,62,45,37,11,"1"
59,54,63,57,81,74,50,66,57,47,51,59,62,61,48,"1"
67,58,74,65,81,42,42,59,62,66,73,69,67,60,55,"1"
54,68,68,50,65,53,61,67,68,72,72,70,61,55,63,"1"
57,60,12,35,60,48,38,36,29,22,54,28,49,76,45,"1"
68,71,65,59,81,71,57,67,62,69,75,77,74,61,50,"1"
77,80,54,56,77,54,54,58,61,64,74,65,61,51,52,"1"
71,74,69,50,71,51,38,72,68,68,71,59,52,34,17,"1"
74,73,72,60,79,63,57,70,72,59,60,63,61,49,47,"1"
63,61,73,69,79,68,63,62,67,63,75,64,71,54,50,"1"
78,76,63,41,70,32,29,56,57,63,72,62,49,30,20,"1"
61,74,59,41,85,31,35,79,58,64,75,61,41,24,18,"1"
66,63,65,55,74,62,55,59,61,48,66,67,72,70,65,"1"
56,53,68,68,63,44,41,45,42,61,51,52,38,39,32,"1"
70,69,73,60,73,62,56,63,65,65,75,64,68,56,51,"1"
71,51,63,52,82,62,65,61,51,25,72,40,69,57,58,"1"
59,44,69,19,40,33,20,38,35,25,51,12,34,46,29,"1"
64,63,73,68,74,60,61,58,47,40,63,57,63,42,40,"1"
66,71,57,34,63,30,14,41,38,36,65,58,20,23,16,"1"
68,54,60,59,76,66,57,62,66,60,66,67,74,62,58,"1"
63,48,65,62,62,54,62,78,70,59,49,61,68,54,53,"1"
78,83,65,56,86,72,58,57,65,53,75,65,65,58,58,"1"
68,70,54,11,67,17,16,44,36,19,72,44,28,15,28,"1"
69,73,61,52,82,55,55,70,65,67,77,68,59,50,46,"1"
78,70,69,59,69,61,56,69,75,66,71,63,41,25,27,"1"
64,65,63,68,83,73,78,83,71,70,63,76,66,49,54,"1"
76,84,73,58,76,48,47,54,62,64,76,58,58,51,52,"1"
66,66,70,66,74,60,52,63,63,61,71,68,66,56,56,"1"
82,84,61,54,76,58,63,62,58,57,77,49,63,56,48,"1"
77,74,74,64,68,61,59,67,69,66,70,51,61,44,37,"1"
77,79,65,54,74,66,63,70,63,60,65,62,54,55,37,"1"
72,75,61,56,78,55,54,68,63,64,77,78,68,82,66,"1"
74,75,67,69,75,74,68,78,71,67,68,71,73,58,53,"1"
55,51,66,61,67,53,44,53,65,61,64,77,71,62,62,"1"
80,77,70,55,77,48,45,54,66,65,78,60,28,36,35,"1"
67,67,60,75,67,65,64,64,62,63,72,47,70,56,46,"1"
65,74,73,64,78,60,60,61,70,65,71,66,61,55,54,"1"
72,68,64,73,66,65,67,55,71,72,75,75,73,63,62,"1"
72,70,62,60,74,56,57,60,61,61,76,77,74,65,67,"1"
70,74,64,62,75,65,64,73,65,70,72,80,71,61,64,"1"
75,78,68,65,72,75,75,64,73,75,74,75,73,64,61,"1"
75,77,68,64,77,66,63,68,69,65,76,71,64,50,50,"1"
73,75,65,57,72,51,51,53,69,63,76,59,45,43,50,"1"
58,67,44,70,70,48,57,68,58,68,75,71,52,52,54,"1"
64,72,68,67,75,65,62,67,64,68,75,64,59,43,49,"1"
71,72,54,70,71,72,76,61,71,68,75,68,75,66,67,"1"
70,70,69,68,75,66,66,56,71,68,75,75,74,65,58,"1"
69,62,68,70,77,74,77,74,67,72,67,67,73,58,52,"1"
74,72,67,77,78,79,75,79,79,78,71,68,66,37,38,"1"
64,65,71,64,74,54,59,68,65,74,78,68,56,50,51,"1"
66,74,40,67,78,69,75,69,67,69,69,76,67,58,63,"1"
60,65,66,70,75,73,71,64,71,70,70,69,70,66,66,"1"
65,57,59,70,56,64,60,60,64,63,66,77,77,63,60,"1"
69,68,68,65,71,65,56,65,72,70,74,70,70,57,52,"1"
71,71,66,71,80,65,62,67,64,67,75,70,77,67,65,"1"
73,78,63,54,81,55,55,57,65,66,74,73,73,62,58,"1"
71,72,69,71,67,67,75,58,58,58,69,58,71,68,70,"1"
62,59,71,56,75,62,64,67,65,66,67,57,68,59,59,"1"
72,74,70,68,74,67,62,69,73,75,76,75,61,49,51,"1"
70,72,68,75,74,70,71,69,67,66,63,76,73,55,56,"1"
62,67,55,70,69,69,63,57,47,52,64,62,67,60,56,"1"
69,74,57,41,75,57,57,67,46,42,68,52,39,46,50,"1"
72,73,65,57,80,58,61,69,65,72,74,66,44,40,44,"1"
64,71,61,68,69,74,73,62,64,70,77,68,68,55,56,"1"
72,56,56,62,61,38,47,68,42,45,62,54,60,39,45,"1"
69,70,72,61,73,70,59,58,67,66,71,61,72,58,59,"1"
70,75,64,57,75,55,51,67,61,64,78,59,48,47,45,"1"
54,35,29,44,74,53,56,59,28,25,67,39,76,62,53,"1"
70,72,53,51,69,56,54,53,51,38,67,46,76,66,61,"1"
62,66,62,62,64,47,35,71,66,67,73,61,66,50,46,"1"
63,60,50,8,48,18,32,26,39,44,64,59,13,13,11,"1"
66,62,55,48,66,42,49,86,59,52,74,58,54,46,42,"1"
70,67,36,52,72,75,76,59,22,15,72,22,75,56,49,"1"
79,72,60,54,70,46,43,51,71,65,77,66,60,55,58,"1"
68,74,65,59,77,61,53,69,59,62,76,69,66,50,44,"1"
69,75,68,59,74,62,46,65,52,36,73,48,56,35,31,"1"
70,74,66,66,82,66,64,71,68,69,72,76,67,63,61,"1"
46,44,56,63,77,64,64,68,38,40,64,48,35,35,43,"1"
64,71,39,64,64,75,74,64,37,40,75,43,73,59,70,"1"
72,82,57,33,78,24,17,61,63,67,74,74,33,13,9,"1"
73,72,69,62,76,65,63,70,60,63,75,69,71,57,62,"1"
64,62,63,65,77,67,75,73,65,67,72,66,68,54,61,"1"
64,54,64,68,64,76,71,64,68,63,62,70,67,56,52,"1"
72,69,67,60,72,72,67,58,73,70,72,66,78,63,59,"1"
58,51,58,68,63,76,67,66,67,63,54,71,73,60,58,"1"
65,67,70,60,78,61,63,70,67,65,69,65,67,53,41,"1"
75,79,71,55,79,65,59,56,63,67,73,72,73,64,61,"1"
76,71,61,73,78,72,80,69,67,67,74,67,66,53,64,"1"
76,34,16,21,66,17,19,42,53,30,9,31,17,18,11,"1"
60,40,53,30,65,23,23,77,48,32,32,39,35,24,21,"1"
75,60,55,41,69,51,47,80,69,48,59,53,57,46,30,"1"
71,69,68,59,68,66,59,40,55,53,63,65,75,61,56,"1"
66,76,66,59,45,64,48,27,65,67,72,69,70,63,61,"1"
74,79,64,52,65,56,48,50,65,63,75,65,64,51,38,"1"
58,75,63,60,80,53,60,58,46,67,84,66,63,53,60,"1"
69,70,50,59,73,43,46,80,73,73,65,66,51,28,22,"1"
65,64,65,67,69,49,44,48,65,68,72,73,66,50,53,"1"
70,74,61,67,81,65,65,75,67,71,74,71,65,56,58,"1"
82,76,67,64,79,49,48,70,64,35,60,49,53,29,15,"1"
73,68,60,76,67,69,78,67,69,61,71,61,73,61,61,"1"
77,69,64,62,66,72,67,53,72,64,77,59,77,70,63,"1"
62,59,68,66,72,63,55,56,65,64,71,65,74,60,54,"1"
61,74,64,67,63,57,63,69,60,66,71,66,55,51,60,"1"
70,70,69,70,74,71,68,64,66,68,75,65,78,66,63,"0"
64,66,65,66,75,58,61,60,59,60,65,75,72,62,62,"0"
69,74,71,65,70,62,63,61,66,66,80,62,66,50,50,"0"
70,78,66,58,74,60,53,58,62,61,72,72,74,70,59,"0"
80,71,64,61,71,71,71,47,42,39,70,73,82,65,66,"0"
62,70,73,72,80,61,67,61,66,68,71,66,74,58,58,"0"
78,78,70,63,76,60,60,63,62,58,77,64,63,56,51,"0"
63,66,62,72,56,73,64,60,66,74,75,73,67,59,56,"0"
65,66,65,67,61,67,63,66,70,70,70,76,75,67,63,"0"
69,74,57,66,75,73,69,61,71,75,77,71,72,62,60,"0"
75,70,65,66,74,66,61,63,74,69,75,68,66,54,57,"0"
64,66,76,62,81,69,68,68,69,64,73,68,65,56,52,"0"
72,77,67,62,74,67,69,69,68,68,74,75,77,67,71,"0"
72,74,63,64,72,65,69,66,64,65,72,78,77,70,70,"0"
68,71,63,64,81,61,62,72,67,67,75,72,62,57,54,"0"
