"V4","V11","V25","V26","V27","V30","V40","V41","Class"
76,58,74,72,80,67,70,67,"1"
76,51,49,17,19,53,29,31,"1"
60,37,43,23,23,48,43,39,"1"
75,61,54,51,47,69,62,53,"1"
71,59,69,66,59,55,65,65,"1"
66,64,46,64,48,65,72,69,"1"
74,64,62,56,48,65,61,65,"1"
58,69,72,53,60,46,67,66,"1"
69,56,47,43,46,73,64,66,"1"
65,68,68,49,44,65,76,73,"1"
70,69,69,65,65,67,69,71,"1"
82,58,45,49,48,64,71,49,"1"
73,50,69,69,78,69,70,61,"1"
77,53,75,72,67,72,70,59,"1"
62,63,62,63,55,65,77,65,"1"
61,71,73,57,63,60,59,66,"1"
70,72,65,71,68,66,69,65,"0"
64,66,58,58,61,59,73,75,"0"
69,68,72,62,63,66,69,62,"0"
70,63,58,60,53,62,74,72,"0"
80,63,85,71,71,42,76,73,"0"
62,77,73,61,67,66,67,66,"0"
78,66,67,60,60,62,64,64,"0"
63,54,61,73,64,66,61,73,"0"
65,62,70,67,63,70,74,76,"0"
69,55,75,73,69,71,74,71,"0"
75,67,63,66,61,74,71,68,"0"
64,66,67,69,68,69,69,68,"0"
72,65,73,67,69,68,79,75,"0"
72,67,76,65,69,64,77,78,"0"
68,67,78,61,62,67,75,72,"0"
