"var1","var129","var187","var246","var248","var255","var509","var545","var566","var742"
1.026257,-0.836325,2.424643,-0.7145751,-0.2980018,-2.869981,2.52704,0.7425562,-0.8646475,-0.148268
0.2157563,0.8274158,1.727772,-1.102319,-0.8081092,-2.628315,1.804643,0.07547846,-1.188099,0.09984533
-0.1619309,-0.2611051,1.627533,-1.383099,-0.5807118,-1.169893,1.583238,-0.3514032,-1.515037,0.6004835
0.3710117,0.355294,1.824936,-0.9560716,-0.5198664,-2.066723,1.823258,0.1715134,-1.199981,-0.1505904
-0.03180031,-1.634243,1.428467,-0.6126738,-0.6460728,-1.643512,1.435323,0.3784364,-2.534517,-0.3578185
0.3067491,-0.9720677,0.6173994,-0.6066026,-0.801178,-1.820776,2.431638,-0.6502793,-1.259838,-0.8787541
0.4324316,0.1917767,1.319299,-0.671973,-0.2497442,-2.079442,2.109413,-0.156303,-1.615456,-0.08088473
0.8929402,-2.403511,1.106481,-0.7402388,0.08378953,-0.4480073,1.508224,0.2184124,-2.383795,-0.3875761
0.1084059,1.456077,1.927281,-0.5573933,0.5188533,-1.639382,1.978004,0.2799775,-1.96326,-0.1624013
0.7331368,1.044825,1.622631,-0.3582476,-0.03417745,-1.102319,1.609358,0.4121097,-1.968974,-0.8400244
0.2394105,1.105389,1.958319,-0.5987465,-0.5554744,-0.409172,1.871525,-0.2034635,-2.395797,0.0593061
1.242309,1.095307,2.078541,-0.7612119,-0.05858296,-0.5020311,2.098202,0.735488,-1.671313,-0.8027389
0.6202539,1.880792,2.401244,0.02936461,-0.6234346,-1.284099,2.288831,0.4203537,-0.8758688,-0.4531858
1.131821,-0.5207076,2.438339,0.006776984,0.09984533,-2.45807,2.489181,0.2277728,-1.489435,-1.098112
0.7066555,1.237243,-0.244878,0.06803241,-0.531879,-2.046394,2.943639,-1.107451,-1.13538,-1.789761
0.8025844,0.629728,2.393339,-0.7857012,-0.492822,-1.580365,2.367577,0.5371949,-0.5093267,-1.205975
0.2442003,-0.5767874,1.680884,-0.9670578,-0.01877516,0.1019246,2.051839,1.045106,-0.2451336,-0.2838229
0.7079373,0.3068227,2.950269,-1.549755,-1.057566,-0.4621942,3.486154,0.3098349,-1.114742,-1.388296
0.2240232,-1.587187,1.350356,-1.439695,-0.4777133,1.002065,1.544686,-0.08012604,-2.99174,1.386819
0.216884,-1.937942,1.046933,-1.00076,0.4488438,0.3848542,1.315308,0.1986869,-1.623537,1.125157
-0.2429637,-1.237874,2.185332,-1.597015,0.07139,1.125092,2.093936,0.4837216,-1.914605,1.336579
-0.4193105,-1.92278,-0.9602426,-0.7254638,-0.2156715,0.1819882,-1.398367,-0.009848336,-1.497002,1.227943
-0.5261085,-1.959705,-1.729348,-1.404458,-1.112914,-0.1059162,-1.543182,-0.5497397,-1.373181,1.254761
-0.3273936,-2.639457,-3.310443,0.1365394,-0.5101592,0.2428677,-2.782235,-0.4633061,-1.285183,0.824877
0.2965427,-2.097198,-0.4812668,0.1908683,0.1210665,0.3490358,0.585005,0.5777363,-1.715354,0.6265799
-0.5878867,-1.84074,0.4262476,-1.056128,-1.184824,0.09157594,1.653991,-1.142251,-2.796881,1.055879
-0.061131,-1.852784,-1.629641,-0.2851519,-0.4106787,-0.5940261,-1.00076,0.2781619,-0.7892176,1.362079
0.2040015,-0.6804284,0.488764,-1.041571,-0.2886158,0.2268168,1.07606,-1.033949,-1.704848,1.103202
0.2424755,-2.24055,-1.104429,-0.01227503,-0.4055651,0.2302383,-0.03946874,-0.08599371,-0.5071657,0.857941
0.5337997,-1.952633,-4.000854,-1.050966,-0.2643562,0.293341,-3.557851,0.04094999,-1.357124,1.782567
-1.940027,-2.04176,-2.124439,-1.096614,-1.958286,-1.610939,-2.141317,-0.8178038,-2.571773,-2.291645
-1.051824,-1.571661,-1.871452,-1.085005,-1.283016,-1.664422,-1.677717,-0.9942523,-2.902242,-1.520054
-0.9686372,-1.905824,-2.224699,-1.395941,-1.199317,-2.069095,-1.789761,-0.3862509,-2.787093,-1.344385
-2.683846,-1.831957,-1.751001,-0.847698,-1.515037,-0.435409,-1.023319,-0.1537341,-2.569158,-1.629641
-1.207646,-1.746977,-2.248097,-0.6358221,-2.336142,-2.175952,-2.346537,-0.951141,-1.71758,-1.925519
-1.684161,-1.530627,-3.182062,-1.104731,-2.189256,-1.822631,-1.992897,0.08691137,-1.61445,-0.3046248
-2.258568,-1.404866,-2.24526,-1.312672,-2.416874,-2.407946,-1.895788,-0.735846,-1.414282,-1.352473
-1.146333,-2.011409,-2.375156,-2.053384,-1.501032,-3.125841,-1.779633,-0.8287378,-1.087376,-1.857258
