"V2","V5","V7","V9","V10","V11","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41","V42"
64,72,52,66,68,63,64,57,73,67,49,42,51,58,48,73,76,72,51,71
57,82,67,70,74,64,73,54,69,63,54,50,53,59,60,74,72,73,70,64
58,71,60,59,33,39,75,57,78,57,56,56,61,60,62,76,59,61,74,77
61,74,55,63,67,67,67,53,66,62,43,35,65,61,56,73,59,55,61,53
67,76,69,81,67,68,77,65,81,69,59,63,63,67,66,73,61,69,63,70
69,73,64,66,61,75,76,61,69,74,48,48,66,64,68,71,60,65,70,63
77,70,70,79,60,57,66,69,47,77,62,66,62,57,69,75,62,74,76,72
46,68,48,45,54,47,63,45,79,60,49,52,45,31,36,71,63,26,35,60
67,74,63,72,59,71,77,38,84,67,33,38,69,62,65,72,54,58,67,49
73,75,62,70,70,76,77,58,74,69,56,44,65,68,69,71,57,66,62,54
68,70,62,80,64,64,64,60,77,74,72,73,71,67,69,73,64,77,69,72
57,71,69,81,67,72,71,63,78,72,41,38,48,63,68,77,62,77,81,67
47,69,52,52,58,46,59,38,63,70,33,19,46,44,43,57,43,47,57,14
64,73,61,70,63,72,77,38,63,77,29,28,52,64,68,73,59,56,73,37
58,61,68,79,61,63,66,59,76,72,60,60,65,64,70,68,59,58,73,48
73,68,60,76,75,70,67,59,73,58,56,51,57,71,68,77,72,72,64,62
67,65,65,70,71,68,65,70,72,49,45,35,67,67,64,66,62,72,66,76
78,66,71,75,67,67,47,73,42,43,61,61,73,62,64,37,28,72,74,65
70,67,68,73,63,71,69,65,70,72,56,55,71,69,70,69,56,80,77,71
65,77,68,72,68,65,65,58,75,72,57,43,68,67,67,66,57,63,58,63
66,74,67,71,72,63,74,74,67,72,66,59,69,70,73,74,62,78,75,73
59,65,45,25,45,41,77,25,75,77,33,31,17,39,43,73,61,36,47,29
72,65,67,78,72,70,67,60,79,67,57,51,56,68,63,77,61,76,64,71
65,72,59,66,67,55,72,62,80,67,60,68,68,48,40,74,56,62,47,73
63,69,66,66,61,53,74,65,70,71,62,65,59,69,62,77,66,71,62,65
54,55,54,74,61,58,50,40,71,40,40,19,77,55,56,68,44,61,62,45
67,54,65,75,63,61,61,57,81,76,74,50,66,57,47,51,54,68,59,62
60,58,60,79,74,75,66,65,81,56,42,42,59,62,66,73,59,70,69,67
62,68,70,69,68,70,58,50,65,74,53,61,67,68,72,72,61,68,70,61
54,60,44,54,12,22,63,35,60,60,48,38,36,29,22,54,72,23,28,49
65,71,59,75,65,63,74,59,81,82,71,57,67,62,69,75,60,71,77,74
59,80,64,67,54,68,64,56,77,65,54,54,58,61,64,74,67,60,65,61
71,74,53,64,69,68,68,50,71,53,51,38,72,68,68,71,60,66,59,52
72,73,60,71,72,69,56,60,79,58,63,57,70,72,59,60,63,68,63,61
68,61,72,69,73,69,76,69,79,80,68,63,62,67,63,75,55,70,64,71
58,76,58,70,63,57,59,41,70,66,32,29,56,57,63,72,61,72,62,49
60,74,63,70,59,65,68,41,85,46,31,35,79,58,64,75,59,69,61,41
51,63,56,75,65,63,65,55,74,69,62,55,59,61,48,66,63,78,67,72
57,53,44,56,68,66,68,68,63,62,44,41,45,42,61,51,68,57,52,38
68,69,63,74,73,70,74,60,73,71,62,56,63,65,65,75,59,62,64,68
57,51,41,45,63,39,67,52,82,66,62,65,61,51,25,72,55,74,40,69
49,44,26,32,69,57,31,19,40,35,33,20,38,35,25,51,59,37,12,34
75,63,58,77,73,74,65,68,74,66,60,61,58,47,40,63,58,60,57,63
71,71,41,60,57,58,61,34,63,61,30,14,41,38,36,65,44,56,58,20
73,54,63,72,60,54,66,59,76,68,66,57,62,66,60,66,61,79,67,74
67,48,60,75,65,52,52,62,62,64,54,62,78,70,59,49,59,72,61,68
68,83,71,74,65,61,69,56,86,79,72,58,57,65,53,75,58,69,65,65
62,70,28,23,54,54,70,11,67,75,17,16,44,36,19,72,62,48,44,28
75,73,61,71,61,58,68,52,82,80,55,55,70,65,67,77,61,67,68,59
79,70,65,75,69,66,59,59,69,53,61,56,69,75,66,71,65,68,63,41
68,65,69,75,63,59,66,68,83,69,73,78,83,71,70,63,54,77,76,66
68,84,72,75,73,70,66,58,76,64,48,47,54,62,64,76,65,67,58,58
70,66,67,80,70,65,72,66,74,76,60,52,63,63,61,71,60,73,68,66
73,84,71,75,61,58,62,54,76,76,58,63,62,58,57,77,57,55,49,63
71,74,61,71,74,69,66,64,68,70,61,59,67,69,66,70,64,66,51,61
73,79,59,66,65,66,59,54,74,62,66,63,70,63,60,65,56,53,62,54
63,75,61,63,61,63,63,56,78,73,55,54,68,63,64,77,64,72,78,68
75,75,69,72,67,66,73,69,75,71,74,68,78,71,67,68,60,79,71,73
64,51,59,79,66,59,61,61,67,73,53,44,53,65,61,64,55,73,77,71
74,77,64,76,70,68,69,55,77,61,48,45,54,66,65,78,61,55,60,28
69,67,78,69,60,62,66,75,67,63,65,64,64,62,63,72,69,62,47,70
75,74,64,73,73,71,69,64,78,70,60,60,61,70,65,71,62,72,66,61
69,68,71,78,64,62,78,73,66,75,65,67,55,71,72,75,62,79,75,73
70,70,76,72,62,57,65,60,74,60,56,57,60,61,61,76,59,76,77,74
61,74,64,73,64,65,72,62,75,76,65,64,73,65,70,72,53,75,80,71
70,78,69,71,68,59,71,65,72,79,75,75,64,73,75,74,63,72,75,73
76,77,72,75,68,75,65,64,77,72,66,63,68,69,65,76,58,73,71,64
75,75,58,71,65,61,64,57,72,66,51,51,53,69,63,76,57,61,59,45
56,67,61,76,44,61,70,70,70,67,48,57,68,58,68,75,55,63,71,52
63,72,64,69,68,70,64,67,75,66,65,62,67,64,68,75,58,53,64,59
65,72,72,72,54,55,75,70,71,79,72,76,61,71,68,75,63,73,68,75
68,70,67,74,69,70,70,68,75,68,66,66,56,71,68,75,63,81,75,74
65,62,72,69,68,59,69,70,77,79,74,77,74,67,72,67,61,73,67,73
52,72,76,77,67,66,70,77,78,70,79,75,79,79,78,71,63,66,68,66
65,65,62,69,71,74,64,64,74,65,54,59,68,65,74,78,64,59,68,56
61,74,68,71,40,42,75,67,78,79,69,75,69,67,69,69,52,75,76,67
67,65,69,70,66,63,76,70,75,74,73,71,64,71,70,70,63,66,69,70
64,57,63,76,59,55,69,70,56,67,64,60,60,64,63,66,62,79,77,77
66,68,63,77,68,68,67,65,71,63,65,56,65,72,70,74,64,77,70,70
61,71,70,74,66,63,66,71,80,68,65,62,67,64,67,75,63,72,70,77
67,78,57,62,63,63,66,54,81,72,55,55,57,65,66,74,64,69,73,73
71,72,72,65,69,65,72,71,67,73,67,75,58,58,58,69,66,65,58,71
68,59,64,67,71,62,62,56,75,64,62,64,67,65,66,67,61,69,57,68
74,74,71,77,70,73,75,68,74,73,67,62,69,73,75,76,60,71,75,61
67,72,72,76,68,71,76,75,74,75,70,71,69,67,66,63,57,76,76,73
70,67,72,76,55,59,58,70,69,63,69,63,57,47,52,64,66,60,62,67
58,74,44,49,57,62,59,41,75,59,57,57,67,46,42,68,68,47,52,39
65,73,60,68,65,70,71,57,80,70,58,61,69,65,72,74,60,45,66,44
57,71,69,71,61,60,69,68,69,73,74,73,62,64,70,77,65,66,68,68
42,56,67,54,56,56,58,62,61,44,38,47,68,42,45,62,47,51,54,60
73,70,67,77,72,66,69,61,73,66,70,59,58,67,66,71,66,70,61,72
61,75,60,75,64,67,64,57,75,65,55,51,67,61,64,78,62,50,59,48
23,35,64,46,29,28,64,44,74,60,53,56,59,28,25,67,59,39,39,76
59,72,44,72,53,56,66,51,69,58,56,54,53,51,38,67,71,68,46,76
72,66,64,75,62,67,70,62,64,53,47,35,71,66,67,73,57,70,61,66
68,60,36,55,50,56,51,8,48,61,18,32,26,39,44,64,44,63,59,13
62,62,66,79,55,55,62,48,66,58,42,49,86,59,52,74,58,67,58,54
37,67,49,20,36,32,72,52,72,71,75,76,59,22,15,72,64,21,22,75
75,72,58,68,60,62,74,54,70,70,46,43,51,71,65,77,67,73,66,60
65,74,56,60,65,63,67,59,77,77,61,53,69,59,62,76,62,67,69,66
72,75,59,68,68,56,61,59,74,73,62,46,65,52,36,73,58,65,48,56
69,74,71,74,66,67,69,66,82,69,66,64,71,68,69,72,59,68,76,67
62,44,66,67,56,56,59,63,77,68,64,64,68,38,40,64,53,47,48,35
47,71,71,79,39,39,66,64,64,73,75,74,64,37,40,75,65,41,43,73
64,82,43,73,57,63,63,33,78,61,24,17,61,63,67,74,57,48,74,33
69,72,63,72,69,66,74,62,76,76,65,63,70,60,63,75,62,73,69,71
55,62,74,67,63,66,64,65,77,68,67,75,73,65,67,72,64,63,66,68
64,54,71,72,64,52,67,68,64,64,76,71,64,68,63,62,56,72,70,67
54,69,56,67,67,61,62,60,72,66,72,67,58,73,70,72,61,76,66,78
65,51,63,76,58,58,62,68,63,63,76,67,66,67,63,54,56,75,71,73
69,67,60,76,70,68,68,60,78,68,61,63,70,67,65,69,55,68,65,67
73,79,66,61,71,68,73,55,79,75,65,59,56,63,67,73,60,70,72,73
68,71,70,75,61,58,71,73,78,74,72,80,69,67,67,74,58,70,67,66
32,34,53,54,16,51,70,21,66,49,17,19,42,53,30,9,61,29,31,17
76,40,34,50,53,37,31,30,65,43,23,23,77,48,32,32,48,43,39,35
60,60,45,55,55,61,50,41,69,54,51,47,80,69,48,59,72,62,53,57
64,69,65,64,68,59,64,59,68,69,66,59,40,55,53,63,71,65,65,75
65,76,67,72,66,64,62,59,45,46,64,48,27,65,67,72,62,72,69,70
71,79,69,75,64,64,70,52,65,62,56,48,50,65,63,75,64,61,65,64
55,75,77,73,63,69,69,60,80,72,53,60,58,46,67,84,69,67,66,63
76,70,69,80,50,56,55,59,73,47,43,46,80,73,73,65,60,64,66,51
70,64,69,76,65,68,74,67,69,68,49,44,48,65,68,72,57,76,73,66
64,74,70,74,61,69,71,67,81,69,65,65,75,67,71,74,54,69,71,65
76,76,56,67,67,58,68,64,79,45,49,48,70,64,35,60,39,71,49,53
54,68,65,72,60,50,75,76,67,69,69,78,67,69,61,71,67,70,61,73
68,69,64,71,64,53,74,62,66,75,72,67,53,72,64,77,66,70,59,77
64,59,61,74,68,63,66,66,72,62,63,55,56,65,64,71,61,77,65,74
40,74,67,75,64,71,61,67,63,73,57,63,69,60,66,71,57,59,66,55
70,70,69,65,69,72,71,70,74,65,71,68,64,66,68,75,67,69,65,78
66,66,72,77,65,66,61,66,75,58,58,61,60,59,60,65,58,73,75,72
68,74,70,73,71,68,74,65,70,72,62,63,61,66,66,80,70,69,62,66
64,78,66,72,66,63,65,58,74,58,60,53,58,62,61,72,64,74,72,74
58,71,70,71,64,63,75,61,71,85,71,71,47,42,39,70,50,76,73,82
61,70,79,71,73,77,73,72,80,73,61,67,61,66,68,71,67,67,66,74
73,78,73,75,70,66,71,63,76,67,60,60,63,62,58,77,59,64,64,63
56,66,76,73,62,54,65,72,56,61,73,64,60,66,74,75,65,61,73,67
73,66,69,81,65,62,68,67,61,70,67,63,66,70,70,70,66,74,76,75
59,74,73,68,57,55,75,66,75,75,73,69,61,71,75,77,65,74,71,72
74,70,74,77,65,67,73,66,74,63,66,61,63,74,69,75,65,71,68,66
72,66,59,66,76,66,72,62,81,67,69,68,68,69,64,73,56,69,68,65
75,77,67,73,67,65,74,62,74,73,67,69,69,68,68,74,61,79,75,77
59,74,66,76,63,67,74,64,72,76,65,69,66,64,65,72,57,77,78,77
64,71,64,73,63,67,74,64,81,78,61,62,72,67,67,75,65,75,72,62
