"V2","V5","V7","V9","V10","V11","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V34","V40","V41","V42"
77,68,58,68,77,71,75,57,76,68,56,53,54,69,70,79,65,71,67,60
75,79,68,77,69,66,73,58,68,65,58,54,60,67,66,78,63,73,61,52
78,72,71,74,70,64,73,57,80,66,59,44,63,62,59,74,59,62,67,44
69,74,72,72,61,57,72,68,67,78,64,68,62,64,63,77,66,64,59,74
72,67,59,63,61,67,48,56,75,67,68,71,68,48,47,79,63,56,52,69
64,75,71,71,59,60,66,72,60,66,69,71,63,67,65,58,52,64,65,71
72,62,63,61,57,49,57,37,78,55,35,37,57,41,35,70,75,53,43,38
79,63,62,70,72,71,65,62,71,48,23,26,59,66,66,74,56,70,74,34
66,72,67,81,67,73,64,57,78,50,37,38,73,61,61,73,61,46,58,35
65,72,75,83,70,74,68,71,80,68,57,59,56,62,68,73,65,63,65,65
71,74,68,68,69,75,58,69,78,72,69,72,61,59,70,75,61,64,60,72
70,68,69,61,68,67,71,63,82,71,52,47,64,66,67,75,58,70,71,67
73,74,59,76,54,48,53,19,79,53,19,14,50,67,71,54,49,57,72,31
68,78,73,78,64,71,71,57,74,72,36,44,54,49,56,81,65,58,64,52
68,68,64,73,75,72,71,61,73,69,48,59,44,66,59,74,64,74,67,51
62,70,58,74,60,66,71,63,77,73,59,58,67,65,69,76,61,71,71,71
62,70,70,77,69,70,74,71,73,74,63,67,68,66,69,79,69,73,77,72
59,67,59,73,66,65,66,55,73,79,69,65,66,68,65,71,59,81,75,74
75,77,75,75,67,66,72,70,75,68,69,68,69,71,74,76,63,70,73,66
77,77,76,81,65,68,73,68,67,69,68,64,61,69,68,75,70,73,76,79
68,80,72,75,67,64,77,64,82,68,63,60,60,54,56,73,59,73,70,69
76,76,69,76,68,69,62,69,81,68,75,69,70,58,65,76,74,78,68,75
61,68,69,69,64,75,72,69,79,65,62,66,65,71,68,71,59,74,71,69
67,74,66,70,65,64,74,60,76,81,66,65,63,63,67,80,63,76,75,72
71,74,74,56,68,78,64,72,78,68,63,60,67,76,74,79,67,83,76,74
64,69,70,78,61,66,70,70,78,81,74,70,79,73,75,73,65,71,74,68
76,78,72,75,61,65,75,58,72,73,56,56,52,67,68,78,65,77,75,74
74,75,62,67,73,74,71,67,80,73,60,62,67,69,69,75,66,66,69,62
65,76,68,66,65,64,75,63,74,69,66,59,59,69,69,79,65,69,74,69
59,76,70,74,65,67,73,61,73,68,67,64,68,70,75,77,59,65,72,61
76,69,73,72,60,65,73,67,76,75,65,64,60,74,71,79,61,73,76,62
71,78,67,72,67,68,74,66,80,75,67,72,67,67,65,78,61,77,67,78
80,75,68,75,77,77,70,65,77,67,61,58,67,61,63,75,66,69,67,65
68,72,71,82,61,63,65,62,78,77,69,69,74,64,63,70,58,77,77,69
67,78,68,73,61,59,72,66,68,75,62,66,78,68,69,76,65,69,72,70
72,69,70,81,66,70,80,65,79,68,56,58,64,68,68,74,62,74,77,71
62,84,68,74,53,57,72,53,71,74,54,57,57,62,64,72,62,72,77,62
69,76,67,73,68,75,77,61,72,62,56,61,62,67,73,74,58,70,72,64
59,60,74,69,64,67,70,71,78,71,71,71,64,67,71,74,62,64,71,70
66,70,70,72,61,62,71,67,78,70,65,64,71,70,71,74,58,77,79,79
62,68,76,71,62,62,75,68,66,76,64,70,60,70,72,77,67,70,72,75
71,71,65,73,67,66,76,62,78,74,68,66,68,68,68,74,59,78,74,68
63,72,71,70,64,56,73,72,76,76,66,73,68,72,75,75,65,72,72,68
74,78,69,77,69,71,68,61,80,74,57,62,65,61,65,76,63,63,72,68
69,72,70,71,57,56,74,62,76,80,75,77,62,74,68,77,70,69,66,74
70,67,68,69,67,64,65,67,75,69,63,63,64,56,61,68,66,75,64,79
65,78,72,74,64,69,68,62,78,76,66,67,61,68,76,78,65,67,77,66
64,70,63,70,57,57,74,59,73,76,75,68,58,69,66,76,64,75,80,74
70,74,66,70,66,69,69,66,81,75,71,70,82,69,72,74,60,73,72,66
72,80,70,73,66,56,75,65,77,79,67,64,66,69,68,75,63,81,78,79
70,72,71,78,63,67,74,61,77,72,61,61,58,63,69,75,64,70,71,64
59,71,68,70,56,62,71,71,75,72,76,79,70,71,77,69,56,71,68,64
67,75,77,70,65,62,67,70,75,64,66,71,61,64,69,76,64,68,75,74
68,72,74,74,67,66,67,64,77,60,49,48,69,70,69,79,63,73,75,68
66,66,69,72,63,62,70,68,72,73,67,63,57,70,68,75,65,67,69,71
