"V2","V5","V7","V9","V29","V34","V41","Class"
63,69,66,66,59,66,62,"1"
54,55,54,74,77,44,62,"1"
67,54,65,75,66,54,59,"1"
60,58,60,79,59,59,69,"1"
62,68,70,69,67,61,70,"1"
54,60,44,54,36,72,28,"1"
65,71,59,75,67,60,77,"1"
59,80,64,67,58,67,65,"1"
71,74,53,64,72,60,59,"1"
72,73,60,71,70,63,63,"1"
68,61,72,69,62,55,64,"1"
58,76,58,70,56,61,62,"1"
60,74,63,70,79,59,61,"1"
51,63,56,75,59,63,67,"1"
57,53,44,56,45,68,52,"1"
68,69,63,74,63,59,64,"1"
57,51,41,45,61,55,40,"1"
49,44,26,32,38,59,12,"1"
75,63,58,77,58,58,57,"1"
71,71,41,60,41,44,58,"1"
73,54,63,72,62,61,67,"1"
67,48,60,75,78,59,61,"1"
68,83,71,74,57,58,65,"1"
62,70,28,23,44,62,44,"1"
75,73,61,71,70,61,68,"1"
79,70,65,75,69,65,63,"1"
68,65,69,75,83,54,76,"1"
68,84,72,75,54,65,58,"1"
70,66,67,80,63,60,68,"1"
73,84,71,75,62,57,49,"1"
71,74,61,71,67,64,51,"1"
73,79,59,66,70,56,62,"1"
63,75,61,63,68,64,78,"1"
75,75,69,72,78,60,71,"1"
64,51,59,79,53,55,77,"1"
74,77,64,76,54,61,60,"1"
69,67,78,69,64,69,47,"1"
75,74,64,73,61,62,66,"1"
69,68,71,78,55,62,75,"1"
70,70,76,72,60,59,77,"1"
61,74,64,73,73,53,80,"1"
70,78,69,71,64,63,75,"1"
76,77,72,75,68,58,71,"1"
75,75,58,71,53,57,59,"1"
56,67,61,76,68,55,71,"1"
63,72,64,69,67,58,64,"1"
65,72,72,72,61,63,68,"1"
68,70,67,74,56,63,75,"1"
65,62,72,69,74,61,67,"1"
52,72,76,77,79,63,68,"1"
65,65,62,69,68,64,68,"1"
61,74,68,71,69,52,76,"1"
67,65,69,70,64,63,69,"1"
64,57,63,76,60,62,77,"1"
66,68,63,77,65,64,70,"1"
61,71,70,74,67,63,70,"1"
67,78,57,62,57,64,73,"1"
71,72,72,65,58,66,58,"1"
68,59,64,67,67,61,57,"1"
74,74,71,77,69,60,75,"1"
67,72,72,76,69,57,76,"1"
70,67,72,76,57,66,62,"1"
58,74,44,49,67,68,52,"1"
65,73,60,68,69,60,66,"1"
57,71,69,71,62,65,68,"1"
42,56,67,54,68,47,54,"1"
73,70,67,77,58,66,61,"1"
61,75,60,75,67,62,59,"1"
23,35,64,46,59,59,39,"1"
59,72,44,72,53,71,46,"1"
72,66,64,75,71,57,61,"1"
68,60,36,55,26,44,59,"1"
62,62,66,79,86,58,58,"1"
37,67,49,20,59,64,22,"1"
75,72,58,68,51,67,66,"1"
65,74,56,60,69,62,69,"1"
72,75,59,68,65,58,48,"1"
69,74,71,74,71,59,76,"1"
62,44,66,67,68,53,48,"1"
47,71,71,79,64,65,43,"1"
64,82,43,73,61,57,74,"1"
69,72,63,72,70,62,69,"1"
55,62,74,67,73,64,66,"1"
64,54,71,72,64,56,70,"1"
54,69,56,67,58,61,66,"1"
65,51,63,76,66,56,71,"1"
69,67,60,76,70,55,65,"1"
73,79,66,61,56,60,72,"1"
68,71,70,75,69,58,67,"1"
32,34,53,54,42,61,31,"1"
76,40,34,50,77,48,39,"1"
60,60,45,55,80,72,53,"1"
64,69,65,64,40,71,65,"1"
65,76,67,72,27,62,69,"1"
71,79,69,75,50,64,65,"1"
55,75,77,73,58,69,66,"1"
76,70,69,80,80,60,66,"1"
70,64,69,76,48,57,73,"1"
64,74,70,74,75,54,71,"1"
76,76,56,67,70,39,49,"1"
54,68,65,72,67,67,61,"1"
68,69,64,71,53,66,59,"1"
64,59,61,74,56,61,65,"1"
40,74,67,75,69,57,66,"1"
70,70,69,65,64,67,65,"0"
66,66,72,77,60,58,75,"0"
68,74,70,73,61,70,62,"0"
64,78,66,72,58,64,72,"0"
58,71,70,71,47,50,73,"0"
61,70,79,71,61,67,66,"0"
73,78,73,75,63,59,64,"0"
56,66,76,73,60,65,73,"0"
73,66,69,81,66,66,76,"0"
59,74,73,68,61,65,71,"0"
74,70,74,77,63,65,68,"0"
72,66,59,66,68,56,68,"0"
75,77,67,73,69,61,75,"0"
59,74,66,76,66,57,78,"0"
64,71,64,73,72,65,72,"0"
