"1007_s_at","1053_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209603_at","209604_s_at","212956_at","215729_s_at","Class"
12.0666,7.8288,8.5738,10.2287,8.0617,8.531,11.1267,10.0573,13.3445,11.265,6.9551,"1"
12.7526,9.3658,5.1272,6.2819,2.8346,5.6632,3.6072,3.7156,8.305,8.7523,0.7577,"1"
12.8956,7.9326,8.7904,5.8987,3.5207,6.7752,10.0185,9.2016,12.8519,10.4149,5.8246,"1"
12.4378,7.9344,4.5907,7.3404,3.8875,5.9518,13.9223,5.1312,10.5326,8.948,4.9343,"1"
11.9015,8.7145,10.3686,11.8458,7.0303,12.9648,12.0571,10.78,14.1947,12.7044,3.4363,"2"
12.326,7.5579,3.6682,7.8375,6.4124,6.2562,2.7349,6.9875,9.724,7.7249,9.9681,"1"
11.7169,8.1215,12.795,14.1295,7.5555,14.6779,15.5869,11.9385,14.996,13.929,1.4841,"2"
11.6612,8.8958,3.4802,7.9667,6.0477,4.5939,3.4825,4.6863,7.3236,7.9109,13.2827,"1"
13.1617,5.3555,8.475,11.1843,7.8241,12.6124,4.1656,10.4262,14.627,12.7331,2.2872,"2"
12.7796,8.356,10.3336,7.2503,2.0402,4.976,1.7444,10.7034,13.8973,11.2042,6.1705,"1"
12.8244,8.0495,8.8656,12.9698,10.9699,8.7579,9.5622,11.411,14.4276,12.2626,1.4321,"2"
11.3217,7.9271,9.4682,11.7818,8.5508,9.9181,4.8583,11.0567,14.5758,11.2163,2.9005,"2"
11.3358,9.3691,4.3129,7.9329,6.9938,7.0876,5.1984,7.2876,10.2403,9.4619,10.6022,"1"
12.1187,8.1785,9.737,10.8334,8.4114,9.8341,13.3096,11.3628,14.2774,12.8769,4.7159,"2"
12.2341,8.512,8.0685,12.0949,8.3107,10.1617,3.8936,11.0086,14.3484,11.248,2.7434,"2"
12.3349,8.615,12.238,12.9905,5.9828,8.2991,3.3287,11.2769,14.4267,13.3934,1.8943,"2"
12.1046,7.6096,8.4227,12.652,8.593,10.355,12.0929,10.3587,13.9074,11.6239,8.7336,"1"
11.6775,7.7698,10.106,11.202,9.2034,14.0049,12.9869,9.6543,13.6494,12.1265,1.4228,"2"
12.8251,8.0386,5.2147,8.8311,6.4987,5.7331,5.2329,8.9991,12.9684,9.5934,7.4765,"1"
9.0519,8.1997,4.5194,8.0794,6.6908,7.647,3.8115,6.966,9.7665,10.9837,2.6406,"1"
12.0038,9.2597,7.1318,8.1639,6.8544,7.4808,6.5169,7.8156,12.6122,10.5981,6.3434,"1"
11.0649,8.4225,10.3476,11.995,10.7608,7.9622,14.1041,10.9685,14.3931,12.9209,2.7467,"2"
11.257,7.8519,10.788,10.2914,1.3456,12.5008,13.7124,9.8598,13.7352,12.2946,6.5546,"2"
10.4539,8.1741,7.5743,10.0307,5.9659,6.8735,5.3901,9.2359,12.7592,10.3561,4.2245,"1"
11.6801,9.0948,10.3959,12.9166,9.1349,11.231,8.4933,12.0863,14.9263,13.6283,1.2579,"2"
11.5621,8.6892,10.3555,12.2656,14.0911,12.0609,15.8537,10.3972,14.1932,12.3058,4.9697,"2"
9.9731,8.6738,6.4935,11.8145,9.7605,9.9181,9.4297,10.003,13.2399,11.3646,5.4411,"2"
10.8753,8.3727,3.9804,3.8104,8.0506,3.5907,2.6986,7.1924,9.582,7.2423,7.4804,"1"
12.2256,8.8031,10.9673,12.5353,1.8522,7.9438,7.9407,11.7446,14.956,12.9655,2.5081,"2"
11.7194,9.2548,10.9712,13.422,8.6838,11.9917,5.7714,11.5473,14.674,12.9782,1.5728,"2"
11.5853,8.7691,11.6516,12.5867,5.3428,10.0849,15.5693,11.8294,14.9417,13.6062,5.4503,"2"
11.0264,7.8698,8.9403,11.8206,10.0018,9.049,13.1214,9.5336,13.671,12.5998,6.9009,"2"
11.3208,8.3444,8.6209,9.17,1.2487,6.0737,3.6845,10.0765,13.839,11.6962,7.8752,"1"
11.0071,8.2161,3.3617,7.0398,8.3657,5.1177,3.8802,6.457,9.9527,8.976,9.051,"1"
11.0788,9.8339,11.5707,9.6024,7.4793,11.4973,5.8774,9.9781,14.0026,13.0948,1.4502,"2"
10.6582,8.7218,8.1877,11.0475,5.0689,5.4899,8.9028,9.5281,13.3156,10.866,1.135,"2"
11.6867,7.8849,11.9468,12.7629,5.9463,3.0643,7.6745,12.4544,15.2349,14.3211,5.199,"2"
10.8107,8.1872,10.9283,12.8106,13.0567,9.8656,9.2354,11.9442,14.9183,13.7081,5.2731,"2"
10.4926,9.4877,3.5299,6.3992,7.8199,2.4356,1.5279,6.7758,10.0017,7.6085,5.4453,"1"
11.2444,9.0395,6.4021,7.5145,5.6925,5.9063,5.02,4.6637,10.3415,7.8995,10.5501,"1"
11.3286,8.5836,8.3631,12.3486,8.5176,8.319,12.1536,10.8329,14.0905,12.346,3.1645,"2"
11.467,8.6341,11.7365,12.6635,13.5373,14.507,9.4569,12.2991,15.0195,14.4063,2.2442,"2"
10.8638,8.9588,9.9419,14.0632,14.3681,6.4488,9.8368,10.476,13.773,13.5991,4.0078,"2"
11.4372,7.9948,8.7742,12.1359,11.5708,7.2043,12.5969,9.3952,13.6573,12.5977,5.3496,"2"
10.7467,9.2031,8.8494,10.2524,3.014,9.2064,10.6867,9.4884,13.186,10.228,1.8686,"2"
12.1157,7.9863,9.1732,12.9502,6.8477,10.1785,12.8863,11.1543,14.7152,13.0467,6.1776,"2"
10.9493,8.6641,7.3977,8.3734,6.7691,2.815,6.2763,7.668,11.7681,9.441,9.396,"1"
10.8874,8.9912,10.2045,12.3648,10.2548,12.4693,6.9,10.2034,14.2836,13.1114,5.6724,"1"
11.3958,8.7964,9.9137,12.4009,9.3713,9.2609,6.002,12.0558,15.0045,12.4623,2.7471,"2"
10.4125,7.9602,5.4341,9.3602,7.4758,3.5391,13.012,8.2222,11.7642,11.2233,8.726,"1"
10.9733,9.7423,10.4918,12.5568,9.6006,7.3898,9.9726,9.9061,14.0287,11.9581,2.2476,"2"
11.9543,9.0305,10.356,11.5745,7.4398,8.8301,14.7579,10.3189,14.4412,12.8542,1.9478,"2"
11.6233,8.2703,11.4213,11.3717,8.8419,10.0982,13.0481,10.5788,14.1005,11.4698,6.1308,"2"
10.5767,8.9054,9.8751,11.1494,11.1015,10.4567,9.3393,10.5111,14.2047,12.0226,3.174,"2"
11.4375,7.9564,9.7861,12.1828,0.7447,9.0095,9.0553,11.2168,14.7614,12.7002,5.6502,"2"
11.6268,8.0073,10.6719,14.7744,4.8423,12.1128,5.9279,11.4996,14.8724,13.6442,2.5696,"2"
11.4041,8.7849,11.8875,13.3059,15.1813,7.1043,7.524,11.5555,15.1204,13.2354,3.621,"2"
10.7539,8.6856,11.3125,12.3296,14.2297,7.7708,9.5024,9.9595,13.769,11.5862,5.5826,"2"
11.3627,8.6771,10.1568,7.7434,2.2017,3.8639,3.4226,8.1615,11.264,9.3679,2.3533,"1"
11.2276,7.586,9.5181,14.6833,9.4323,11.2288,16.4488,11.4715,15.1746,14.4884,1.4906,"2"
