"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V23","V27","V29","V31","V34","V35","V38","V41","V42","V44"
75,67,73,75,60,58,69,71,65,61,74,72,51,53,63,57,60,55,59,45,43
56,68,58,67,52,61,63,76,44,61,54,70,57,68,68,55,60,58,71,52,52
63,70,64,72,56,64,58,69,68,70,68,75,62,67,68,58,58,59,64,59,43
65,60,71,72,67,72,68,72,54,55,75,71,76,61,68,63,60,49,68,75,66
68,66,70,70,62,67,73,74,69,70,70,75,66,56,68,63,64,74,75,74,65
65,62,69,62,74,72,73,69,68,59,74,77,77,74,72,61,58,58,67,73,58
52,49,74,72,72,76,77,77,67,66,66,78,75,79,78,63,63,50,68,66,37
65,77,64,65,56,62,61,69,71,74,70,74,59,68,74,64,67,65,68,56,50
61,58,66,74,68,68,72,71,40,42,52,78,75,69,69,52,58,59,76,67,58
67,59,60,65,69,69,73,70,66,63,70,75,71,64,70,63,64,67,69,70,66
64,55,65,57,64,63,75,76,59,55,70,56,60,60,63,62,62,65,77,77,63
66,65,69,68,75,63,77,77,68,68,69,71,56,65,70,64,63,73,70,70,57
61,57,71,71,73,70,76,74,66,63,76,80,62,67,67,63,64,76,70,77,67
67,65,73,78,60,57,66,62,63,63,74,81,55,57,66,64,64,74,73,73,62
71,71,71,72,77,72,73,65,69,65,81,67,75,58,58,66,61,52,58,71,68
68,49,62,59,67,64,68,67,71,62,73,75,64,67,66,61,57,72,57,68,59
74,76,72,74,70,71,73,77,70,73,69,74,62,69,75,60,62,62,75,61,49
67,68,70,72,70,72,70,76,68,71,74,74,71,69,66,57,61,51,76,73,55
70,76,62,67,74,72,80,76,55,59,62,69,63,57,52,66,62,71,62,67,60
58,74,69,74,45,44,56,49,57,62,66,75,57,67,42,68,69,69,52,39,46
65,77,72,73,57,60,59,68,65,70,72,80,61,69,72,60,67,50,66,44,40
57,47,64,71,63,69,64,71,61,60,67,69,73,62,70,65,62,58,68,68,55
42,51,72,56,72,67,58,54,56,56,65,61,47,68,45,47,48,58,54,60,39
73,62,69,70,73,67,76,77,72,66,75,73,59,58,66,66,65,71,61,72,58
61,66,70,75,60,60,74,75,64,67,68,75,51,67,64,62,69,66,59,48,47
23,60,54,35,43,64,32,46,29,28,72,74,56,59,25,59,64,57,39,76,62
59,57,70,72,62,44,76,72,53,56,69,69,54,53,38,71,65,66,46,76,66
72,73,62,66,66,64,70,75,62,67,72,64,35,71,67,57,57,61,61,66,50
68,60,63,60,45,36,72,55,50,56,68,48,32,26,44,44,55,60,59,13,13
62,63,66,62,67,66,80,79,55,55,61,66,49,86,52,58,63,76,58,54,46
37,23,70,67,56,49,26,20,36,32,65,72,76,59,15,64,61,51,22,75,56
75,67,79,72,64,58,72,68,60,62,66,70,43,51,65,67,68,70,66,60,55
65,62,68,74,57,56,62,60,65,63,74,77,53,69,62,62,64,75,69,66,50
72,64,69,75,67,59,79,68,68,56,72,74,46,65,36,58,55,72,48,56,35
69,65,70,74,64,71,70,74,66,67,71,82,64,71,69,59,67,65,76,67,63
62,54,46,44,72,66,56,67,56,56,67,77,64,68,40,53,63,66,48,35,35
47,50,64,71,71,71,53,79,39,39,55,64,74,64,40,65,69,43,43,73,59
64,69,72,82,36,43,72,73,57,63,80,78,17,61,67,57,61,59,74,33,13
69,69,73,72,66,63,76,72,69,66,69,76,63,70,63,62,64,69,69,71,57
55,62,64,62,64,74,71,67,63,66,70,77,75,73,67,64,68,54,66,68,54
64,51,64,54,70,71,70,72,64,52,72,64,71,64,63,56,56,57,70,67,56
54,52,72,69,73,56,69,67,67,61,70,72,67,58,70,61,60,67,66,78,63
65,57,58,51,70,63,71,76,58,58,63,63,67,66,63,56,50,59,71,73,60
69,75,65,67,59,60,77,76,70,68,76,78,63,70,65,55,61,69,65,67,53
73,73,75,79,64,66,68,61,71,68,77,79,59,56,67,60,60,73,72,73,64
68,58,76,71,64,70,73,75,61,58,68,78,80,69,67,58,59,58,67,66,53
32,41,76,34,65,53,30,54,16,51,61,66,19,42,30,61,16,67,31,17,18
76,65,60,40,32,34,65,50,53,37,66,65,23,77,32,48,23,65,39,35,24
60,51,75,60,65,45,64,55,55,61,66,69,47,80,48,72,57,69,53,57,46
64,60,71,69,71,65,66,64,68,59,63,68,59,40,53,71,63,66,65,75,61
65,69,66,76,58,67,65,72,66,64,77,45,48,27,67,62,66,71,69,70,63
71,76,74,79,71,69,77,75,64,64,75,65,48,50,63,64,62,64,65,64,51
55,66,58,75,71,77,68,73,63,69,77,80,60,58,67,69,79,62,66,63,53
76,77,69,70,64,69,76,80,50,56,70,73,46,80,73,60,53,54,66,51,28
70,72,65,64,71,69,75,76,65,68,69,69,44,48,68,57,58,64,73,66,50
64,72,70,74,63,70,73,74,61,69,65,81,65,75,71,54,60,64,71,65,56
76,59,82,76,80,56,74,67,67,58,77,79,48,70,35,39,28,73,49,53,29
54,53,73,68,77,65,65,72,60,50,69,67,78,67,61,67,64,55,61,73,61
68,59,77,69,77,64,75,71,64,53,67,66,67,53,64,66,60,70,59,77,70
64,63,62,59,60,61,70,74,68,63,66,72,55,56,64,61,63,69,65,74,60
40,73,61,74,61,67,56,75,64,71,75,63,63,69,66,57,64,67,66,55,51
70,72,70,70,65,69,70,65,69,72,77,74,68,64,68,67,67,66,65,78,66
66,64,64,66,67,72,72,77,65,66,64,75,61,60,60,58,58,76,75,72,62
68,70,69,74,65,70,72,73,71,68,73,70,63,61,66,70,72,60,62,66,50
64,58,70,78,66,66,74,72,66,63,72,74,53,58,61,64,65,77,72,74,70
58,63,80,71,76,70,70,71,64,63,74,71,71,47,39,50,70,58,73,82,65
61,68,62,70,76,79,71,71,73,77,75,80,67,61,68,67,67,66,66,74,58
73,80,78,78,75,73,78,75,70,66,77,76,60,63,58,59,58,68,64,63,56
56,56,63,66,76,76,68,73,62,54,65,56,64,60,74,65,61,60,73,67,59
73,74,65,66,69,69,67,81,65,62,69,61,63,66,70,66,66,72,76,75,67
59,58,69,74,71,73,70,68,57,55,64,75,69,61,75,65,66,61,71,72,62
74,69,75,70,70,74,77,77,65,67,73,74,61,63,69,65,61,63,68,66,54
72,61,64,66,64,59,68,66,76,66,77,81,68,68,64,56,56,67,68,65,56
75,73,72,77,68,67,76,73,67,65,76,74,69,69,68,61,61,72,75,77,67
59,62,72,74,66,66,74,76,63,67,72,72,69,66,65,57,63,67,78,77,70
64,66,68,71,62,64,74,73,63,67,66,81,62,72,67,65,62,68,72,62,57
