"1053_at","205225_at","206754_s_at","206799_at","209602_s_at","212956_at","215729_s_at","Class"
7.7593,12.7813,13.8159,9.1695,11.5952,12.9626,3.0363,"2"
8.5418,8.1508,7.4362,5.3695,3.8402,8.4697,11.8767,"1"
7.7959,13.5231,12.3207,11.2637,11.2158,12.9057,2.9162,"2"
7.7519,10.1043,9.1966,14.3595,9.5353,10.9192,2.592,"2"
8.1094,12.7246,10.4358,10.6856,11.8146,14.0948,5.4828,"2"
7.5099,8.3319,6.0087,4.0876,9.4299,10.3159,7.7407,"1"
8.9165,10.8645,5.4413,11.0479,10.6982,11.6761,4.7745,"2"
7.9313,8.744,5.8108,5.0635,6.9871,8.8847,6.6003,"1"
8.126,12.8959,11.4088,10.1985,11.7803,12.6705,2.5212,"1"
8.8091,9.0738,7.4451,4.4501,8.6518,9.2594,7.4796,"1"
9.0085,8.9677,5.6621,3.9521,7.1309,9.6087,10.3429,"1"
8.1614,12.9696,12.4497,4.4312,11.7829,13.312,1.356,"2"
7.5817,12.6311,8.8733,14.9199,11.2097,12.2282,4.579,"1"
8.1642,13.8544,7.465,12.624,11.083,13.6781,5.4642,"2"
8.5171,13.5618,11.9148,13.2848,11.2232,12.3461,4.7537,"2"
8.4071,7.8646,4.9465,11.2546,7.1987,9.0089,10.2946,"1"
7.9059,11.5611,8.1142,3.8936,10.3969,12.0361,2.0104,"2"
7.6896,12.3547,11.5898,13.0779,10.5789,12.7646,3.1339,"2"
9.9503,7.3536,5.4581,7.6037,8.395,8.1965,8.1741,"1"
7.914,8.1917,6.0547,4.7873,7.3265,8.736,9.1545,"1"
8.425,13.2489,8.3222,5.1807,10.3298,11.845,3.266,"2"
6.838,8.9833,7.5481,10.4618,8.5504,10.8705,8.1018,"2"
7.8347,13.0124,11.6878,4.2508,12.4508,13.3811,1.3298,"2"
7.0411,8.5951,7.624,4.1427,7.8813,10.0212,9.7757,"1"
7.8143,13.0147,9.8576,11.3314,10.917,13.1573,3.5209,"2"
8.3576,12.4514,7.0101,4.5951,10.8791,13.6726,0.9008,"2"
8.7054,13.1648,10.9327,3.9548,11.8652,12.805,2.3728,"2"
8.7217,7.2934,6.4378,6.0273,7.8548,8.1995,7.6396,"1"
7.8179,11.514,12.9019,7.6637,11.4289,13.3285,2.8214,"2"
7.6113,10.5752,6.2417,4.2041,9.7411,12.0188,4.3842,"2"
7.7361,12.9474,9.3094,10.495,10.5459,12.5319,4.381,"2"
7.7427,12.5366,12.5,5.1272,10.6476,12.3395,2.4005,"2"
7.8715,12.2221,9.1604,11.7491,10.3505,12.829,5.5252,"2"
7.7001,13.6248,6.9684,9.7339,10.6376,13.6042,2.07,"2"
6.8594,11.4629,11.0155,11.73,10.2295,11.8887,3.3747,"2"
7.1246,12.0708,9.4397,11.5165,10.7216,11.2556,4.5574,"2"
7.8182,11.3971,12.4601,10.0918,10.7626,12.8832,2.4756,"2"
8.0488,13.2511,10.5182,4.3181,11.3251,11.7287,1.7527,"2"
7.389,12.1679,8.962,8.0387,10.4067,12.2949,1.2091,"2"
7.7375,11.8665,8.781,4.429,10.5229,13.1773,1.9382,"2"
7.9905,12.3368,8.241,3.9523,10.04,12.7605,2.6365,"2"
