"1007_s_at","1053_at","117_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209602_s_at","209603_at","209604_s_at","212956_at","215729_s_at"
12.1708,7.8654,8.1378,8.7031,11.3391,8.7703,8.4029,12.6767,8.3442,8.9839,13.169,12.5047,6.2134
12.8908,8.094,9.3695,4.5763,8.4676,2.2866,6.8341,5.1505,8.2722,7.8222,12.1343,8.9354,10.3828
12.0125,8.3706,7.5099,4.1328,7.6136,5.8714,6.3841,4.6445,7.4846,7.5922,11.4554,10.5317,1.8945
11.1958,8.5326,8.0492,4.7115,8.4559,6.831,6.7498,3.2458,6.5262,6.7856,10.1851,10.1753,10.5956
11.5379,8.6753,7.9931,5.852,7.8963,9.2353,5.48,12.1276,7.2882,7.3408,10.699,9.7544,8.0793
12.2426,8.6863,9.017,5.6595,8.15,8.8528,7.1052,6.6746,8.4579,8.4789,12.1241,9.7492,10.2683
11.7422,8.3868,7.0016,10.076,12.7341,11.7697,7.0218,3.9211,10.9844,11.1457,14.3155,12.6052,1.6071
12.1271,7.2132,7.9736,8.0906,12.9117,7.0192,8.3354,10.6593,11.3471,10.9915,14.9286,12.7904,3.94
11.9852,7.7999,8.0232,11.4458,13.8611,3.2194,8.2143,11.9052,11.4407,11.4351,14.3454,13.3609,1.5849
11.831,7.5973,7.9636,9.7068,11.6071,14.3158,12.9351,3.628,10.8253,11.157,14.4465,12.8879,3.4418
11.9298,6.9393,8.6826,9.3395,12.9999,9.9379,11.1861,4.193,10.7504,11.0987,14.404,11.3677,2.2721
11.5563,8.5456,7.1632,9.8688,14.1548,12.9115,10.1335,12.7435,11.2149,11.3986,14.3343,13.2225,2.6906
12.3898,8.2476,8.0326,9.4071,11.7896,9.6092,8.3816,8.3475,10.5645,10.7427,14.2872,12.177,4.5106
12.2223,8.2085,6.9243,10.1436,13.1663,10.9252,13.0941,8.8498,11.4773,12.036,14.4551,13.0678,2.1948
12.2161,8.3784,9.2722,3.1318,7.4166,3.8593,5.3369,3.3653,7.8565,7.7591,11.528,9.2101,10.8661
11.3958,9.0461,7.7128,4.7862,8.6856,10.7432,6.7483,4.6158,5.773,5.3853,9.4435,8.8312,6.6686
11.9744,8.3758,7.0766,9.3766,12.0832,13.0675,9.9301,8.5691,10.3976,10.4631,14.7315,12.2257,2.6082
11.7052,8.1315,8.3681,3.5843,8.1952,5.6536,4.486,4.2622,7.2402,7.2157,11.3759,8.6669,6.1628
12.7443,8.4647,7.8223,8.9374,10.719,1.9116,5.5528,14.1834,10.4453,9.6384,14.1977,10.5998,3.5924
12.2154,8.3121,7.2899,10.1122,12.9374,11.46,6.7119,5.9254,11.2285,12.2846,14.8685,13.022,1.6383
13.312,7.8254,6.9466,11.2929,12.5191,14.7333,13.6082,8.0746,11.2332,11.2264,14.8729,13.4395,2.9893
12.2111,9.0572,8.5728,6.8452,3.6784,4.6527,3.9488,13.285,6.7967,7.164,11.1143,8.8364,1.7282
11.175,7.5085,6.6375,9.1324,12.0389,10.6663,10.7713,3.1352,10.9272,11.0791,14.2505,13.5637,3.1802
12.1514,8.1922,7.162,7.0044,8.2599,4.3719,6.3018,6.5105,8.2617,7.8118,11.6584,11.359,9.8613
11.4223,7.4375,7.9292,9.7578,13.6226,11.5748,8.5557,8.3304,10.4623,10.6735,13.9018,12.5382,2.6362
12.0307,8.4269,7.7089,8.353,10.8245,2.8139,4.495,13.7739,9.3914,9.0168,12.9159,11.1295,3.3684
12.7472,9.0996,7.3965,10.3654,7.4097,2.9088,6.8992,11.3628,7.5495,8.0759,12.7958,9.6608,8.5637
11.2817,8.9329,7.7798,10.7588,13.5035,6.9738,12.1784,9.5795,10.4448,10.629,13.7334,12.2744,-0.4146
13.2494,8.3434,8.0536,10.1203,12.0186,4.8975,13.1538,11.2394,9.9629,10.7869,14.2651,10.9664,5.1159
13.9012,8.0363,8.07,10.8232,13.483,8.1088,10.4051,14.4949,9.9886,11.1849,14.5038,12.3577,4.824
12.8156,7.6095,7.8763,10.2651,12.1408,7.383,13.6021,12.667,9.4858,10.725,14.5693,11.6939,2.5159
13.0941,8.2012,7.7559,10.1747,12.2749,9.63,8.7143,8.9276,9.4651,10.7588,13.8295,12.2083,1.701
11.3834,9.0703,9.1601,7.6257,7.7153,5.048,8.8027,3.4286,7.2383,7.6964,11.0267,9.8368,2.6172
12.129,7.4496,8.8902,10.746,13.0559,9.2967,11.1075,5.8542,9.6359,10.9914,14.3148,12.9762,2.7682
12.773,6.7233,7.9394,11.6026,14.0098,6.5173,13.7228,9.171,7.9591,9.569,13.8379,10.3379,3.7095
11.8927,8.0734,7.7017,10.7002,14.0217,7.4954,14.6157,4.1446,10.8931,11.3047,14.4673,12.5246,0.816
11.6298,9.2991,5.5157,7.4145,12.5402,7.8973,13.6878,7.0608,11.0902,11.802,14.3213,12.7891,3.267
12.3467,6.9379,8.1185,9.0546,10.9442,6.6514,8.8658,9.6694,10.3524,11.272,14.8717,9.9531,2.7492
11.6358,8.4829,7.9534,6.5162,7.2509,7.758,5.4812,2.9789,6.1696,7.3315,10.5023,7.9427,8.8624
10.33,6.5923,8.3097,8.0046,7.895,9.3266,8.8766,12.0573,7.9057,8.0909,11.6816,11.4561,3.1297
12.1404,8.2031,8.8399,4.5782,7.4147,8.818,5.8111,7.3296,5.2545,7.3256,9.708,9.2672,11.5796
13.0893,5.6899,7.4396,7.6451,12.2433,6.6191,5.6429,11.0777,9.2358,10.5622,14.9933,12.6507,5.9483
12.2036,7.3499,8.0411,9.2572,13.2485,7.4243,10.7595,14.0369,10.1783,11.2837,14.936,12.2621,1.8744
12.0666,7.8288,8.7373,8.5738,10.2287,8.0617,8.531,11.1267,9.051,10.0573,13.3445,11.265,6.9551
12.7526,9.3658,7.2033,5.1272,6.2819,2.8346,5.6632,3.6072,5.0434,3.7156,8.305,8.7523,0.7577
12.8956,7.9326,8.2136,8.7904,5.8987,3.5207,6.7752,10.0185,8.2213,9.2016,12.8519,10.4149,5.8246
12.4378,7.9344,7.3127,4.5907,7.3404,3.8875,5.9518,13.9223,3.6039,5.1312,10.5326,8.948,4.9343
11.9015,8.7145,6.5302,10.3686,11.8458,7.0303,12.9648,12.0571,9.6186,10.78,14.1947,12.7044,3.4363
12.326,7.5579,8.2514,3.6682,7.8375,6.4124,6.2562,2.7349,3.1119,6.9875,9.724,7.7249,9.9681
11.7169,8.1215,6.5229,12.795,14.1295,7.5555,14.6779,15.5869,10.4802,11.9385,14.996,13.929,1.4841
11.6612,8.8958,9.9619,3.4802,7.9667,6.0477,4.5939,3.4825,2.2896,4.6863,7.3236,7.9109,13.2827
13.1617,5.3555,5.3663,8.475,11.1843,7.8241,12.6124,4.1656,9.2521,10.4262,14.627,12.7331,2.2872
12.7796,8.356,5.2388,10.3336,7.2503,2.0402,4.976,1.7444,9.1944,10.7034,13.8973,11.2042,6.1705
12.8244,8.0495,6.2341,8.8656,12.9698,10.9699,8.7579,9.5622,10.0121,11.411,14.4276,12.2626,1.4321
11.3217,7.9271,7.7589,9.4682,11.7818,8.5508,9.9181,4.8583,11.5135,11.0567,14.5758,11.2163,2.9005
11.3358,9.3691,8.3139,4.3129,7.9329,6.9938,7.0876,5.1984,7.1936,7.2876,10.2403,9.4619,10.6022
12.1187,8.1785,7.5536,9.737,10.8334,8.4114,9.8341,13.3096,11.4182,11.3628,14.2774,12.8769,4.7159
12.2341,8.512,8.032,8.0685,12.0949,8.3107,10.1617,3.8936,10.9122,11.0086,14.3484,11.248,2.7434
12.3349,8.615,7.0662,12.238,12.9905,5.9828,8.2991,3.3287,11.5783,11.2769,14.4267,13.3934,1.8943
12.1046,7.6096,7.1057,8.4227,12.652,8.593,10.355,12.0929,10.1083,10.3587,13.9074,11.6239,8.7336
11.6775,7.7698,7.6795,10.106,11.202,9.2034,14.0049,12.9869,9.7199,9.6543,13.6494,12.1265,1.4228
12.8251,8.0386,7.8439,5.2147,8.8311,6.4987,5.7331,5.2329,9.2297,8.9991,12.9684,9.5934,7.4765
9.0519,8.1997,7.7855,4.5194,8.0794,6.6908,7.647,3.8115,7.0487,6.966,9.7665,10.9837,2.6406
12.0038,9.2597,7.5193,7.1318,8.1639,6.8544,7.4808,6.5169,9.0755,7.8156,12.6122,10.5981,6.3434
11.0649,8.4225,7.6146,10.3476,11.995,10.7608,7.9622,14.1041,11.0155,10.9685,14.3931,12.9209,2.7467
11.257,7.8519,7.4249,10.788,10.2914,1.3456,12.5008,13.7124,10.4628,9.8598,13.7352,12.2946,6.5546
10.4539,8.1741,8.4277,7.5743,10.0307,5.9659,6.8735,5.3901,9.0994,9.2359,12.7592,10.3561,4.2245
11.6801,9.0948,7.0226,10.3959,12.9166,9.1349,11.231,8.4933,12.5607,12.0863,14.9263,13.6283,1.2579
11.5621,8.6892,8.7898,10.3555,12.2656,14.0911,12.0609,15.8537,10.8822,10.3972,14.1932,12.3058,4.9697
9.9731,8.6738,6.4079,6.4935,11.8145,9.7605,9.9181,9.4297,9.8277,10.003,13.2399,11.3646,5.4411
10.8753,8.3727,6.9672,3.9804,3.8104,8.0506,3.5907,2.6986,6.3071,7.1924,9.582,7.2423,7.4804
12.2256,8.8031,8.1089,10.9673,12.5353,1.8522,7.9438,7.9407,12.0597,11.7446,14.956,12.9655,2.5081
11.7194,9.2548,7.5005,10.9712,13.422,8.6838,11.9917,5.7714,11.9369,11.5473,14.674,12.9782,1.5728
11.5853,8.7691,5.7518,11.6516,12.5867,5.3428,10.0849,15.5693,12.4513,11.8294,14.9417,13.6062,5.4503
11.0264,7.8698,7.7956,8.9403,11.8206,10.0018,9.049,13.1214,10.2457,9.5336,13.671,12.5998,6.9009
11.3208,8.3444,7.3242,8.6209,9.17,1.2487,6.0737,3.6845,10.5574,10.0765,13.839,11.6962,7.8752
11.0071,8.2161,4.9808,3.3617,7.0398,8.3657,5.1177,3.8802,6.9195,6.457,9.9527,8.976,9.051
11.0788,9.8339,7.859,11.5707,9.6024,7.4793,11.4973,5.8774,10.904,9.9781,14.0026,13.0948,1.4502
10.6582,8.7218,7.2115,8.1877,11.0475,5.0689,5.4899,8.9028,9.9768,9.5281,13.3156,10.866,1.135
11.6867,7.8849,7.8478,11.9468,12.7629,5.9463,3.0643,7.6745,12.7286,12.4544,15.2349,14.3211,5.199
10.8107,8.1872,7.4594,10.9283,12.8106,13.0567,9.8656,9.2354,12.1614,11.9442,14.9183,13.7081,5.2731
10.4926,9.4877,7.8447,3.5299,6.3992,7.8199,2.4356,1.5279,6.8205,6.7758,10.0017,7.6085,5.4453
11.2444,9.0395,7.8213,6.4021,7.5145,5.6925,5.9063,5.02,7.4983,4.6637,10.3415,7.8995,10.5501
11.3286,8.5836,10.8994,8.3631,12.3486,8.5176,8.319,12.1536,10.6932,10.8329,14.0905,12.346,3.1645
11.467,8.6341,7.5481,11.7365,12.6635,13.5373,14.507,9.4569,11.8087,12.2991,15.0195,14.4063,2.2442
10.8638,8.9588,7.1194,9.9419,14.0632,14.3681,6.4488,9.8368,10.9503,10.476,13.773,13.5991,4.0078
11.4372,7.9948,8.9652,8.7742,12.1359,11.5708,7.2043,12.5969,10.0584,9.3952,13.6573,12.5977,5.3496
10.7467,9.2031,6.8035,8.8494,10.2524,3.014,9.2064,10.6867,10.0387,9.4884,13.186,10.228,1.8686
12.1157,7.9863,9.3651,9.1732,12.9502,6.8477,10.1785,12.8863,11.7164,11.1543,14.7152,13.0467,6.1776
10.9493,8.6641,8.1691,7.3977,8.3734,6.7691,2.815,6.2763,8.3884,7.668,11.7681,9.441,9.396
10.8874,8.9912,5.055,10.2045,12.3648,10.2548,12.4693,6.9,10.7905,10.2034,14.2836,13.1114,5.6724
11.3958,8.7964,6.5209,9.9137,12.4009,9.3713,9.2609,6.002,12.8387,12.0558,15.0045,12.4623,2.7471
10.4125,7.9602,7.8744,5.4341,9.3602,7.4758,3.5391,13.012,8.542,8.2222,11.7642,11.2233,8.726
10.9733,9.7423,7.4428,10.4918,12.5568,9.6006,7.3898,9.9726,10.9124,9.9061,14.0287,11.9581,2.2476
11.9543,9.0305,7.5594,10.356,11.5745,7.4398,8.8301,14.7579,11.2448,10.3189,14.4412,12.8542,1.9478
11.6233,8.2703,8.14,11.4213,11.3717,8.8419,10.0982,13.0481,10.6992,10.5788,14.1005,11.4698,6.1308
10.5767,8.9054,6.9691,9.8751,11.1494,11.1015,10.4567,9.3393,11.6566,10.5111,14.2047,12.0226,3.174
11.4375,7.9564,6.7612,9.7861,12.1828,0.7447,9.0095,9.0553,11.6477,11.2168,14.7614,12.7002,5.6502
11.6268,8.0073,7.1604,10.6719,14.7744,4.8423,12.1128,5.9279,12.0137,11.4996,14.8724,13.6442,2.5696
11.4041,8.7849,8.1964,11.8875,13.3059,15.1813,7.1043,7.524,12.1999,11.5555,15.1204,13.2354,3.621
10.7539,8.6856,6.9133,11.3125,12.3296,14.2297,7.7708,9.5024,10.3284,9.9595,13.769,11.5862,5.5826
11.3627,8.6771,4.9542,10.1568,7.7434,2.2017,3.8639,3.4226,8.0318,8.1615,11.264,9.3679,2.3533
11.2276,7.586,6.6064,9.5181,14.6833,9.4323,11.2288,16.4488,12.0178,11.4715,15.1746,14.4884,1.4906
