"1007_s_at","1053_at","117_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209602_s_at","209603_at","209604_s_at","212956_at","215729_s_at"
11.4986,6.841,8.4572,8.5211,11.1112,12.118,8.3567,8.082,10.7619,10.4716,14.2077,12.6923,4.7914
12.2528,8.6071,7.4646,7.4136,8.3414,3.317,7.5195,3.5392,8.8358,8.3591,11.8983,11.046,9.2198
10.2911,5.7879,8.5336,5.8756,10.9402,5.5166,8.2209,11.5105,8.6016,8.3425,12.0589,10.4459,3.1912
11.8509,8.7986,7.6671,3.5539,8.4434,5.0648,4.8825,14.4102,8.2769,7.8074,11.6384,10.7341,8.1825
12.1978,8.8164,8.9842,5.0213,8.7318,3.8427,8.0147,11.1748,7.8013,7.9237,11.3765,9.7123,8.7423
11.4072,8.1883,8.4065,5.3555,8.3963,9.5074,8.1672,4.4583,8.7655,8.2396,11.8763,9.4395,7.9547
12.7367,8.0052,7.2505,9.9006,12.5963,11.0595,8.4653,9.6497,10.9173,10.448,14.3791,13.5241,2.9889
11.9765,7.6044,7.7339,10.1724,11.8094,13.1976,11.673,12.5231,11.2801,11.5412,14.6664,12.4003,2.149
11.3246,8.2015,9.2606,5.0777,9.5325,4.5438,8.523,5.5402,7.2842,8.5502,11.2533,9.5156,4.9883
12.0941,7.8253,8.07,9.9225,13.2295,13.5228,10.6489,13.2658,11.4294,11.2723,14.6063,13.3231,1.9647
10.7466,4.913,8.4845,4.9111,9.8211,7.6988,6.9457,5.0914,8.0979,8.0455,11.8927,9.7818,6.2769
11.0495,9.2408,8.9309,4.8718,8.0818,3.8364,6.3319,4.2433,3.1345,3.262,9.0602,10.2891,3.0053
11.7385,8.1488,8.3088,4.6842,8.2941,7.6448,5.8694,4.2842,7.0294,6.7032,9.8569,9.4854,10.9867
11.5092,8.145,7.5542,8.6045,10.7936,8.1116,7.308,10.9854,9.9289,9.9565,13.3907,12.3283,7.1663
11.7728,8.6772,8.4128,7.9291,10.5265,6.1495,5.7323,7.6674,8.5997,8.3648,11.6264,10.6652,9.4107
12.1022,7.6784,9.1484,6.8564,10.9363,6.9588,11.8804,10.8981,10.4971,9.4729,13.6854,11.7619,4.8463
12.0736,7.816,6.7201,10.2253,12.3623,6.9838,10.0473,7.9773,10.9421,11.2154,14.3026,13.7027,3.8809
11.2111,7.323,8.6958,4.3686,7.7249,8.235,7.1169,3.4144,3.3417,6.819,10.0601,8.6748,10.3695
11.8962,8.1039,8.2509,3.8683,8.8049,8.6676,6.8085,4.3188,9.2261,8.2934,12.4318,9.8927,9.3743
12.124,8.588,8.1537,9.0213,10.9305,7.4277,6.4077,14.0581,10.8712,10.2029,14.2924,13.6215,3.5025
10.9237,8.298,10.4419,4.3544,7.6342,3.528,5.1583,2.8053,8.666,8.1925,11.803,9.1482,1.0689
12.236,7.4006,7.7955,10.3597,12.3505,9.9342,6.9298,3.8597,10.8978,11.2649,14.2572,13.7271,1.2775
10.7914,8.6287,6.9254,4.4654,5.6522,6.5326,7.3472,3.4204,8.2167,8.8613,11.6091,9.7463,7.8107
12.2148,7.8514,6.9006,7.6664,8.8267,6.9673,8.6548,13.294,9.2572,8.69,12.2612,11.4818,3.1003
11.7166,8.6037,6.9041,10.8188,13.2534,10.4338,8.7383,10.9965,11.146,10.7143,14.4516,12.0823,1.4498
12.7646,6.7644,8.079,4.2515,8.2067,10.6848,6.5909,4.2971,2.8049,6.3456,9.323,8.2743,10.4698
11.9024,7.9691,7.5642,8.7817,11.2609,9.9571,8.1456,12.8622,9.8207,10.454,13.8873,12.12,7.7638
12.0173,5.1489,8.6382,9.417,13.2832,9.86,12.5153,4.8937,11.5757,12.1875,15.0499,12.9248,2.9577
11.2714,7.226,9.7721,9.2128,11.7827,12.3232,8.2431,14.8214,9.8421,9.8295,12.857,11.1322,3.1549
11.2179,8.7762,7.8778,3.8957,8.3335,6.6963,5.892,3.8603,7.0231,6.7513,10.9505,9.0008,5.5568
11.2065,8.4165,8.0671,4.5598,8.3603,4.2248,7.6677,4.8021,9.408,8.5707,12.9642,9.5846,6.1849
11.4876,8.1887,6.4387,4.1196,8.9474,3.0887,5.9233,5.2903,7.7035,7.8886,11.1661,10.3331,1.9105
11.8805,9.0496,8.175,4.4122,7.5993,5.7663,5.3579,4.7796,6.2378,4.2335,8.4591,8.2055,6.772
11.939,8.5198,11.3532,9.0992,12.0116,13.8127,9.5652,10.2749,11.4442,10.985,14.4863,13.3762,2.8635
11.5551,7.835,7.5747,10.6052,13.5384,13.0434,9.7597,9.134,10.8067,10.4355,14.0091,13.0526,2.8702
11.6529,7.4979,7.279,5.4812,10.3875,8.902,9.7464,5.9668,9.2669,9.0036,12.7246,10.7508,4.536
12.0608,7.8334,8.1746,10.8056,11.8833,7.5963,8.6569,11.8333,10.7378,10.3411,14.1508,11.8967,2.5142
11.5139,8.6451,7.7891,8.6574,12.7416,7.3556,6.7339,5.2458,10.6317,10.6374,13.903,12.0272,1.5145
11.8896,8.1589,8.4072,3.7011,8.3177,8.4301,5.9303,4.2755,8.819,8.07,11.9822,9.3578,8.8079
11.5006,9.1396,7.8892,3.9342,7.5472,5.3488,4.3457,4.0027,7.2429,6.4117,10.0502,8.7783,1.7874
11.9052,7.7421,7.9753,4.0861,8.1155,7.2201,7.8528,3.8327,7.1435,6.8301,10.4376,9.5652,10.4593
11.959,9.4844,7.2895,5.4141,7.6352,2.575,5.9165,3.9053,2.3006,4.5568,8.647,8.6382,8.8795
12.218,7.7593,8.1299,9.8616,12.7813,4.0914,13.8159,9.1695,11.5952,11.0723,14.6049,12.9626,3.0363
12.3984,8.5418,7.4417,4.4204,8.1508,6.1454,7.4362,5.3695,3.8402,6.0447,9.2359,8.4697,11.8767
12.7551,7.7959,8.5725,9.7046,13.5231,4.1792,12.3207,11.2637,11.2158,11.3949,14.6885,12.9057,2.9162
11.9883,7.7519,8.6974,7.569,10.1043,5.1855,9.1966,14.3595,9.5353,9.5043,13.4794,10.9192,2.592
12.0864,8.1094,8.0351,8.4344,12.7246,13.1664,10.4358,10.6856,11.8146,12.7051,14.8864,14.0948,5.4828
11.9235,7.5099,8.514,4.4874,8.3319,2.1198,6.0087,4.0876,9.4299,9.3373,12.9919,10.3159,7.7407
11.9922,8.9165,8.1214,7.3645,10.8645,11.2211,5.4413,11.0479,10.6982,9.5157,14.0646,11.6761,4.7745
11.9809,7.9313,9.3479,4.621,8.744,8.4889,5.8108,5.0635,6.9871,5.7116,10.9437,8.8847,6.6003
11.9526,8.126,7.3146,10.6938,12.8959,10.198,11.4088,10.1985,11.7803,12.5287,14.8459,12.6705,2.5212
12.0866,8.8091,7.8527,3.8038,9.0738,2.7208,7.4451,4.4501,8.6518,7.8664,11.9892,9.2594,7.4796
12.0421,9.0085,6.3289,3.5465,8.9677,7.1947,5.6621,3.9521,7.1309,7.5786,9.7365,9.6087,10.3429
12.0653,8.1614,6.6753,10.235,12.9696,9.056,12.4497,4.4312,11.7829,11.8311,14.639,13.312,1.356
11.6125,7.5817,7.7215,8.3783,12.6311,8.885,8.8733,14.9199,11.2097,11.2871,14.6195,12.2282,4.579
11.8752,8.1642,7.8343,10.4104,13.8544,12.1748,7.465,12.624,11.083,10.8398,14.0292,13.6781,5.4642
12.2996,8.5171,8.0176,9.8327,13.5618,8.4265,11.9148,13.2848,11.2232,10.7851,14.4498,12.3461,4.7537
12.3869,8.4071,8.0141,5.6005,7.8646,7.3411,4.9465,11.2546,7.1987,5.5279,10.3847,9.0089,10.2946
11.8751,7.9059,7.4239,8.922,11.5611,8.1643,8.1142,3.8936,10.3969,10.2249,13.9413,12.0361,2.0104
12.2129,7.6896,7.7091,9.7447,12.3547,6.0408,11.5898,13.0779,10.5789,10.4605,14.3246,12.7646,3.1339
11.5913,9.9503,7.1183,3.8208,7.3536,7.8629,5.4581,7.6037,8.395,8.0759,11.2951,8.1965,8.1741
11.954,7.914,7.9862,4.5014,8.1917,9.5374,6.0547,4.7873,7.3265,5.7232,10.5017,8.736,9.1545
12.1595,8.425,7.7688,8.9709,13.2489,6.7096,8.3222,5.1807,10.3298,9.9662,13.7316,11.845,3.266
11.9564,6.838,7.9928,4.998,8.9833,3.324,7.5481,10.4618,8.5504,8.1141,11.9141,10.8705,8.1018
12.1499,7.8347,5.3019,9.0212,13.0124,9.9712,11.6878,4.2508,12.4508,12.5177,15.222,13.3811,1.3298
11.8839,7.0411,8.4763,4.368,8.5951,9.7359,7.624,4.1427,7.8813,7.9319,11.3661,10.0212,9.7757
12.7356,7.8143,7.3539,8.5372,13.0147,7.1415,9.8576,11.3314,10.917,10.8802,14.1921,13.1573,3.5209
12.1771,8.3576,7.6182,11.019,12.4514,12.114,7.0101,4.5951,10.8791,11.7911,14.4429,13.6726,0.9008
11.6306,8.7054,7.5483,10.3132,13.1648,9.4473,10.9327,3.9548,11.8652,11.4665,14.8381,12.805,2.3728
12.1274,8.7217,8.3809,4.2482,7.2934,5.5188,6.4378,6.0273,7.8548,6.9991,10.9706,8.1995,7.6396
12.5949,7.8179,7.5622,10.9903,11.514,13.1827,12.9019,7.6637,11.4289,11.5206,14.6411,13.3285,2.8214
11.0304,7.6113,8.4018,7.3388,10.5752,8.2365,6.2417,4.2041,9.7411,9.374,13.0389,12.0188,4.3842
12.4597,7.7361,7.9245,10.4579,12.9474,9.4671,9.3094,10.495,10.5459,11.0125,14.4864,12.5319,4.381
12.1696,7.7427,10.1666,9.7538,12.5366,8.5422,12.5,5.1272,10.6476,10.4784,13.9689,12.3395,2.4005
12.4202,7.8715,7.5772,8.6446,12.2221,5.6468,9.1604,11.7491,10.3505,10.0836,13.8432,12.829,5.5252
11.9979,7.7001,6.4521,11.0725,13.6248,14.4983,6.9684,9.7339,10.6376,11.1768,14.191,13.6042,2.07
11.9181,6.8594,8.429,9.2554,11.4629,7.8008,11.0155,11.73,10.2295,10.2244,13.8913,11.8887,3.3747
11.9971,7.1246,8.224,8.7978,12.0708,5.8334,9.4397,11.5165,10.7216,9.932,13.8067,11.2556,4.5574
11.8023,7.8182,8.0532,9.4939,11.3971,11.1944,12.4601,10.0918,10.7626,10.9843,14.3569,12.8832,2.4756
11.4574,8.0488,8.2875,8.5265,13.2511,4.0449,10.5182,4.3181,11.3251,10.7429,14.808,11.7287,1.7527
11.9181,7.389,8.2965,4.8506,12.1679,3.3636,8.962,8.0387,10.4067,11.1496,14.0629,12.2949,1.2091
11.7012,7.7375,8.5987,10.9406,11.8665,10.2147,8.781,4.429,10.5229,10.415,14.0113,13.1773,1.9382
11.9795,7.9905,7.4312,9.1084,12.3368,10.4994,8.241,3.9523,10.04,9.9737,13.6365,12.7605,2.6365
