"1053_at","205225_at","206754_s_at","206799_at","209602_s_at","212956_at","215729_s_at","Class"
9.2031,10.2524,9.2064,10.6867,10.0387,10.228,1.8686,"2"
7.9863,12.9502,10.1785,12.8863,11.7164,13.0467,6.1776,"2"
8.6641,8.3734,2.815,6.2763,8.3884,9.441,9.396,"1"
8.9912,12.3648,12.4693,6.9,10.7905,13.1114,5.6724,"1"
8.7964,12.4009,9.2609,6.002,12.8387,12.4623,2.7471,"2"
7.9602,9.3602,3.5391,13.012,8.542,11.2233,8.726,"1"
9.7423,12.5568,7.3898,9.9726,10.9124,11.9581,2.2476,"2"
9.0305,11.5745,8.8301,14.7579,11.2448,12.8542,1.9478,"2"
8.2703,11.3717,10.0982,13.0481,10.6992,11.4698,6.1308,"2"
8.9054,11.1494,10.4567,9.3393,11.6566,12.0226,3.174,"2"
7.9564,12.1828,9.0095,9.0553,11.6477,12.7002,5.6502,"2"
8.0073,14.7744,12.1128,5.9279,12.0137,13.6442,2.5696,"2"
8.7849,13.3059,7.1043,7.524,12.1999,13.2354,3.621,"2"
8.6856,12.3296,7.7708,9.5024,10.3284,11.5862,5.5826,"2"
8.6771,7.7434,3.8639,3.4226,8.0318,9.3679,2.3533,"1"
7.586,14.6833,11.2288,16.4488,12.0178,14.4884,1.4906,"2"
