"1053_at","117_at","201555_at","201798_s_at","202683_s_at","202752_x_at","204681_s_at","204825_at","205225_at","205347_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208712_at","208893_s_at","212583_at","216092_s_at","218862_at","220034_at","Class"
8.6066,7.6073,9.7768,10.847,8.671,11.1166,8.3131,7.8425,8.4135,8.8222,7.2473,1.2254,7.8806,8.1616,8.4329,8.4438,8.1595,4.9762,11.0201,9.4588,3.923,"2"
8.6218,8.3951,11.3627,10.8392,8.4774,7.6869,6.9096,10.9267,6.8669,9.6485,3.0084,5.1843,3.3592,7.4557,7.9754,7.4293,7.3924,4.01,8.25,9.4357,3.6024,"1"
7.4527,8.5629,10.0811,10.6651,8.7929,11.0198,8.0487,8.0305,14.2366,7.4195,4.1976,5.6462,10.4562,10.706,9.0115,9.9654,10.0373,7.2114,11.1471,10.6393,6.6055,"2"
7.8985,7.4182,10.9399,11.1003,8.5249,10.5053,8.1944,9.2584,13.7238,7.5515,1.9739,6.3242,7.0074,10.9245,9.4589,12.59,3.7585,7.6974,10.4007,7.7134,2.8204,"2"
7.5916,7.0778,9.6737,10.8877,9.3496,9.1068,8.1527,6.5086,11.4232,7.8687,8.3189,7.0117,8.6194,10.6312,9.6399,9.7057,7.4601,7.0385,9.5301,9.7131,3.5271,"2"
7.8654,8.1378,10.4243,10.5641,9.0988,9.8403,6.329,8.7244,11.3391,7.8192,8.3858,7.1863,7.2543,9.0516,9.5235,9.3675,4.7845,7.3632,9.6559,9.5686,4.5569,"2"
8.094,9.3695,11.489,11.1045,8.7428,7.8727,7.6082,10.147,8.4676,7.7452,3.5091,4.9541,1.455,5.2623,8.555,8.393,9.9467,6.3673,8.6213,9.7675,6.7596,"1"
8.3706,7.5099,10.7828,10.0689,8.3378,10.1012,8.3982,10.2818,7.6136,9.2266,7.6023,5.2113,7.0114,6.7671,8.9291,4.942,10.2675,4.3566,9.9085,8.2309,5.2808,"1"
8.5326,8.0492,11.1756,9.7689,9.4808,8.2687,8.0842,11.3874,8.4559,11.3462,3.1262,7.5126,6.8685,4.5541,8.9693,8.5806,4.3763,4.3464,7.6612,9.4998,3.7997,"1"
8.6753,7.9931,10.9818,9.501,8.6481,7.665,9.2965,9.3234,7.8963,10.9086,6.5944,2.326,4.725,6.711,8.5741,8.7624,6.42,3.763,8.8773,9.775,5.9363,"1"
8.6863,9.017,10.5183,10.7505,8.8667,6.6264,9.2926,9.1115,8.15,9.3755,2.7958,2.1703,0.7312,7.4051,8.9399,10.0643,8.7184,5.0429,7.5883,8.6868,6.7768,"1"
8.3868,7.0016,10.1097,12.3745,8.8376,10.6621,7.7931,8.7482,12.7341,7.7963,9.9649,5.8002,7.4238,11.0641,9.5603,11.9017,7.1009,7.4359,10.5436,10.7866,5.2779,"2"
7.2132,7.9736,9.8389,10.1102,8.8409,8.9291,8.0223,8.9516,12.9117,7.5627,6.3908,5.8737,4.109,7.0907,9.1595,10.5825,4.9203,7.868,8.8647,10.0058,6.37,"2"
7.7999,8.0232,10.3356,10.9478,8.5476,10.6512,7.2182,9.2962,13.8611,6.3085,7.9133,4.1024,6.5967,10.205,8.8288,13.5594,3.8805,7.6307,9.6685,9.5268,3.686,"2"
7.5973,7.9636,10.1426,11.5942,8.8273,9.6309,7.5663,9.2599,11.6071,7.5325,8.402,5.1685,9.1012,9.6662,9.228,12.9048,8.563,7.7124,9.4151,9.5466,2.1582,"2"
6.9393,8.6826,10.2234,11.1675,8.9186,10.8457,6.969,8.861,12.9999,7.3226,8.4926,6.9631,5.7058,9.1906,8.2561,9.6908,5.045,7.7493,10.8503,9.6403,3.7695,"2"
8.5456,7.1632,9.8379,11.3726,9.0872,10.3307,9.5969,7.1354,14.1548,8.4298,3.4367,6.941,10.3224,10.6106,9.7086,8.687,7.213,7.7057,10.232,9.4672,3.2054,"2"
8.2476,8.0326,10.7093,11.1294,8.6772,9.0023,8.8394,9.7813,11.7896,8.8431,10.7881,5.3949,6.6161,6.9617,8.8503,11.6025,6.5781,8.0479,9.2289,8.6189,3.6005,"2"
8.2085,6.9243,10.6596,10.0451,9.3781,9.9403,8.5111,9.8995,13.1663,9.6022,6.5252,2.2611,7.4575,7.8234,8.9428,10.449,9.9378,7.4066,9.9047,9.8881,5.0134,"1"
8.3784,9.2722,11.1921,11.6723,8.4318,7.0882,7.7967,10.9992,7.4166,8.558,3.441,6.3584,5.577,7.0607,8.6123,9.5105,4.1973,6.4754,8.3375,9.0254,3.3009,"2"
9.0461,7.7128,10.5659,10.0889,8.8182,7.7849,8.2888,11.3268,8.6856,7.4041,4.8939,6.5829,5.638,4.6072,8.3668,10.8179,4.0311,5.0654,8.2948,9.5725,5.856,"1"
8.3758,7.0766,10.2238,11.4763,8.5136,9.8308,7.5869,8.811,12.0832,8.5517,6.7067,3.2886,9.6608,10.0213,9.3115,11.0687,7.1212,7.4383,9.6809,9.4968,7.4329,"2"
8.1315,8.3681,10.6924,9.6204,8.6583,7.2072,8.2718,9.5556,8.1952,8.2874,8.0697,6.0104,6.9061,6.0234,9.0937,10.443,5.2871,6.4938,8.3491,8.675,3.9802,"2"
8.4647,7.8223,11.686,9.3804,8.8859,11.0226,7.7982,10.1972,10.719,7.3624,2.8617,2.8318,6.9259,5.0672,8.3819,6.7677,6.5167,6.2201,11.132,8.6492,6.281,"1"
8.3121,7.2899,10.4251,11.449,8.3075,10.6841,8.2759,9.282,12.9374,6.9085,6.1982,4.4016,3.7065,10.1324,9.653,12.3403,3.6254,7.0152,10.6706,10.291,3.5788,"2"
7.8254,6.9466,9.3162,12.3482,8.8435,10.0776,7.6141,7.6357,12.5191,7.2406,3.761,6.4676,6.8416,10.8409,9.442,10.3076,5.2725,7.0636,10.1108,10.8427,4.1771,"2"
9.0572,8.5728,11.4136,10.2126,8.1166,6.1055,6.2864,8.1501,3.6784,8.9752,4.9964,6.6674,5.4935,4.3572,9.8019,8.8258,10.2591,6.7262,8.4253,9.2753,7.4273,"2"
7.5085,6.6375,9.52,11.8912,8.967,6.4582,7.3689,8.1192,12.0389,7.352,7.0111,4.5499,8.7637,9.968,10.7207,12.1723,6.828,7.7437,8.1619,10.5976,4.9292,"2"
8.1922,7.162,9.9158,10.5386,8.4002,8.5256,7.9604,9.082,8.2599,9.2222,7.0009,5.4407,7.6185,6.9801,10.0824,10.5113,10.3347,6.4894,8.7965,7.9881,4.3139,"2"
7.4375,7.9292,9.6217,11.591,8.5629,10.9805,7.0612,7.6574,13.6226,6.5204,8.0277,5.2043,8.1699,10.0142,9.215,10.2953,10.1861,6.5855,11.1699,9.86,5.8753,"2"
8.4269,7.7089,10.61,9.2002,8.4951,10.8103,7.418,10.2918,10.8245,9.3941,1.5564,5.6975,9.7015,6.3512,8.9089,10.0825,6.0076,7.379,10.3819,9.2165,3.0172,"2"
9.0996,7.3965,10.2746,10.1666,8.7774,6.4154,8.3282,9.495,7.4097,8.3357,5.6778,3.2196,5.1033,4.6829,9.3043,9.6233,11.3229,7.3659,8.5291,8.4062,7.8791,"1"
8.9329,7.7798,9.9329,10.7946,9.7883,10.0847,7.1954,9.2073,13.5035,5.8788,6.8589,5.0061,9.153,11.2591,9.4618,11.1538,8.0512,7.0065,9.3779,10.5581,2.9659,"2"
8.3434,8.0536,11.1504,9.8926,9.1798,8.6659,7.2407,9.0335,12.0186,8.738,7.6482,3.2306,1.8715,9.2235,8.9624,9.7677,8.0197,6.6906,9.2028,8.2541,6.8479,"1"
8.0363,8.07,10.4431,10.5845,8.928,11.1422,7.584,8.0562,13.483,7.14,8.084,2.0972,6.6523,11.5201,9.0772,10.4592,5.7283,6.2269,10.7669,9.6453,5.2182,"2"
7.6095,7.8763,10.9864,10.3766,8.295,10.9034,6.7642,9.2941,12.1408,8.3035,5.9316,5.4513,3.022,5.7484,9.3638,8.9891,8.6792,7.2096,10.4152,10.3876,3.3951,"2"
8.2012,7.7559,10.7568,9.8823,8.738,9.5446,6.5453,9.0568,12.2749,7.0047,6.165,5.884,3.5645,10.3504,10.0161,10.9159,7.8143,6.5423,9.6138,9.6282,2.2915,"2"
9.0703,9.1601,10.746,10.6253,8.6235,9.8414,7.172,10.3325,7.7153,9.6089,5.045,1.5661,7.0728,8.545,8.7633,10.5455,9.6207,7.2807,9.6985,9.378,5.1767,"2"
7.4496,8.8902,10.0589,9.9497,8.2363,10.1676,4.6442,4.9519,13.0559,6.8058,7.4501,3.6865,4.5145,9.6946,9.0083,9.0903,7.6192,8.2188,10.0585,10.7206,7.7178,"2"
6.7233,7.9394,9.817,9.7985,8.6368,9.4801,6.8946,9.1308,14.0098,8.4896,3.3156,7.5077,6.7996,8.4009,9.6391,9.5062,4.0978,7.2265,9.6836,9.978,5.0665,"2"
8.0734,7.7017,10.33,11.0316,8.5998,10.392,6.8147,8.1911,14.0217,7.8585,6.4491,5.6695,7.4605,10.4643,9.2203,11.4918,8.0776,7.0214,10.4378,10.221,5.0226,"2"
9.2991,5.5157,9.811,7.8729,8.5449,6.0757,8.2488,9.2677,12.5402,6.8312,5.7718,4.348,10.0269,4.8113,9.5516,11.7033,3.4496,7.2555,7.3782,8.9352,2.2354,"2"
6.9379,8.1185,10.2067,10.557,9.1222,9.907,7.9262,9.3697,10.9442,7.9592,7.6386,2.3524,5.5177,11.4547,8.8533,9.6665,4.955,7.0273,9.638,10.5464,3.4827,"2"
8.4829,7.9534,10.5579,9.671,9.276,7.1502,7.1119,12.2253,7.2509,11.4876,1.9308,4.474,6.1337,7.8623,8.5389,9.5423,6.9049,3.9341,8.2662,9.5494,5.0417,"1"
6.5923,8.3097,9.2315,10.7529,8.1839,10.2158,7.8067,7.237,7.895,7.6288,7.2137,5.5426,4.8947,8.2559,9.9116,11.4572,9.7653,7.3282,9.9697,9.2421,6.26,"2"
8.2031,8.8399,10.9098,9.9654,8.7856,7.4565,7.9046,8.7246,7.4147,10.1479,7.8198,4.4491,7.0648,5.7018,9.8144,9.986,6.2948,8.0923,8.433,8.8205,3.861,"2"
5.6899,7.4396,10.3201,10.8574,8.8491,10.71,7.8069,9.6864,12.2433,9.669,8.5666,3.2666,7.8534,7.9792,9.4136,9.6865,7.7927,7.4974,10.0201,9.679,3.6252,"2"
7.3499,8.0411,9.7802,10.2941,8.6075,9.9416,7.5876,5.5625,13.2485,7.8318,4.4006,4.4718,7.8907,10.106,9.6731,10.0244,8.9199,8.1716,9.5759,10.595,5.0437,"2"
7.8288,8.7373,9.816,11.0254,8.4654,8.526,5.975,6.6557,10.2287,8.5883,8.0786,5.9476,8.0673,9.3415,9.5907,9.7876,8.6894,7.9834,9.683,10.1239,4.3096,"2"
9.3658,7.2033,11.1873,11.1419,7.7173,9.0916,7.1708,9.3256,6.2819,6.1013,1.5296,5.5688,4.9308,4.1019,9.5101,11.7007,6.2424,4.6754,9.1729,9.45,2.4258,"2"
7.9326,8.2136,9.6388,10.5705,8.2919,9.8286,7.3748,8.765,5.8987,9.6316,7.8113,6.2939,2.2406,7.7174,8.6604,9.0404,9.1877,7.0446,9.7048,9.1974,6.2694,"2"
7.9344,7.3127,10.3642,10.0124,8.5633,6.2886,8.8658,10.3825,7.3404,9.1566,3.8454,5.5994,7.0578,8.1461,7.5699,10.3835,9.7598,6.5485,6.924,8.9346,3.9608,"1"
8.7145,6.5302,10.2285,10.0172,8.6439,8.437,7.2999,9.5374,11.8458,8.0291,6.4839,6.5803,7.2947,11.0142,9.3315,9.9386,3.7908,6.962,9.4629,10.7166,2.2574,"2"
7.5579,8.2514,10.8789,9.9128,8.806,6.395,8.0636,9.2367,7.8375,7.5396,8.4809,6.1573,5.7989,5.7297,9.401,11.1443,5.5649,6.7101,8.8685,10.1094,4.2801,"2"
8.1215,6.5229,10.6276,9.4474,9.2801,10.8811,6.9479,7.801,14.1295,9.1267,7.1223,5.2914,8.4435,9.0803,9.2177,9.5546,10.3221,3.7228,11.0616,9.8052,4.2887,"2"
8.8958,9.9619,11.0685,9.6993,8.8977,6.1009,7.6103,11.1335,7.9667,10.4564,5.4968,6.1338,5.5493,8.5133,7.6196,7.5246,4.1918,3.678,8.6025,10.9711,4.3681,"1"
5.3555,5.3663,10.4298,10.3439,8.7418,9.5371,6.3526,8.4018,11.1843,8.236,8.8632,7.1928,7.1977,7.0578,9.2631,10.5531,6.5365,6.2267,9.7235,9.1909,2.654,"2"
8.356,5.2388,10.9094,10.5088,8.0082,9.7323,7.4021,9.9298,7.2503,7.4525,10.8606,3.1448,2.356,5.7798,8.4697,9.7622,8.1365,8.1797,10.0368,7.8205,5.3963,"2"
8.0495,6.2341,10.714,11.1631,8.6293,10.7815,6.4912,8.0873,12.9698,6.9834,8.6953,5.7268,8.4588,11.1965,9.1321,10.7556,6.485,7.4839,10.3452,10.1903,2.8336,"2"
7.9271,7.7589,10.4104,9.7103,9.3621,9.3005,6.8623,8.6014,11.7818,7.4951,4.47,5.8052,6.6774,10.0359,9.1687,9.8945,5.3173,7.3763,9.6254,11.0799,6.6689,"2"
9.3691,8.3139,11.1706,9.614,9.3352,6.8514,8.5453,10.7522,7.9329,10.3083,4.5433,5.4275,3.6613,6.7518,8.831,7.3751,4.6463,7.3187,7.5825,9.0904,6.3371,"1"
8.1785,7.5536,10.1161,11.5588,8.877,11.0423,7.066,8.1237,10.8334,7.167,10.4472,4.5104,6.9834,10.0016,9.3431,11.302,5.071,6.1912,10.7937,10.4184,4.6611,"2"
8.512,8.032,10.6367,9.4918,8.7834,7.1436,6.4127,9.5552,12.0949,7.7138,8.9201,6.7638,7.9041,7.6172,9.4796,12.0862,4.5768,7.4982,7.3458,10.0365,3.8594,"2"
8.615,7.0662,10.0111,10.4332,8.0939,9.075,6.9681,8.7584,12.9905,8.4992,5.4284,3.0322,9.7135,5.5155,9.2987,10.1834,4.708,6.471,8.8805,9.1649,3.7899,"2"
7.6096,7.1057,9.6214,11.4016,8.5245,9.8288,8.4536,7.6291,12.652,8.1205,4.8372,5.4867,5.4392,10.0675,9.1619,10.8702,10.8215,7.101,9.5386,9.7827,5.7713,"2"
7.7698,7.6795,10.119,11.0338,8.8456,9.8695,5.7602,8.4941,11.202,7.7738,6.6906,4.1307,9.6113,10.5054,8.6631,11.2249,6.4988,7.4952,9.7613,9.7191,5.8909,"2"
8.0386,7.8439,10.3989,10.322,9.5136,7.7591,8.4912,8.8775,8.8311,9.6076,5.4038,3.3941,7.8205,7.0226,6.1638,10.3091,8.7133,6.5454,8.9393,6.6149,6.9688,"1"
8.1997,7.7855,10.3797,7.4328,8.9422,7.2895,7.4562,8.4085,8.0794,7.1096,2.9544,6.4202,4.834,5.5951,9.3874,7.9628,6.3851,6.3933,8.5461,8.2473,5.9286,"1"
9.2597,7.5193,10.3432,9.503,8.7433,8.7462,9.4563,9.7121,8.1639,7.4094,5.3857,3.9129,6.8328,8.556,9.4381,8.1376,8.8787,7.0312,8.7145,7.3965,5.8051,"1"
8.4225,7.6146,9.2594,11.4511,8.9028,9.7018,7.6536,6.9412,11.995,7.3029,8.9099,5.972,7.2539,10.9204,9.7453,10.1817,8.197,7.317,9.5977,9.1274,3.7446,"2"
7.8519,7.4249,10.0886,8.9992,8.8492,8.8357,7.854,9.0273,10.2914,8.4788,5.5181,2.0715,6.4384,8.7882,9.5318,9.7416,7.9037,6.6258,9.4333,9.5227,3.8676,"1"
8.1741,8.4277,9.511,9.5729,8.6878,8.8602,8.2158,8.6341,10.0307,7.4671,5.9524,2.9461,7.4345,5.284,8.8694,10.6083,9.9681,7.4799,8.9443,6.1638,6.9522,"2"
9.0948,7.0226,9.6903,11.7433,8.8657,9.1102,8.4913,8.9894,12.9166,7.6484,9.9554,5.0141,7.1931,11.05,9.0913,11.3359,8.9467,4.904,9.035,10.4642,5.8769,"2"
8.6892,8.7898,8.9343,10.3434,8.3007,9.4447,7.2111,7.6281,12.2656,6.1771,7.9708,4.0294,6.905,10.1206,11.0516,11.1239,9.4976,7.4078,9.4398,10.1757,3.8185,"2"
8.6738,6.4079,10.1272,9.4206,8.5644,8.0313,6.7046,8.1514,11.8145,7.1651,5.2557,5.1443,6.8435,9.6513,10.0604,11.1774,7.9166,6.5385,8.0143,9.716,4.0559,"2"
8.3727,6.9672,10.765,8.6297,9.2796,5.0322,9.0334,11.3208,3.8104,8.7581,2.6831,5.7946,3.4294,7.0484,9.0789,5.9809,3.713,6.8254,6.5367,9.5627,3.956,"1"
8.8031,8.1089,9.8021,10.5307,8.7299,5.6481,7.9153,9.411,12.5353,8.2034,3.8754,1.232,3.2508,4.2954,10.0656,11.1145,7.436,6.3655,8.1647,7.9256,5.5372,"1"
9.2548,7.5005,10.0018,11.5642,9.0705,11.0779,8.7311,8.9287,13.422,7.0714,2.0557,3.8344,9.4843,10.3954,9.8773,12.6551,9.9929,6.1932,10.9748,10.9037,2.1928,"2"
8.7691,5.7518,9.6159,10.4344,8.1238,7.0714,7.8803,9.8079,12.5867,6.8421,3.6865,2.7339,6.9361,8.1708,8.9253,10.7082,7.778,6.3366,8.6992,9.0701,5.881,"2"
7.8698,7.7956,9.6423,10.7397,8.4562,6.9905,8.7836,6.9932,11.8206,5.19,8.6612,5.2607,1.558,9.0735,10.0628,9.4388,9.9769,6.1531,9.2059,9.4328,6.7341,"2"
8.3444,7.3242,10.2454,8.5882,8.3381,6.0696,7.8026,9.7872,9.17,9.212,8.0579,3.1371,6.6801,7.1284,8.7363,9.1784,3.7414,5.5286,7.8926,8.0951,7.0494,"1"
8.2161,4.9808,9.9449,9.8368,7.7903,4.067,6.7458,9.7566,7.0398,6.1097,7.5031,4.3936,5.2437,4.7041,9.6454,12.6096,5.2429,5.1483,7.7143,9.0663,4.0797,"2"
9.8339,7.859,10.2328,9.8529,8.0851,10.2141,8.2878,10.3223,9.6024,8.6901,5.7905,5.7773,6.1417,8.8404,10.6328,10.2632,9.0279,5.1677,10.4972,9.0977,2.7276,"2"
8.7218,7.2115,10.5688,9.3098,8.8976,8.5222,8.2977,9.8364,11.0475,7.4871,4.9178,0.7961,2.0886,4.1098,9.1606,8.4111,8.4281,7.1292,8.535,9.9633,4.8933,"1"
7.8849,7.8478,9.1603,10.9751,9.1237,9.3566,8.4913,7.1419,12.7629,7.241,7.765,4.5822,10.11,10.4891,10.1212,11.4256,8.1173,9.9483,9.8774,9.3176,5.4088,"2"
8.1872,7.4594,9.0114,11.5561,8.7824,9.7307,7.8728,8.009,12.8106,7.8608,10.391,3.3581,7.1122,10.8682,9.926,11.6185,9.5691,6.8715,10.2776,9.7824,5.5367,"2"
9.4877,7.8447,12.0051,10.3459,8.5106,7.1726,7.2429,10.7112,6.3992,10.6718,4.3679,3.735,1.3746,5.3303,8.7581,6.6639,3.1129,5.2367,6.2595,7.7215,4.9781,"1"
9.0395,7.8213,10.2218,10.0476,9.5648,6.0561,7.3891,9.9527,7.5145,8.9949,4.9285,5.8808,6.4255,4.6899,9.006,10.6652,4.3599,6.7247,7.313,8.8885,5.553,"1"
8.5836,10.8994,9.9845,9.6434,8.9343,7.5395,3.5145,8.7264,12.3486,7.7992,9.005,6.134,7.9829,6.1981,9.6406,12.9446,4.2612,7.3648,9.245,9.1291,4.4379,"2"
8.6341,7.5481,9.3789,11.3194,8.4784,9.2398,7.6448,8.6923,12.6635,6.8795,7.4318,3.4925,6.7376,11.0701,8.9292,12.7606,7.1126,6.94,9.7807,10.5301,3.9438,"2"
8.9588,7.1194,10.0404,10.3317,8.6772,8.8358,8.6163,8.5499,14.0632,8.1455,3.5201,6.6644,5.3883,10.0461,10.4052,13.5732,9.3434,7.8254,9.2452,10.0022,3.4826,"2"
7.9948,8.9652,9.5745,11.06,9.1693,9.4045,7.8803,4.1824,12.1359,7.6858,7.8491,5.6085,6.8991,8.4046,9.6868,8.8492,9.8726,5.2331,9.7318,9.1495,4.2575,"2"
9.2031,6.8035,10.3878,9.2849,8.4935,6.4873,7.7815,9.5473,10.2524,7.8275,2.6847,1.5311,6.4289,5.3877,9.6473,9.6036,5.5336,6.6026,7.8689,9.2873,3.3798,"2"
7.9863,9.3651,9.8527,11.1625,8.5317,5.9492,7.2549,9.125,12.9502,8.2496,8.3625,2.0196,5.9945,9.3646,8.8036,10.9162,4.1813,6.9898,7.4704,11.325,5.9803,"2"
8.6641,8.1691,10.0625,10.8092,8.2866,5.6825,5.7149,10.2958,8.3734,8.5354,5.4673,6.5603,2.0489,5.5229,9.5149,9.5861,8.0329,4.3594,7.1588,9.5412,5.8964,"2"
8.9912,5.055,9.5427,10.493,7.6009,6.8809,7.2971,9.7261,12.3648,7.4481,2.9714,5.6486,8.2319,10.6033,8.7415,9.4545,4.6478,6.5777,8.9926,10.5122,4.8977,"2"
8.7964,6.5209,9.5946,12.3743,8.5372,9.1219,7.1154,8.1444,12.4009,7.3611,8.6038,5.5728,7.2243,10.268,10.5002,10.9898,9.9481,7.1584,9.7026,11.3605,2.0929,"2"
7.9602,7.8744,9.7531,10.8096,8.7887,8.2792,8.1777,8.81,9.3602,8.0663,8.0537,2.1782,1.2438,7.884,9.8015,9.2948,9.6208,7.0912,8.0276,8.9595,5.8252,"1"
9.7423,7.4428,10.1059,12.0006,8.8322,8.8087,6.5974,9.6292,12.5568,6.009,2.6853,4.8719,7.4196,10.4049,10.2823,10.4591,3.0909,7.1744,9.0474,9.1409,3.8187,"2"
9.0305,7.5594,10.3072,10.9208,9.1252,10.0108,7.9589,8.8264,11.5745,6.051,8.2076,6.3102,4.6472,8.9693,10.0279,10.8591,7.9428,7.0395,10.3864,9.5488,2.3111,"2"
8.2703,8.14,9.9256,10.6569,7.9795,10.3366,7.5062,8.9147,11.3717,6.8984,3.0284,5.4158,6.1767,9.3479,9.2697,11.3785,5.9043,6.2607,10.9053,9.3775,7.1987,"2"
8.9054,6.9691,9.7574,11.5476,9.0493,8.1805,7.6834,8.6085,11.1494,6.5502,10.4589,4.5629,6.8949,7.4395,9.9437,11.1748,8.5005,5.9553,8.6074,8.6868,5.2749,"2"
7.9564,6.7612,9.5985,10.6567,8.785,9.7606,6.9526,8.0961,12.1828,6.9006,7.9763,5.5352,4.8215,8.5209,8.7817,10.1339,5.0411,6.2213,10.2525,9.7249,1.9426,"2"
8.0073,7.1604,10.2803,11.7004,8.3615,10.287,8.0788,8.5877,14.7744,8.24,8.8773,4.4578,9.8189,11.0416,8.6713,11.0433,8.4736,6.505,10.3274,10.0716,6.7147,"2"
8.7849,8.1964,9.4695,10.9464,8.4348,9.8171,7.3239,9.115,13.3059,6.6257,5.6396,5.6615,8.1514,10.162,8.7415,12.2159,9.0084,6.9349,10.0742,11.8397,7.6742,"2"
8.6856,6.9133,9.8046,11.0972,8.5682,8.7537,7.9332,8.3835,12.3296,8.008,6.8398,5.9341,7.8221,8.4216,9.3036,12.3086,5.6948,6.8231,9.6954,10.2334,5.3797,"2"
