"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","177_at","179_at","200670_at","200711_s_at","200810_s_at","201231_s_at","201413_at","201508_at","201826_s_at","201983_s_at","202088_at","202089_s_at","202504_at","202641_at","203144_s_at","203256_at","203628_at","203963_at","204497_at","204508_s_at","204667_at","204798_at","204863_s_at","204881_s_at","205009_at","205066_s_at","205186_at","205225_at","205471_s_at","205696_s_at","205862_at","206754_s_at","207038_at","208615_s_at","208682_s_at","209602_s_at"
11.7166,8.6037,6.9041,10.2148,5.6824,8.8631,7.7002,6.7957,6.5325,5.4535,6.9686,8.7431,8.8045,10.311,9.5277,8.3674,7.3395,6.4294,9.876,14.1837,11.882,11.5231,12.8523,10.6137,9.8545,10.1217,6.6465,14.4335,13.4882,7.9268,10.746,9.2383,4.33,9.1625,12.7713,8.0941,10.8188,11.2348,10.8314,10.0075,11.42,11.4941,10.4518,8.8082,13.2534,5.7139,11.1961,9.3341,8.7383,9.6344,10.2777,12.7797,11.146
12.7646,6.7644,8.079,11.1874,7.4942,9.1287,8.4016,7.1104,6.6707,6.8874,9.7158,8.6482,9.3185,11.0956,10.0653,9.6547,7.666,7.613,10.3855,9.6421,10.4962,10.1148,12.1297,9.5708,8.5271,8.4527,9.998,10.4389,9.5351,11.3742,8.962,6.031,6.3611,9.0528,8.4904,5.0847,4.2515,8.2408,11.1266,7.7809,8.824,7.7597,8.8968,4.7377,8.2067,3.7101,6.4973,7.3433,6.5909,7.6618,9.575,9.8407,2.8049
11.9024,7.9691,7.5642,10.7593,6.2799,8.9467,8.5068,7.5574,7.2339,7.0175,9.6001,8.5832,9.7406,11.4866,9.9714,8.6866,7.0951,7.8338,11.0664,12.522,11.553,11.8498,12.6463,10.7887,10.8859,9.098,8.7885,12.4781,11.8692,9.6244,9.4727,8.5448,8.4431,9.6508,11.2715,8.3645,8.7817,9.9388,9.4835,10.6572,11.0648,13.9184,7.9499,7.7686,11.2609,8.2252,8.0269,7.7624,8.1456,6.4236,10.0448,10.602,9.8207
12.0173,5.1489,8.6382,11.3509,8.0343,9.3544,8.6227,5.6652,8.7628,7.5915,9.029,9.2669,10,11.3284,10.8103,8.9052,8.0792,7.4968,11.4577,11.7892,11.3717,11.6787,11.7906,9.4576,8.928,9.9672,7.2068,14.6152,13.9677,9.4785,9.3928,10.511,6.6806,9.4672,11.6632,7.7575,9.417,11.1631,10.1681,10.7449,11.6114,9.4318,8.8599,7.2642,13.2832,8.7426,6.0614,6.9366,12.5153,8.3621,10.4616,10.6049,11.5757
11.2714,7.226,9.7721,11.7383,7.2381,9.6736,8.8532,8.4947,9.2752,8.0422,8.4674,9.342,10.1322,11.0991,11.0187,8.633,8.6031,7.9853,11.4275,12.8448,10.3988,10.3769,12.2248,9.6828,8.69,7.9834,7.8147,12.7589,11.9442,8.838,9.5426,7.0238,6.0775,9.1514,11.5773,9.023,9.2128,9.8086,9.5115,9.5245,10.411,11.8153,9.5173,5.4287,11.7827,7.5454,8.6672,8.5264,8.2431,8.2854,10.3617,10.9886,9.8421
11.2179,8.7762,7.8778,10.7529,6.4465,9.5136,8.2276,5.0464,9.333,6.6534,8.1926,9.2466,9.228,10.2022,9.9553,9.6123,7.2671,7.0845,10.1068,11.07,10.9552,10.7153,12.7597,9.4881,5.8179,8.0461,8.3124,10.395,9.5073,9.3267,8.6217,8.1744,7.5598,7.9267,8.2061,6.3429,3.8957,7.3023,9.0112,9.085,9.986,7.7087,5.5226,4.7467,8.3335,6.6277,5.6557,2.6012,5.892,5.1664,10.1297,8.6931,7.0231
11.2065,8.4165,8.0671,10.8857,7.5553,8.7978,7.8152,6.8182,9.5005,4.8446,10.1328,9.3775,9.4887,11.3515,10.3133,8.514,6.3808,7.0302,10.9269,10.6678,10.9527,10.7533,12.5278,9.7721,6.1986,9.3329,8.6542,10.1468,8.8476,8.7487,9.3249,8.4345,8.394,8.3347,7.6781,6.9671,4.5598,7.7724,10.4465,8.8182,9.0932,6.5596,8.288,5.0392,8.3603,7.1496,5.6125,6.0721,7.6677,5.6949,10.2621,9.2704,9.408
11.4876,8.1887,6.4387,10.4598,6.4744,9.6372,7.7155,5.0553,10.6336,5.9448,6.5608,8.541,9.1038,10.0398,10.5084,9.4861,5.1677,7.7347,10.54,9.7118,11.1476,9.989,13.4936,9.0483,7.7943,8.8033,9.1731,9.9248,9.2473,7.8024,8.5644,5.5591,12.5679,4.0254,7.8703,5.1523,4.1196,7.5809,7.39,8.3269,10.1471,7.7106,4.0594,4.087,8.9474,3.3004,7.1078,3.18,5.9233,5.0535,9.9058,9.4035,7.7035
11.8805,9.0496,8.175,10.5756,6.6547,8.4199,7.6498,6.4126,8.7811,6.1937,8.6273,8.8455,9.0493,10.5571,9.4442,8.4923,7.8245,8.3027,10.0744,10.311,11.2854,10.0121,13.7647,8.9772,5.3524,8.3087,8.0153,11.1792,9.9674,10.6336,8.413,6.9646,7.9444,8.5249,7.937,8.4354,4.4122,6.5437,9.7399,7.0116,8.7066,6.9996,7.0477,4.5974,7.5993,6.4087,5.6592,5.6576,5.3579,5.1289,9.5228,9.3695,6.2378
11.939,8.5198,11.3532,11.0197,7.7268,9.2153,8.657,7.8144,4.2532,8.1443,9.8449,9.2683,9.5519,10.7822,10.1752,8.5671,5.7504,6.9067,10.6639,13.1507,11.3245,11.5095,12.0833,10.1235,11.857,10.0554,5.902,13.8364,12.8841,10.1775,10.852,8.5372,7.0038,9.8129,12.1423,8.1308,9.0992,10.4764,10.9504,11.1963,11.8136,15.8673,8.2117,8.5957,12.0116,8.3798,9.3591,10.2231,9.5652,8.417,10.7584,12.5261,11.4442
