"V4","V5","V10","V12","V13","V17","V19","V20","V23","V25","V26","V29","V30","V31","V32","V34","V35","V36","V37","V40","V41","V42","V44","Class"
65,68,75,80,77,61,68,63,73,69,48,44,66,59,75,64,64,63,61,74,67,51,45,1
64,70,60,68,68,63,74,64,77,73,59,67,65,69,78,61,62,64,67,71,71,71,66,0
68,70,69,69,73,71,75,66,73,74,63,68,66,69,78,69,70,71,73,73,77,72,64,0
69,67,66,77,73,55,66,69,73,79,69,66,68,65,75,59,61,65,64,81,75,74,69,0
70,77,67,74,73,70,70,67,75,68,69,69,71,74,75,63,70,71,69,70,73,66,58,0
79,77,65,66,66,68,73,63,67,69,68,61,69,68,73,70,66,64,70,73,76,79,65,0
74,80,67,75,80,64,67,70,82,68,63,60,54,56,70,59,65,55,58,73,70,69,42,0
74,76,68,78,79,69,66,73,81,68,75,70,58,65,79,74,71,66,64,78,68,75,62,0
71,68,64,71,81,69,73,61,79,65,62,65,71,68,67,59,64,66,65,74,71,69,63,0
77,74,65,75,78,60,65,73,76,81,66,63,63,67,76,63,64,63,64,76,75,72,65,0
74,74,68,71,78,72,68,72,78,68,63,67,76,74,67,67,71,71,64,83,76,74,54,0
71,69,61,69,68,70,76,73,78,81,74,79,73,75,77,65,64,72,72,71,74,68,58,0
68,78,61,67,70,58,67,59,72,73,56,52,67,68,73,65,68,61,67,77,75,74,63,0
72,75,73,75,79,67,69,79,80,73,60,67,69,69,75,66,67,67,66,66,69,62,55,0
69,76,65,74,73,63,62,73,74,69,66,59,69,69,76,65,63,60,60,69,74,69,62,0
70,76,65,75,76,61,67,78,73,68,67,68,70,75,76,59,63,72,69,65,72,61,51,0
73,69,60,73,66,67,70,60,76,75,65,60,74,71,77,61,68,71,70,73,76,62,52,0
78,78,67,72,75,66,67,66,80,75,67,67,67,65,77,61,64,63,66,77,67,78,60,0
75,75,77,76,78,65,75,74,77,67,61,67,61,63,75,66,62,59,61,69,67,65,61,0
66,72,61,61,62,62,77,69,78,77,69,74,64,63,66,58,60,65,69,77,77,69,65,0
73,78,61,59,76,66,68,65,68,75,62,78,68,69,70,65,65,66,67,69,72,70,60,0
67,69,66,73,78,65,77,69,79,68,56,64,68,68,69,62,67,66,70,74,77,71,63,0
78,84,53,71,70,53,67,54,71,74,54,57,62,64,75,62,65,60,64,72,77,62,61,0
74,76,68,75,76,61,70,67,72,62,56,62,67,73,76,58,63,64,68,70,72,64,60,0
53,60,64,64,65,71,70,70,78,71,71,64,67,71,71,62,66,72,73,64,71,70,53,0
63,70,61,68,68,67,69,65,78,70,65,71,70,71,73,58,63,68,71,77,79,79,66,0
66,68,62,63,68,68,68,58,66,76,64,60,70,72,71,67,69,72,71,70,72,75,62,0
69,71,67,69,79,62,71,58,78,74,68,68,68,68,71,59,57,65,66,78,74,68,57,0
75,72,64,70,75,72,73,68,76,76,66,68,72,75,72,65,61,66,67,72,72,68,57,0
80,78,69,73,76,61,68,67,80,74,57,65,61,65,71,63,65,67,67,63,72,68,61,0
73,72,57,64,62,62,58,63,76,80,75,62,74,68,77,70,68,68,64,69,66,74,62,0
68,67,67,69,65,67,68,65,75,69,63,64,56,61,62,66,66,62,58,75,64,79,59,0
70,78,64,71,73,62,62,72,78,76,66,61,68,76,72,65,64,67,63,67,77,66,59,0
74,70,57,64,64,59,63,63,73,76,75,58,69,66,72,64,65,63,65,75,80,74,71,0
71,74,66,74,72,66,72,75,81,75,71,82,69,72,76,60,56,66,66,73,72,66,54,0
75,80,66,72,70,65,69,73,77,79,67,66,69,68,70,63,59,66,63,81,78,79,65,0
72,72,63,73,76,61,64,74,77,72,61,58,63,69,76,64,65,66,67,70,71,64,56,0
67,71,56,77,61,71,64,62,75,72,76,70,71,77,71,56,54,62,64,71,68,64,56,0
73,75,65,74,75,70,69,67,75,64,66,61,64,69,73,64,66,61,64,68,75,74,67,0
72,72,67,71,69,64,68,70,77,60,49,69,70,69,76,63,66,64,69,73,75,68,58,0
69,66,63,68,66,68,69,66,72,73,67,57,70,68,75,65,67,69,65,67,69,71,59,0
