"1007_s_at","201508_at","201555_at","201798_s_at","202683_s_at","203139_at","203628_at","203928_x_at","203963_at","204508_s_at","204681_s_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206401_s_at","208670_s_at","208712_at","208893_s_at","209173_at","209560_s_at","209603_at","209942_x_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","214164_x_at","214612_x_at","215729_s_at","215867_x_at","216092_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","220034_at","220773_s_at","222256_s_at"
11.8791,7.0344,10.2953,10.0933,8.6115,9.2549,8.2839,5.1021,7.2156,3.8022,6.9664,10.7267,4.085,7.3225,8.2921,9.4939,5.9865,6.0438,6.9006,4.5127,4.42,3.536,4.7161,8.1283,9.0662,3.7827,3.2267,7.7383,7.8765,10.9728,9.1898,6.7721,6.0959,0.9574,9.5513,7.9435,10.3564,8.876,7.9949,7.8574,9.5914,10.4246,9.988,9.5693,6.1314,6.3385,7.5315,3.001
11.9716,9.2956,9.9562,10.2031,9.3272,9.5308,9.0017,7.6512,9.9232,7.5111,6.1453,7.478,7.8358,10.5792,7.3219,8.1364,10.3423,7.6756,4.5409,6.7532,7.0115,7.0166,7.238,9.931,9.2055,7.6142,12.0077,8.3721,9.942,7.972,9.28,8.8372,5.6577,7.6695,10.8375,11.2051,6.1075,8.288,11.5012,9.7508,10.1533,9.2016,9.6389,5.8086,8.4296,4.8138,7.8532,5.993
11.961,7.1646,10.168,12.7426,8.635,8.9875,5.2418,4.7908,7.5919,3.9454,8.5195,10.8804,2.4966,10.5622,6.1828,7.5671,2.2352,6.6799,1.7593,3.0293,9.8675,8.328,3.65,8.6945,8.4912,4.7939,9.6504,6.9641,4.1991,5.3225,11.9445,7.342,4.2233,1.2145,9.0847,8.3261,5.0784,8.7505,8.5402,7.9543,9.3176,11.9928,7.1632,8.6684,6.4979,3.2631,6.177,4.6789
12.3903,10.4797,9.9726,9.716,8.1599,7.829,9.4664,9.6353,12.1442,9.7169,7.4677,8.6607,3.2678,13.3712,6.6325,8.323,4.4006,8.9283,6.0129,3.9041,5.8204,4.0766,9.5991,9.2531,9.9347,4.5708,12.2897,7.5544,10.4073,6.7479,9.2068,8.5354,7.179,6.7728,11.4833,12.5048,4.5001,2.9568,12.3636,10.7211,11.7613,6.769,10.185,10.5102,8.8838,3.5877,8.292,4.4785
11.707,10.9438,10.065,11.3602,8.3325,9.3678,9.48,8.6687,11.5607,9.3821,7.9681,6.766,6.6552,12.4182,5.9372,7.0496,10.5365,7.9204,9.9627,5.8034,7.5517,6.8433,8.8056,9.4525,9.726,7.8242,11.8047,6.8721,10.3235,6.8153,10.4572,9.156,7.4363,7.5149,13.0667,12.3616,4.1468,6.3008,12.1581,9.9597,11.7116,6.7571,9.5749,9.4369,6.4887,6.3822,7.3543,7.3899
11.5398,5.578,10.1748,10.8728,8.6214,9.5396,7.4912,5.3288,7.8746,5.8315,9.7549,9.7675,10.713,8.3408,6.3203,11.4922,8.3674,6.6681,2.9505,3.5526,6.7371,4.6032,7.5217,8.6802,9.9102,10.5707,11.8799,6.9345,7.6337,9.6627,8.9316,7.3206,6.4616,8.5935,9.9522,8.8009,8.9303,6.3368,8.486,8.1195,10.6896,10.3308,8.5396,8.5262,5.9505,7.9476,6.8771,4.8788
11.1113,11.0139,10.1409,11.3515,9.4828,9.124,9.6527,9.4309,12.2552,9.8595,6.7336,9.8635,4.5766,13.0582,5.9751,9.0497,4.7363,10.1645,7.1801,3.908,6.849,4.0795,9.4601,9.5551,10.4318,5.88,14.1781,8.0151,10.7095,6.8581,9.9049,9.2143,5.8374,5.2724,13.1867,12.4874,5.617,3.5299,12.3287,9.8092,11.8855,8.4338,10.3279,8.671,9.7413,6.3279,7.5076,6.4885
11.4986,8.3513,9.7696,10.615,9.2349,9.7394,8.4765,7.7927,10.3641,8.5211,6.5078,5.131,7.2286,11.1112,6.9528,8.4444,7.4835,8.2787,7.0996,6.9308,7.1388,5.0518,6.5679,8.6223,9.2862,8.3351,12.1042,8.5531,10.4716,6.2431,9.39,8.0318,7.48,8.9873,12.6923,11.1489,7.2041,4.7914,11.2978,9.7664,11.0762,10.014,8.9251,8.4779,6.1078,5.6253,7.4403,5.0853
12.2528,7.1072,9.7629,11.1479,9.5725,8.38,5.8185,8.105,9.1563,7.4136,8.1432,9.5011,9.6536,8.3414,5.8739,11.7702,4.321,5.9541,7.302,4.1376,7.2829,5.8167,7.9526,9.0472,9.9431,9.1135,12.4807,7.386,8.3591,9.8522,9.2731,7.9109,6.5584,9.9277,11.046,10.4863,9.7575,9.2198,10.269,9.5203,10.6186,9.9491,10.1516,10.2026,6.2126,3.8067,7.1126,5.4322
10.2911,6.0122,10.3438,8.4884,9.28,9.2906,6.7312,6.2511,9.7647,5.8756,8.2574,7.7534,4.6913,10.9402,7.7302,8.6552,4.3474,6.9549,3.7231,6.2246,6.8361,8.8493,5.6745,9.1214,8.0228,5.9221,12.5537,8.6728,8.3425,7.9673,6.8246,6.0723,8.2812,6.2555,10.4459,10.2178,7.8696,3.1912,10.473,8.4435,9.2289,6.4822,8.4966,7.8203,7.7307,4.7716,7.7254,5.5804
11.8509,6.3782,10.2161,11.61,8.2933,8.3442,6.5279,8.2616,8.5081,3.5539,8.8303,10.4037,7.8498,8.4434,6.1927,9.4055,6.9048,4.5812,7.4311,3.6381,6.3994,3.8042,7.6048,8.9399,9.8512,9.6461,12.0414,5.0979,7.8074,13.1345,10.1455,8.1183,6.5729,6.2255,10.7341,8.621,12.3455,8.1825,8.864,8.2704,9.0708,8.5293,9.5559,9.6338,6.89,7.2052,6.8399,5.6803
12.1978,9.0884,10.1697,11.0205,9.1473,8.4578,7.3048,6.564,9.4466,5.0213,7.9567,10.9307,11.036,8.7318,7.5264,8.6184,9.3658,5.7546,2.7854,6.2403,6.8826,3.8754,6.7645,8.6684,10.7242,5.7518,9.9522,7.0252,7.9237,5.7974,9.9033,7.7723,5.4214,4.654,9.7123,10.2349,6.8165,8.7423,9.9293,8.8652,10.4835,9.4082,9.3135,6.1497,5.8092,5.5839,7.2134,5.0952
11.4072,7.8273,10.5388,10.036,8.0626,9.9106,6.0125,7.4337,8.6174,5.3555,6.5332,9.8896,9.508,8.3963,8.0521,11.1825,6.883,4.8185,3.0531,6.5406,4.4021,8.63,7.6486,9.5982,7.8191,5.6327,4.5639,8.2356,8.2396,7.8205,9.5125,4.3903,6.5685,7.7581,9.4395,9.8033,5.4946,7.9547,9.9754,10.2043,9.0058,11.1806,9.5703,5.826,7.7114,3.9087,7.5572,5.3649
12.7367,11.0597,10.1804,11.8889,8.5283,8.3011,10.1825,10.413,12.3017,9.9006,7.121,7.5225,4.1512,12.5963,5.5413,7.5318,6.0811,8.9338,8.4969,5.4808,8.0925,2.853,10.4524,9.5689,11.0693,6.4512,14.0042,8.3088,10.448,6.7334,10.9302,9.1651,6.3768,6.0465,13.5241,12.7444,5.6487,2.9889,12.8062,10.5386,12.2834,8.9649,10.1788,8.9293,8.646,3.7542,7.0501,7.0601
11.9765,9.7576,9.7414,12.2816,8.8818,8.8134,10.3907,10.419,12.0313,10.1724,6.2496,8.6405,5.8945,11.8094,6.6512,8.4553,8.5975,9.6278,8.0966,6.4894,9.7937,9.5513,10.3261,9.4933,10.5058,6.6187,14.8256,7.1226,11.5412,5.8662,9.8738,9.7341,7.135,7.4732,12.4003,12.8842,6.8032,2.149,12.651,9.5736,11.9493,5.499,9.9468,8.4213,8.799,5.4664,7.3922,5.9297
11.3246,5.6339,10.6784,9.7424,8.8102,9.7061,5.1206,8.3603,9.388,5.0777,6.5775,9.3761,9.6348,9.5325,6.9183,10.6108,4.1732,8.2068,3.6195,8.0514,7.7493,6.4366,5.5532,8.9333,7.8496,6.1241,8.8531,8.4237,8.5502,7.969,8.5828,9.0978,8.618,5.286,9.5156,9.7176,5.9877,4.9883,9.8165,7.1506,10.3809,8.3737,8.5661,7.219,8.3895,6.3491,7.766,4.8734
12.0941,11.0073,10.2872,11.9984,8.8178,8.7764,10.3884,10.376,12.2924,9.9225,7.3132,7.913,6.6723,13.2295,6.4985,7.2527,4.1062,10.6705,3.0033,2.8618,7.851,9.2093,10.2809,10.044,10.2195,4.9612,14.4807,8.4525,11.2723,5.8046,10.7663,7.3662,7.9168,2.4529,13.3231,12.8662,6.8228,1.9647,12.8399,9.7678,11.6609,7.2611,11.0592,9.2239,7.4891,4.9938,7.5714,5.7747
10.7466,9.7997,9.971,9.8081,8.9657,9.7097,7.9524,6.8961,9.3836,4.9111,5.7637,8.266,8.1688,9.8211,9.2418,9.2081,9.3168,7.1302,6.3255,5.4719,7.4201,5.1403,5.4465,8.916,9.4998,6.3888,9.2244,7.5563,8.0455,9.7945,8.312,8.8656,6.9489,3.5606,9.7818,10.1881,8.9527,6.2769,10.2575,8.9952,9.5664,7.1367,9.8295,7.3153,7.059,5.7662,8.0325,5.5379
11.0495,7.1037,11.3858,7.0468,9.5847,9.9307,7.0103,8.2953,8.1414,4.8718,8.0617,10.5696,7.2173,8.0818,9.1681,13.0719,5.9196,6.9497,3.4543,7.662,9.2661,3.5423,8.1006,9.2633,4.815,4.5178,4.141,7.4816,3.262,5.2644,6.6097,5.53,6.4832,5.3572,10.2891,8.413,7.5677,3.0053,8.6043,8.0624,8.773,10.9541,9.2716,6.4161,9.2088,6.4577,7.675,3.8751
11.7385,9.2937,11.2473,10.0082,9.396,9.3468,8.861,6.7556,8.6106,4.6842,7.4295,9.7544,7.7558,8.2941,7.7156,11.7092,3.4743,6.7366,10.6102,3.3061,6.3116,5.4869,6.1902,8.3582,10.0978,5.5881,7.2935,7.96,6.7032,12.6307,8.9915,9.5252,6.6063,3.8916,9.4854,9.2377,12.0625,10.9867,9.4152,8.2192,8.9585,11.3906,8.9443,6.0221,7.3233,3.0671,7.3433,4.809
11.5092,12.5116,9.7646,11.5924,8.2116,9.2267,9.0276,7.8698,10.4926,8.6045,7.7176,7.4019,5.8342,10.7936,6.9985,7.812,10.3618,6.6943,8.0656,3.7318,5.4072,7.0774,7.7088,9.6738,9.5612,9.344,10.6397,7.375,9.9565,5.229,10.5188,9.008,6.6527,8.6353,12.3283,10.9763,5.4697,7.1663,11.0839,9.2433,11.2424,10.5039,9.2129,7.5877,6.7042,3.1203,7.2502,7.3829
11.7728,8.9315,9.3936,10.8719,8.9714,8.8209,7.4228,9.0553,10.5662,7.9291,9.6798,8.5758,8.6947,10.5265,6.217,10.1821,2.7613,6.7143,4.8122,5.6378,7.8192,6.6402,8.3359,9.0088,9.8615,8.6112,11.1319,7.5549,8.3648,12.6671,9.2655,7.7539,6.9528,9.4928,10.6652,11.2218,12.1671,9.4107,11.1135,9.3554,10.588,8.688,9.1257,9.2754,7.5686,7.8498,7.3474,5.0269
12.1022,9.6636,9.8132,10.3543,9.7897,9.3846,9.437,8.6496,10.9169,6.8564,5.8246,7.8682,5.5625,10.9363,6.4983,8.918,4.883,7.9986,5.0795,6.7129,8.0249,4.1596,9.4683,9.1828,9.5833,6.4709,13.6772,7.8658,9.4729,7.2921,9.6002,8.8727,7.0073,6.8306,11.7619,11.6355,5.0902,4.8463,11.483,9.69,10.4028,9.0242,8.6907,8.4996,8.6913,5.7527,5.3186,5.2905
12.0736,11.3164,9.6172,11.5754,9.2809,9.1584,8.6975,10.5942,12.0188,10.2253,7.9062,3.7292,6.298,12.3623,6.9902,7.8133,3.0628,7.1989,11.213,6.8895,6.2977,3.4971,10.4172,10.25,10.5873,7.1348,11.8078,7.167,11.2154,7.7151,10.1093,10.1588,6.671,4.4609,13.7027,12.7394,6.8708,3.8809,12.7932,10.8367,12.0433,8.5034,10.3078,9.2045,7.5512,2.8298,7.4205,5.4817
11.2111,8.8474,9.7439,10.1174,9.3533,9.9282,7.9236,6.2836,8.4605,4.3686,4.5705,8.4215,8.372,7.7249,7.6526,8.8313,3.2635,6.5774,8.0019,6.4521,6.2541,4.3607,5.015,8.021,8.9647,8.4683,3.0582,8.007,6.819,9.3455,9.0219,9.4031,4.685,6.6562,8.6748,8.7381,9.0619,10.3695,9.281,8.1451,8.2677,10.0816,8.8767,7.9382,8.06,9.6403,6.2536,4.2811
11.8962,10.3529,11.7024,11.3508,8.8077,9.5278,7.8752,5.8075,8.1379,3.8683,7.9715,10.3916,10.4601,8.8049,7.7563,10.1961,4.4207,5.7465,9.4825,6.8028,5.4322,4.7249,6.9606,8.2877,10.0783,5.187,8.3153,6.517,8.2934,8.031,10.1222,10.7373,4.5616,6.742,9.8927,8.8905,6.481,9.3743,8.8671,8.4804,9.3297,11.903,9.2949,6.0709,7.4254,3.2815,7.4596,3.6889
12.124,10.009,10.7528,10.9393,8.5953,8.0395,8.7981,9.9707,11.6258,9.0213,7.3964,9.3481,6.3107,10.9305,6.7533,7.482,4.5539,8.4959,8.415,5.3719,6.4746,2.9165,10.2361,9.5458,10.7438,5.0588,13.3137,7.2672,10.2029,6.8133,9.9928,8.8443,5.7282,5.1447,13.6215,12.1898,7.1936,3.5025,12.3853,10.34,11.289,8.717,8.0836,9.7186,8.8564,6.4394,6.9772,4.4158
10.9237,8.0042,10.5929,9.6336,8.404,9.3293,4.4798,6.9747,6.7377,4.3544,6.3313,10.0711,5.9684,7.6342,9.1308,8.039,2.468,4.968,6.111,6.5476,5.4014,8.4608,6.6248,8.8484,8.554,4.7105,7.3533,6.5192,8.1925,7.1705,8.5897,9.1666,4.8408,12.6079,9.1482,7.9811,5.6802,1.0689,8.1403,7.9836,8.5168,9.5972,10.5588,5.0377,6.4902,3.5253,6.3035,4.4607
12.236,10.7336,9.6352,10.8833,9.0844,9.1309,10.4302,8.4221,12.0679,10.3597,7.7688,7.7212,6.0961,12.3505,6.2076,7.4232,2.5887,6.7808,9.9134,5.2005,6.1665,7.0801,7.4732,9.5123,10.5869,4.5759,11.3438,7.0271,11.2649,6.6053,9.1775,9.5605,7.3189,6.9495,13.7271,12.8639,5.613,1.2775,12.7802,10.6483,10.5859,6.514,10.2965,8.8767,9.7982,5.8261,7.2485,6.5186
10.7914,7.2536,10.6535,10.3727,8.7151,9.7226,4.6028,8.5965,8.3612,4.4654,8.6893,10.9925,10.0507,5.6522,8.0398,11.9017,5.1396,5.4711,4.6767,5.503,6.4517,8.0431,8.231,9.0311,8.3566,6.5023,5.6365,8.1942,8.8613,4.1772,8.9805,7.6686,6.1067,3.9046,9.7463,8.0736,6.9505,7.8107,7.8319,8.5319,10.1576,10.5749,10.0204,7.2409,7.6586,6.1252,6.2745,4.337
12.2148,5.4207,10.1827,9.3597,9.1852,10.3948,8.7041,8.054,11.0286,7.6664,7.8248,8.9125,11.0806,8.8267,6.7111,9.1417,9.1785,7.8373,7.2639,6.1203,8.9144,3.8914,8.695,8.425,9.5929,9.0735,13.5961,8.4453,8.69,9.983,7.7709,7.8189,8.6011,6.7095,11.4818,11.7063,8.4891,3.1003,11.6908,8.5892,10.6847,9.513,7.7076,8.8326,6.3354,4.9472,7.7277,4.8741
11.7166,9.8545,10.1311,10.5934,8.7934,8.2162,9.1625,10.5652,12.7713,10.8188,7.7376,8.4362,6.3956,13.2534,7.256,7.1129,2.4424,11.1961,8.723,6.3451,6.5015,2.627,10.579,9.0205,11.3263,4.0993,13.6813,6.969,10.7143,6.0958,9.0986,9.9876,4.5842,3.0664,12.0823,13.3377,4.8468,1.4498,13.0931,9.8961,11.5214,5.5705,10.0707,9.7309,9.2045,5.4778,8.1364,5.5772
12.7646,8.5271,10.4069,10.8618,9.6754,10.4546,9.0528,6.2474,8.4904,4.2515,8.8206,8.8502,6.7412,8.2067,7.975,8.9361,8.5631,6.4973,9.4737,7.6142,2.2047,3.472,5.9527,7.9348,9.7388,5.315,3.4605,7.9911,6.3456,5.9761,9.4969,10.108,8.0775,6.2878,8.2743,8.8348,7.0792,10.4698,9.2041,8.6072,8.9044,6.5878,9.7441,8.6412,7.9884,6.5097,8.3487,4.3937
11.9024,10.8859,9.9425,11.7361,8.9794,9.6038,9.6508,9.2212,11.2715,8.7817,7.6431,8.2648,5.9768,11.2609,7.2861,8.1174,10.177,8.0269,8.3146,6.2785,5.26,4.9635,9.2157,9.066,10.1889,8.6689,12.0547,6.9985,10.454,6.8882,9.947,8.1856,4.7439,10.3612,12.12,11.7129,6.9211,7.7638,11.738,10.1541,10.7575,9.661,10.1144,6.5172,9.0592,4.6694,7.3356,5.5926
12.0173,8.928,9.9246,11.0359,9.732,9.2316,9.4672,9.8786,11.6632,9.417,6.9959,5.7963,7.0875,13.2832,7.2516,8.7478,5.9204,6.0614,5.5457,6.829,8.2675,3.9967,10.3971,9.1481,10.228,7.2983,10.5454,7.9645,12.1875,6.5928,9.9427,8.9401,5.1674,4.6617,12.9248,12.2272,6.9638,2.9577,12.1934,9.9988,11.1202,7.2396,10.1254,9.8967,7.8528,7.1595,8.0975,5.1652
11.2714,8.69,10.1045,9.9509,8.3362,9.7305,9.1514,9.3401,11.5773,9.2128,6.1257,7.4187,7.2172,11.7827,7.103,8.8145,4.3908,8.6672,4.8913,7.2013,7.1594,5.2646,9.6402,9.0941,10.3152,9.0033,12.0664,8.4012,9.8295,7.6334,9.2526,8.7057,6.2842,2.714,11.1322,12.2272,8.304,3.1549,12.0557,8.9726,10.6347,6.3978,9.1027,9.5508,6.5791,7.0801,5.2514,5.3017
11.2179,5.8179,10.2922,9.3733,9.1888,9.7847,7.9267,7.2963,8.2061,3.8957,7.9378,8.8774,8.7528,8.3335,8.4748,8.8397,3.1889,5.6557,2.7439,6.7483,3.6536,8.7516,7.1881,9.1704,8.7649,4.8235,3.9312,7.4123,6.7513,5.4874,7.848,6.9945,6.9331,5.401,9.0008,8.3686,6.6915,5.5568,8.5595,7.8557,9.856,6.6801,9.6785,7.8388,5.6657,4.9339,8.2206,5.4487
11.2065,6.1986,10.7976,8.584,9.5305,9.6846,8.3347,7.9989,7.6781,4.5598,9.0016,9.6189,11.1229,8.3603,7.3768,12.3387,5.9581,5.6125,3.5051,7.4123,6.4954,3.7807,7.634,8.6767,7.9274,7.1927,4.7922,8.2047,8.5707,7.1789,7.0598,8.3146,5.2151,9.1842,9.5846,8.7879,4.5914,6.1849,8.4711,7.6429,9.1982,7.4619,9.5292,7.729,8.3376,4.6022,7.3906,4.0442
11.4876,7.7943,9.9193,10.9366,8.4065,10.3689,4.0254,5.6363,7.8703,4.1196,7.1888,10.4084,4.9878,8.9474,5.4621,7.804,3.2334,7.1078,5.9713,6.0104,4.0022,8.661,6.5879,8.4339,8.9866,6.4955,8.8308,6.2671,7.8886,7.6833,10.0147,8.2136,6.7661,5.2383,10.3331,8.8502,6.8526,1.9105,9.3975,9.0188,9.9405,10.2016,10.1062,8.5538,5.407,5.1003,7.8901,4.9718
11.8805,5.3524,11.1067,9.5165,9.0967,9.755,8.5249,7.4563,7.937,4.4122,8.4429,10.6941,8.0182,7.5993,6.3084,8.2868,7.6941,5.6592,4.0529,5.9168,1.426,2.2152,7.4536,8.0023,7.4653,4.4449,3.3998,6.97,4.2335,6.8397,8.6222,7.6287,4.3494,5.0612,8.2055,7.9853,6.1297,6.772,8.5712,8.3968,9.569,9.5708,11.1788,7.6614,6.3001,3.7516,7.8116,4.3286
11.939,11.857,10.2627,11.0705,9.0406,9.6663,9.8129,8.8842,12.1423,9.0992,5.4836,8.2705,7.3538,12.0116,4.0896,8.731,4.088,9.3591,4.275,7.3701,7.8463,6.5325,9.2329,10.2698,10.6392,6.0858,14.9549,8.6048,10.985,7.5332,9.9791,9.4755,7.7169,5.743,13.3762,12.3232,8.0143,2.8635,12.3886,10.4383,12.254,7.5293,11.2317,8.2422,8.5088,5.1731,7.9558,5.4052
11.5551,8.8895,10.1205,11.6048,9.126,8.4742,9.9881,10.3643,12.7245,10.6052,7.8862,7.7684,4.1197,13.5384,7.5368,8.1218,8.9548,8.8045,4.9142,6.5208,8.2898,5.4644,10.3414,9.7947,11.4895,7.2707,10.8395,7.7216,10.4355,5.4019,10.4644,10.4264,8.2784,2.7772,13.0526,13.0942,6.771,2.8702,13.0533,10.3444,11.0632,6.3947,9.5802,11.4004,8.7088,5.0364,7.4444,4.5339
11.6529,8.9229,10.5694,8.9818,9.1328,9.5024,7.435,9.0326,10.1671,5.4812,7.1362,9.1799,8.7119,10.3875,7.7206,10.0557,5.1947,7.2749,5.4672,6.9684,7.9069,4.3607,8.8899,9.5053,11.1447,9.365,7.2371,8.48,9.0036,10.8861,7.8027,6.2702,8.7053,4.4463,10.7508,11.0249,10.399,4.536,11.3191,9.7632,8.6855,9.7462,9.9842,6.9686,6.5041,4.7169,7.0403,4.7893
12.0608,9.5435,10.5091,10.2976,9.7022,9.2025,12.2986,8.8751,12.6005,10.8056,6.3258,9.4735,6.5586,11.8833,4.2145,8.434,6.8907,8.5301,10.2309,4.4373,6.3912,3.5508,8.2523,8.6987,9.867,5.73,13.1925,6.9429,10.3411,5.9081,8.873,10.8306,4.7161,6.7532,11.8967,13.3745,7.4757,2.5142,13.306,9.5601,12.3834,10.0542,10.1676,9.2385,8.4661,7.1331,6.3421,4.419
11.5139,8.1635,10.4853,9.3692,8.6979,9.1493,6.5843,5.7287,11.18,8.6574,9.1487,8.9111,6.9704,12.7416,6.6419,9.5755,2.8273,7.4952,2.8616,4.341,8.0384,9.0951,5.6146,9.2852,9.9927,8.4235,13.4339,7.1571,10.6374,5.2761,8.0089,9.3953,6.2963,3.5939,12.0272,11.5067,6.4529,1.5145,11.3663,9.9723,11.0878,6.7905,9.5381,9.5587,7.6789,5.8624,6.1086,4.6517
11.8896,11.0745,11.7161,10.9924,9.0326,9.2057,7.5966,7.2927,8.0563,3.7011,8.1273,10.9768,8.777,8.3177,8.2667,10.511,7.1282,5.8765,8.6929,6.7453,6.183,3.6792,6.2623,8.6884,9.5273,5.9387,5.3614,7.697,8.07,7.5929,9.5963,9.9678,7.0704,7.6634,9.3578,8.5633,7.3089,8.8079,8.7921,9.2066,9.3915,11.2576,9.2286,7.6339,5.4279,5.8008,7.2847,4.4945
11.5006,6.1537,10.7116,9.0044,8.814,10.6,7.1474,5.7898,7.4903,3.9342,6.823,11.6927,8.9835,7.5472,4.2233,12.4452,4.2721,6.0208,3.4848,5.7208,6.4791,4.3574,5.1178,8.5107,9.8433,4.525,8.3047,6.9896,6.4117,4.5759,7.7963,10.1492,3.9278,13.3137,8.7783,6.9621,5.2034,1.7874,8.3667,7.5665,8.3448,11.3677,9.8695,5.0224,6.8562,3.9824,7.3353,4.0389
