"213201_s_at","1007_s_at","206378_at","206754_s_at","1053_at","209443_at","39549_at","207626_s_at","212956_at","215729_s_at","205440_s_at","205862_at","210735_s_at","209604_s_at","215867_x_at","217838_s_at","1255_g_at","1405_i_at","1487_at","204508_s_at","Class"
8.2043,12.7472,14.1887,6.8992,9.0996,5.5209,4.1233,6.9435,9.6608,8.5637,2.9088,4.9951,11.0401,12.7958,12.6609,9.0761,5.4298,8.5157,8.6491,10.3654,"1"
4.5086,11.2817,10.9679,12.1784,8.9329,11.3604,5.8943,8.3198,12.2744,-0.4146,6.9738,7.2195,11.7114,13.7334,12.4754,10.88,4.9849,6.4753,7.9109,10.7588,"2"
9.8769,13.2494,13.837,13.1538,8.3434,8.6025,3.0701,7.7662,10.9664,5.1159,4.8975,6.4805,10.8935,14.2651,12.3601,9.9765,6.5806,6.6733,9.9045,10.1203,"2"
9.7626,13.9012,14.9511,10.4051,8.0363,10.1426,5.7722,7.0505,12.3577,4.824,8.1088,6.6332,11.8609,14.5038,12.9799,9.7597,4.6155,7.9239,9.3547,10.8232,"2"
11.0877,12.8156,13.9515,13.6021,7.6095,7.6985,2.768,5.8322,11.6939,2.5159,7.383,5.5035,10.9715,14.5693,12.1248,10.2444,5.1124,7.4945,9.2385,10.2651,"2"
7.6053,13.0941,9.7807,8.7143,8.2012,10.3352,3.7246,3.7826,12.2083,1.701,9.63,5.8866,11.3171,13.8295,12.5534,12.1172,4.7353,8.2215,8.2111,10.1747,"2"
5.074,11.3834,7.9466,8.8027,9.0703,5.436,5.9992,3.9639,9.8368,2.6172,5.048,2.8125,8.6828,11.0267,9.9286,7.9828,5.6649,10.3984,9.4454,7.6257,"1"
8.6156,12.129,8.8837,11.1075,7.4496,9.7978,7.2674,6.2631,12.9762,2.7682,9.2967,6.7253,10.8518,14.3148,12.313,12.5353,7.6729,6.7283,8.9293,10.746,"2"
10.7164,12.773,11.0894,13.7228,6.7233,12.6551,4.4607,4.8396,10.3379,3.7095,6.5173,7.3717,12.8864,13.8379,13.9752,9.8219,6.2095,7.4288,9.599,11.6026,"2"
8.5691,11.8927,6.5719,14.6157,8.0734,10.1681,5.9327,4.1319,12.5246,0.816,7.4954,8.0169,11.1198,14.4673,12.4954,11.7453,3.2102,7.9105,9.0896,10.7002,"2"
8.5687,11.6298,7.2909,13.6878,9.2991,12.3856,1.4356,7.7871,12.7891,3.267,7.8973,8.1114,8.7158,14.3213,9.8276,10.9317,5.0891,5.3686,9.2605,7.4145,"2"
9.9305,12.3467,12.4,8.8658,6.9379,7.8631,5.5923,6.481,9.9531,2.7492,6.6514,10.0662,9.5679,14.8717,11.7004,9.1999,6.9164,6.4255,8.8211,9.0546,"2"
4.3715,11.6358,5.3842,5.4812,8.4829,5.169,6.1976,3.8187,7.9427,8.8624,7.758,5.7394,7.171,10.5023,9.7538,9.714,6.1355,8.1933,8.7995,6.5162,"1"
5.3789,10.33,13.3922,8.8766,6.5923,4.7548,5.1239,5.6733,11.4561,3.1297,9.3266,3.5514,9.2265,11.6816,10.6948,10.6316,5.4715,7.705,8.8417,8.0046,"2"
6.8551,12.1404,9.5018,5.8111,8.2031,4.9453,5.1131,6.8233,9.2672,11.5796,8.818,6.8503,9.0262,9.708,9.7164,9.5302,7.7022,5.8235,9.4217,4.5782,"1"
10.0048,13.0893,13.4995,5.6429,5.6899,5.0279,3.4365,6.0771,12.6507,5.9483,6.6191,7.2077,8.7475,14.9933,11.6786,11.757,5.6582,7.445,9.5123,7.6451,"2"
5.1845,12.2036,14.4089,10.7595,7.3499,9.3778,1.686,7.3891,12.2621,1.8744,7.4243,8.5754,10.2123,14.936,11.7016,11.6953,7.1035,8.1961,8.8976,9.2572,"2"
4.8678,12.0666,11.9427,8.531,7.8288,9.5862,5.4656,3.0864,11.265,6.9551,8.0617,8.2167,9.1473,13.3445,11.5719,11.5631,6.2158,9.1705,9.7833,8.5738,"1"
7.7128,12.7526,7.7349,5.6632,9.3658,4.5095,3.7556,5.6226,8.7523,0.7577,2.8346,1.929,8.098,8.305,9.4105,8.7314,5.1883,7.3803,9.0185,5.1272,"1"
8.5678,12.8956,14.3677,6.7752,7.9326,6.9063,7.5379,6.0998,10.4149,5.8246,3.5207,4.9409,9.3413,12.8519,11.2668,9.0649,5.2942,6.6332,9.5413,8.7904,"1"
8.1794,12.4378,16.1176,5.9518,7.9344,4.3542,5.8435,3.1326,8.948,4.9343,3.8875,3.2257,7.8362,10.5326,8.3812,9.0741,6.1852,8.1593,9.6128,4.5907,"1"
10.3548,11.9015,13.1546,12.9648,8.7145,10.2284,1.1659,8.1455,12.7044,3.4363,7.0303,8.4548,11.6425,14.1947,12.5347,11.6449,5.2615,5.911,8.8155,10.3686,"2"
5.4413,12.326,5.8723,6.2562,7.5579,8.8529,3.7159,4.52,7.7249,9.9681,6.4124,2.9388,6.9872,9.724,7.2726,8.7721,6.5959,8.4971,9.4742,3.6682,"1"
4.9083,11.7169,16.2629,14.6779,8.1215,11.6639,6.1245,3.6663,13.929,1.4841,7.5555,2.3603,14.388,14.996,14.7284,10.1298,6.6469,6.2663,8.4259,12.795,"2"
6.2957,11.6612,5.9478,4.5939,8.8958,4.4565,4.6796,3.487,7.9109,13.2827,6.0477,3.0141,7.2154,7.3236,8.368,8.9233,7.0617,7.3053,9.2106,3.4802,"1"
7.2599,13.1617,8.3444,12.6124,5.3555,7.3626,4.4604,7.735,12.7331,2.2872,7.8241,7.9371,9.1264,14.627,11.4289,11.481,7.4018,9.2473,9.4754,8.475,"2"
7.2673,12.7796,7.0065,4.976,8.356,5.6456,5.3205,6.1712,11.2042,6.1705,2.0402,5.5369,11.3022,13.8973,12.607,8.9352,6.5849,8.1298,8.9686,10.3336,"1"
9.1157,12.8244,11.8369,8.7579,8.0495,9.5644,4.8473,2.5642,12.2626,1.4321,10.9699,9.1778,10.1882,14.4276,11.9018,12.4218,6.5377,6.6481,8.9547,8.8656,"2"
9.3687,11.3217,3.6549,9.9181,7.9271,10.0938,2.4994,6.9415,11.2163,2.9005,8.5508,6.8747,10.4036,14.5758,12.22,9.445,4.2561,10.9735,9.1926,9.4682,"2"
8.2513,11.3358,3.785,7.0876,9.3691,5.5088,3.0984,6.564,9.4619,10.6022,6.9938,1.2143,7.2658,10.2403,8.15,10.4665,6.1752,9.7477,8.9882,4.3129,"1"
9.6292,12.1187,14.2902,9.8341,8.1785,10.0663,5.6763,7.5959,12.8769,4.7159,8.4114,9.1344,10.6465,14.2774,12.555,10.3409,5.9128,7.3588,9.0123,9.737,"2"
9.2596,12.2341,7.2643,10.1617,8.512,10.0206,4.527,6.5621,11.248,2.7434,8.3107,10.5958,9.358,14.3484,11.431,11.0928,4.9786,6.5381,9.6752,8.0685,"2"
4.7466,12.3349,0.7382,8.2991,8.615,7.8919,2.5408,7.554,13.3934,1.8943,5.9828,7.2592,13.084,14.4267,14.1152,10.8933,5.7919,6.086,9.2417,12.238,"2"
4.6352,12.1046,13.8597,10.355,7.6096,9.1991,7.1689,3.9753,11.6239,8.7336,8.593,8.183,9.4358,13.9074,11.534,10.3452,6.5307,7.5203,9.3592,8.4227,"1"
8.4889,11.6775,13.4984,14.0049,7.7698,7.8186,2.7231,7.7476,12.1265,1.4228,9.2034,9.5989,10.8096,13.6494,12.7516,9.3252,5.4783,9.1649,9.0617,10.106,"2"
5.4459,12.8251,9.3057,5.7331,8.0386,5.2897,6.8727,4.9654,9.5934,7.4765,6.4987,6.3875,7.6549,12.9684,9.9146,8.574,7.4171,7.5333,9.0402,5.2147,"1"
4.8171,9.0519,3.7637,7.647,8.1997,5.309,5.657,3.5855,10.9837,2.6406,6.6908,5.0145,8.2358,9.7665,8.3414,10.8968,6.7714,11.3576,9.0466,4.5194,"1"
9.1956,12.0038,9.6474,7.4808,9.2597,5.4703,4.2202,6.7323,10.5981,6.3434,6.8544,4.0073,8.881,12.6122,10.3519,9.4023,6.2126,8.1294,9.1118,7.1318,"1"
9.4916,11.0649,14.9656,7.9622,8.4225,9.6579,6.8777,7.4083,12.9209,2.7467,10.7608,8.6606,10.6624,14.3931,12.7764,11.8731,4.7903,7.5276,8.5618,10.3476,"2"
8.6107,11.257,14.3279,12.5008,7.8519,10.6337,5.6039,5.7481,12.2946,6.5546,1.3456,8.3742,10.872,13.7352,12.8726,9.5304,6.0069,7.8193,9.1798,10.788,"2"
6.2087,10.4539,8.9474,6.8735,8.1741,4.2245,7.7579,2.712,10.3561,4.2245,5.9659,6.88,7.7896,12.7592,9.4783,8.8049,4.6786,8.8378,8.7277,7.5743,"1"
8.511,11.6801,11.5925,11.231,9.0948,9.4824,6.4559,8.8199,13.6283,1.2579,9.1349,8.3971,10.9505,14.9263,12.6528,12.0024,3.159,7.4976,8.7499,10.3959,"2"
4.2844,11.5621,16.533,12.0609,8.6892,7.4484,6.2608,6.3526,12.3058,4.9697,14.0911,9.6325,10.7562,14.1932,12.9668,12.2818,5.6917,10.2562,9.2357,10.3555,"2"
8.1425,9.9731,12.0263,9.9181,8.6738,9.2066,5.6316,6.6051,11.3646,5.4411,9.7605,8.6286,8.3319,13.2399,10.2404,11.241,6.0851,10.051,8.5199,6.4935,"2"
6.7405,10.8753,4.6746,3.5907,8.3727,4.328,1.6992,3.5046,7.2423,7.4804,8.0506,2.0285,5.1655,9.582,6.0918,8.6673,2.9456,10.2176,9.0657,3.9804,"1"
7.3482,12.2256,8.6115,7.9438,8.8031,10.5958,2.4785,6.6093,12.9655,2.5081,1.8522,8.2534,10.3794,14.956,12.7089,11.3783,6.2796,8.1568,8.5723,10.9673,"2"
8.5078,11.7194,7.1674,11.9917,9.2548,8.9885,6.5577,7.6718,12.9782,1.5728,8.6838,9.764,10.9609,14.674,12.9391,9.9292,6.1188,2.7185,8.6913,10.9712,"2"
9.6882,11.5853,15.9216,10.0849,8.7691,12.8095,2.7506,6.638,13.6062,5.4503,5.3428,10.5251,12.1078,14.9417,13.8849,11.9696,5.5916,9.7037,9.2504,11.6516,"2"
6.8693,11.0264,15.8873,9.049,7.8698,10.4706,4.4234,6.7254,12.5998,6.9009,10.0018,7.5093,9.3354,13.671,11.6762,10.2909,6.4745,9.3279,8.8365,8.9403,"2"
5.2608,11.3208,2.3637,6.0737,8.3444,4.1321,6.0747,3.4635,11.6962,7.8752,1.2487,6.8158,8.7325,13.839,10.6393,9.6942,5.9859,10.0041,8.7446,8.6209,"1"
3.5246,11.0071,5.6935,5.1177,8.2161,3.2138,6.4458,6.9511,8.976,9.051,8.3657,8.8102,5.337,9.9527,8.3014,8.319,6.579,10.4188,8.586,3.3617,"1"
8.2365,11.0788,9.6028,11.4973,9.8339,8.0942,3.311,7.5363,13.0948,1.4502,7.4793,8.9083,11.7083,14.0026,13.2189,10.3995,5.759,9.3255,8.5855,11.5707,"2"
6.5549,10.6582,12.5538,5.4899,8.7218,8.5136,3.0229,6.0284,10.866,1.135,5.0689,7.5207,8.7372,13.3156,10.6105,11.1488,5.2425,10.3755,8.7114,8.1877,"2"
7.118,11.6867,10.4346,3.0643,7.8849,4.5048,5.7498,8.6723,14.3211,5.199,5.9463,4.2815,11.6722,15.2349,13.8427,11.1661,6.0089,8.0683,8.4669,11.9468,"2"
8.3088,10.8107,11.5152,9.8656,8.1872,4.4035,4.1319,9.9478,13.7081,5.2731,13.0567,9.4709,11.4265,14.9183,13.2226,11.8766,5.8772,7.798,8.1737,10.9283,"2"
3.7996,10.4926,8.5629,2.4356,9.4877,3.6889,4.4905,6.3443,7.6085,5.4453,7.8199,-0.0934,5.1141,10.0017,7.2514,8.9967,2.857,8.8247,8.2508,3.5299,"1"
4.246,11.2444,5.8484,5.9063,9.0395,3.3167,7.0869,3.5392,7.8995,10.5501,5.6925,4.5596,6.7031,10.3415,9.0692,9.1497,6.3307,9.8533,9.2586,6.4021,"1"
8.4874,11.3286,14.5458,8.319,8.5836,4.7428,8.8236,7.7922,12.346,3.1645,8.5176,8.1697,8.8549,14.0905,10.9504,10.1772,7.6195,9.5571,9.3892,8.3631,"2"
11.184,11.467,10.5673,14.507,8.6341,10.322,6.9053,4.4653,14.4063,2.2442,13.5373,10.2231,11.0995,15.0195,13.4699,8.9295,3.9129,6.6035,8.669,11.7365,"2"
10.0626,10.8638,10.88,6.4488,8.9588,10.0834,6.8113,2.9621,13.5991,4.0078,14.3681,8.7747,10.4197,13.773,12.2351,11.8364,6.4596,9.3466,8.236,9.9419,"2"
5.6223,11.4372,13.7539,7.2043,7.9948,5.0368,7.288,7.261,12.5977,5.3496,11.5708,8.6856,9.7764,13.6573,11.1743,10.9705,7.734,11.5643,7.8493,8.7742,"2"
8.902,10.7467,13.6105,9.2064,9.2031,7.3992,4.5368,6.3015,10.228,1.8686,3.014,7.7504,10.0312,13.186,11.2031,10.7006,3.2901,9.8906,8.2053,8.8494,"2"
7.6729,12.1157,15.7728,10.1785,7.9863,6.7371,5.8881,8.3939,13.0467,6.1776,6.8477,7.1701,9.8777,14.7152,11.7157,12.0876,6.5618,7.5567,8.575,9.1732,"2"
5.3577,10.9493,8.1791,2.815,8.6641,5.8802,6.3561,3.5359,9.441,9.396,6.7691,6.5881,7.1023,11.7681,8.7807,9.5993,4.543,11.1954,8.7331,7.3977,"1"
8.1957,10.8874,8.2659,12.4693,8.9912,11.3387,7.0949,6.4913,13.1114,5.6724,10.2548,10.6261,10.2781,14.2836,12.7996,11.8732,6.8145,9.5666,8.7354,10.2045,"1"
11.2562,11.3958,5.4479,9.2609,8.7964,9.9498,6.3636,9.4921,12.4623,2.7471,9.3713,10.1437,10.6261,15.0045,12.0084,11.4062,5.0247,5.7877,8.7541,9.9137,"2"
3.3696,10.4125,13.1082,3.5391,7.9602,6.3868,6.0983,6.7585,11.2233,8.726,7.4758,6.7529,7.746,11.7642,9.2339,10.2426,7.3331,11.7336,8.4993,5.4341,"1"
7.7779,10.9733,12.3289,7.3898,9.7423,10.1143,3.4267,8.3546,11.9581,2.2476,9.6006,9.1636,11.2004,14.0287,12.6107,8.834,6.0301,2.7604,8.5058,10.4918,"2"
9.2794,11.9543,15.9626,8.8301,9.0305,9.583,2.2393,6.8888,12.8542,1.9478,7.4398,10.733,10.6273,14.4412,12.6857,11.2156,6.416,8.011,8.7495,10.356,"2"
7.4751,11.6233,14.9944,10.0982,8.2703,10.5723,3.7499,7.4632,11.4698,6.1308,8.8419,9.736,11.3223,14.1005,13.8362,11.3198,5.8938,7.4896,8.7828,11.4213,"2"
3.9101,10.5767,12.4535,10.4567,8.9054,7.7373,5.4939,6.8861,12.0226,3.174,11.1015,9.9701,10.4052,14.2047,12.0276,10.6432,3.4296,6.0859,8.0746,9.8751,"2"
7.8935,11.4375,10.7636,9.0095,7.9564,10.1935,3.9279,3.3978,12.7002,5.6502,0.7447,7.8301,10.2118,14.7614,11.8135,10.3179,5.9875,10.7687,8.411,9.7861,"2"
4.2828,11.6268,9.7168,12.1128,8.0073,3.9478,3.0216,7.4086,13.6442,2.5696,4.8423,7.9389,11.0796,14.8724,12.8927,12.0128,2.7648,5.7626,8.7561,10.6719,"2"
10.3992,11.4041,10.6718,7.1043,8.7849,10.3511,7.8411,5.7152,13.2354,3.621,15.1813,9.8084,11.9082,15.1204,13.788,11.4841,3.2988,7.8396,8.7579,11.8875,"2"
9.9986,10.7539,12.0363,7.7708,8.6856,10.6158,6.0299,8.031,11.5862,5.5826,14.2297,9.1534,11.7399,13.769,13.592,8.2974,6.4256,7.1508,8.4316,11.3125,"2"
4.3501,11.3627,6.0489,3.8639,8.6771,7.4052,5.5684,2.7935,9.3679,2.3533,2.2017,3.16,10.375,11.264,12.4857,9.2279,4.0177,8.3595,10.2888,10.1568,"1"
8.0377,11.2276,16.4563,11.2288,7.586,5.0767,9.8865,5.72,14.4884,1.4906,9.4323,8.1383,8.8729,15.1746,12.2326,12.8914,6.5469,9.6112,9.2727,9.5181,"2"
