"205225_at","209603_at","209604_s_at","212956_at","Class"
12.6635,12.2991,15.0195,14.4063,"2"
14.0632,10.476,13.773,13.5991,"2"
12.1359,9.3952,13.6573,12.5977,"2"
10.2524,9.4884,13.186,10.228,"2"
12.9502,11.1543,14.7152,13.0467,"2"
8.3734,7.668,11.7681,9.441,"1"
12.3648,10.2034,14.2836,13.1114,"1"
12.4009,12.0558,15.0045,12.4623,"2"
9.3602,8.2222,11.7642,11.2233,"1"
12.5568,9.9061,14.0287,11.9581,"2"
11.5745,10.3189,14.4412,12.8542,"2"
11.3717,10.5788,14.1005,11.4698,"2"
11.1494,10.5111,14.2047,12.0226,"2"
12.1828,11.2168,14.7614,12.7002,"2"
14.7744,11.4996,14.8724,13.6442,"2"
13.3059,11.5555,15.1204,13.2354,"2"
12.3296,9.9595,13.769,11.5862,"2"
7.7434,8.1615,11.264,9.3679,"1"
14.6833,11.4715,15.1746,14.4884,"2"
