"117_at","121_at","1320_at","1405_i_at","1438_at","201930_at","202683_s_at","203139_at","203625_x_at","203928_x_at","204681_s_at","204825_at","205225_at","205713_s_at","205751_at","206793_at","208582_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","209604_s_at","210735_s_at","211864_s_at","212344_at","212583_at","215432_at","215609_at","216092_s_at","217257_at","218002_s_at","218856_at","219438_at","219919_s_at","220034_at","221704_s_at","222256_s_at","Class"
9.1468,11.5483,7.8146,8.4765,8.9326,9.6124,9.248,9.5171,10.1363,7.7369,6.7644,10.7551,8.5834,3.6812,6.6251,8.7893,6.5896,8.6838,6.339,8.4058,8.068,10.8359,8.9721,9.6206,9.074,7.5022,5.7886,9.2,8.957,4.9374,7.7612,8.2963,6.5946,4.9467,4.4349,7.5462,4.5856,"2"
6.7698,10.6987,6.4332,4.2077,8.3433,10.6784,8.7792,8.0143,9.866,10.0494,6.3047,10.1406,12.8623,2.9578,5.8076,7.7183,1.8829,8.1874,4.4572,7.0201,11.4367,14.664,11.9763,9.4938,11.4288,4.6239,4.0769,4.9473,8.8968,0.6034,13.9575,9.1022,8.4474,7.6591,2.6589,7.28,4.3311,"2"
8.0799,10.6865,6.3549,8.3521,7.8008,9.4155,8.5043,8.2271,8.1485,10.4272,8.2889,7.9566,13.764,4.1856,4.9222,7.368,1.8673,9.7715,7.7039,7.5959,10.3884,14.508,12.0741,10.2837,8.7721,7.6018,4.239,5.0511,10.1147,5.8991,5.4784,8.0118,6.8787,8.5702,4.052,7.8865,8.2076,"2"
8.3729,10.7377,4.2708,8.7554,7.651,9.9436,8.8928,8.0005,9.303,7.4149,8.6237,9.0227,11.444,2.8687,6.6194,7.5745,5.2003,9.7065,4.5745,7.5242,10.9906,14.3534,11.0802,10.9838,7.2641,6.5478,3.9947,6.3892,10.1453,3.2611,6.7676,5.9866,8.3183,9.2269,5.8878,8.1206,6.5372,"2"
7.882,10.1676,7.0466,8.9847,9.2795,11.2763,9.0843,10.0065,9.0074,5.5583,8.0483,10.1624,7.4728,1.9372,3.4495,8.4124,5.116,7.9681,11.3159,6.7369,10.4111,13.6927,8.6477,9.2341,5.6085,6.2444,3.1359,5.6877,9.2462,6.1148,3.1612,6.4745,7.3714,5.8812,3.401,9.5583,4.6163,"1"
7.6073,10.6249,7.1393,7.5392,4.8455,9.6327,8.671,8.2522,8.3637,9.0413,8.3131,7.8425,8.4135,7.2473,1.2254,6.7426,1.3068,8.4329,8.1595,6.7025,7.4519,10.2794,8.9561,9.3856,8.4594,4.9762,12.2449,4.4831,11.0201,5.0199,7.3193,6.8297,7.0716,6.6449,3.923,9.1479,5.3459,"2"
8.3951,10.6988,4.4736,9.5239,10.5521,10.1274,8.4774,10.3578,10.1748,8.1531,6.9096,10.9267,6.8669,3.0084,5.1843,7.1809,3.0602,7.9754,7.3924,7.4059,7.9928,11.3702,7.6934,9.2235,4.1423,4.01,2.9609,5.0983,8.25,5.7702,6.6649,11.4885,4.951,5.3447,3.6024,8.4677,5.2175,"1"
8.5629,10.3224,6.7191,6.6043,8.2723,9.1083,8.7929,7.5071,8.8289,10.9183,8.0487,8.0305,14.2366,4.1976,5.6462,6.4868,3.1535,9.0115,10.0373,7.1752,11.508,14.4045,10.4727,9.8816,7.1565,7.2114,7.3046,4.3573,11.1471,2.6299,7.351,6.4027,5.1858,8.5695,6.6055,7.4399,5.2219,"2"
7.4182,10.2844,3.891,9.7605,7.8735,10.9383,8.5249,8.1332,8.7501,10.7598,8.1944,9.2584,13.7238,1.9739,6.3242,6.8333,1.9303,9.4589,3.7585,6.2301,11.5596,14.3113,10.7946,10.0165,7.1925,7.6974,4.842,2.3248,10.4007,5.547,11.5428,5.5001,9.8618,7.5628,2.8204,8.0286,6.4472,"2"
7.0778,10.6391,6.2379,6.6208,9.9146,8.8552,9.3496,8.8334,8.9958,10.6699,8.1527,6.5086,11.4232,8.3189,7.0117,7.419,5.0662,9.6399,7.4601,7.0723,11.7166,14.7897,9.9596,9.8874,11.1151,7.0385,6.7592,6.9133,9.5301,5.1853,8.1673,6.0286,7.8036,7.7286,3.5271,7.6739,5.1381,"2"
8.1378,10.9722,4.9378,8.2851,9.5658,9.0937,9.0988,9.0063,8.767,9.2531,6.329,8.7244,11.3391,8.3858,7.1863,5.4829,2.5611,9.5235,4.7845,8.592,8.9839,13.169,10.3508,9.5065,8.8724,7.3632,5.2233,6.6476,9.6559,6.2398,9.1138,9.4644,8.5605,8.5584,4.5569,8.2502,5.4672,"2"
9.3695,10.7094,7.1036,10.6763,8.011,11.3228,8.7428,9.6055,9.1484,7.3691,7.6082,10.147,8.4676,3.5091,4.9541,8.1117,2.5059,8.555,9.9467,7.4676,7.8222,12.1343,8.6782,10.1989,6.0757,6.3673,4.7941,3.381,8.6213,6.7298,8.4816,10.5669,7.1697,4.4077,6.7596,8.9207,5.6151,"1"
7.5099,10.5047,6.8698,6.6663,9.1196,9.7566,8.3378,9.2518,9.3154,6.409,8.3982,10.2818,7.6136,7.6023,5.2113,10.3456,3.3848,8.9291,10.2675,11.5765,7.5922,11.4554,7.4385,9.2142,7.2754,4.3566,4.7086,6.4407,9.9085,6.2971,6.956,9.4318,7.6041,6.4008,5.2808,9.1773,5.5858,"1"
8.0492,10.1873,5.1661,10.953,9.4018,11.8099,9.4808,10.3812,10.0292,4.5157,8.0842,11.3874,8.4559,3.1262,7.5126,7.1284,4.6494,8.9693,4.3763,6.2898,6.7856,10.1851,7.6504,8.6278,8.7767,4.3464,2.2424,5.1409,7.6612,5.5676,7.1702,9.2655,7.0328,4.0453,3.7997,8.6077,4.4848,"1"
7.9931,10.5404,7.1591,8.1448,10.4916,10.5525,8.6481,9.7145,10.1653,7.7143,9.2965,9.3234,7.8963,6.5944,2.326,5.0023,1.9646,8.5741,6.42,6.6771,7.3408,10.699,8.5991,7.8446,4.4879,3.763,3.9869,3.1245,8.8773,5.9175,8.1789,10.4797,7.2091,7.6373,5.9363,8.5834,3.837,"1"
9.017,10.358,6.2153,8.4125,10.5751,10.3358,8.8667,10.3462,9.0051,7.4348,9.2926,9.1115,8.15,2.7958,2.1703,7.2126,2.5962,8.9399,8.7184,6.5998,8.4789,12.1241,7.985,9.5701,8.0752,5.0429,3.385,6.9445,7.5883,6.2794,8.1593,10.9426,7.0028,7.7241,6.7768,8.7103,4.1544,"1"
7.0016,10.2935,6.7464,5.7107,7.7011,10.1268,8.8376,8.1674,8.6462,11.0085,7.7931,8.7482,12.7341,9.9649,5.8002,7.4858,5.0466,9.5603,7.1009,6.5574,11.1457,14.3155,11.5397,11.2018,9.2471,7.4359,2.3018,5.2082,10.5436,5.8494,10.5572,7.2106,8.1975,8.4905,5.2779,8.0461,6.4532,"2"
7.9736,10.9648,6.3717,7.539,8.5073,9.0516,8.8409,8.5174,7.5265,8.0426,8.0223,8.9516,12.9117,6.3908,5.8737,6.4792,6.7168,9.1595,4.9203,7.7768,10.9915,14.9286,11.2167,8.7516,7.7074,7.868,4.1688,6.9721,8.8647,7.0655,8.9617,7.0925,7.712,8.9777,6.37,8.0792,5.1612,"2"
8.0232,10.4751,6.1842,4.6252,7.9032,10.4205,8.5476,7.8799,9.9808,10.3173,7.2182,9.2962,13.8611,7.9133,4.1024,6.7597,2.5908,8.8288,3.8805,6.5813,11.4351,14.3454,12.572,9.5334,9.0934,7.6307,3.5604,5.4915,9.6685,6.3192,9.2104,6.0669,10.0095,8.3562,3.686,8.3038,4.4539,"2"
7.9636,10.3086,4.5094,8.5723,7.803,9.6883,8.8273,8.953,8.7709,9.4932,7.5663,9.2599,11.6071,8.402,5.1685,5.8514,3.5617,9.228,8.563,6.5594,11.157,14.4465,11.2184,10.4619,9.6082,7.7124,4.268,6.7964,9.4151,6.3273,13.2137,6.3153,9.4837,9.9952,2.1582,8.2188,8.4022,"2"
8.6826,11.1207,5.089,8.2054,8.8032,9.4201,8.9186,9.3156,8.9907,9.7224,6.969,8.861,12.9999,8.4926,6.9631,5.9433,5.6615,8.2561,5.045,8.3669,11.0987,14.404,11.1162,9.925,10.4061,7.7493,3.488,7.3175,10.8503,1.5649,10.858,8.2849,9.1505,7.6409,3.7695,8.2665,3.912,"2"
7.1632,10.3012,7.0353,4.3758,9.228,9.0449,9.0872,8.1751,8.2137,10.4527,9.5969,7.1354,14.1548,3.4367,6.941,7.1405,2.8395,9.7086,7.213,6.3773,11.3986,14.3343,11.73,10.0806,6.8467,7.7057,8.0382,4.4412,10.232,5.2066,7.7393,5.7805,7.8036,8.1546,3.2054,8.7376,5.3613,"2"
8.0326,10.5134,4.8716,7.7394,8.2578,10.5295,8.6772,10.3661,8.4722,6.1058,8.8394,9.7813,11.7896,10.7881,5.3949,9.4187,1.864,8.8503,6.5781,7.6234,10.7427,14.2872,10.7053,10.0417,9.786,8.0479,4.0311,4.6076,9.2289,5.7264,9.1217,7.0412,7.7981,8.0546,3.6005,9.1947,4.4139,"2"
6.9243,10.6213,5.2509,6.6306,9.0887,10.3669,9.3781,8.3005,8.4865,8.2385,8.5111,9.8995,13.1663,6.5252,2.2611,8.1609,1.7461,8.9428,9.9378,6.9117,12.036,14.4551,11.1614,8.9259,9.1737,7.4066,1.9721,5.3844,9.9047,7.0176,9.7584,9.1809,7.9674,8.4422,5.0134,7.1486,3.4506,"1"
9.2722,10.2165,6.6273,9.0395,10.5251,10.3823,8.4318,8.1621,9.8599,7.5649,7.7967,10.9992,7.4166,3.441,6.3584,7.0795,2.5714,8.6123,4.1973,4.8272,7.7591,11.528,7.8961,10.7442,7.176,6.4754,2.4772,3.4045,8.3375,6.5936,4.1536,8.6155,5.2278,7.7165,3.3009,6.4981,4.6868,"2"
7.7128,10.5946,6.5998,10.243,10.4048,10.6641,8.8182,9.8878,9.4819,7.2136,8.2888,11.3268,8.6856,4.8939,6.5829,5.4609,5.3058,8.3668,4.0311,6.8715,5.3853,9.4435,8.7508,8.5207,7.6509,5.0654,3.9892,7.3299,8.2948,6.0425,6.2422,9.7438,5.3458,4.2186,5.856,8.5671,4.5239,"1"
7.0766,10.8679,5.1371,8.2829,9.1156,9.3957,8.5136,8.976,8.801,10.055,7.5869,8.811,12.0832,6.7067,3.2886,8.3527,6.558,9.3115,7.1212,7.563,10.4631,14.7315,11.1342,10.0269,8.7605,7.4383,6.1949,7.6008,9.6809,5.0593,10.8217,5.0442,8.1757,7.5573,7.4329,8.6782,6.0786,"2"
8.3681,10.8449,6.7988,9.0597,10.6929,10.5423,8.6583,9.3423,10.5356,8.3198,8.2718,9.5556,8.1952,8.0697,6.0104,5.5622,4.3583,9.0937,5.2871,6.5812,7.2157,11.3759,8.11,8.7046,10.9249,6.4938,4.6513,6.9815,8.3491,3.1917,12.0009,10.22,6.6298,6.4479,3.9802,7.5649,5.0436,"2"
7.8223,10.5702,5.0945,9.2264,8.7336,10.7286,8.8859,9.2525,9.8492,6.5081,7.7982,10.1972,10.719,2.8617,2.8318,9.5161,2.69,8.3819,6.5167,7.7327,9.6384,14.1977,10.285,8.4118,7.0731,6.2201,4.2506,6.1821,11.132,5.9439,11.0518,9.0296,7.0091,5.0436,6.281,8.8802,5.6328,"1"
7.2899,10.1917,4.248,6.798,8.1621,9.6522,8.3075,8.0614,8.2945,10.1413,8.2759,9.282,12.9374,6.1982,4.4016,5.1212,6.0872,9.653,3.6254,7.0086,12.2846,14.8685,10.8788,10.3397,8.0798,7.0152,4.4602,4.3545,10.6706,6.2204,14.5695,7.7663,10.2179,8.0338,3.5788,7.5287,7.236,"2"
6.9466,10.4662,7.1205,7.4278,9.0078,8.9499,8.8435,8.752,8.2853,10.7286,7.6141,7.6357,12.5191,3.761,6.4676,7.6939,3.8249,9.442,5.2725,7.6883,11.2264,14.8729,12.4535,11.4915,7.9097,7.0636,5.7145,5.2041,10.1108,5.9488,8.1233,7.609,8.8771,8.8512,4.1771,8.1698,9.1584,"2"
8.5728,10.062,6.6909,7.8728,8.4561,10.1973,8.1166,9.434,8.48,6.7929,6.2864,8.1501,3.6784,4.9964,6.6674,9.6928,3.7538,9.8019,10.2591,4.7639,7.164,11.1143,8.3163,9.7848,7.6573,6.7262,5.4258,4.7747,8.4253,4.1612,8.0962,11.2093,6.5186,8.5526,7.4273,9.8914,7.0179,"2"
6.6375,9.8587,7.4825,8.0259,8.6835,9.83,8.967,8.0303,9.1785,10.3902,7.3689,8.1192,12.0389,7.0111,4.5499,5.5571,2.1825,10.7207,6.828,5.8951,11.0791,14.2505,9.8943,10.5472,7.9792,7.7437,4.1988,5.0546,8.1619,2.6262,11.0688,4.5827,9.7387,7.9152,4.9292,8.1757,7.3181,"2"
7.162,9.8131,6.8133,8.3269,7.8662,10.2066,8.4002,8.0292,7.5156,7.1661,7.9604,9.082,8.2599,7.0009,5.4407,11.4107,5.2333,10.0824,10.3347,7.6456,7.8118,11.6584,7.7867,9.1299,8.9503,6.4894,3.6905,3.7045,8.7965,4.7152,8.0523,10.6269,7.0935,8.6423,4.3139,9.6591,7.88,"2"
7.9292,10.0836,7.0511,7.6577,7.338,9.6335,8.5629,8.1989,9.0724,10.3217,7.0612,7.6574,13.6226,8.0277,5.2043,6.9542,2.1969,9.215,10.1861,6.3235,10.6735,13.9018,10.7831,10.0276,7.9975,6.5855,6.5367,5.1151,11.1699,2.0325,7.6193,5.5114,8.2198,9.0962,5.8753,8.9596,5.333,"2"
7.7089,9.721,5.0632,8.3368,8.4986,10.9789,8.4951,8.155,10.1792,6.5788,7.418,10.2918,10.8245,1.5564,5.6975,8.4637,2.5235,8.9089,6.0076,12.9893,9.0168,12.9159,8.5793,8.0407,7.7853,7.379,4.5912,3.0678,10.3819,5.216,7.3266,9.2879,6.5335,7.9394,3.0172,8.5582,7.5979,"2"
7.3965,10.1024,7.0498,8.5157,9.1524,10.0726,8.7774,9.1708,8.5205,8.0263,8.3282,9.495,7.4097,5.6778,3.2196,13.3009,2.2129,9.3043,11.3229,8.09,8.0759,12.7958,11.0401,9.2956,7.7537,7.3659,4.321,4.2356,8.5291,4.8567,6.7481,11.0744,5.5184,6.0989,7.8791,10.0154,6.3622,"1"
7.7798,9.6646,3.4814,6.4753,6.0916,10.0863,9.7883,9.4519,8.6204,11.2551,7.1954,9.2073,13.5035,6.8589,5.0061,4.653,4.8136,9.4618,8.0512,5.7895,10.629,13.7334,11.7114,9.7682,7.9702,7.0065,3.8462,3.2041,9.3779,5.5763,5.0203,8.8475,9.3234,4.7071,2.9659,8.2877,8.6515,"2"
8.0536,10.0269,6.9459,6.6733,8.5297,10.3548,9.1798,8.8264,7.9202,9.4908,7.2407,9.0335,12.0186,7.6482,3.2306,7.9213,1.2068,8.9624,8.0197,4.584,10.7869,14.2651,10.8935,9.2415,9.1804,6.6906,4.091,4.1998,9.2028,5.2016,8.0845,9.6037,7.0585,8.9364,6.8479,9.0114,5.3734,"1"
8.07,10.1831,3.7546,7.9239,9.021,9.4031,8.928,6.9247,7.1581,11.3713,7.584,8.0562,13.483,8.084,2.0972,5.8959,5.8301,9.0772,5.7283,6.8711,11.1849,14.5038,11.8609,10.3272,7.5007,6.2269,5.1418,5.6467,10.7669,3.0664,8.1904,9.8254,9.5872,9.7453,5.2182,10.1577,8.5334,"2"
7.8763,10.0088,5.5994,7.4945,8.0802,10.0973,8.295,8.7546,8.501,7.1257,6.7642,9.2941,12.1408,5.9316,5.4513,7.4833,2.0561,9.3638,8.6792,5.316,10.725,14.5693,10.9715,9.5043,7.1204,7.2096,4.2325,5.568,10.4152,1.7222,11.1631,9.2776,5.3395,8.7921,3.3951,9.8092,8.3658,"2"
7.7559,10.3299,4.7611,8.2215,7.7407,10.3086,8.738,9.7092,8.1808,10.5685,6.5453,9.0568,12.2749,6.165,5.884,4.3154,2.5251,10.0161,7.8143,7.7328,10.7588,13.8295,11.3171,9.2139,8.9683,6.5423,5.1826,4.0299,9.6138,4.6711,8.6354,8.7564,10.2637,7.853,2.2915,8.983,6.6889,"2"
9.1601,10.0044,5.511,10.3984,8.6588,10.837,8.6235,8.0477,9.1258,8.5084,7.172,10.3325,7.7153,5.045,1.5661,10.7267,0.9217,8.7633,9.6207,5.9061,7.6964,11.0267,8.6828,9.6011,6.8081,7.2807,4.1779,3.7299,9.6985,3.8076,6.1455,10.5702,7.9892,7.6947,5.1767,8.6917,4.0469,"2"
8.8902,10.7078,5.1442,6.7283,8.3044,8.6047,8.2363,8.4711,7.7239,9.2665,4.6442,4.9519,13.0559,7.4501,3.6865,9.0185,2.9523,9.0083,7.6192,7.4206,10.9914,14.3148,10.8518,9.4919,8.2639,8.2188,5.5032,4.0165,10.0585,2.3916,15.9726,8.9863,9.1693,6.6782,7.7178,7.9625,6.445,"2"
7.9394,10.25,6.6682,7.4288,7.4201,9.2894,8.6368,8.7714,8.3151,7.1827,6.8946,9.1308,14.0098,3.3156,7.5077,6.4975,4.2148,9.6391,4.0978,6.377,9.569,13.8379,12.8864,9.3871,7.9995,7.2265,3.1769,4.2421,9.6836,2.4623,7.064,8.4596,8.9099,9.0888,5.0665,9.4786,6.8078,"2"
7.7017,10.047,6.0592,7.9105,8.3911,9.5318,8.5998,8.9072,8.6968,10.7871,6.8147,8.1911,14.0217,6.4491,5.6695,6.9521,5.5217,9.2203,8.0776,5.0343,11.3047,14.4673,11.1198,9.3051,8.3916,7.0214,3.0618,4.3135,10.4378,6.4104,10.7242,8.7941,8.0016,8.6006,5.0226,8.016,7.0532,"2"
5.5157,10.3062,4.2975,5.3686,8.2974,10.2786,8.5449,7.4552,8.3086,4.7516,8.2488,9.2677,12.5402,5.7718,4.348,7.3787,2.9541,9.5516,3.4496,14.065,11.802,14.3213,8.7158,6.1981,6.9855,7.2555,3.8287,2.2687,7.3782,4.0192,6.1161,4.7626,8.6603,7.5198,2.2354,8.1146,8.4778,"2"
8.1185,10.6482,5.604,6.4255,6.8325,9.9262,9.1222,8.8871,8.4699,11.6852,7.9262,9.3697,10.9442,7.6386,2.3524,9.6759,3.0834,8.8533,4.955,7.6382,11.272,14.8717,9.5679,9.0731,10.1454,7.0273,6.316,5.6194,9.638,6.4387,10.0703,6.4944,8.8154,9.1411,3.4827,7.2918,4.1812,"2"
7.9534,10.0925,6.5137,8.1933,9.0511,10.8898,9.276,10.2481,11.2025,7.4475,7.1119,12.2253,7.2509,1.9308,4.474,6.2054,3.4771,8.5389,6.9049,4.5988,7.3315,10.5023,7.171,7.8601,3.8007,3.9341,3.9634,5.8508,8.2662,6.3385,8.4902,10.4162,7.0582,4.7798,5.0417,8.0732,4.3632,"1"
8.3097,10.6239,6.959,7.705,7.0522,9.3125,8.1839,10.2936,7.6455,8.0148,7.8067,7.237,7.895,7.2137,5.5426,7.4898,2.9595,9.9116,9.7653,7.5637,8.0909,11.6816,9.2265,9.7038,8.0536,7.3282,4.9015,5.7117,9.9697,5.9533,11.2075,10.2274,6.146,4.4491,6.26,6.867,3.8183,"2"
8.8399,11.3086,7.8933,5.8235,9.8902,9.637,8.7856,9.3524,8.7157,6.9268,7.9046,8.7246,7.4147,7.8198,4.4491,7.7732,4.3497,9.8144,6.2948,8.9033,7.3256,9.708,9.0262,8.9279,10.847,8.0923,6.839,6.8291,8.433,5.2452,8.4418,10.7216,7.9513,5.0931,3.861,7.4578,4.3683,"2"
7.4396,10.7778,3.8733,7.445,5.1399,10.3169,8.8491,8.1271,8.4613,5.6045,7.8069,9.6864,12.2433,8.5666,3.2666,9.6993,4.2462,9.4136,7.7927,7.6064,10.5622,14.9933,8.7475,8.2781,7.179,7.4974,4.8449,2.3088,10.0201,7.1526,8.7516,10.1084,7.1962,8.0039,3.6252,8.0819,6.5716,"2"
8.0411,10.9716,6.4526,8.1961,7.8575,8.8962,8.6075,8.3285,7.9098,10.075,7.5876,5.5625,13.2485,4.4006,4.4718,6.4638,5.2762,9.6731,8.9199,7.7897,11.2837,14.936,10.2123,10.1072,9.9666,8.1716,6.6957,6.1699,9.5759,6.0806,11.958,8.3039,7.6007,5.8756,5.0437,7.7331,4.2411,"2"
8.7373,10.63,7.6552,9.1705,7.2539,9.5263,8.4654,9.506,7.2893,10.1494,5.975,6.6557,10.2287,8.0786,5.9476,8.3956,3.4155,9.5907,8.6894,7.7395,10.0573,13.3445,9.1473,8.9289,8.0563,7.9834,7.3818,5.7781,9.683,7.2007,11.4814,10.2197,8.122,7.3701,4.3096,8.7607,6.2095,"2"
7.2033,10.4761,7.3846,7.3803,9.367,10.5028,7.7173,8.4719,9.1928,5.0253,7.1708,9.3256,6.2819,1.5296,5.5688,8.0829,3.437,9.5101,6.2424,6.0387,3.7156,8.305,8.098,10.7234,10.2896,4.6754,5.7501,2.1143,9.1729,5.263,7.8605,11.1099,6.4544,5.8986,2.4258,8.0632,7.3807,"2"
8.2136,10.1922,6.696,6.6332,7.9976,9.6334,8.2919,9.7538,6.9201,7.5082,7.3748,8.765,5.8987,7.8113,6.2939,7.1546,1.5723,8.6604,9.1877,7.3692,9.2016,12.8519,9.3413,9.1744,5.7351,7.0446,4.9007,5.0694,9.7048,6.7843,7.7057,10.116,5.2152,8.5182,6.2694,8.1503,6.9937,"2"
