"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","201508_at","201555_at","201930_at","202683_s_at","203139_at","203625_x_at","203628_at","203928_x_at","203963_at","204508_s_at","204667_at","204681_s_at","204822_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206391_at","206401_s_at","206509_at","206793_at","208582_s_at","208670_s_at","208712_at","208893_s_at","209173_at","209366_x_at","209560_s_at","209603_at","209604_s_at","209942_x_at","210735_s_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","213527_s_at","214164_x_at","214612_x_at","215304_at","215432_at","215609_at","215729_s_at","215867_x_at","216092_s_at","217257_at","218002_s_at","218211_s_at","218483_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","219919_s_at","220034_at","220773_s_at","221704_s_at","222256_s_at"
11.1349,7.6111,8.7835,11.1829,6.7063,9.6152,8.0528,7.6256,10.7755,6.8954,7.1327,7.6511,10.1897,9.4536,8.5682,9.5816,8.5672,8.7482,8.6564,10.975,9.0767,10.4686,5.6522,7.4228,8.2958,5.0531,12.4562,6.3837,7.4083,8.7115,6.3237,7.5548,4.6883,3.2755,5.181,8.9017,8.618,8.2605,5.6507,6.1498,9.253,9.5579,9.3808,12.2194,10.8299,6.9034,10.0288,14.088,6.437,10.7399,8.772,8.612,6.9287,3.5067,12.4273,8.2178,11.9349,6.9196,7.8827,8.0266,4.0814,5.2469,12.0586,9.5618,2.9182,5.0167,12.0541,8.7412,11.0891,9.1809,8.7606,8.3161,9.1717,5.4659,6.5528,7.5869,8.0248,5.1925
11.8757,8.0035,8.1103,10.6567,5.7084,8.7424,7.2557,5.0792,7.1722,5.6942,8.1523,10.7154,11.135,10.7635,8.6604,8.304,10.0612,11.4914,8.5152,10.7894,8.8618,10.6073,8.1933,8.8704,10.2055,9.7108,12.2024,10.5185,10.0071,4.0478,9.9414,6.3082,2.1806,6.2579,2.5879,3.8307,8.3769,7.9125,6.9576,2.6039,8.1136,12.6188,5.0468,12.7413,10.969,6.4177,10.9478,14.6333,8.2382,9.7376,7.9844,8.1047,4.4384,4.3931,12.4745,9.0628,11.1997,7.3174,8.2216,3.722,5.5159,3.9259,11.2566,8.7275,5.5625,6.8409,12.9254,9.1929,12.4416,7.9257,10.035,9.5219,8.4103,5.1989,6.1829,6.5969,9.0127,4.3361
12.6326,8.3098,7.4773,10.4499,6.2087,8.9361,8.2354,6.9086,7.8135,6.3751,9.0223,7.5828,10.5686,10.571,8.7974,7.9712,8.8118,7.6174,8.3645,9.2444,7.2568,10.4597,9.3327,7.8802,9.0139,10.5103,7.987,5.8487,9.2506,10.9115,6.4253,8.4364,3.8238,7.3116,3.0908,4.3715,8.0774,13.1397,8.5624,2.1249,8.6673,10.7266,9.6696,11.9726,11.8924,7.0161,8.886,13.2361,5.6848,9.0941,9.2198,9.495,7.7082,3.2395,10.9061,8.0991,9.802,5.4143,9.0171,4.0008,2.6519,5.8684,9.8661,9.7697,6.3706,7.4941,12.8248,9.2224,10.5185,10.5549,8.6279,9.7687,6.1511,5.8517,6.5667,7.2619,9.5533,5.0226
12.5807,8.0104,7.5885,10.1383,6.7935,9.2063,8.0392,5.0627,8.2889,6.2767,8.3341,9.3184,10.2337,10.1043,9.1983,9.0914,8.8104,8.2848,7.677,10.8107,8.201,10.0623,8.3981,6.4018,8.9473,4.9466,10.1026,4.2645,6.3837,7.9034,5.1879,9.5474,4.0047,6.9799,2.7015,7.2039,6.4595,12.8953,13.2007,1.7843,8.5376,12.8134,10.688,12.5589,12.4782,6.4264,10.1557,14.1058,6.9406,9.6425,7.8811,8.5059,5.3406,5.9804,10.9066,8.5627,10.9737,3.3469,7.296,3.8138,6.7197,5.6927,10.931,8.8687,6.7925,11.2714,13.1699,9.1737,10.1134,9.6717,7.9186,9.7579,7.4243,9.4181,3.5997,7.2842,8.8195,4.9062
12.4304,7.6919,8.0937,10.1545,5.2033,8.8423,8.6325,6.1289,9.7141,6.2651,9.7055,8.6862,10.2255,10.5798,8.9442,7.7525,8.6502,6.3248,6.5244,10.3061,8.4555,10.4928,7.525,7.8194,9.3343,4.9721,8.0999,6.9088,7.2145,7.2613,6.1162,6.7426,4.4955,7.261,4.3351,6.8769,4.9002,14.7226,8.7889,3.6173,8.8444,10.8236,11.2491,12.1779,10.981,6.0344,9.0275,12.722,6.6127,9.4931,7.6334,8.2585,5.9449,4.422,10.6692,8.7774,10.8545,5.501,5.4532,3.1495,6.3237,2.1542,10.7828,8.2961,5.9431,9.0542,13.3308,9.2107,10.5153,6.7234,6.1713,8.348,6.6081,4.8793,4.0618,6.5981,9.8511,6.3075
11.9454,7.4614,8.4695,10.7476,4.7954,8.6858,7.9473,4.9733,9.1354,7.0174,7.0581,8.6876,9.3428,9.6344,8.9176,9.6027,9.0222,7.8213,9.3462,9.284,5.8544,10.0668,8.3388,7.8346,10.0021,10.4273,8.5567,6.899,8.9599,9.6388,2.4784,9.596,6.4841,4.9777,3.3823,5.5338,8.9199,12.3656,7.2615,6.9299,7.3558,8.7205,4.9197,13.0221,12.636,5.9522,8.4549,12.5708,7.445,8.8212,9.5882,9.5647,7.2319,2.8807,10.2593,8.2292,10.1915,4.4655,7.7,5.1367,3.8667,3.3872,10.5213,9.0413,7.2064,4.1986,12.1957,9.4899,10.9975,9.6038,9.0809,9.2747,8.3101,7.2068,6.7558,6.069,5.3254,5.6486
12.1154,7.9201,6.207,10.5313,5.2639,8.59,7.6032,4.6133,7.9468,6.1417,9.6857,10.017,11.5675,11.6979,9.0899,9.5148,9.7029,10.7013,8.1382,10.3446,7.7363,9.8205,9.0957,9.3063,11.4325,8.1355,10.7157,7.1564,8.1346,6.7973,5.6437,3.8133,5.8432,8.7999,2.7149,10.9068,8.3074,13.7139,7.1318,3.0675,8.4846,8.0605,4.5694,11.9956,10.8716,7.4149,8.9255,12.6522,6.605,10.0638,10.1424,8.0389,7.547,6.7753,11.99,7.6585,10.8192,5.9304,8.0697,3.7694,6.5189,9.8497,10.7924,8.8514,5.4597,7.6005,11.7831,9.3365,10.4554,10.0903,9.3209,6.883,5.6502,7.5781,5.9786,8.15,7.843,4.8064
11.9077,7.6548,9.1468,11.5483,7.6554,7.8311,8.4888,7.8146,8.4765,6.7768,8.9326,8.0961,10.2344,9.6124,9.248,9.5171,10.1363,6.6642,7.7369,8.508,5.4881,8.1093,6.7644,8.6207,10.7551,8.1079,8.5834,7.4084,9.6133,4.3896,6.4871,3.6812,6.6251,6.9349,3.9018,10.4966,7.585,7.4237,8.7893,6.5896,8.6838,9.8031,6.339,4.7856,9.5343,8.4058,8.068,10.8359,6.5089,8.9721,9.6206,9.074,7.5022,4.2654,8.9875,7.7591,8.7484,7.2942,8.1422,5.7886,9.2,8.4034,9.3723,8.957,4.9374,7.7612,10.5645,9.7171,9.3621,8.2963,9.8252,6.7185,6.5946,4.9467,4.4349,6.9762,7.5462,4.5856
11.8592,8.7641,6.7698,10.6987,4.7912,8.5815,6.656,6.4332,4.2077,6.6082,8.3433,10.2777,10.9565,10.6784,8.7792,8.0143,9.866,9.6999,10.0494,12.0857,10.3608,11.1903,6.3047,8.8449,10.1406,6.2449,12.8623,6.7249,7.3622,3.1396,10.0839,2.9578,5.8076,6.0788,2.422,3.0625,9.7653,7.3841,7.7183,1.8829,8.1874,10.8215,4.4572,12.4992,12.569,7.0201,11.4367,14.664,6.8617,11.9763,9.4938,11.4288,4.6239,1.3053,11.6637,7.9452,12.8061,5.1278,8.7943,4.0769,4.9473,2.3699,12.5183,8.8968,0.6034,13.9575,12.4996,9.01,12.541,9.1022,11.6778,9.4973,8.4474,7.6591,2.6589,8.6731,7.28,4.3311
12.0612,8.3111,8.0799,10.6865,5.6633,9.3624,7.5659,6.3549,8.3521,6.6752,7.8008,9.7021,10.2032,9.4155,8.5043,8.2271,8.1485,10.5476,10.4272,12.6455,10.4822,11.5188,8.2889,7.186,7.9566,2.6181,13.764,6.7412,7.5825,5.9173,10.2329,4.1856,4.9222,8.0772,3.3263,3.4061,10.7203,14.2864,7.368,1.8673,9.7715,9.6503,7.7039,12.7371,13.4384,7.5959,10.3884,14.508,4.2952,12.0741,10.2837,8.7721,7.6018,6.144,13.9558,8.7326,13.1942,5.3933,9.7293,4.239,5.0511,1.7151,12.9994,10.1147,5.8991,5.4784,13.903,10.4134,12.5266,8.0118,9.5801,9.3241,6.8787,8.5702,4.052,7.3862,7.8865,8.2076
12.7259,8.4282,8.3729,10.7377,6.5928,8.8756,7.8665,4.2708,8.7554,6.5377,7.651,10.9105,10.6043,9.9436,8.8928,8.0005,9.303,10.3318,7.4149,11.916,9.5693,10.692,8.6237,7.5356,9.0227,3.6802,11.444,5.7812,7.7381,3.5356,9.1186,2.8687,6.6194,5.3742,4.5573,6.5231,7.6448,9.5024,7.5745,5.2003,9.7065,12.2449,4.5745,14.6533,11.1867,7.5242,10.9906,14.3534,4.1054,11.0802,10.9838,7.2641,6.5478,5.9103,13.1016,9.0813,11.9813,6.833,9.9304,3.9947,6.3892,4.4885,12.217,10.1453,3.2611,6.7676,13.6199,9.5389,10.0633,5.9866,10.3149,9.5304,8.3183,9.2269,5.8878,7.1299,8.1206,6.5372
12.3641,8.9391,7.882,10.1676,5.9152,8.0743,6.9513,7.0466,8.9847,6.2463,9.2795,5.044,10.179,11.2763,9.0843,10.0065,9.0074,4.6809,5.5583,8.6398,6.3788,11.1752,8.0483,8.4154,10.1624,10.215,7.4728,5.8082,10.6476,5.1732,6.0267,1.9372,3.4495,6.0438,6.9393,6.0677,5.5551,11.8827,8.4124,5.116,7.9681,9.5906,11.3159,12.0081,10.5338,6.7369,10.4111,13.6927,5.5924,8.6477,9.2341,5.6085,6.2444,4.7975,11.971,7.9829,9.5298,3.5181,5.8046,3.1359,5.6877,3.8248,9.5794,9.2462,6.1148,3.1612,12.8277,9.6685,9.4642,6.4745,8.7312,7.5159,7.3714,5.8812,3.401,7.2553,9.5583,4.6163
12.0602,8.6066,7.6073,10.6249,6.8988,7.933,7.7108,7.1393,7.5392,6.4236,4.8455,7.7515,9.7768,9.6327,8.671,8.2522,8.3637,7.168,9.0413,8.8253,6.2395,10.544,8.3131,6.9401,7.8425,2.116,8.4135,5.8388,8.8222,2.6208,6.1564,7.2473,1.2254,7.8806,6.5284,3.3573,8.1616,15.1728,6.7426,1.3068,8.4329,8.4438,8.1595,10.4745,14.0081,6.7025,7.4519,10.2794,5.0773,8.9561,9.3856,8.4594,4.9762,2.396,9.7345,8.1741,9.7979,4.0635,7.5684,12.2449,4.4831,5.049,9.7829,11.0201,5.0199,7.3193,13.3931,10.1938,8.2852,6.8297,9.4588,8.0183,7.0716,6.6449,3.923,7.965,9.1479,5.3459
11.281,8.6218,8.3951,10.6988,6.4474,8.9903,7.8661,4.4736,9.5239,5.8614,10.5521,7.2746,11.3627,10.1274,8.4774,10.3578,10.1748,8.3783,8.1531,8.6587,4.7333,7.3275,6.9096,7.976,10.9267,8.3987,6.8669,8.3626,9.6485,5.4269,5.2398,3.0084,5.1843,3.3592,6.1483,8.5272,7.4557,8.2823,7.1809,3.0602,7.9754,7.4293,7.3924,3.8255,9.6729,7.4059,7.9928,11.3702,5.0796,7.6934,9.2235,4.1423,4.01,5.5162,9.3805,8.2607,9.1679,4.9402,6.8975,2.9609,5.0983,7.03,9.5442,8.25,5.7702,6.6649,9.7824,8.5432,9.4746,11.4885,9.4357,6.3887,4.951,5.3447,3.6024,7.657,8.4677,5.2175
12.5553,7.4527,8.5629,10.3224,6.174,8.7361,7.4899,6.7191,6.6043,6.8494,8.2723,10.4442,10.0811,9.1083,8.7929,7.5071,8.8289,10.3855,10.9183,11.7422,9.3072,11.3218,8.0487,6.6961,8.0305,3.3158,14.2366,5.9812,7.4195,9.8865,6.1592,4.1976,5.6462,10.4562,2.7421,4.0097,10.706,15.2925,6.4868,3.1535,9.0115,9.9654,10.0373,12.5434,13.436,7.1752,11.508,14.4045,5.2227,10.4727,9.8816,7.1565,7.2114,3.0078,13.1174,9.7405,11.8014,5.4404,7.9083,7.3046,4.3573,3.5265,11.9344,11.1471,2.6299,7.351,13.9804,10.6448,12.111,6.4027,10.6393,10.1672,5.1858,8.5695,6.6055,7.9731,7.4399,5.2219
12.2333,7.8985,7.4182,10.2844,5.0717,8.3558,6.6916,3.891,9.7605,6.2231,7.8735,10.7909,10.9399,10.9383,8.5249,8.1332,8.7501,9.9131,10.7598,11.728,9.7793,11.1973,8.1944,8.4478,9.2584,3.3644,13.7238,6.6363,7.5515,2.9942,8.2701,1.9739,6.3242,7.0074,2.3907,3.3543,10.9245,10.8189,6.8333,1.9303,9.4589,12.59,3.7585,14.0505,12.338,6.2301,11.5596,14.3113,4.7089,10.7946,10.0165,7.1925,7.6974,4.6056,13.7972,8.2676,12.0271,5.393,7.6051,4.842,2.3248,1.9596,11.8592,10.4007,5.547,11.5428,13.3102,9.5469,10.3827,5.5001,7.7134,10.883,9.8618,7.5628,2.8204,6.9365,8.0286,6.4472
11.8859,7.5916,7.0778,10.6391,6.5024,9.3544,7.797,6.2379,6.6208,6.411,9.9146,9.1808,9.6737,8.8552,9.3496,8.8334,8.9958,9.1156,10.6699,10.3171,8.1056,10.5357,8.1527,6.5448,6.5086,4.2034,11.4232,6.2017,7.8687,4.4651,6.3474,8.3189,7.0117,8.6194,4.8861,9.2536,10.6312,13.9772,7.419,5.0662,9.6399,9.7057,7.4601,12.0435,13.0623,7.0723,11.7166,14.7897,5.0297,9.9596,9.8874,11.1151,7.0385,1.3336,13.2411,8.638,10.4683,4.37,8.1744,6.7592,6.9133,1.7007,10.5819,9.5301,5.1853,8.1673,13.135,9.8487,11.6894,6.0286,9.7131,9.9682,7.8036,7.7286,3.5271,7.823,7.6739,5.1381
12.1708,7.8654,8.1378,10.9722,6.3551,8.1934,8.5748,4.9378,8.2851,7.7601,9.5658,10.7339,10.4243,9.0937,9.0988,9.0063,8.767,8.7747,9.2531,11.356,8.7031,10.6694,6.329,8.0732,8.7244,8.4014,11.3391,6.2836,7.8192,3.7401,9.4033,8.3858,7.1863,7.2543,4.8133,8.4396,9.0516,13.9254,5.4829,2.5611,9.5235,9.3675,4.7845,13.3049,11.8167,8.592,8.9839,13.169,6.8618,10.3508,9.5065,8.8724,7.3632,8.2071,12.5047,8.7974,11.6847,6.9447,9.8847,5.2233,6.6476,6.2134,11.6647,9.6559,6.2398,9.1138,13.3526,9.0779,11.6335,9.4644,9.5686,9.8368,8.5605,8.5584,4.5569,7.8715,8.2502,5.4672
12.8908,8.094,9.3695,10.7094,3.5129,9.282,7.1841,7.1036,10.6763,6.255,8.011,8.6288,11.489,11.3228,8.7428,9.6055,9.1484,4.9963,7.3691,8.3462,4.5763,7.3697,7.6082,9.5189,10.147,6.9427,8.4676,6.8129,7.7452,4.4475,6.0849,3.5091,4.9541,1.455,7.3277,13.0265,5.2623,6.791,8.1117,2.5059,8.555,8.393,9.9467,2.7363,10.0633,7.4676,7.8222,12.1343,6.7576,8.6782,10.1989,6.0757,6.3673,8.5389,8.9354,8.5069,8.8358,5.3537,4.7051,4.7941,3.381,10.3828,9.0829,8.6213,6.7298,8.4816,11.29,9.4117,9.5097,10.5669,9.7675,5.3568,7.1697,4.4077,6.7596,3.4792,8.9207,5.6151
12.0125,8.3706,7.5099,10.5047,6.609,8.3223,7.8796,6.8698,6.6663,6.17,9.1196,8.4517,10.7828,9.7566,8.3378,9.2518,9.3154,6.7392,6.409,7.7502,4.1328,10.5331,8.3982,8.0543,10.2818,9.8379,7.6136,6.9092,9.2266,7.5044,6.1126,7.6023,5.2113,7.0114,4.0866,8.2765,6.7671,11.7367,10.3456,3.3848,8.9291,4.942,10.2675,12.1989,11.785,11.5765,7.5922,11.4554,10.8144,7.4385,9.2142,7.2754,4.3566,5.5409,10.5317,8.2349,8.3473,10.1724,7.9114,4.7086,6.4407,1.8945,8.7861,9.9085,6.2971,6.956,12.5725,8.8664,11.5272,9.4318,8.2309,7.3035,7.6041,6.4008,5.2808,7.21,9.1773,5.5858
11.1958,8.5326,8.0492,10.1873,4.7842,9.0845,7.3467,5.1661,10.953,6.0888,9.4018,7.9887,11.1756,11.8099,9.4808,10.3812,10.0292,7.6927,4.5157,7.0838,4.7115,7.3272,8.0842,9.0162,11.3874,9.0031,8.4559,10.5168,11.3462,2.8789,5.3526,3.1262,7.5126,6.8685,4.3168,9.0895,4.5541,6.6038,7.1284,4.6494,8.9693,8.5806,4.3763,3.0943,9.9698,6.2898,6.7856,10.1851,5.0131,7.6504,8.6278,8.7767,4.3464,1.1651,10.1753,7.4294,7.5039,5.6241,6.3283,2.2424,5.1409,10.5956,8.1038,7.6612,5.5676,7.1702,9.3217,8.9641,7.8797,9.2655,9.4998,6.8864,7.0328,4.0453,3.7997,5.8366,8.6077,4.4848
11.5379,8.6753,7.9931,10.5404,2.4833,9.0678,7.2883,7.1591,8.1448,5.322,10.4916,8.4881,10.9818,10.5525,8.6481,9.7145,10.1653,7.1012,7.7143,8.9223,5.852,7.7178,9.2965,8.8914,9.3234,10.3579,7.8963,10.513,10.9086,9.7345,6.0802,6.5944,2.326,4.725,6.5715,12.1185,6.711,7.4705,5.0023,1.9646,8.5741,8.7624,6.42,8.6453,10.0111,6.6771,7.3408,10.699,9.1603,8.5991,7.8446,4.4879,3.763,7.165,9.7544,8.6323,9.6233,7.8355,6.7185,3.9869,3.1245,8.0793,9.7983,8.8773,5.9175,8.1789,9.7689,8.6595,8.9031,10.4797,9.775,8.8829,7.2091,7.6373,5.9363,7.9782,8.5834,3.837
12.2426,8.6863,9.017,10.358,3.8942,8.1464,7.724,6.2153,8.4125,5.773,10.5751,8.1943,10.5183,10.3358,8.8667,10.3462,9.0051,8.0613,7.4348,8.1957,5.6595,8.1495,9.2926,8.4839,9.1115,8.8849,8.15,7.8297,9.3755,4.9566,5.1908,2.7958,2.1703,0.7312,5.3541,11.9998,7.4051,10.5052,7.2126,2.5962,8.9399,10.0643,8.7184,6.9472,10.1643,6.5998,8.4789,12.1241,3.8801,7.985,9.5701,8.0752,5.0429,9.9379,9.7492,7.7758,9.2567,5.5599,7.7077,3.385,6.9445,10.2683,9.3203,7.5883,6.2794,8.1593,9.9266,8.551,8.4921,10.9426,8.6868,4.4204,7.0028,7.7241,6.7768,7.6245,8.7103,4.1544
11.7422,8.3868,7.0016,10.2935,6.3874,8.5742,7.5293,6.7464,5.7107,6.6221,7.7011,12.1223,10.1097,10.1268,8.8376,8.1674,8.6462,10.119,11.0085,12.1092,10.076,10.8555,7.7931,7.5054,8.7482,6.3029,12.7341,5.4748,7.7963,7.4237,9.3567,9.9649,5.8002,7.4238,2.3913,3.1062,11.0641,13.1493,7.4858,5.0466,9.5603,11.9017,7.1009,12.8912,12.3108,6.5574,11.1457,14.3155,6.4719,11.5397,11.2018,9.2471,7.4359,1.7604,12.6052,8.7389,12.2213,3.6112,8.271,2.3018,5.2082,1.6071,12.3123,10.5436,5.8494,10.5572,13.0246,9.6295,11.8633,7.2106,10.7866,10.6273,8.1975,8.4905,5.2779,7.1009,8.0461,6.4532
