"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","201983_s_at","202088_at","202089_s_at","203256_at","203628_at","203963_at","204508_s_at","204623_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206754_s_at","206799_at","207038_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211233_x_at","212148_at","212496_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217528_at","217838_s_at","39549_at"
11.1349,7.6111,8.7835,11.1829,6.7063,9.6152,8.0528,7.6256,10.7755,6.8954,7.1327,9.4504,9.6148,10.2857,9.7649,8.603,7.4258,6.5064,13.8576,12.7289,5.298,8.7482,10.975,9.0767,11.2664,11.8091,4.0579,12.4562,7.4452,4.9057,7.9484,5.0535,8.5858,6.8438,12.2194,7.439,9.9895,10.0288,14.088,10.7399,7.8977,10.9404,9.7337,12.4273,9.1346,6.6855,11.9349,10.5,5.2469,12.0586,4.76,11.1963,3.8037
11.8757,8.0035,8.1103,10.6567,5.7084,8.7424,7.2557,5.0792,7.1722,5.6942,8.1523,9.4601,8.8981,11.1904,9.5604,8.5714,6.9379,8.0534,14.5652,13.5852,5.3675,11.4914,10.7894,8.8618,14.4328,14.9576,3.4555,12.2024,12.6169,10.0934,9.1798,4.3108,6.5963,4.9164,12.7413,8.8159,10.9835,10.9478,14.6333,9.7376,8.1619,11.7877,11.2621,12.4745,9.951,9.4616,11.1997,10.7921,3.9259,11.2566,1.081,11.7824,4.258
12.6326,8.3098,7.4773,10.4499,6.2087,8.9361,8.2354,6.9086,7.8135,6.3751,9.0223,9.147,8.7184,9.9515,9.6527,9.3843,5.7332,9.9087,11.6836,10.383,11.2289,7.6174,9.2444,7.2568,9.975,7.2508,4.3995,7.987,2.4328,6.5143,5.6576,6.0717,7.9957,3.8961,11.9726,4.4313,9.1959,8.886,13.2361,9.0941,5.477,10.4846,10.0212,10.9061,8.6924,10.8879,9.802,8.4331,5.8684,9.8661,11.3404,9.5908,6.6734
12.5807,8.0104,7.5885,10.1383,6.7935,9.2063,8.0392,5.0627,8.2889,6.2767,8.3341,9.2451,8.7851,10.0506,9.734,9.7469,5.4319,7.1925,12.932,11.4773,6.5259,8.2848,10.8107,8.201,10.1691,12.0302,3.5527,10.1026,3.6658,6.6643,7.2889,8.0237,8.1231,2.8542,12.5589,5.789,10.1162,10.1557,14.1058,9.6425,4.6674,10.5958,9.8405,10.9066,8.57,3.5288,10.9737,10.0989,5.6927,10.931,7.1607,9.714,6.7817
12.4304,7.6919,8.0937,10.1545,5.2033,8.8423,8.6325,6.1289,9.7141,6.2651,9.7055,8.6808,8.6243,9.7571,8.9612,9.7308,7.7353,7.5673,11.4543,10.0365,7.4434,6.3248,10.3061,8.4555,10.7314,11.2714,6.2372,8.0999,6.5555,6.7538,7.9678,3.6556,9.2714,4.2359,12.1779,5.2473,9.2392,9.0275,12.722,9.4931,6.9219,11.2868,9.593,10.6692,8.664,3.8446,10.8545,8.7904,2.1542,10.7828,7.4035,9.5206,5.6251
11.9454,7.4614,8.4695,10.7476,4.7954,8.6858,7.9473,4.9733,9.1354,7.0174,7.0581,9.644,8.919,10.5439,10.0771,9.5098,7.1117,8.2242,11.3805,10.3296,11.1149,7.8213,9.284,5.8544,8.859,4.2927,2.8189,8.5567,2.5115,4.3118,5.7934,10.8039,7.2436,3.2843,13.0221,5.6199,8.8079,8.4549,12.5708,8.8212,8.0029,9.2244,8.6252,10.2593,8.0576,10.1851,10.1915,8.9649,3.3872,10.5213,3.4108,8.8303,6.7875
12.1154,7.9201,6.207,10.5313,5.2639,8.59,7.6032,4.6133,7.9468,6.1417,9.6857,8.368,8.1788,9.7441,9.2182,8.2669,7.6312,8.8581,13.8154,12.8094,7.6736,10.7013,10.3446,7.7363,11.71,12.4858,7.2878,10.7157,9.3726,8.3615,7.5721,10.6691,6.2922,5.5392,11.9956,9.5573,8.9575,8.9255,12.6522,10.0638,7.3947,11.5945,10.1644,11.99,9.418,4.0985,10.8192,8.9039,9.8497,10.7924,5.9924,9.5858,5.9577
11.9077,7.6548,9.1468,11.5483,7.6554,7.8311,8.4888,7.8146,8.4765,6.7768,8.9326,8.6963,10.1714,10.8412,10.3506,9.3646,8.1402,9.4118,10.0835,9.6299,11.4311,6.6642,8.508,5.4881,8.2119,8.3331,5.4765,8.5834,7.9959,3.9198,7.9186,4.064,4.744,5.5657,4.7856,9.2807,3.9655,8.068,10.8359,8.9721,8.4599,8.2524,7.5801,8.9875,9.2876,5.8045,8.7484,8.8652,8.4034,9.3723,5.4461,9.1748,3.168
11.8592,8.7641,6.7698,10.6987,4.7912,8.5815,6.656,6.4332,4.2077,6.6082,8.3433,9.045,12.5937,9.516,9.5605,8.3146,7.3738,3.3533,12.1994,10.989,5.5007,9.6999,12.0857,10.3608,13.6114,11.2981,4.905,12.8623,8.8473,10.2367,12.6914,14.3858,8.3711,6.7468,12.4992,8.3941,11.2706,11.4367,14.664,11.9763,9.2682,11.3568,10.9343,11.6637,9.3393,9.3871,12.8061,10.0699,2.3699,12.5183,2.6382,10.4109,2.4011
12.0612,8.3111,8.0799,10.6865,5.6633,9.3624,7.5659,6.3549,8.3521,6.6752,7.8008,8.2427,8.7859,9.2409,9.544,8.8943,8.0573,4.4415,14.8448,14.4436,5.276,10.5476,12.6455,10.4822,12.8885,14.0007,3.6396,13.764,12.6589,8.6706,11.5871,14.9648,8.7704,8.4885,12.7371,9.254,11.3341,10.3884,14.508,12.0741,9.6846,12.2201,10.6542,13.9558,11.7924,4.9498,13.1942,14.6369,1.7151,12.9994,4.9353,11.8275,7.881
12.7259,8.4282,8.3729,10.7377,6.5928,8.8756,7.8665,4.2708,8.7554,6.5377,7.651,9.0271,8.7727,11.1278,8.8911,10.0216,7.9343,4.235,14.7702,14.2569,6.0226,10.3318,11.916,9.5693,14.7619,15.2189,6.3044,11.444,3.4679,10.0397,10.4399,10.9951,7.2939,4.9683,14.6533,11.6737,10.8359,10.9906,14.3534,11.0802,7.9792,10.8587,11.0843,13.1016,10.4734,7.9428,11.9813,12.7442,4.4885,12.217,1.3409,10.139,5.2643
12.3641,8.9391,7.882,10.1676,5.9152,8.0743,6.9513,7.0466,8.9847,6.2463,9.2795,9.2244,8.3646,9.3593,9.5821,10.0033,7.546,7.567,12.2009,11.1723,4.5132,4.6809,8.6398,6.3788,14.0944,11.6909,1.2731,7.4728,6.0069,5.5229,7.1454,3.4943,4.4333,4.0705,12.0081,4.8692,10.3926,10.4111,13.6927,8.6477,5.635,11.0426,10.0733,11.971,9.4486,3.6708,9.5298,9.0391,3.8248,9.5794,11.5271,9.6102,7.3757
12.0602,8.6066,7.6073,10.6249,6.8988,7.933,7.7108,7.1393,7.5392,6.4236,4.8455,9.4301,13.6194,10.3105,8.8503,9.0523,6.9995,11.1111,12.9895,12.0075,4.5812,7.168,8.8253,6.2395,10.9136,6.9303,10.658,8.4135,1.7375,7.8444,14.3442,2.756,5.5157,4.5808,10.4745,5.2307,6.7092,7.4519,10.2794,8.9561,4.0768,8.9488,10.8041,9.7345,8.2824,4.3296,9.7979,8.6642,5.049,9.7829,8.8607,8.1124,4.9221
11.281,8.6218,8.3951,10.6988,6.4474,8.9903,7.8661,4.4736,9.5239,5.8614,10.5521,8.9671,8.9173,9.5446,9.807,8.7159,7.3566,7.7024,10.7953,9.9015,10.5841,8.3783,8.6587,4.7333,5.3226,7.6352,7.271,6.8669,5.9043,2.7226,4.8695,4.766,4.6579,5.361,3.8255,7.0025,7.6899,7.9928,11.3702,7.6934,5.239,9.096,8.4195,9.3805,8.1298,5.8475,9.1679,8.574,7.03,9.5442,6.3143,8.8584,5.2721
12.5553,7.4527,8.5629,10.3224,6.174,8.7361,7.4899,6.7191,6.6043,6.8494,8.2723,9.0767,8.6566,9.8901,9.1857,8.5891,7.5356,5.6613,14.5712,13.7197,5.5915,10.3855,11.7422,9.3072,9.4095,11.2667,10.7932,14.2366,6.9536,8.2397,12.5693,3.4826,8.3189,6.1054,12.5434,7.7317,11.4216,11.508,14.4045,10.4727,9.0935,11.7366,11.406,13.1174,10.643,6.4542,11.8014,13.5126,3.5265,11.9344,12.2423,12.1268,6.0256
12.2333,7.8985,7.4182,10.2844,5.0717,8.3558,6.6916,3.891,9.7605,6.2231,7.8735,8.4661,8.3698,9.6028,8.8064,8.2932,7.4296,6.2229,14.1932,13.4658,4.2987,9.9131,11.728,9.7793,13.6572,11.9065,2.5779,13.7238,7.232,9.5064,10.1326,6.6525,10.3166,5.7895,14.0505,11.2273,11.2286,11.5596,14.3113,10.7946,9.1204,13.1219,11.286,13.7972,12.27,9.4534,12.0271,12.3125,1.9596,11.8592,4.6182,11.5888,1.2808
11.8859,7.5916,7.0778,10.6391,6.5024,9.3544,7.797,6.2379,6.6208,6.411,9.9146,8.5494,9.0752,10.1253,9.7449,8.3363,8.1204,6.937,13.0582,11.9682,5.1766,9.1156,10.3171,8.1056,10.2115,10.5717,4.9048,11.4232,10.0487,7.0217,11.0953,4.0803,8.2277,7.8673,12.0435,7.1301,11.578,11.7166,14.7897,9.9596,6.0156,11.451,10.1959,13.2411,10.8471,8.4078,10.4683,13.3354,1.7007,10.5819,3.9565,11.5862,6.4407
12.1708,7.8654,8.1378,10.9722,6.3551,8.1934,8.5748,4.9378,8.2851,7.7601,9.5658,6.4902,9.3212,11.3701,10.2517,8.6335,7.4304,8.1656,13.8039,12.3272,8.7017,8.7747,11.356,8.7031,15.3439,15.1741,3.4077,11.3391,8.7703,8.9754,8.4029,12.6767,7.8316,4.6189,13.3049,12.1653,8.3442,8.9839,13.169,10.3508,7.5628,10.44,9.8117,12.5047,10.4006,9.2998,11.6847,11.2106,6.2134,11.6647,9.3068,10.318,3.7341
12.8908,8.094,9.3695,10.7094,3.5129,9.282,7.1841,7.1036,10.6763,6.255,8.011,8.8111,9.1533,10.8976,9.4865,7.9428,7.4633,9.336,10.5884,9.5577,10.3593,4.9963,8.3462,4.5763,5.9321,7.456,3.8579,8.4676,2.2866,2.612,6.8341,5.1505,5.8543,4.1226,2.7363,5.6811,8.2722,7.8222,12.1343,8.6782,5.7654,8.5953,8.3537,8.9354,8.0405,5.4763,8.8358,8.3989,10.3828,9.0829,7.4824,9.5531,7.7487
12.0125,8.3706,7.5099,10.5047,6.609,8.3223,7.8796,6.8698,6.6663,6.17,9.1196,9.1538,9.153,9.8895,8.9049,9.165,7.9794,14.7814,12.3104,11.1846,9.0198,6.7392,7.7502,4.1328,11.9416,8.7801,13.6065,7.6136,5.8714,6.982,6.3841,4.6445,4.7978,4.8073,12.1989,6.2502,7.4846,7.5922,11.4554,7.4385,5.493,10.7819,10.9105,10.5317,8.7878,4.8261,8.3473,9.2643,1.8945,8.7861,10.866,8.3891,7.137
11.1958,8.5326,8.0492,10.1873,4.7842,9.0845,7.3467,5.1661,10.953,6.0888,9.4018,8.5791,8.5725,10.166,9.7567,10.08,7.8007,8.3823,11.0008,10.1474,11.2605,7.6927,7.0838,4.7115,6.0993,7.0622,9.5716,8.4559,6.831,5.1907,6.7498,3.2458,6.1169,6.7218,3.0943,4.6403,6.5262,6.7856,10.1851,7.6504,6.5231,9.6663,9.2127,10.1753,8.5951,4.3345,7.5039,8.8052,10.5956,8.1038,4.5233,8.5696,5.5392
11.5379,8.6753,7.9931,10.5404,2.4833,9.0678,7.2883,7.1591,8.1448,5.322,10.4916,8.5851,8.7777,9.6302,9.7392,9.7123,8.0631,8.8751,11.6687,9.9148,11.3929,7.1012,8.9223,5.852,7.9525,8.2434,10.2186,7.8963,9.2353,6.9668,5.48,12.1276,5.6979,4.3891,8.6453,5.6468,7.2882,7.3408,10.699,8.5991,5.8696,9.5647,8.5889,9.7544,8.3719,7.3113,9.6233,9.2215,8.0793,9.7983,5.381,9.1637,6.805
12.2426,8.6863,9.017,10.358,3.8942,8.1464,7.724,6.2153,8.4125,5.773,10.5751,8.3001,8.7398,9.9899,10.1677,9.0011,6.8822,9.1262,12.2739,11.2576,10.1492,8.0613,8.1957,5.6595,7.4379,7.0424,7.0262,8.15,8.8528,5.7937,7.1052,6.6746,6.0081,4.7844,6.9472,7.9377,8.4579,8.4789,12.1241,7.985,6.2028,10.0428,8.8874,9.7492,8.2607,4.0866,9.2567,9.0208,10.2683,9.3203,4.0805,9.3707,5.5615
11.7422,8.3868,7.0016,10.2935,6.3874,8.5742,7.5293,6.7464,5.7107,6.6221,7.7011,8.5411,8.3461,11.1475,9.5436,9.2656,7.7301,7.5562,14.3521,13.7677,9.7639,10.119,12.1092,10.076,11.5244,12.8873,5.3168,12.7341,11.7697,10.8913,7.0218,3.9211,9.9091,8.7955,12.8912,9.8304,10.9844,11.1457,14.3155,11.5397,8.2817,11.5708,11.2598,12.6052,10.1141,8.9135,12.2213,11.942,1.6071,12.3123,8.6522,10.8835,5.9411
12.1271,7.2132,7.9736,10.9648,6.1438,9.4323,8.5276,6.3717,7.539,7.4931,8.5073,8.8522,8.9289,10.0888,9.8854,9.6013,8.23,7.7752,14.6268,13.4121,5.8088,9.7976,11.6731,8.0906,12.6893,11.5199,3.2306,12.9117,7.0192,8.8619,8.3354,10.6593,9.4439,7.3792,10.1942,8.6693,11.3471,10.9915,14.9286,11.2167,7.6755,11.5808,9.5429,12.7904,10.6801,6.5507,11.885,11.2301,3.94,12.1451,2.4997,11.5948,3.7556
11.9852,7.7999,8.0232,10.4751,6.0201,8.6265,7.0972,6.1842,4.6252,6.7049,7.9032,8.6658,8.4117,11.3044,9.4632,9.0039,7.0766,6.5727,14.6215,13.7118,6.4944,10.4411,13.0861,11.4458,14.9775,14.5542,0.7843,13.8611,3.2194,9.2879,8.2143,11.9052,8.5205,7.1047,14.6352,10.0145,11.4407,11.4351,14.3454,12.572,9.6782,11.8618,11.5598,13.3609,10.7132,7.5989,13.5777,12.9845,1.5849,13.3377,5.7984,11.375,2.108
11.831,7.5973,7.9636,10.3086,3.9819,9.2248,8.3119,4.5094,8.5723,6.6006,7.803,8.3713,9.0472,10.2091,9.4609,9.1231,7.8282,6.9257,14.5849,13.5653,5.0626,10.1586,12.2741,9.7068,13.2984,14.3963,3.3148,11.6071,14.3158,8.2527,12.9351,3.628,7.7991,7.656,13.5063,10.0563,10.8253,11.157,14.4465,11.2184,7.4226,10.7861,11.0208,12.8879,10.1562,8.3551,12.6334,14.0729,3.4418,12.4268,5.2722,12.5505,4.7677
11.9298,6.9393,8.6826,11.1207,7.2069,9.045,8.8439,5.089,8.2054,7.541,8.8032,9.4167,8.9572,10.9467,9.537,9.0028,5.4525,7.4022,12.272,10.9032,9.7619,8.2562,11.9837,9.3395,9.1658,8.9114,3.6023,12.9999,9.9379,9.0777,11.1861,4.193,8.2306,5.8981,10.5679,8.0852,10.7504,11.0987,14.404,11.1162,8.3992,11.3412,10.493,11.3677,8.4909,5.1455,12.2108,12.3862,2.2721,12.156,6.6983,12.1861,3.5396
11.5563,8.5456,7.1632,10.3012,6.4049,8.6548,7.781,7.0353,4.3758,6.2408,9.228,8.3581,8.2636,9.4228,9.1108,8.3771,7.7609,5.7415,14.6166,14.0442,4.3802,10.7554,12.1658,9.8688,12.872,11.7011,8.183,14.1548,12.9115,9.2368,10.1335,12.7435,7.4836,7.8581,13.1252,10.5088,11.2149,11.3986,14.3343,11.73,10.5961,12.0494,11.7892,13.2225,10.0517,8.8349,12.3533,14.3388,2.6906,12.3598,8.1887,10.7861,1.6548
12.3898,8.2476,8.0326,10.5134,5.3924,8.1164,7.9979,4.8716,7.7394,6.8398,8.2578,8.7604,8.8876,10.2979,9.8293,8.5529,7.0107,6.8964,13.5248,12.5275,6.7781,8.2252,11.7799,9.4071,14.3842,14.4898,5.171,11.7896,9.6092,7.0331,8.3816,8.3475,8.0604,7.419,15.2752,5.299,10.5645,10.7427,14.2872,10.7053,8.2913,11.2753,9.6867,12.177,8.2661,9.4362,11.7466,11.5947,4.5106,11.7531,3.6324,10.8032,4.2214
12.2223,8.2085,6.9243,10.6213,6.4243,8.1863,7.6972,5.2509,6.6306,5.8929,9.0887,9.0371,8.5975,9.9443,9.4665,9.3887,7.5015,6.5298,14.1483,13.6885,6.2268,10.0395,12.0982,10.1436,10.5767,12.5176,3.2335,13.1663,10.9252,9.2656,13.0941,8.8498,9.4697,8.1493,11.7927,9.7109,11.4773,12.036,14.4551,11.1614,9.0824,11.8226,10.8089,13.0678,10.6223,9.4897,12.6511,11.9927,2.1948,12.4881,1.4204,11.0543,5.6723
12.2161,8.3784,9.2722,10.2165,6.3052,8.6948,8.0228,6.6273,9.0395,6.6244,10.5251,9.2971,8.7027,9.3682,9.3717,9.6604,7.111,8.7545,9.1827,8.807,11.1185,9.4743,7.3925,3.1318,7.6347,7.6229,7.5902,7.4166,3.8593,5.7083,5.3369,3.3653,3.8101,4.4086,3.553,6.1218,7.8565,7.7591,11.528,7.8961,5.4809,9.4481,8.0221,9.2101,8.3023,7.8973,7.8891,6.9822,10.8661,7.8491,6.1997,9.5212,3.2293
11.3958,9.0461,7.7128,10.5946,5.9523,9.7664,7.8164,6.5998,10.243,6.2809,10.4048,9.1636,8.6115,9.5468,9.3718,9.5035,7.6112,8.8483,10.9274,9.6906,9.5173,8.5987,7.9611,4.7862,7.837,7.6033,7.1734,8.6856,10.7432,6.1798,6.7483,4.6158,6.1812,4.1337,8.3373,5.5584,5.773,5.3853,9.4435,8.7508,6.6813,9.7944,9.4482,8.8312,7.99,3.9969,8.2866,8.159,6.6686,8.7277,3.5388,9.7588,6.1143
11.9744,8.3758,7.0766,10.8679,6.8361,9.6753,8.2426,5.1371,8.2829,6.4484,9.1156,9.1713,9.3323,10.3977,9.8459,8.8546,8.0899,4.9106,13.5231,12.0902,6.09,9.4791,11.8307,9.3766,13.8518,14.0673,2.1234,12.0832,13.0675,8.8133,9.9301,8.5691,7.8687,8.4158,14.1774,10.6956,10.3976,10.4631,14.7315,11.1342,8.7475,10.5556,12.2203,12.2257,10.2502,5.7185,12.2398,14.7162,2.6082,12.3237,6.4544,13.0999,3.6365
11.7052,8.1315,8.3681,10.8449,3.8701,10.0139,8.0314,6.7988,9.0597,6.5377,10.6929,8.8065,9.3574,11.1905,9.8109,9.4688,8.1636,9.8788,11.337,10.3754,10.9988,7.0101,8.0296,3.5843,7.6518,5.4989,7.3938,8.1952,5.6536,2.664,4.486,4.2622,5.1372,7.0917,6.6653,5.5753,7.2402,7.2157,11.3759,8.11,5.3263,9.4249,6.4121,8.6669,8.4119,4.6241,8.1543,8.7538,6.1628,8.8596,5.7005,9.4687,5.5353
12.7443,8.4647,7.8223,10.5702,5.4462,9.6306,7.9954,5.0945,9.2264,5.9951,8.7336,8.6847,8.9623,8.7422,9.4497,8.0765,7.6333,4.6514,11.9665,11.1186,6.2285,4.1982,11.5362,8.9374,13.4074,11.159,5.3151,10.719,1.9116,5.3361,5.5528,14.1834,7.9784,4.7332,11.7801,8.4886,10.4453,9.6384,14.1977,10.285,6.5336,10.0333,8.7681,10.5998,8.7242,8.756,11.4492,9.3593,3.5924,11.3998,8.1862,9.3471,3.8283
12.2154,8.3121,7.2899,10.1917,6.2535,8.3476,7.8315,4.248,6.798,5.9374,8.1621,8.7758,8.6652,11.1737,8.7004,9.8993,4.7694,3.8544,12.5746,10.8328,4.8085,9.39,12.0082,10.1122,15.6275,15.1283,5.6973,12.9374,11.46,9.328,6.7119,5.9254,9.5559,4.3627,14.2068,11.8487,11.2285,12.2846,14.8685,10.8788,7.1967,11.9824,10.4406,13.022,10.5886,9.4491,12.5708,9.436,1.6383,12.2942,4.6143,12.9724,2.9299
13.312,7.8254,6.9466,10.4662,6.848,9.5929,8.022,7.1205,7.4278,7.3725,9.0078,8.5027,9.6079,10.7923,9.5388,6.6957,7.5294,5.264,14.5636,13.7449,6.5111,9.9992,13.321,11.2929,9.2267,7.9923,3.8335,12.5191,14.7333,6.7728,13.6082,8.0746,9.2461,7.4375,12.4865,5.6274,11.2332,11.2264,14.8729,12.4535,6.4941,11.5608,11.2042,13.4395,11.0586,10.0338,13.7442,8.6102,2.9893,13.5062,3.3544,9.9225,4.8006
12.2111,9.0572,8.5728,10.062,6.2139,9.6644,7.0238,6.6909,7.8728,7.1817,8.4561,8.973,8.3603,9.9974,9.3471,9.0879,7.9095,9.1271,12.0894,10.6339,9.6587,9.0128,8.8828,6.8452,9.2769,5.4583,4.0575,3.6784,4.6527,6.0758,3.9488,13.285,7.0147,3.4461,11.402,7.238,6.7967,7.164,11.1143,8.3163,5.4026,9.4503,8.3613,8.8364,8.2816,5.5353,9.882,8.2756,1.7282,9.9496,7.2266,8.6887,6.0841
11.175,7.5085,6.6375,9.8587,5.1536,7.6266,7.558,7.4825,8.0259,6.5518,8.6835,8.5064,7.9145,9.5349,8.142,9.6777,7.5412,6.5102,13.293,12.0619,4.2153,11.8109,11.0726,9.1324,13.4853,13.8246,3.8768,12.0389,10.6663,10.3847,10.7713,3.1352,8.733,7.4713,13.3625,10.944,10.9272,11.0791,14.2505,9.8943,7.4417,12.7296,11.3627,13.5637,10.8038,7.0928,11.2563,8.6438,3.1802,11.2328,2.9789,11.4232,3.6231
12.1514,8.1922,7.162,9.8131,5.6407,7.8944,6.1357,6.8133,8.3269,6.4509,7.8662,9.259,8.2066,9.4723,8.0749,9.7183,7.0438,8.2248,11.7379,10.5638,8.824,7.5772,8.5622,7.0044,15.0957,14.8624,5.7111,8.2599,4.3719,2.6665,6.3018,6.5105,6.9382,5.1242,14.1808,4.3705,8.2617,7.8118,11.6584,7.7867,5.9167,11.5574,8.7266,11.359,8.3448,4.0524,9.4506,7.7187,9.8613,9.7074,7.667,9.5392,6.6631
