"var1","var2","var3","var5","var6","var10","var12","var17","var20","var22","var24","var26","var119","var129","var174","var187","var229","var246","var255","var276","var368","var433","var545","var554","var603","var607","var695","var742","var756","var788","var819","var836","var842","var846","var851","var1003","var1076","Class"
-0.190676361,-1.513219055,0.824438566,-1.112609798,0.591944675,0.586952984,0.225221391,1.250846848,-0.658166212,1.091520535,0.193261497,2.154259083,-1.495216768,-2.887775132,-1.979053368,-1.740116236,-1.922095971,-0.725877005,0.699178953,0.871251524,-0.657587005,-1.177006356,0.50095709,-1.328025453,-2.662121269,-1.275826908,-1.206977313,1.603802061,0.035174075,-4.382026635,-2.481711759,-1.650780876,-0.562294372,-0.909315118,-0.545417069,-1.709810887,-0.285417971,"3"
1.321409113,0.495366749,0.041525747,-1.627092848,-1.184170177,1.143394431,-0.433555988,-0.002803927,0.653886467,2.262460772,-0.059431584,2.816856772,-1.483245887,2.400491899,-0.499226488,2.592766539,-0.176259965,-1.292804018,-0.975244875,0.314226628,0.113239396,-0.812155967,0.589895551,1.284676832,-0.350408902,-1.485010334,-0.956592029,-0.14792013,1.124247546,-1.176357637,-0.845133538,-1.041003976,0.802315438,-1.676112046,-0.365427421,1.088595622,-0.379651173,"4"
-1.6820086053,-2.4395509481,0.6848125438,-1.6949958008,-0.9118008266,0.481685134,-0.8533159327,-0.0244976316,0.45139404,1.3556289468,0.6814287876,2.583151912,-2.1689287082,-2.8490378944,-2.342365963,-2.9818293684,-0.9218059126,-1.2559680994,-2.0226832079,1.8547186188,-2.1515822195,-2.2966030213,0.227852447,-1.5297029444,-2.3655248928,-1.6554818509,-2.0061910799,-2.0272286702,-0.6572010538,-2.2518919787,-2.6664285264,-0.2029733445,1.0543120298,0.4177230055,-1.0224849283,-1.7891628434,-1.4876628555,"1"
-0.3322611158,-2.2000285047,-0.4634650524,-1.2046396933,-1.0300194972,0.4432103744,-0.7815413313,0.1005690549,-1.2434068736,1.3982970399,0.0939456128,2.2924034354,0.9164107247,-1.9442115924,-1.3390291687,-1.2740376788,-1.6847003969,1.1576356291,-2.167180456,1.323274686,0.7001227943,-1.1986536428,1.1536684944,-1.5535302805,-1.299016353,0.3780253923,-1.0475390185,-1.1731203408,1.2023414744,0.3132767171,-1.6347557204,-0.5927590065,1.0884946105,-1.7446850618,0.1257512053,-1.1332037334,-0.3532522367,"2"
1.11123232,-1.98195192,0.223543471,-1.20330636,1.506186283,0.630473586,-0.499226488,-0.285817146,-0.802069588,1.402512139,1.672375152,1.559638239,-0.6919479,-1.330292171,-0.491186409,0.409257906,-1.32275634,0.681580544,-1.935860813,1.920973221,0.019900662,-1.05010788,0.252236226,-1.043556083,-0.012072581,-0.114177045,-1.090346544,-1.182537524,1.585575455,-0.777398733,-1.194682757,-1.170215708,0.428074251,-0.032729825,-0.676880208,-1.566378423,0.547485368,"2"
0.648724963,-1.386694441,-0.562645372,-1.098112414,0.944644925,0.342809258,0.045546815,0.205061044,0.071110627,1.928938368,1.670438934,1.817930663,-0.183322057,-1.504177402,-1.004029646,1.553206128,-1.35751256,1.893277612,-1.950520762,2.101594346,-0.016535969,0.155635292,1.665761533,-1.10473097,-1.089454351,-0.144216851,-1.521885015,-1.534794369,1.13078902,0.537954291,-0.472246142,-1.32275634,0.753065671,0.330741562,-0.147804195,-1.790959789,1.70422068,"2"
-0.2714151,-1.1254697428,-1.5380479163,-1.1485380974,-0.3553900555,1.1694434694,-0.0234733562,-0.0237805287,0.3929200806,0.9840615236,-0.477552047,1.697851639,-1.8445275348,1.865242246,-0.2016267079,1.7640284955,-1.8944568675,-1.061605563,-2.0596389144,1.2121790409,-1.531088946,-0.3717885817,0.1203574967,1.0514507975,1.6414209583,-1.0752864634,-1.1596369905,-0.8974689776,0.9467423393,-0.2081317937,-1.4779711497,-0.6297968651,1.5112295369,-0.4957728211,-0.1349037625,0.1504008007,-0.5123267499,"4"
-0.445818462,-1.380312289,0.299289445,-1.468806783,0.991657911,0.466309314,0.416009322,0.536785725,-0.800064463,1.267201092,-0.108922407,2.200441619,-1.60743991,-2.20183519,-1.443499835,-0.579997083,-1.936554054,-0.727531607,-0.033556784,1.571694508,-1.756199294,0.146435278,0.540695057,-1.342851803,-1.572142128,-0.951399909,-1.501480771,1.319967575,0.803748937,-1.136314156,-1.442653095,-0.950623411,0.013902905,-0.419006379,-1.267267655,-1.660205029,0.156063136,"3"
0.259436907,-0.7826343471,-1.2779782176,-0.659132302,0.5876199843,0.0037927982,-0.3658598535,-0.4165766129,-0.309791358,2.3827908643,0.7786365666,1.5377700377,-0.953214086,0.8219360954,-0.4066157699,2.4286537082,-0.4985677264,-0.6794415335,0.0407579925,1.332102132,-0.7234002237,0.1239859798,0.5741947114,0.280884018,-0.1270382332,-0.4287849134,-1.3447686143,-0.7217524376,-0.1318185746,-0.8025157176,-0.3602527653,-0.7558740105,0.9926960631,-0.4727273352,0.2970629343,0.3079992732,0.3810357942,"4"
-0.192493112,-1.063052113,0.203185712,-1.285906187,0.663821351,-0.085231144,0.514857485,0.887726635,-0.322135501,1.005838889,0.75235904,2.192513498,-2.35598587,-2.424752727,-2.041760475,-1.850236399,-2.08828049,-0.916790857,0.615293741,1.346747595,-2.038683549,-1.423788566,0.184070027,-1.124237836,-2.091514123,-1.1858055,-2.11943055,1.6970641,0.396626159,-1.815232825,-2.106196279,-3.213888283,-0.19723217,-0.889405403,-0.46140074,-1.570217199,-0.687960654,"3"
