"204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","213201_s_at","215729_s_at","39549_at"
7.3645,12.6554,1.3786,10.8645,11.2211,8.9769,10.4678,5.4413,11.0479,6.1719,10.2773,9.7769,9.5234,4.7745,5.546
4.621,8.3927,6.639,8.744,8.4889,3.5257,4.4611,5.8108,5.0635,5.1527,4.8726,8.2557,5.8108,6.6003,6.4632
10.6938,9.8853,2.7814,12.8959,10.198,8.6749,7.1646,11.4088,10.1985,7.572,14.4576,11.0009,10.0317,2.5212,7.1329
3.8038,7.28,11.2436,9.0738,2.7208,6.406,4.9813,7.4451,4.4501,6.2418,4.0719,7.6502,7.0966,7.4796,6.5401
3.5465,6.8646,5.5081,8.9677,7.1947,6.4707,6.5221,5.6621,3.9521,5.7737,3.1516,9.4012,8.5889,10.3429,6.2251
10.235,14.9675,5.8097,12.9696,9.056,9.0976,8.6697,12.4497,4.4312,10.684,11.552,10.1209,5.054,1.356,4.8917
8.3783,14.2314,1.041,12.6311,8.885,7.9027,15.6543,8.8733,14.9199,3.3381,11.3997,8.5497,5.1474,4.579,2.7696
10.4104,12.1879,4.8274,13.8544,12.1748,8.8866,13.8956,7.465,12.624,6.9667,11.5582,9.5506,4.6156,5.4642,2.3341
9.8327,15.5452,3.4856,13.5618,8.4265,7.19,13.5956,11.9148,13.2848,6.8521,15.3556,12.3805,9.3796,4.7537,6.8928
5.6005,7.2903,5.9105,7.8646,7.3411,7.2091,13.2654,4.9465,11.2546,4.3045,8.4765,5.1329,8.2061,10.2946,8.0181
8.922,11.8111,9.099,11.5611,8.1643,7.8686,8.4672,8.1142,3.8936,7.1909,11.685,6.6868,8.1211,2.0104,4.3678
9.7447,12.0863,4.1542,12.3547,6.0408,9.6719,14.4426,11.5898,13.0779,4.6494,12.9798,10.2184,9.6175,3.1339,4.3634
3.8208,6.8344,2.3825,7.3536,7.8629,4.4383,12.9868,5.4581,7.6037,3.6912,5.3255,4.7015,4.2222,8.1741,6.7787
4.5014,8.18,4.3054,8.1917,9.5374,5.0723,7.1953,6.0547,4.7873,7.6643,5.2065,5.6405,5.7698,9.1545,6.7023
8.9709,14.7959,3.8589,13.2489,6.7096,7.2659,8.6295,8.3222,5.1807,8.2793,12.223,7.0301,6.0886,3.266,3.8161
4.998,10.6069,6.2992,8.9833,3.324,4.8206,13.765,7.5481,10.4618,7.4407,12.8604,4.9098,4.5832,8.1018,7.2337
9.0212,12.9011,3.024,13.0124,9.9712,8.0266,8.5874,11.6878,4.2508,9.124,13.3603,5.499,7.9131,1.3298,5.6211
4.368,8.4384,3.3631,8.5951,9.7359,6.1378,6.9455,7.624,4.1427,5.1944,5.3604,5.738,4.4852,9.7757,4.5629
8.5372,11.5183,1.1877,13.0147,7.1415,7.85,12.2237,9.8576,11.3314,5.9819,12.0754,10.2479,8.3576,3.5209,5.6685
11.019,9.9826,1.4144,12.4514,12.114,8.5473,8.8934,7.0101,4.5951,10.1577,12.1631,9.9781,10.5715,0.9008,4.6862
10.3132,10.9416,2.1154,13.1648,9.4473,7.9839,1.333,10.9327,3.9548,7.1211,12.8863,5.0333,10.1969,2.3728,3.5118
4.2482,8.0593,2.9509,7.2934,5.5188,5.185,6.4421,6.4378,6.0273,3.834,5.0304,5.1334,8.8784,7.6396,3.9896
10.9903,12.8962,5.4589,11.514,13.1827,10.0118,13.0001,12.9019,7.6637,8.1752,14.1503,9.2305,11.0542,2.8214,6.3305
7.3388,10.7675,3.1541,10.5752,8.2365,8.0215,7.1944,6.2417,4.2041,4.6082,7.6098,8.66,5.253,4.3842,3.1921
10.4579,13.9306,4.7285,12.9474,9.4671,7.9671,12.9495,9.3094,10.495,7.1589,14.2875,10.7317,5.4151,4.381,6.8226
9.7538,12.8817,4.6586,12.5366,8.5422,9.7474,3.617,12.5,5.1272,8.8421,13.7924,11.5558,9.6038,2.4005,3.3488
8.6446,11.3006,2.5155,12.2221,5.6468,2.8416,12.9773,9.1604,11.7491,7.9402,12.5467,6.0449,8.4073,5.5252,6.9035
11.0725,13.0541,2.2995,13.6248,14.4983,8.7927,11.5175,6.9684,9.7339,8.0886,13.773,9.3818,4.572,2.07,5.0798
9.2554,13.3145,2.5908,11.4629,7.8008,8.6307,12.4722,11.0155,11.73,5.4846,10.9161,8.1904,5.9896,3.3747,5.8957
8.7978,11.1441,4.2314,12.0708,5.8334,9.6684,14.3196,9.4397,11.5165,7.9432,12.5006,9.7562,5.2104,4.5574,6.1694
9.4939,14.2398,3.4763,11.3971,11.1944,6.1291,14.7957,12.4601,10.0918,7.1657,13.8195,6.3317,4.2453,2.4756,5.8167
8.5265,10.4152,3.6397,13.2511,4.0449,8.5982,7.0435,10.5182,4.3181,6.8591,10.0185,6.225,10.1796,1.7527,3.1929
4.8506,7.5758,3.9372,12.1679,3.3636,5.7397,8.945,8.962,8.0387,6.5991,8.2524,5.4593,10.0258,1.2091,2.9538
10.9406,13.5047,3.4133,11.8665,10.2147,9.7487,6.9088,8.781,4.429,8.2029,11.3642,12.6852,10.6924,1.9382,3.6889
9.1084,14.3249,4.6781,12.3368,10.4994,8.0337,7.0351,8.241,3.9523,5.3924,13.4346,5.6371,5.2712,2.6365,5.5825
