"204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","213201_s_at","215729_s_at","39549_at"
7.2568,7.2508,4.3995,7.987,2.4328,6.5143,10.9761,5.6576,6.0717,3.8961,11.9726,4.4313,10.8879,5.8684,6.6734
8.201,12.0302,3.5527,10.1026,3.6658,6.6643,11.6957,7.2889,8.0237,2.8542,12.5589,5.789,3.5288,5.6927,6.7817
8.4555,11.2714,6.2372,8.0999,6.5555,6.7538,7.1321,7.9678,3.6556,4.2359,12.1779,5.2473,3.8446,2.1542,5.6251
5.8544,4.2927,2.8189,8.5567,2.5115,4.3118,15.5148,5.7934,10.8039,3.2843,13.0221,5.6199,10.1851,3.3872,6.7875
7.7363,12.4858,7.2878,10.7157,9.3726,8.3615,12.0641,7.5721,10.6691,5.5392,11.9956,9.5573,4.0985,9.8497,5.9577
5.4881,8.3331,5.4765,8.5834,7.9959,3.9198,6.7285,7.9186,4.064,5.5657,4.7856,9.2807,5.8045,8.4034,3.168
10.3608,11.2981,4.905,12.8623,8.8473,10.2367,15.0287,12.6914,14.3858,6.7468,12.4992,8.3941,9.3871,2.3699,2.4011
10.4822,14.0007,3.6396,13.764,12.6589,8.6706,15.4702,11.5871,14.9648,8.4885,12.7371,9.254,4.9498,1.7151,7.881
9.5693,15.2189,6.3044,11.444,3.4679,10.0397,11.2528,10.4399,10.9951,4.9683,14.6533,11.6737,7.9428,4.4885,5.2643
6.3788,11.6909,1.2731,7.4728,6.0069,5.5229,9.0831,7.1454,3.4943,4.0705,12.0081,4.8692,3.6708,3.8248,7.3757
6.2395,6.9303,10.658,8.4135,1.7375,7.8444,6.0913,14.3442,2.756,4.5808,10.4745,5.2307,4.3296,5.049,4.9221
4.7333,7.6352,7.271,6.8669,5.9043,2.7226,5.5193,4.8695,4.766,5.361,3.8255,7.0025,5.8475,7.03,5.2721
9.3072,11.2667,10.7932,14.2366,6.9536,8.2397,6.1735,12.5693,3.4826,6.1054,12.5434,7.7317,6.4542,3.5265,6.0256
9.7793,11.9065,2.5779,13.7238,7.232,9.5064,10.7462,10.1326,6.6525,5.7895,14.0505,11.2273,9.4534,1.9596,1.2808
8.1056,10.5717,4.9048,11.4232,10.0487,7.0217,6.5996,11.0953,4.0803,7.8673,12.0435,7.1301,8.4078,1.7007,6.4407
8.7031,15.1741,3.4077,11.3391,8.7703,8.9754,15.1746,8.4029,12.6767,4.6189,13.3049,12.1653,9.2998,6.2134,3.7341
4.5763,7.456,3.8579,8.4676,2.2866,2.612,9.9633,6.8341,5.1505,4.1226,2.7363,5.6811,5.4763,10.3828,7.7487
4.1328,8.7801,13.6065,7.6136,5.8714,6.982,6.5231,6.3841,4.6445,4.8073,12.1989,6.2502,4.8261,1.8945,7.137
4.7115,7.0622,9.5716,8.4559,6.831,5.1907,5.1079,6.7498,3.2458,6.7218,3.0943,4.6403,4.3345,10.5956,5.5392
5.852,8.2434,10.2186,7.8963,9.2353,6.9668,14.2867,5.48,12.1276,4.3891,8.6453,5.6468,7.3113,8.0793,6.805
5.6595,7.0424,7.0262,8.15,8.8528,5.7937,9.1909,7.1052,6.6746,4.7844,6.9472,7.9377,4.0866,10.2683,5.5615
10.076,12.8873,5.3168,12.7341,11.7697,10.8913,8.2907,7.0218,3.9211,8.7955,12.8912,9.8304,8.9135,1.6071,5.9411
8.0906,11.5199,3.2306,12.9117,7.0192,8.8619,13.4582,8.3354,10.6593,7.3792,10.1942,8.6693,6.5507,3.94,3.7556
11.4458,14.5542,0.7843,13.8611,3.2194,9.2879,13.5604,8.2143,11.9052,7.1047,14.6352,10.0145,7.5989,1.5849,2.108
9.7068,14.3963,3.3148,11.6071,14.3158,8.2527,6.4024,12.9351,3.628,7.656,13.5063,10.0563,8.3551,3.4418,4.7677
9.3395,8.9114,3.6023,12.9999,9.9379,9.0777,3.2624,11.1861,4.193,5.8981,10.5679,8.0852,5.1455,2.2721,3.5396
9.8688,11.7011,8.183,14.1548,12.9115,9.2368,13.8311,10.1335,12.7435,7.8581,13.1252,10.5088,8.8349,2.6906,1.6548
9.4071,14.4898,5.171,11.7896,9.6092,7.0331,10.6391,8.3816,8.3475,7.419,15.2752,5.299,9.4362,4.5106,4.2214
10.1436,12.5176,3.2335,13.1663,10.9252,9.2656,12.2143,13.0941,8.8498,8.1493,11.7927,9.7109,9.4897,2.1948,5.6723
3.1318,7.6229,7.5902,7.4166,3.8593,5.7083,8.935,5.3369,3.3653,4.4086,3.553,6.1218,7.8973,10.8661,3.2293
4.7862,7.6033,7.1734,8.6856,10.7432,6.1798,5.5278,6.7483,4.6158,4.1337,8.3373,5.5584,3.9969,6.6686,6.1143
9.3766,14.0673,2.1234,12.0832,13.0675,8.8133,10.7941,9.9301,8.5691,8.4158,14.1774,10.6956,5.7185,2.6082,3.6365
3.5843,5.4989,7.3938,8.1952,5.6536,2.664,5.7888,4.486,4.2622,7.0917,6.6653,5.5753,4.6241,6.1628,5.5353
8.9374,11.159,5.3151,10.719,1.9116,5.3361,14.4826,5.5528,14.1834,4.7332,11.7801,8.4886,8.756,3.5924,3.8283
10.1122,15.1283,5.6973,12.9374,11.46,9.328,8.5251,6.7119,5.9254,4.3627,14.2068,11.8487,9.4491,1.6383,2.9299
11.2929,7.9923,3.8335,12.5191,14.7333,6.7728,8.1157,13.6082,8.0746,7.4375,12.4865,5.6274,10.0338,2.9893,4.8006
6.8452,5.4583,4.0575,3.6784,4.6527,6.0758,15.0898,3.9488,13.285,3.4461,11.402,7.238,5.5353,1.7282,6.0841
9.1324,13.8246,3.8768,12.0389,10.6663,10.3847,6.9035,10.7713,3.1352,7.4713,13.3625,10.944,7.0928,3.1802,3.6231
7.0044,14.8624,5.7111,8.2599,4.3719,2.6665,11.8124,6.3018,6.5105,5.1242,14.1808,4.3705,4.0524,9.8613,6.6631
9.7578,10.9416,2.5227,13.6226,11.5748,10.0776,12.0712,8.5557,8.3304,6.7751,13.2253,9.8154,4.1395,2.6362,4.1765
8.353,10.636,3.8878,10.8245,2.8139,5.2106,14.8774,4.495,13.7739,4.8009,13.6606,4.1741,2.9514,3.3684,2.2808
10.3654,13.4355,3.4613,7.4097,2.9088,4.9951,14.1887,6.8992,11.3628,6.9435,13.5065,5.5209,8.2043,8.5637,4.1233
10.7588,14.0402,2.2075,13.5035,6.9738,7.2195,10.9679,12.1784,9.5795,8.3198,13.0059,11.3604,4.5086,-0.4146,5.8943
10.1203,8.681,2.5782,12.0186,4.8975,6.4805,13.837,13.1538,11.2394,7.7662,12.3969,8.6025,9.8769,5.1159,3.0701
10.8232,13.4326,6.1219,13.483,8.1088,6.6332,14.9511,10.4051,14.4949,7.0505,14.4849,10.1426,9.7626,4.824,5.7722
10.2651,10.3757,4.7032,12.1408,7.383,5.5035,13.9515,13.6021,12.667,5.8322,12.7312,7.6985,11.0877,2.5159,2.768
10.1747,14.5772,5.6457,12.2749,9.63,5.8866,9.7807,8.7143,8.9276,3.7826,15.0447,10.3352,7.6053,1.701,3.7246
7.6257,6.3782,1.8203,7.7153,5.048,2.8125,7.9466,8.8027,3.4286,3.9639,14.1475,5.436,5.074,2.6172,5.9992
10.746,9.9193,3.9006,13.0559,9.2967,6.7253,8.8837,11.1075,5.8542,6.2631,12.1792,9.7978,8.6156,2.7682,7.2674
11.6026,12.5198,3.7642,14.0098,6.5173,7.3717,11.0894,13.7228,9.171,4.8396,12.8061,12.6551,10.7164,3.7095,4.4607
10.7002,10.4686,4.1736,14.0217,7.4954,8.0169,6.5719,14.6157,4.1446,4.1319,13.0796,10.1681,8.5691,0.816,5.9327
7.4145,12.1257,0.9597,12.5402,7.8973,8.1114,7.2909,13.6878,7.0608,7.7871,11.3817,12.3856,8.5687,3.267,1.4356
9.0546,13.2856,2.3956,10.9442,6.6514,10.0662,12.4,8.8658,9.6694,6.481,10.4101,7.8631,9.9305,2.7492,5.5923
6.5162,7.0815,2.6561,7.2509,7.758,5.7394,5.3842,5.4812,2.9789,3.8187,5.1813,5.169,4.3715,8.8624,6.1976
8.0046,9.1971,2.4842,7.895,9.3266,3.5514,13.3922,8.8766,12.0573,5.6733,11.0196,4.7548,5.3789,3.1297,5.1239
4.5782,8.127,3.6974,7.4147,8.818,6.8503,9.5018,5.8111,7.3296,6.8233,4.8882,4.9453,6.8551,11.5796,5.1131
7.6451,14.2402,5.53,12.2433,6.6191,7.2077,13.4995,5.6429,11.0777,6.0771,14.8508,5.0279,10.0048,5.9483,3.4365
9.2572,10.5882,5.6322,13.2485,7.4243,8.5754,14.4089,10.7595,14.0369,7.3891,12.5355,9.3778,5.1845,1.8744,1.686
8.5738,13.7221,8.2717,10.2287,8.0617,8.2167,11.9427,8.531,11.1267,3.0864,12.9134,9.5862,4.8678,6.9551,5.4656
5.1272,8.4446,4.9701,6.2819,2.8346,1.929,7.7349,5.6632,3.6072,5.6226,12.0552,4.5095,7.7128,0.7577,3.7556
8.7904,9.5975,1.4162,5.8987,3.5207,4.9409,14.3677,6.7752,10.0185,6.0998,10.5774,6.9063,8.5678,5.8246,7.5379
4.5907,7.8453,4.9012,7.3404,3.8875,3.2257,16.1176,5.9518,13.9223,3.1326,12.427,4.3542,8.1794,4.9343,5.8435
10.3686,13.1379,1.0188,11.8458,7.0303,8.4548,13.1546,12.9648,12.0571,8.1455,10.898,10.2284,10.3548,3.4363,1.1659
3.6682,7.8227,5.5632,7.8375,6.4124,2.9388,5.8723,6.2562,2.7349,4.52,7.4995,8.8529,5.4413,9.9681,3.7159
12.795,13.8639,2.765,14.1295,7.5555,2.3603,16.2629,14.6779,15.5869,3.6663,15.2201,11.6639,4.9083,1.4841,6.1245
3.4802,6.633,6.1161,7.9667,6.0477,3.0141,5.9478,4.5939,3.4825,3.487,5.2211,4.4565,6.2957,13.2827,4.6796
8.475,13.0168,4.7228,11.1843,7.8241,7.9371,8.3444,12.6124,4.1656,7.735,12.2167,7.3626,7.2599,2.2872,4.4604
10.3336,9.7378,5.9818,7.2503,2.0402,5.5369,7.0065,4.976,1.7444,6.1712,12.9578,5.6456,7.2673,6.1705,5.3205
8.8656,13.5549,2.4673,12.9698,10.9699,9.1778,11.8369,8.7579,9.5622,2.5642,14.0638,9.5644,9.1157,1.4321,4.8473
9.4682,7.5393,6.1694,11.7818,8.5508,6.8747,3.6549,9.9181,4.8583,6.9415,11.462,10.0938,9.3687,2.9005,2.4994
4.3129,6.3729,6.898,7.9329,6.9938,1.2143,3.785,7.0876,5.1984,6.564,5,5.5088,8.2513,10.6022,3.0984
9.737,13.1091,2.8086,10.8334,8.4114,9.1344,14.2902,9.8341,13.3096,7.5959,12.0111,10.0663,9.6292,4.7159,5.6763
8.0685,14.8021,0.6985,12.0949,8.3107,10.5958,7.2643,10.1617,3.8936,6.5621,14.8517,10.0206,9.2596,2.7434,4.527
12.238,11.0074,5.9964,12.9905,5.9828,7.2592,0.7382,8.2991,3.3287,7.554,15.1107,7.8919,4.7466,1.8943,2.5408
8.4227,11.44,8.6976,12.652,8.593,8.183,13.8597,10.355,12.0929,3.9753,13.8721,9.1991,4.6352,8.7336,7.1689
10.106,11.1229,8.617,11.202,9.2034,9.5989,13.4984,14.0049,12.9869,7.7476,13.8655,7.8186,8.4889,1.4228,2.7231
5.2147,8.6648,9.2697,8.8311,6.4987,6.3875,9.3057,5.7331,5.2329,4.9654,11.2346,5.2897,5.4459,7.4765,6.8727
4.5194,4.237,2.6419,8.0794,6.6908,5.0145,3.7637,7.647,3.8115,3.5855,3.4551,5.309,4.8171,2.6406,5.657
7.1318,14.4788,3.134,8.1639,6.8544,4.0073,9.6474,7.4808,6.5169,6.7323,14.4541,5.4703,9.1956,6.3434,4.2202
10.3476,8.4318,6.0022,11.995,10.7608,8.6606,14.9656,7.9622,14.1041,7.4083,13.1825,9.6579,9.4916,2.7467,6.8777
10.788,13.4195,6.3639,10.2914,1.3456,8.3742,14.3279,12.5008,13.7124,5.7481,13.762,10.6337,8.6107,6.5546,5.6039
7.5743,11.1737,2.3719,10.0307,5.9659,6.88,8.9474,6.8735,5.3901,2.712,13.5943,4.2245,6.2087,4.2245,7.7579
10.3959,14.3407,-0.252,12.9166,9.1349,8.3971,11.5925,11.231,8.4933,8.8199,12.6767,9.4824,8.511,1.2579,6.4559
10.3555,14.0266,4.9878,12.2656,14.0911,9.6325,16.533,12.0609,15.8537,6.3526,13.7037,7.4484,4.2844,4.9697,6.2608
6.4935,9.6327,1.0795,11.8145,9.7605,8.6286,12.0263,9.9181,9.4297,6.6051,13.1267,9.2066,8.1425,5.4411,5.6316
3.9804,3.7326,10.8376,3.8104,8.0506,2.0285,4.6746,3.5907,2.6986,3.5046,3.9791,4.328,6.7405,7.4804,1.6992
10.9673,11.3559,1.2044,12.5353,1.8522,8.2534,8.6115,7.9438,7.9407,6.6093,13.2287,10.5958,7.3482,2.5081,2.4785
10.9712,14.3119,1.8882,13.422,8.6838,9.764,7.1674,11.9917,5.7714,7.6718,13.7975,8.9885,8.5078,1.5728,6.5577
11.6516,10.2633,4.7455,12.5867,5.3428,10.5251,15.9216,10.0849,15.5693,6.638,14.0062,12.8095,9.6882,5.4503,2.7506
8.9403,6.836,7.0772,11.8206,10.0018,7.5093,15.8873,9.049,13.1214,6.7254,13.6401,10.4706,6.8693,6.9009,4.4234
8.6209,10.2691,1.3933,9.17,1.2487,6.8158,2.3637,6.0737,3.6845,3.4635,11.5668,4.1321,5.2608,7.8752,6.0747
3.3617,3.3668,8.191,7.0398,8.3657,8.8102,5.6935,5.1177,3.8802,6.9511,8.0232,3.2138,3.5246,9.051,6.4458
11.5707,13.7111,5.0397,9.6024,7.4793,8.9083,9.6028,11.4973,5.8774,7.5363,14.1877,8.0942,8.2365,1.4502,3.311
8.1877,7.2397,5.0809,11.0475,5.0689,7.5207,12.5538,5.4899,8.9028,6.0284,10.9805,8.5136,6.5549,1.135,3.0229
11.9468,8.7102,5.8716,12.7629,5.9463,4.2815,10.4346,3.0643,7.6745,8.6723,14.4754,4.5048,7.118,5.199,5.7498
10.9283,12.769,1.1215,12.8106,13.0567,9.4709,11.5152,9.8656,9.2354,9.9478,14.886,4.4035,8.3088,5.2731,4.1319
3.5299,2.2207,12.0569,6.3992,7.8199,-0.0934,8.5629,2.4356,1.5279,6.3443,6.7552,3.6889,3.7996,5.4453,4.4905
6.4021,3.56,7.5897,7.5145,5.6925,4.5596,5.8484,5.9063,5.02,3.5392,4.0842,3.3167,4.246,10.5501,7.0869
8.3631,12.5495,3.2923,12.3486,8.5176,8.1697,14.5458,8.319,12.1536,7.7922,14.7441,4.7428,8.4874,3.1645,8.8236
11.7365,9.2947,5.4527,12.6635,13.5373,10.2231,10.5673,14.507,9.4569,4.4653,13.9515,10.322,11.184,2.2442,6.9053
9.9419,10.9446,2.1345,14.0632,14.3681,8.7747,10.88,6.4488,9.8368,2.9621,15.71,10.0834,10.0626,4.0078,6.8113
8.7742,14.0788,7.4674,12.1359,11.5708,8.6856,13.7539,7.2043,12.5969,7.261,13.3759,5.0368,5.6223,5.3496,7.288
8.8494,12.455,2.1248,10.2524,3.014,7.7504,13.6105,9.2064,10.6867,6.3015,13.3574,7.3992,8.902,1.8686,4.5368
9.1732,12.7364,2.619,12.9502,6.8477,7.1701,15.7728,10.1785,12.8863,8.3939,15.6894,6.7371,7.6729,6.1776,5.8881
7.3977,6.5561,7.6532,8.3734,6.7691,6.5881,8.1791,2.815,6.2763,3.5359,8.2217,5.8802,5.3577,9.396,6.3561
10.2045,15.5943,3.3703,12.3648,10.2548,10.6261,8.2659,12.4693,6.9,6.4913,12.8316,11.3387,8.1957,5.6724,7.0949
9.9137,13.9635,1.1519,12.4009,9.3713,10.1437,5.4479,9.2609,6.002,9.4921,13.0504,9.9498,11.2562,2.7471,6.3636
5.4341,8.2115,10.1013,9.3602,7.4758,6.7529,13.1082,3.5391,13.012,6.7585,10.2521,6.3868,3.3696,8.726,6.0983
10.4918,11.092,3.5651,12.5568,9.6006,9.1636,12.3289,7.3898,9.9726,8.3546,12.9753,10.1143,7.7779,2.2476,3.4267
10.356,10.1069,2.285,11.5745,7.4398,10.733,15.9626,8.8301,14.7579,6.8888,14.3954,9.583,9.2794,1.9478,2.2393
11.4213,14.8384,3.4701,11.3717,8.8419,9.736,14.9944,10.0982,13.0481,7.4632,13.7937,10.5723,7.4751,6.1308,3.7499
9.8751,14.6415,2.5537,11.1494,11.1015,9.9701,12.4535,10.4567,9.3393,6.8861,13.6344,7.7373,3.9101,3.174,5.4939
9.7861,8.3784,1.7207,12.1828,0.7447,7.8301,10.7636,9.0095,9.0553,3.3978,13.0409,10.1935,7.8935,5.6502,3.9279
10.6719,13.8071,5.527,14.7744,4.8423,7.9389,9.7168,12.1128,5.9279,7.4086,14.2911,3.9478,4.2828,2.5696,3.0216
11.8875,15.61,-0.09,13.3059,15.1813,9.8084,10.6718,7.1043,7.524,5.7152,15.7265,10.3511,10.3992,3.621,7.8411
11.3125,11.179,2.8986,12.3296,14.2297,9.1534,12.0363,7.7708,9.5024,8.031,15.2493,10.6158,9.9986,5.5826,6.0299
10.1568,6.5666,16.0893,7.7434,2.2017,3.16,6.0489,3.8639,3.4226,2.7935,8.7273,7.4052,4.3501,2.3533,5.5684
9.5181,12.0561,5.4235,14.6833,9.4323,8.1383,16.4563,11.2288,16.4488,5.72,12.4046,5.0767,8.0377,1.4906,9.8865
