"V4","V5","V7","V8","V10","V11","V13","V16","V18","V21","V23","V25","V27","V29","V30","V31","V32","V34","V36","V38","V40","V41","V42","V44","Class"
52,58,89,70,26,30,55,40,39,17,52,72,46,31,17,20,49,61,31,40,31,30,57,41,1
54,51,50,68,46,55,12,61,73,45,59,73,60,66,54,41,53,58,72,33,64,54,36,45,1
62,68,58,72,77,71,77,62,77,58,76,68,53,54,69,70,73,65,66,67,71,67,60,53,1
75,79,68,79,69,66,77,57,69,65,68,65,54,60,67,66,75,63,68,72,73,61,52,34,1
71,72,71,75,70,64,76,59,65,73,80,66,44,63,62,59,71,59,64,77,62,67,44,44,1
75,74,72,75,61,57,71,70,68,66,67,78,68,62,64,63,75,66,69,62,64,59,74,63,1
75,67,59,64,61,67,76,61,69,68,75,67,71,68,48,47,74,63,62,64,56,52,69,59,1
70,75,71,74,59,60,68,69,69,63,60,66,71,63,67,65,62,52,67,61,64,65,71,57,1
68,62,63,79,57,49,75,43,54,56,78,55,37,57,41,35,67,75,53,63,53,43,38,32,1
66,63,62,78,72,71,78,68,76,68,71,48,26,59,66,66,72,56,67,66,70,74,34,11,1
75,72,67,74,67,73,75,58,74,62,78,50,38,73,61,61,73,61,67,60,46,58,35,24,1
71,72,75,76,70,74,76,63,69,73,80,68,59,56,62,68,75,65,69,66,63,65,65,53,1
76,74,68,67,69,75,74,71,70,72,78,72,72,61,59,70,72,61,70,59,64,60,72,55,1
66,68,69,64,68,67,53,73,71,81,82,71,47,64,66,67,66,58,65,71,70,71,67,52,1
68,74,59,73,54,48,78,25,60,54,79,53,14,50,67,71,63,49,66,62,57,72,31,15,1
79,78,73,68,64,71,77,58,61,64,74,72,44,54,49,56,73,65,53,63,58,64,52,49,1
65,68,64,77,75,72,77,61,73,62,73,69,59,44,66,59,75,64,63,70,74,67,51,45,1
64,70,58,67,60,66,68,60,64,65,77,73,58,67,65,69,78,61,64,72,71,71,71,66,0
68,70,70,73,69,70,73,71,76,67,73,74,67,68,66,69,78,69,71,72,73,77,72,64,0
69,67,59,78,66,65,73,66,71,68,73,79,65,66,68,65,75,59,65,73,81,75,74,69,0
70,77,75,75,67,66,73,64,76,63,75,68,68,69,71,74,75,63,71,66,70,73,66,58,0
79,77,76,76,65,68,66,72,67,62,67,69,64,61,69,68,73,70,64,70,73,76,79,65,0
74,80,72,78,67,64,80,66,67,60,82,68,60,60,54,56,70,59,55,50,73,70,69,42,0
74,76,69,76,68,69,79,69,67,69,81,68,69,70,58,65,79,74,66,65,78,68,75,62,0
71,68,69,77,64,75,81,71,70,71,79,65,66,65,71,68,67,59,66,60,74,71,69,63,0
77,74,66,67,65,64,78,62,65,72,76,81,65,63,63,67,76,63,63,73,76,75,72,65,0
74,74,74,69,68,78,78,70,71,71,78,68,60,67,76,74,67,67,71,70,83,76,74,54,0
71,69,70,75,61,66,68,71,75,72,78,81,70,79,73,75,77,65,72,59,71,74,68,58,0
68,78,72,72,61,65,70,60,63,63,72,73,56,52,67,68,73,65,61,69,77,75,74,63,0
72,75,62,67,73,74,79,64,65,78,80,73,62,67,69,69,75,66,67,71,66,69,62,55,0
69,76,68,65,65,64,73,66,64,65,74,69,59,59,69,69,76,65,60,69,69,74,69,62,0
70,76,70,65,65,67,76,63,74,69,73,68,64,68,70,75,76,59,72,64,65,72,61,51,0
73,69,73,74,60,65,66,68,69,58,76,75,64,60,74,71,77,61,71,62,73,76,62,52,0
78,78,67,75,67,68,75,67,66,66,80,75,72,67,67,65,77,61,63,51,77,67,78,60,0
75,75,68,74,77,77,78,66,67,73,77,67,58,67,61,63,75,66,59,77,69,67,65,61,0
66,72,71,77,61,63,62,65,72,73,78,77,69,74,64,63,66,58,65,75,77,77,69,65,0
73,78,68,72,61,59,76,69,70,77,68,75,66,78,68,69,70,65,66,62,69,72,70,60,0
67,69,70,74,66,70,78,65,70,70,79,68,58,64,68,68,69,62,66,73,74,77,71,63,0
78,84,68,72,53,57,70,54,63,57,71,74,57,57,62,64,75,62,60,64,72,77,62,61,0
74,76,67,69,68,75,76,58,66,72,72,62,61,62,67,73,76,58,64,66,70,72,64,60,0
53,60,74,67,64,67,65,68,72,70,78,71,71,64,67,71,71,62,72,57,64,71,70,53,0
63,70,70,73,61,62,68,71,71,65,78,70,64,71,70,71,73,58,68,70,77,79,79,66,0
66,68,76,68,62,62,68,63,71,58,66,76,70,60,70,72,71,67,72,63,70,72,75,62,0
69,71,65,76,67,66,79,63,74,66,78,74,66,68,68,68,71,59,65,73,78,74,68,57,0
75,72,71,69,64,56,75,70,76,68,76,76,73,68,72,75,72,65,66,58,72,72,68,57,0
80,78,69,74,69,71,76,62,68,70,80,74,62,65,61,65,71,63,67,70,63,72,68,61,0
73,72,70,66,57,56,62,65,63,63,76,80,77,62,74,68,77,70,68,59,69,66,74,62,0
68,67,68,76,67,64,65,70,74,65,75,69,63,64,56,61,62,66,62,57,75,64,79,59,0
70,78,72,72,64,69,73,62,65,75,78,76,67,61,68,76,72,65,67,64,67,77,66,59,0
74,70,63,70,57,57,64,65,65,62,73,76,68,58,69,66,72,64,63,63,75,80,74,71,0
71,74,66,72,66,69,72,64,73,73,81,75,70,82,69,72,76,60,66,64,73,72,66,54,0
75,80,70,76,66,56,70,67,69,72,77,79,64,66,69,68,70,63,66,74,81,78,79,65,0
72,72,71,71,63,67,76,59,67,71,77,72,61,58,63,69,76,64,66,68,70,71,64,56,0
67,71,68,68,56,62,61,75,67,54,75,72,79,70,71,77,71,56,62,56,71,68,64,56,0
73,75,77,74,65,62,75,68,66,60,75,64,71,61,64,69,73,64,61,65,68,75,74,67,0
72,72,74,76,67,66,69,63,68,74,77,60,48,69,70,69,76,63,64,71,73,75,68,58,0
69,66,69,75,63,62,66,71,70,68,72,73,63,57,70,68,75,65,69,65,67,69,71,59,0
