"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V18","V23","V25","V26","V27","V28","V29","V31","V34","V35","V38","V40","V41","V42","V44","V45"
73,67,74,73,79,75,76,77,61,60,65,76,80,72,69,61,59,68,68,67,63,68,66,74,59,57
66,68,67,72,65,71,71,71,60,67,69,80,69,70,65,66,65,66,59,62,67,70,75,74,62,65
55,54,71,74,21,25,60,27,69,64,72,75,58,42,37,64,54,15,66,67,77,24,35,18,29,22
70,68,68,70,56,54,66,67,68,70,75,55,61,46,49,55,52,72,62,65,69,67,70,56,56,52
71,71,77,82,64,63,73,71,66,64,70,79,65,63,63,70,67,70,60,62,77,71,75,72,62,60
57,44,74,68,82,76,78,62,66,67,68,71,71,69,65,58,63,63,73,76,63,71,71,71,66,60
72,71,70,72,63,69,71,73,71,71,68,78,67,62,60,59,59,66,57,57,68,69,64,58,52,54
60,58,74,68,44,48,85,60,56,48,75,52,42,20,23,58,60,41,64,68,69,65,55,19,18,17
33,21,38,54,60,52,41,50,26,29,17,78,67,62,47,59,57,26,52,58,49,11,13,62,46,40
58,70,62,73,34,41,55,54,65,77,57,64,58,60,59,73,70,40,52,56,67,36,39,22,29,24
58,40,57,43,74,57,78,53,68,58,80,61,56,48,63,75,77,7,54,58,53,17,6,15,30,40
77,77,70,71,68,66,75,75,73,72,70,79,64,60,55,70,68,74,65,65,71,73,73,63,52,52
65,67,67,61,55,57,66,74,64,69,64,73,70,47,39,80,75,64,53,55,60,74,63,59,50,49
77,59,76,78,40,34,75,63,65,26,46,56,47,12,6,28,23,48,63,54,65,56,57,5,13,10
64,59,76,72,55,52,63,66,68,63,75,73,67,49,42,66,51,48,76,75,73,72,51,71,61,39
57,63,67,82,69,67,63,70,74,64,65,69,63,54,50,61,53,60,72,59,70,73,70,64,60,57
58,57,74,71,59,60,54,59,33,39,47,78,57,56,56,57,61,62,59,57,53,61,74,77,66,68
61,66,64,74,51,55,64,63,67,67,70,66,62,43,35,68,65,56,59,62,67,55,61,53,37,28
67,80,73,76,74,69,78,81,67,68,64,81,69,59,63,62,63,66,61,65,65,69,63,70,58,56
69,55,75,73,63,64,70,66,61,75,73,69,74,48,48,53,66,68,60,64,67,65,70,63,50,52
77,63,68,70,66,70,80,79,60,57,69,47,77,62,66,62,62,69,62,63,56,74,76,72,64,63
46,47,65,68,41,48,52,45,54,47,31,79,60,49,52,45,45,36,63,72,66,26,35,60,52,51
67,74,73,74,54,63,58,72,59,71,56,84,67,33,38,57,69,65,54,60,53,58,67,49,27,36
73,70,69,75,62,62,67,70,70,76,68,74,69,56,44,65,65,69,57,61,62,66,62,54,44,35
68,77,67,70,64,62,79,80,64,64,62,77,74,72,73,72,71,69,64,62,68,77,69,72,65,57
57,70,65,71,58,69,74,81,67,72,71,78,72,41,38,48,48,68,62,67,70,77,81,67,55,60
47,47,48,69,80,52,52,52,58,46,62,63,70,33,19,49,46,43,43,75,36,47,57,14,21,4
64,75,74,73,57,61,63,70,63,72,63,63,77,29,28,53,52,68,59,61,58,56,73,37,24,18
58,66,63,61,66,68,75,79,61,63,75,76,72,60,60,64,65,70,59,67,58,58,73,48,39,51
73,71,71,68,64,60,72,76,75,70,69,73,58,56,51,58,57,68,72,68,72,72,64,62,53,53
67,66,67,65,74,65,76,70,71,68,72,72,49,45,35,71,67,64,62,57,72,72,66,76,58,45
78,75,69,66,69,71,75,75,67,67,75,42,43,61,61,71,73,64,28,30,73,72,74,65,56,55
70,69,69,67,69,68,72,73,63,71,79,70,72,56,55,67,71,70,56,62,68,80,77,71,52,50
65,65,71,77,70,68,73,72,68,65,71,75,72,57,43,69,68,67,57,59,64,63,58,63,34,27
66,73,75,74,67,67,73,71,72,63,77,67,72,66,59,73,69,73,62,66,64,78,75,73,50,46
59,55,51,65,68,45,21,25,45,41,3,75,77,33,31,14,17,43,61,71,44,36,47,29,52,13
72,69,65,65,66,67,76,78,72,70,71,79,67,57,51,68,56,63,61,64,77,76,64,71,41,39
65,50,74,72,62,59,71,66,67,55,74,80,67,60,68,64,68,40,56,58,70,62,47,73,54,45
63,54,76,69,72,66,69,66,61,53,71,70,71,62,65,64,59,62,66,65,59,71,62,65,54,56
54,52,58,55,62,54,75,74,61,58,74,71,40,40,19,77,77,56,44,41,62,61,62,45,37,11
67,58,59,54,60,65,75,75,63,61,73,81,76,74,50,69,66,47,54,56,63,68,59,62,61,48
60,59,67,58,66,60,72,79,74,75,77,81,56,42,42,50,59,66,59,62,71,70,69,67,60,55
62,80,54,68,66,70,68,69,68,70,68,65,74,53,61,59,67,72,61,61,64,68,70,61,55,63
54,42,57,60,61,44,39,54,12,22,47,60,60,48,38,37,36,22,72,62,33,23,28,49,76,45
65,70,68,71,63,59,75,75,65,63,68,81,82,71,57,68,67,69,60,61,73,71,77,74,61,50
59,75,77,80,60,64,70,67,54,68,59,77,65,54,54,61,58,64,67,66,70,60,65,61,51,52
71,74,71,74,62,53,68,64,69,68,68,71,53,51,38,78,72,68,60,54,74,66,59,52,34,17
72,71,74,73,64,60,68,71,72,69,75,79,58,63,57,73,70,59,63,50,68,68,63,61,49,47
68,64,63,61,80,72,70,69,73,69,67,79,80,68,63,73,62,63,55,61,64,70,64,71,54,50
58,65,78,76,64,58,74,70,63,57,64,70,66,32,29,66,56,63,61,58,77,72,62,49,30,20
60,64,61,74,57,63,67,70,59,65,63,85,46,31,35,56,79,64,59,58,62,69,61,41,24,18
51,43,66,63,54,56,71,75,65,63,65,74,69,62,55,67,59,48,63,64,70,78,67,72,70,65
57,55,56,53,51,44,68,56,68,66,72,63,62,44,41,63,45,61,68,55,62,57,52,38,39,32
68,70,70,69,65,63,71,74,73,70,69,73,71,62,56,67,63,65,59,60,69,62,64,68,56,51
57,29,71,51,65,41,67,45,63,39,65,82,66,62,65,71,61,25,55,60,72,74,40,69,57,58
49,46,59,44,59,26,56,32,69,57,32,40,35,33,20,57,38,25,59,65,64,37,12,34,46,29
75,75,64,63,58,58,75,77,73,74,73,74,66,60,61,57,58,40,58,47,59,60,57,63,42,40
71,66,66,71,50,41,77,60,57,58,69,63,61,30,14,72,41,36,44,47,70,56,58,20,23,16
73,60,68,54,75,63,77,72,60,54,73,76,68,66,57,80,62,60,61,59,69,79,67,74,62,58
67,70,63,48,63,60,76,75,65,52,64,62,64,54,62,63,78,59,59,53,76,72,61,68,54,53
68,73,78,83,70,71,77,74,65,61,61,86,79,72,58,75,57,53,58,61,72,69,65,65,58,58
62,54,68,70,51,28,54,23,54,54,47,67,75,17,16,49,44,19,62,68,63,48,44,28,15,28
75,74,69,73,64,61,71,71,61,58,64,82,80,55,55,60,70,67,61,62,70,67,68,59,50,46
79,77,78,70,69,65,75,75,69,66,73,69,53,61,56,66,69,66,65,51,72,68,63,41,25,27
68,62,64,65,70,69,76,75,63,59,74,83,69,73,78,80,83,70,54,51,61,77,76,66,49,54
68,74,76,84,72,72,85,75,73,70,75,76,64,48,47,49,54,64,65,62,70,67,58,58,51,52
70,69,66,66,66,67,78,80,70,65,74,74,76,60,52,60,63,61,60,59,72,73,68,66,56,56
73,80,82,84,71,71,77,75,61,58,58,76,76,58,63,62,62,57,57,62,68,55,49,63,56,48
71,67,77,74,67,61,75,71,74,69,75,68,70,61,59,68,67,66,64,64,70,66,51,61,44,37
73,70,77,79,61,59,72,66,65,66,70,74,62,66,63,63,70,60,56,49,67,53,62,54,55,37
63,63,72,75,60,61,62,63,61,63,61,78,73,55,54,62,68,64,64,62,63,72,78,68,82,66
75,67,74,75,75,69,72,72,67,66,72,75,71,74,68,80,78,67,60,58,66,79,71,73,58,53
64,60,55,51,59,59,81,79,66,59,78,67,73,53,44,62,53,61,55,60,75,73,77,71,62,62
74,77,80,77,69,64,79,76,70,68,70,77,61,48,45,61,54,65,61,69,71,55,60,28,36,35
69,66,67,67,75,78,78,69,60,62,64,67,63,65,64,70,64,63,69,58,70,62,47,70,56,46
75,79,65,74,63,64,74,73,73,71,69,78,70,60,60,65,61,65,62,62,72,72,66,61,55,54
69,65,72,68,70,71,76,78,64,62,68,66,75,65,67,64,55,72,62,61,66,79,75,73,63,62
70,69,72,70,72,76,78,72,62,57,73,74,60,56,57,60,60,61,59,63,74,76,77,74,65,67
61,66,70,74,59,64,72,73,64,65,72,75,76,65,64,74,73,70,53,56,66,75,80,71,61,64
70,60,75,78,69,69,68,71,68,59,66,72,79,75,75,70,64,75,63,61,66,72,75,73,64,61
76,75,75,77,75,72,75,75,68,75,65,77,72,66,63,65,68,65,58,63,65,73,71,64,50,50
75,67,73,75,60,58,69,71,65,61,68,72,66,51,51,58,53,63,57,60,55,61,59,45,43,50
56,68,58,67,52,61,63,76,44,61,46,70,67,48,57,52,68,68,55,60,58,63,71,52,52,54
63,70,64,72,56,64,58,69,68,70,68,75,66,65,62,68,67,68,58,58,59,53,64,59,43,49
65,60,71,72,67,72,68,72,54,55,69,71,79,72,76,62,61,68,63,60,49,73,68,75,66,67
68,66,70,70,62,67,73,74,69,70,70,75,68,66,66,64,56,68,63,64,74,81,75,74,65,58
65,62,69,62,74,72,73,69,68,59,71,77,79,74,77,70,74,72,61,58,58,73,67,73,58,52
52,49,74,72,72,76,77,77,67,66,72,78,70,79,75,73,79,78,63,63,50,66,68,66,37,38
65,77,64,65,56,62,61,69,71,74,66,74,65,54,59,64,68,74,64,67,65,59,68,56,50,51
61,58,66,74,68,68,72,71,40,42,54,78,79,69,75,72,69,69,52,58,59,75,76,67,58,63
67,59,60,65,69,69,73,70,66,63,71,75,74,73,71,67,64,70,63,64,67,66,69,70,66,66
64,55,65,57,64,63,75,76,59,55,75,56,67,64,60,69,60,63,62,62,65,79,77,77,63,60
66,65,69,68,75,63,77,77,68,68,70,71,63,65,56,66,65,70,64,63,73,77,70,70,57,52
61,57,71,71,73,70,76,74,66,63,74,80,68,65,62,68,67,67,63,64,76,72,70,77,67,65
67,65,73,78,60,57,66,62,63,63,65,81,72,55,55,51,57,66,64,64,74,69,73,73,62,58
71,71,71,72,77,72,73,65,69,65,70,67,73,67,75,62,58,58,66,61,52,65,58,71,68,70
68,49,62,59,67,64,68,67,71,62,74,75,64,62,64,63,67,66,61,57,72,69,57,68,59,59
74,76,72,74,70,71,73,77,70,73,75,74,73,67,62,73,69,75,60,62,62,71,75,61,49,51
67,68,70,72,70,72,70,76,68,71,77,74,75,70,71,70,69,66,57,61,51,76,76,73,55,56
70,76,62,67,74,72,80,76,55,59,74,69,63,69,63,60,57,52,66,62,71,60,62,67,60,56
58,74,69,74,45,44,56,49,57,62,37,75,59,57,57,65,67,42,68,69,69,47,52,39,46,50
65,77,72,73,57,60,59,68,65,70,60,80,70,58,61,64,69,72,60,67,50,45,66,44,40,44
57,47,64,71,63,69,64,71,61,60,73,69,73,74,73,74,62,70,65,62,58,66,68,68,55,56
42,51,72,56,72,67,58,54,56,56,69,61,44,38,47,60,68,45,47,48,58,51,54,60,39,45
73,62,69,70,73,67,76,77,72,66,66,73,66,70,59,63,58,66,66,65,71,70,61,72,58,59
61,66,70,75,60,60,74,75,64,67,68,75,65,55,51,61,67,64,62,69,66,50,59,48,47,45
23,60,54,35,43,64,32,46,29,28,36,74,60,53,56,57,59,25,59,64,57,39,39,76,62,53
59,57,70,72,62,44,76,72,53,56,67,69,58,56,54,66,53,38,71,65,66,68,46,76,66,61
72,73,62,66,66,64,70,75,62,67,69,64,53,47,35,70,71,67,57,57,61,70,61,66,50,46
68,60,63,60,45,36,72,55,50,56,66,48,61,18,32,67,26,44,44,55,60,63,59,13,13,11
62,63,66,62,67,66,80,79,55,55,78,66,58,42,49,67,86,52,58,63,76,67,58,54,46,42
37,23,70,67,56,49,26,20,36,32,37,72,71,75,76,68,59,15,64,61,51,21,22,75,56,49
75,67,79,72,64,58,72,68,60,62,63,70,70,46,43,64,51,65,67,68,70,73,66,60,55,58
65,62,68,74,57,56,62,60,65,63,66,77,77,61,53,66,69,62,62,64,75,67,69,66,50,44
72,64,69,75,67,59,79,68,68,56,69,74,73,62,46,67,65,36,58,55,72,65,48,56,35,31
69,65,70,74,64,71,70,74,66,67,70,82,69,66,64,69,71,69,59,67,65,68,76,67,63,61
62,54,46,44,72,66,56,67,56,56,75,77,68,64,64,69,68,40,53,63,66,47,48,35,35,43
47,50,64,71,71,71,53,79,39,39,54,64,73,75,74,68,64,40,65,69,43,41,43,73,59,70
64,69,72,82,36,43,72,73,57,63,70,78,61,24,17,61,61,67,57,61,59,48,74,33,13,9
69,69,73,72,66,63,76,72,69,66,73,76,76,65,63,66,70,63,62,64,69,73,69,71,57,62
55,62,64,62,64,74,71,67,63,66,68,77,68,67,75,66,73,67,64,68,54,63,66,68,54,61
64,51,64,54,70,71,70,72,64,52,76,64,64,76,71,73,64,63,56,56,57,72,70,67,56,52
54,52,72,69,73,56,69,67,67,61,69,72,66,72,67,63,58,70,61,60,67,76,66,78,63,59
65,57,58,51,70,63,71,76,58,58,72,63,63,76,67,67,66,63,56,50,59,75,71,73,60,58
69,75,65,67,59,60,77,76,70,68,76,78,68,61,63,68,70,65,55,61,69,68,65,67,53,41
73,73,75,79,64,66,68,61,71,68,70,79,75,65,59,68,56,67,60,60,73,70,72,73,64,61
68,58,76,71,64,70,73,75,61,58,75,78,74,72,80,69,69,67,58,59,58,70,67,66,53,64
32,41,76,34,65,53,30,54,16,51,34,66,49,17,19,11,42,30,61,16,67,29,31,17,18,11
76,65,60,40,32,34,65,50,53,37,69,65,43,23,23,53,77,32,48,23,65,43,39,35,24,21
60,51,75,60,65,45,64,55,55,61,70,69,54,51,47,77,80,48,72,57,69,62,53,57,46,30
64,60,71,69,71,65,66,64,68,59,73,68,69,66,59,57,40,53,71,63,66,65,65,75,61,56
65,69,66,76,58,67,65,72,66,64,71,45,46,64,48,62,27,67,62,66,71,72,69,70,63,61
71,76,74,79,71,69,77,75,64,64,71,65,62,56,48,58,50,63,64,62,64,61,65,64,51,38
55,66,58,75,71,77,68,73,63,69,69,80,72,53,60,70,58,67,69,79,62,67,66,63,53,60
76,77,69,70,64,69,76,80,50,56,65,73,47,43,46,66,80,73,60,53,54,64,66,51,28,22
70,72,65,64,71,69,75,76,65,68,73,69,68,49,44,52,48,68,57,58,64,76,73,66,50,53
64,72,70,74,63,70,73,74,61,69,73,81,69,65,65,78,75,71,54,60,64,69,71,65,56,58
76,59,82,76,80,56,74,67,67,58,66,79,45,49,48,75,70,35,39,28,73,71,49,53,29,15
54,53,73,68,77,65,65,72,60,50,69,67,69,69,78,56,67,61,67,64,55,70,61,73,61,61
68,59,77,69,77,64,75,71,64,53,67,66,75,72,67,67,53,64,66,60,70,70,59,77,70,63
64,63,62,59,60,61,70,74,68,63,72,72,62,63,55,66,56,64,61,63,69,77,65,74,60,54
40,73,61,74,61,67,56,75,64,71,70,63,73,57,63,66,69,66,57,64,67,59,66,55,51,60
70,72,70,70,65,69,70,65,69,72,69,74,65,71,68,63,64,68,67,67,66,69,65,78,66,63
66,64,64,66,67,72,72,77,65,66,74,75,58,58,61,63,60,60,58,58,76,73,75,72,62,62
68,70,69,74,65,70,72,73,71,68,65,70,72,62,63,63,61,66,70,72,60,69,62,66,50,50
64,58,70,78,66,66,74,72,66,63,64,74,58,60,53,61,58,61,64,65,77,74,72,74,70,59
58,63,80,71,76,70,70,71,64,63,62,71,85,71,71,57,47,39,50,70,58,76,73,82,65,66
61,68,62,70,76,79,71,71,73,77,71,80,73,61,67,62,61,68,67,67,66,67,66,74,58,58
73,80,78,78,75,73,78,75,70,66,71,76,67,60,60,64,63,58,59,58,68,64,64,63,56,51
56,56,63,66,76,76,68,73,62,54,65,56,61,73,64,66,60,74,65,61,60,61,73,67,59,56
73,74,65,66,69,69,67,81,65,62,72,61,70,67,63,68,66,70,66,66,72,74,76,75,67,63
59,58,69,74,71,73,70,68,57,55,66,75,75,73,69,65,61,75,65,66,61,74,71,72,62,60
74,69,75,70,70,74,77,77,65,67,69,74,63,66,61,68,63,69,65,61,63,71,68,66,54,57
72,61,64,66,64,59,68,66,76,66,72,81,67,69,68,65,68,64,56,56,67,69,68,65,56,52
75,73,72,77,68,67,76,73,67,65,70,74,73,67,69,73,69,68,61,61,72,79,75,77,67,71
59,62,72,74,66,66,74,76,63,67,70,72,76,65,69,61,66,65,57,63,67,77,78,77,70,70
64,66,68,71,62,64,74,73,63,67,75,81,78,61,62,76,72,67,65,62,68,75,72,62,57,54
