"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V18","V23","V25","V26","V27","V28","V29","V31","V34","V35","V38","V40","V41","V42","V44","V45"
72,63,68,62,72,63,79,61,57,49,54,78,55,35,37,57,57,35,75,72,63,53,43,38,32,26
79,78,66,63,69,62,78,70,72,71,76,71,48,23,26,66,59,66,56,58,66,70,74,34,11,12
66,81,75,72,69,67,74,81,67,73,74,78,50,37,38,65,73,61,61,63,60,46,58,35,24,20
65,66,71,72,67,75,76,83,70,74,69,80,68,57,59,59,56,68,65,61,66,63,65,65,53,42
71,75,76,74,71,68,67,68,69,75,70,78,72,69,72,63,61,70,61,66,59,64,60,72,55,63
70,66,66,68,71,69,64,61,68,67,71,82,71,52,47,67,64,67,58,62,71,70,71,67,52,53
73,76,68,74,56,59,73,76,54,48,60,79,53,19,14,58,50,71,49,48,62,57,72,31,15,11
68,76,79,78,63,73,68,78,64,71,61,74,72,36,44,52,54,56,65,80,63,58,64,52,49,50
68,64,65,68,63,64,77,73,75,72,73,73,69,48,59,62,44,59,64,64,70,74,67,51,45,45
62,67,64,70,59,58,67,74,60,66,64,77,73,59,58,58,67,69,61,62,72,71,71,71,66,61
62,67,68,70,65,70,73,77,69,70,76,73,74,63,67,58,68,69,69,70,72,73,77,72,64,66
59,68,69,67,69,59,78,73,66,65,71,73,79,69,65,69,66,65,59,61,73,81,75,74,69,66
75,75,70,77,67,75,75,75,67,66,76,75,68,69,68,75,69,74,63,70,66,70,73,66,58,59
77,79,79,77,74,76,76,81,65,68,67,67,69,68,64,64,61,68,70,66,70,73,76,79,65,63
68,64,74,80,76,72,78,75,67,64,67,82,68,63,60,64,60,56,59,65,50,73,70,69,42,41
76,73,74,76,60,69,76,76,68,69,67,81,68,75,69,73,70,65,74,71,65,78,68,75,62,60
61,76,71,68,77,69,77,69,64,75,70,79,65,62,66,61,65,68,59,64,60,74,71,69,63,59
67,65,77,74,67,66,67,70,65,64,65,76,81,66,65,65,63,67,63,64,73,76,75,72,65,64
71,61,74,74,76,74,69,56,68,78,71,78,68,63,60,67,67,74,67,71,70,83,76,74,54,54
64,70,71,69,72,70,75,78,61,66,75,78,81,74,70,72,79,75,65,64,59,71,74,68,58,57
76,75,68,78,71,72,72,75,61,65,63,72,73,56,56,52,52,68,65,68,69,77,75,74,63,61
74,73,72,75,63,62,67,67,73,74,65,80,73,60,62,69,67,69,66,67,71,66,69,62,55,56
65,67,69,76,62,68,65,66,65,64,64,74,69,66,59,68,59,69,65,63,69,69,74,69,62,57
59,75,70,76,62,70,65,74,65,67,74,73,68,67,64,79,68,75,59,63,64,65,72,61,51,55
76,72,73,69,67,73,74,72,60,65,69,76,75,65,64,63,60,71,61,68,62,73,76,62,52,59
71,75,78,78,68,67,75,72,67,68,66,80,75,67,72,67,67,65,61,64,51,77,67,78,60,59
80,76,75,75,69,68,74,75,77,77,67,77,67,61,58,60,67,63,66,62,77,69,67,65,61,58
68,70,66,72,63,71,77,82,61,63,72,78,77,69,69,77,74,63,58,60,75,77,77,69,65,64
67,57,73,78,63,68,72,73,61,59,70,68,75,62,66,70,78,69,65,65,62,69,72,70,60,59
72,74,67,69,69,70,74,81,66,70,70,79,68,56,58,67,64,68,62,67,73,74,77,71,63,65
62,71,78,84,64,68,72,74,53,57,63,71,74,54,57,54,57,64,62,65,64,72,77,62,61,65
69,78,74,76,70,67,69,73,68,75,66,72,62,56,61,57,62,73,58,63,66,70,72,64,60,56
59,65,53,60,72,74,67,69,64,67,72,78,71,71,71,67,64,71,62,66,57,64,71,70,53,49
66,67,63,70,69,70,73,72,61,62,71,78,70,65,64,68,71,71,58,63,70,77,79,79,66,66
62,66,66,68,73,76,68,71,62,62,71,66,76,64,70,63,60,72,67,69,63,70,72,75,62,59
71,71,69,71,65,65,76,73,67,66,74,78,74,68,66,69,68,68,59,57,73,78,74,68,57,55
63,61,75,72,68,71,69,70,64,56,76,76,76,66,73,58,68,75,65,61,58,72,72,68,57,58
74,81,80,78,70,69,74,77,69,71,68,80,74,57,62,57,65,65,63,65,70,63,72,68,61,64
69,64,73,72,49,70,66,71,57,56,63,76,80,75,77,51,62,68,70,68,59,69,66,74,62,59
70,64,68,67,76,68,76,69,67,64,74,75,69,63,63,64,64,61,66,66,57,75,64,79,59,58
65,68,70,78,65,72,72,74,64,69,65,78,76,66,67,62,61,76,65,64,64,67,77,66,59,57
64,53,74,70,65,63,70,70,57,57,65,73,76,75,68,60,58,66,64,65,63,75,80,74,71,67
70,71,71,74,68,66,72,70,66,69,73,81,75,71,70,74,82,72,60,56,64,73,72,66,54,58
72,70,75,80,73,70,76,73,66,56,69,77,79,67,64,64,66,68,63,59,74,81,78,79,65,66
70,75,72,72,67,71,71,78,63,67,67,77,72,61,61,62,58,69,64,65,68,70,71,64,56,54
59,57,67,71,66,68,68,70,56,62,67,75,72,76,79,75,70,77,56,54,56,71,68,64,56,56
67,64,73,75,77,77,74,70,65,62,66,75,64,66,71,62,61,69,64,66,65,68,75,74,67,68
68,65,72,72,47,74,76,74,67,66,68,77,60,49,48,42,69,69,63,66,71,73,75,68,58,44
66,54,69,66,69,69,75,72,63,62,70,72,73,67,63,60,57,68,65,67,65,67,69,71,59,59
