"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V38","V40","V41"
78,76,71,72,65,71,75,74,70,64,80,66,59,44,63,62,59,74,59,77,62,67
69,68,75,74,78,72,75,72,61,57,67,78,64,68,62,64,63,77,66,62,64,59
72,66,75,67,61,59,64,63,61,67,75,67,68,71,68,48,47,79,63,64,56,52
64,64,70,75,70,71,74,71,59,60,60,66,69,71,63,67,65,58,52,61,64,65
72,63,68,62,72,63,79,61,57,49,78,55,35,37,57,41,35,70,75,63,53,43
79,78,66,63,69,62,78,70,72,71,71,48,23,26,59,66,66,74,56,66,70,74
66,81,75,72,69,67,74,81,67,73,78,50,37,38,73,61,61,73,61,60,46,58
65,66,71,72,67,75,76,83,70,74,80,68,57,59,56,62,68,73,65,66,63,65
71,75,76,74,71,68,67,68,69,75,78,72,69,72,61,59,70,75,61,59,64,60
70,66,66,68,71,69,64,61,68,67,82,71,52,47,64,66,67,75,58,71,70,71
73,76,68,74,56,59,73,76,54,48,79,53,19,14,50,67,71,54,49,62,57,72
68,76,79,78,63,73,68,78,64,71,74,72,36,44,54,49,56,81,65,63,58,64
68,64,65,68,63,64,77,73,75,72,73,69,48,59,44,66,59,74,64,70,74,67
62,67,64,70,59,58,67,74,60,66,77,73,59,58,67,65,69,76,61,72,71,71
62,67,68,70,65,70,73,77,69,70,73,74,63,67,68,66,69,79,69,72,73,77
59,68,69,67,69,59,78,73,66,65,73,79,69,65,66,68,65,71,59,73,81,75
75,75,70,77,67,75,75,75,67,66,75,68,69,68,69,71,74,76,63,66,70,73
77,79,79,77,74,76,76,81,65,68,67,69,68,64,61,69,68,75,70,70,73,76
68,64,74,80,76,72,78,75,67,64,82,68,63,60,60,54,56,73,59,50,73,70
76,73,74,76,60,69,76,76,68,69,81,68,75,69,70,58,65,76,74,65,78,68
61,76,71,68,77,69,77,69,64,75,79,65,62,66,65,71,68,71,59,60,74,71
67,65,77,74,67,66,67,70,65,64,76,81,66,65,63,63,67,80,63,73,76,75
71,61,74,74,76,74,69,56,68,78,78,68,63,60,67,76,74,79,67,70,83,76
64,70,71,69,72,70,75,78,61,66,78,81,74,70,79,73,75,73,65,59,71,74
76,75,68,78,71,72,72,75,61,65,72,73,56,56,52,67,68,78,65,69,77,75
74,73,72,75,63,62,67,67,73,74,80,73,60,62,67,69,69,75,66,71,66,69
65,67,69,76,62,68,65,66,65,64,74,69,66,59,59,69,69,79,65,69,69,74
59,75,70,76,62,70,65,74,65,67,73,68,67,64,68,70,75,77,59,64,65,72
76,72,73,69,67,73,74,72,60,65,76,75,65,64,60,74,71,79,61,62,73,76
71,75,78,78,68,67,75,72,67,68,80,75,67,72,67,67,65,78,61,51,77,67
80,76,75,75,69,68,74,75,77,77,77,67,61,58,67,61,63,75,66,77,69,67
68,70,66,72,63,71,77,82,61,63,78,77,69,69,74,64,63,70,58,75,77,77
67,57,73,78,63,68,72,73,61,59,68,75,62,66,78,68,69,76,65,62,69,72
72,74,67,69,69,70,74,81,66,70,79,68,56,58,64,68,68,74,62,73,74,77
62,71,78,84,64,68,72,74,53,57,71,74,54,57,57,62,64,72,62,64,72,77
69,78,74,76,70,67,69,73,68,75,72,62,56,61,62,67,73,74,58,66,70,72
59,65,53,60,72,74,67,69,64,67,78,71,71,71,64,67,71,74,62,57,64,71
66,67,63,70,69,70,73,72,61,62,78,70,65,64,71,70,71,74,58,70,77,79
62,66,66,68,73,76,68,71,62,62,66,76,64,70,60,70,72,77,67,63,70,72
71,71,69,71,65,65,76,73,67,66,78,74,68,66,68,68,68,74,59,73,78,74
63,61,75,72,68,71,69,70,64,56,76,76,66,73,68,72,75,75,65,58,72,72
74,81,80,78,70,69,74,77,69,71,80,74,57,62,65,61,65,76,63,70,63,72
69,64,73,72,49,70,66,71,57,56,76,80,75,77,62,74,68,77,70,59,69,66
70,64,68,67,76,68,76,69,67,64,75,69,63,63,64,56,61,68,66,57,75,64
65,68,70,78,65,72,72,74,64,69,78,76,66,67,61,68,76,78,65,64,67,77
64,53,74,70,65,63,70,70,57,57,73,76,75,68,58,69,66,76,64,63,75,80
70,71,71,74,68,66,72,70,66,69,81,75,71,70,82,69,72,74,60,64,73,72
72,70,75,80,73,70,76,73,66,56,77,79,67,64,66,69,68,75,63,74,81,78
70,75,72,72,67,71,71,78,63,67,77,72,61,61,58,63,69,75,64,68,70,71
59,57,67,71,66,68,68,70,56,62,75,72,76,79,70,71,77,69,56,56,71,68
67,64,73,75,77,77,74,70,65,62,75,64,66,71,61,64,69,76,64,65,68,75
68,65,72,72,47,74,76,74,67,66,77,60,49,48,69,70,69,79,63,71,73,75
66,54,69,66,69,69,75,72,63,62,72,73,67,63,57,70,68,75,65,65,67,69
