"1007_s_at","1053_at","204508_s_at","205225_at","206754_s_at","206799_at","212956_at","215729_s_at","Class"
12.1708,7.8654,8.7031,11.3391,8.4029,12.6767,12.5047,6.2134,"2"
12.8908,8.094,4.5763,8.4676,6.8341,5.1505,8.9354,10.3828,"1"
12.0125,8.3706,4.1328,7.6136,6.3841,4.6445,10.5317,1.8945,"1"
11.1958,8.5326,4.7115,8.4559,6.7498,3.2458,10.1753,10.5956,"1"
11.5379,8.6753,5.852,7.8963,5.48,12.1276,9.7544,8.0793,"1"
12.2426,8.6863,5.6595,8.15,7.1052,6.6746,9.7492,10.2683,"1"
11.7422,8.3868,10.076,12.7341,7.0218,3.9211,12.6052,1.6071,"2"
12.1271,7.2132,8.0906,12.9117,8.3354,10.6593,12.7904,3.94,"2"
11.9852,7.7999,11.4458,13.8611,8.2143,11.9052,13.3609,1.5849,"2"
11.831,7.5973,9.7068,11.6071,12.9351,3.628,12.8879,3.4418,"2"
11.9298,6.9393,9.3395,12.9999,11.1861,4.193,11.3677,2.2721,"2"
11.5563,8.5456,9.8688,14.1548,10.1335,12.7435,13.2225,2.6906,"2"
12.3898,8.2476,9.4071,11.7896,8.3816,8.3475,12.177,4.5106,"2"
12.2223,8.2085,10.1436,13.1663,13.0941,8.8498,13.0678,2.1948,"2"
12.2161,8.3784,3.1318,7.4166,5.3369,3.3653,9.2101,10.8661,"1"
11.3958,9.0461,4.7862,8.6856,6.7483,4.6158,8.8312,6.6686,"1"
11.9744,8.3758,9.3766,12.0832,9.9301,8.5691,12.2257,2.6082,"2"
11.7052,8.1315,3.5843,8.1952,4.486,4.2622,8.6669,6.1628,"1"
12.7443,8.4647,8.9374,10.719,5.5528,14.1834,10.5998,3.5924,"1"
12.2154,8.3121,10.1122,12.9374,6.7119,5.9254,13.022,1.6383,"2"
13.312,7.8254,11.2929,12.5191,13.6082,8.0746,13.4395,2.9893,"2"
12.2111,9.0572,6.8452,3.6784,3.9488,13.285,8.8364,1.7282,"1"
11.175,7.5085,9.1324,12.0389,10.7713,3.1352,13.5637,3.1802,"2"
12.1514,8.1922,7.0044,8.2599,6.3018,6.5105,11.359,9.8613,"1"
11.4223,7.4375,9.7578,13.6226,8.5557,8.3304,12.5382,2.6362,"2"
12.0307,8.4269,8.353,10.8245,4.495,13.7739,11.1295,3.3684,"2"
12.7472,9.0996,10.3654,7.4097,6.8992,11.3628,9.6608,8.5637,"1"
11.2817,8.9329,10.7588,13.5035,12.1784,9.5795,12.2744,-0.4146,"2"
13.2494,8.3434,10.1203,12.0186,13.1538,11.2394,10.9664,5.1159,"2"
13.9012,8.0363,10.8232,13.483,10.4051,14.4949,12.3577,4.824,"2"
12.8156,7.6095,10.2651,12.1408,13.6021,12.667,11.6939,2.5159,"2"
13.0941,8.2012,10.1747,12.2749,8.7143,8.9276,12.2083,1.701,"2"
11.3834,9.0703,7.6257,7.7153,8.8027,3.4286,9.8368,2.6172,"1"
12.129,7.4496,10.746,13.0559,11.1075,5.8542,12.9762,2.7682,"2"
12.773,6.7233,11.6026,14.0098,13.7228,9.171,10.3379,3.7095,"2"
11.8927,8.0734,10.7002,14.0217,14.6157,4.1446,12.5246,0.816,"2"
11.6298,9.2991,7.4145,12.5402,13.6878,7.0608,12.7891,3.267,"2"
12.3467,6.9379,9.0546,10.9442,8.8658,9.6694,9.9531,2.7492,"2"
11.6358,8.4829,6.5162,7.2509,5.4812,2.9789,7.9427,8.8624,"1"
10.33,6.5923,8.0046,7.895,8.8766,12.0573,11.4561,3.1297,"2"
12.1404,8.2031,4.5782,7.4147,5.8111,7.3296,9.2672,11.5796,"1"
13.0893,5.6899,7.6451,12.2433,5.6429,11.0777,12.6507,5.9483,"2"
12.2036,7.3499,9.2572,13.2485,10.7595,14.0369,12.2621,1.8744,"2"
12.0666,7.8288,8.5738,10.2287,8.531,11.1267,11.265,6.9551,"1"
12.7526,9.3658,5.1272,6.2819,5.6632,3.6072,8.7523,0.7577,"1"
12.8956,7.9326,8.7904,5.8987,6.7752,10.0185,10.4149,5.8246,"1"
12.4378,7.9344,4.5907,7.3404,5.9518,13.9223,8.948,4.9343,"1"
11.9015,8.7145,10.3686,11.8458,12.9648,12.0571,12.7044,3.4363,"2"
12.326,7.5579,3.6682,7.8375,6.2562,2.7349,7.7249,9.9681,"1"
11.7169,8.1215,12.795,14.1295,14.6779,15.5869,13.929,1.4841,"2"
11.6612,8.8958,3.4802,7.9667,4.5939,3.4825,7.9109,13.2827,"1"
13.1617,5.3555,8.475,11.1843,12.6124,4.1656,12.7331,2.2872,"2"
12.7796,8.356,10.3336,7.2503,4.976,1.7444,11.2042,6.1705,"1"
12.8244,8.0495,8.8656,12.9698,8.7579,9.5622,12.2626,1.4321,"2"
11.3217,7.9271,9.4682,11.7818,9.9181,4.8583,11.2163,2.9005,"2"
11.3358,9.3691,4.3129,7.9329,7.0876,5.1984,9.4619,10.6022,"1"
12.1187,8.1785,9.737,10.8334,9.8341,13.3096,12.8769,4.7159,"2"
12.2341,8.512,8.0685,12.0949,10.1617,3.8936,11.248,2.7434,"2"
12.3349,8.615,12.238,12.9905,8.2991,3.3287,13.3934,1.8943,"2"
12.1046,7.6096,8.4227,12.652,10.355,12.0929,11.6239,8.7336,"1"
11.6775,7.7698,10.106,11.202,14.0049,12.9869,12.1265,1.4228,"2"
12.8251,8.0386,5.2147,8.8311,5.7331,5.2329,9.5934,7.4765,"1"
9.0519,8.1997,4.5194,8.0794,7.647,3.8115,10.9837,2.6406,"1"
12.0038,9.2597,7.1318,8.1639,7.4808,6.5169,10.5981,6.3434,"1"
11.0649,8.4225,10.3476,11.995,7.9622,14.1041,12.9209,2.7467,"2"
11.257,7.8519,10.788,10.2914,12.5008,13.7124,12.2946,6.5546,"2"
10.4539,8.1741,7.5743,10.0307,6.8735,5.3901,10.3561,4.2245,"1"
11.6801,9.0948,10.3959,12.9166,11.231,8.4933,13.6283,1.2579,"2"
11.5621,8.6892,10.3555,12.2656,12.0609,15.8537,12.3058,4.9697,"2"
9.9731,8.6738,6.4935,11.8145,9.9181,9.4297,11.3646,5.4411,"2"
10.8753,8.3727,3.9804,3.8104,3.5907,2.6986,7.2423,7.4804,"1"
12.2256,8.8031,10.9673,12.5353,7.9438,7.9407,12.9655,2.5081,"2"
11.7194,9.2548,10.9712,13.422,11.9917,5.7714,12.9782,1.5728,"2"
11.5853,8.7691,11.6516,12.5867,10.0849,15.5693,13.6062,5.4503,"2"
11.0264,7.8698,8.9403,11.8206,9.049,13.1214,12.5998,6.9009,"2"
11.3208,8.3444,8.6209,9.17,6.0737,3.6845,11.6962,7.8752,"1"
11.0071,8.2161,3.3617,7.0398,5.1177,3.8802,8.976,9.051,"1"
11.0788,9.8339,11.5707,9.6024,11.4973,5.8774,13.0948,1.4502,"2"
10.6582,8.7218,8.1877,11.0475,5.4899,8.9028,10.866,1.135,"2"
11.6867,7.8849,11.9468,12.7629,3.0643,7.6745,14.3211,5.199,"2"
10.8107,8.1872,10.9283,12.8106,9.8656,9.2354,13.7081,5.2731,"2"
10.4926,9.4877,3.5299,6.3992,2.4356,1.5279,7.6085,5.4453,"1"
11.2444,9.0395,6.4021,7.5145,5.9063,5.02,7.8995,10.5501,"1"
11.3286,8.5836,8.3631,12.3486,8.319,12.1536,12.346,3.1645,"2"
11.467,8.6341,11.7365,12.6635,14.507,9.4569,14.4063,2.2442,"2"
10.8638,8.9588,9.9419,14.0632,6.4488,9.8368,13.5991,4.0078,"2"
11.4372,7.9948,8.7742,12.1359,7.2043,12.5969,12.5977,5.3496,"2"
10.7467,9.2031,8.8494,10.2524,9.2064,10.6867,10.228,1.8686,"2"
12.1157,7.9863,9.1732,12.9502,10.1785,12.8863,13.0467,6.1776,"2"
10.9493,8.6641,7.3977,8.3734,2.815,6.2763,9.441,9.396,"1"
10.8874,8.9912,10.2045,12.3648,12.4693,6.9,13.1114,5.6724,"1"
11.3958,8.7964,9.9137,12.4009,9.2609,6.002,12.4623,2.7471,"2"
10.4125,7.9602,5.4341,9.3602,3.5391,13.012,11.2233,8.726,"1"
10.9733,9.7423,10.4918,12.5568,7.3898,9.9726,11.9581,2.2476,"2"
11.9543,9.0305,10.356,11.5745,8.8301,14.7579,12.8542,1.9478,"2"
11.6233,8.2703,11.4213,11.3717,10.0982,13.0481,11.4698,6.1308,"2"
10.5767,8.9054,9.8751,11.1494,10.4567,9.3393,12.0226,3.174,"2"
11.4375,7.9564,9.7861,12.1828,9.0095,9.0553,12.7002,5.6502,"2"
11.6268,8.0073,10.6719,14.7744,12.1128,5.9279,13.6442,2.5696,"2"
11.4041,8.7849,11.8875,13.3059,7.1043,7.524,13.2354,3.621,"2"
10.7539,8.6856,11.3125,12.3296,7.7708,9.5024,11.5862,5.5826,"2"
11.3627,8.6771,10.1568,7.7434,3.8639,3.4226,9.3679,2.3533,"1"
11.2276,7.586,9.5181,14.6833,11.2288,16.4488,14.4884,1.4906,"2"
