"V4","V5","V26","V30","V31","V33","V41","V44","Class"
70,74,65,65,70,72,80,61,"1"
75,78,75,73,75,74,75,64,"1"
75,77,66,69,65,76,71,50,"1"
73,75,51,69,63,76,59,43,"1"
58,67,48,58,68,75,71,52,"1"
64,72,65,64,68,75,64,43,"1"
71,72,72,71,68,75,68,66,"1"
70,70,66,71,68,75,75,65,"1"
69,62,74,67,72,67,67,58,"1"
74,72,79,79,78,71,68,37,"1"
64,65,54,65,74,78,68,50,"1"
66,74,69,67,69,69,76,58,"1"
60,65,73,71,70,70,69,66,"1"
65,57,64,64,63,66,77,63,"1"
69,68,65,72,70,74,70,57,"1"
71,71,65,64,67,75,70,67,"1"
73,78,55,65,66,74,73,62,"1"
71,72,67,58,58,69,58,68,"1"
62,59,62,65,66,67,57,59,"1"
72,74,67,73,75,76,75,49,"1"
70,72,70,67,66,63,76,55,"1"
62,67,69,47,52,64,62,60,"1"
69,74,57,46,42,68,52,46,"1"
72,73,58,65,72,74,66,40,"1"
64,71,74,64,70,77,68,55,"1"
72,56,38,42,45,62,54,39,"1"
69,70,70,67,66,71,61,58,"1"
70,75,55,61,64,78,59,47,"1"
54,35,53,28,25,67,39,62,"1"
70,72,56,51,38,67,46,66,"1"
62,66,47,66,67,73,61,50,"1"
63,60,18,39,44,64,59,13,"1"
66,62,42,59,52,74,58,46,"1"
70,67,75,22,15,72,22,56,"1"
79,72,46,71,65,77,66,55,"1"
68,74,61,59,62,76,69,50,"1"
69,75,62,52,36,73,48,35,"1"
70,74,66,68,69,72,76,63,"1"
46,44,64,38,40,64,48,35,"1"
64,71,75,37,40,75,43,59,"1"
72,82,24,63,67,74,74,13,"1"
73,72,65,60,63,75,69,57,"1"
64,62,67,65,67,72,66,54,"1"
64,54,76,68,63,62,70,56,"1"
72,69,72,73,70,72,66,63,"1"
58,51,76,67,63,54,71,60,"1"
65,67,61,67,65,69,65,53,"1"
75,79,65,63,67,73,72,64,"1"
76,71,72,67,67,74,67,53,"1"
76,34,17,53,30,9,31,18,"1"
60,40,23,48,32,32,39,24,"1"
75,60,51,69,48,59,53,46,"1"
71,69,66,55,53,63,65,61,"1"
66,76,64,65,67,72,69,63,"1"
74,79,56,65,63,75,65,51,"1"
58,75,53,46,67,84,66,53,"1"
69,70,43,73,73,65,66,28,"1"
65,64,49,65,68,72,73,50,"1"
70,74,65,67,71,74,71,56,"1"
82,76,49,64,35,60,49,29,"1"
73,68,69,69,61,71,61,61,"1"
77,69,72,72,64,77,59,70,"1"
62,59,63,65,64,71,65,60,"1"
61,74,57,60,66,71,66,51,"1"
70,70,71,66,68,75,65,66,"0"
64,66,58,59,60,65,75,62,"0"
69,74,62,66,66,80,62,50,"0"
70,78,60,62,61,72,72,70,"0"
80,71,71,42,39,70,73,65,"0"
62,70,61,66,68,71,66,58,"0"
78,78,60,62,58,77,64,56,"0"
63,66,73,66,74,75,73,59,"0"
65,66,67,70,70,70,76,67,"0"
69,74,73,71,75,77,71,62,"0"
75,70,66,74,69,75,68,54,"0"
64,66,69,69,64,73,68,56,"0"
72,77,67,68,68,74,75,67,"0"
72,74,65,64,65,72,78,70,"0"
68,71,61,67,67,75,72,57,"0"
