"201555_at","202683_s_at","203628_at","205229_s_at","205713_s_at","206401_s_at","208893_s_at","214164_x_at","216092_s_at","219051_x_at","Class"
12.086,9.0063,8.1674,10.2194,3.0774,6.8248,4.0082,7.5327,7.6074,6.7879,"2"
9.8688,8.8268,8.9959,4.4339,6.6904,10.969,5.2023,12.8998,10.1647,9.8182,"2"
10.0665,8.9819,8.5023,6.7313,3.0512,11.1151,4.3883,11.4617,10.0524,10.0358,"2"
9.8911,8.683,9.8825,5.8631,2.9774,10.5063,4.2696,12.9611,10.2925,10.963,"2"
10.3435,8.9132,8.9981,5.5598,8.0578,8.7001,4.5864,12.9039,10.0256,9.7822,"2"
10.258,8.8511,4.3836,6.5959,3.6715,5.4944,4.2323,9.2465,8.4964,8.807,"1"
9.8626,8.7207,9.139,6.6642,3.5516,9.4868,6.845,11.4765,9.8628,8.6672,"2"
10.3334,9.013,9.0423,7.0785,8.5302,9.9486,4.6656,12.789,9.9313,10.2798,"2"
10.7116,8.2951,7.6812,8.133,7.7396,9.1448,8.8595,8.3656,7.5391,7.531,"1"
10.5117,9.2731,7.2241,9.1292,3.5181,6.2461,6.2286,8.2833,8.6541,7.365,"1"
10.251,8.7815,8.2905,7.5407,6.2089,10.2965,5.1268,11.9448,10.2116,9.2939,"2"
10.3313,8.6359,8.2702,6.6465,9.1481,8.2527,11.0029,9.4902,9.6518,8.8718,"2"
9.7521,9.134,9.9206,5.8006,2.8476,10.3819,7.5715,11.7493,10.365,9.343,"2"
10.6242,8.4841,8.3453,7.5177,7.8698,3.7298,5.6745,8.9249,8.3797,7.9287,"2"
9.5305,8.8401,9.2947,7.7132,9.1997,9.4121,5.3882,11.1682,10.0754,10.8558,"2"
10.828,8.7175,9.4695,7.4702,6.4745,11.7719,4.7203,13.5164,9.1524,10.3207,"2"
10.8125,8.7778,13.4662,8.1689,8.3678,10.9702,5.8961,12.7153,8.9102,9.1681,"2"
11.0857,9.2654,6.8871,7.4517,4.2499,5.5395,4.8696,8.2417,8.6834,8.1032,"2"
9.8613,9.1256,9.9689,8.3472,8.6283,10.3931,6.1287,13.5806,10.5801,9.7975,"2"
10.239,9.2367,7.9576,6.9128,3.2404,8.2257,5.661,10.6804,8.3647,8.1639,"2"
9.9379,9.0848,10.5135,5.2875,5.9209,10.7027,5.7103,13.1077,9.0615,9.4716,"2"
10.3559,9.802,9.4933,6.7634,8.1414,8.1389,5.4561,13.1647,9.4801,9.0562,"2"
10.0374,8.7298,7.9548,7.8758,9.7418,9.4539,5.6585,12.0015,10.03,9.5161,"2"
9.7018,9.4444,9.6106,7.0884,3.1697,9.379,5.5724,13.7664,10.0893,8.2132,"1"
10.1254,8.8494,8.8567,7.3516,8.9822,9.5328,5.4658,11.9236,10.2134,9.6909,"2"
9.9156,8.8102,8.8804,7.2108,5.9249,9.0032,5.5095,12.0267,10.7078,10.5624,"2"
10.1322,9.5611,8.7057,7.5096,3.2454,5.3993,5.2545,12.6125,9.4244,9.3371,"2"
10.681,9.3899,8.2033,4.8963,3.4315,9.5047,5.7013,12.0551,8.6566,9.789,"2"
9.3947,9.0499,4.2641,6.2737,2.6787,9.2736,5.2605,9.9491,9.8081,9.0017,"2"
9.2209,9.1513,10.1458,8.7439,6.575,8.4442,5.6077,13.6554,9.7423,9.1175,"2"
10.9649,9.4754,8.9645,7.4622,3.2547,5.0787,4.9683,12.6882,8.8404,8.1827,"2"
