"201555_at","202683_s_at","203628_at","205229_s_at","205713_s_at","206401_s_at","208893_s_at","214164_x_at","216092_s_at","219051_x_at","Class"
11.0685,8.8977,8.7209,4.4888,5.4968,8.5133,4.1918,7.6351,8.6025,5.5033,"1"
10.4298,8.7418,9.5163,4.4966,8.8632,7.0578,6.5365,11.6794,9.7235,9.3688,"2"
10.9094,8.0082,7.5281,6.1813,10.8606,5.7798,8.1365,12.4894,10.0368,9.6567,"2"
10.714,8.6293,10.0812,4.4782,8.6953,11.1965,6.485,11.9407,10.3452,10.8656,"2"
10.4104,9.3621,8.7538,6.0085,4.47,10.0359,5.3173,12.1756,9.6254,10.3462,"2"
11.1706,9.3352,8.0245,9.8931,4.5433,6.7518,4.6463,7.7479,7.5825,7.121,"1"
10.1161,8.877,8.3349,5.6069,10.4472,10.0016,5.071,12.7763,10.7937,10.978,"2"
10.6367,8.7834,11.285,4.3028,8.9201,7.6172,4.5768,11.213,7.3458,10.2146,"2"
10.0111,8.0939,10.8229,4.0139,5.4284,5.5155,4.708,14.4136,8.8805,10.9033,"2"
9.6214,8.5245,8.9242,4.6673,4.8372,10.0675,10.8215,11.5448,9.5386,9.0057,"2"
10.119,8.8456,9.3252,4.5943,6.6906,10.5054,6.4988,13.1194,9.7613,9.6925,"2"
10.3989,9.5136,7.4093,7.6852,5.4038,7.0226,8.7133,9.708,8.9393,7.643,"1"
10.3797,8.9422,6.0633,8.771,2.9544,5.5951,6.3851,8.2237,8.5461,6.005,"1"
10.3432,8.7433,7.1049,8.6134,5.3857,8.556,8.8787,9.8416,8.7145,9.8355,"1"
9.2594,8.9028,10.3429,5.3225,8.9099,10.9204,8.197,12.8993,9.5977,10.0333,"2"
10.0886,8.8492,9.0396,6.8058,5.5181,8.7882,7.9037,13.035,9.4333,9.6902,"1"
9.511,8.6878,7.9148,7.9629,5.9524,5.284,9.9681,9.8019,8.9443,9.3435,"2"
9.6903,8.8657,9.4836,5.2522,9.9554,11.05,8.9467,12.908,9.035,9.709,"2"
8.9343,8.3007,10.6958,4.4344,7.9708,10.1206,9.4976,13.1264,9.4398,9.2801,"2"
10.1272,8.5644,8.2568,5.326,5.2557,9.6513,7.9166,10.2122,8.0143,8.1836,"2"
10.765,9.2796,7.0799,9.623,2.6831,7.0484,3.713,7.0129,6.5367,7.0718,"1"
9.8021,8.7299,8.0274,6.1043,3.8754,4.2954,7.436,12.9575,8.1647,9.8094,"1"
10.0018,9.0705,8.9142,4.2984,2.0557,10.3954,9.9929,13.1537,10.9748,10.2419,"2"
9.6159,8.1238,10.3326,4.1639,3.6865,8.1708,7.778,14.0839,8.6992,9.429,"2"
9.6423,8.4562,9.6083,6.3799,8.6612,9.0735,9.9769,11.6268,9.2059,8.8285,"2"
10.2454,8.3381,5.9113,10.7696,8.0579,7.1284,3.7414,10.7241,7.8926,8.9863,"1"
9.9449,7.7903,9.4807,7.3417,7.5031,4.7041,5.2429,8.2308,7.7143,6.6423,"2"
10.2328,8.0851,8.5708,6.8154,5.7905,8.8404,9.0279,13.3777,10.4972,9.4292,"2"
10.5688,8.8976,7.3792,7.1332,4.9178,4.1098,8.4281,10.8956,8.535,7.5513,"1"
9.1603,9.1237,15.5445,4.9962,7.765,10.4891,8.1173,13.9203,9.8774,8.109,"2"
9.0114,8.7824,10.1334,6.4454,10.391,10.8682,9.5691,13.4985,10.2776,9.4868,"2"
12.0051,8.5106,7.4771,5.1277,4.3679,5.3303,3.1129,6.5685,6.2595,4.8958,"1"
10.2218,9.5648,9.2369,6.5007,4.9285,4.6899,4.3599,8.8265,7.313,8.3302,"1"
9.9845,8.9343,9.3583,4.4093,9.005,6.1981,4.2612,10.9554,9.245,9.3296,"2"
9.3789,8.4784,10.7715,7.8909,7.4318,11.0701,7.1126,13.7563,9.7807,10.3511,"2"
10.0404,8.6772,9.5154,7.5469,3.5201,10.0461,9.3434,12.3503,9.2452,9.4159,"2"
9.5745,9.1693,10.434,6.7466,7.8491,8.4046,9.8726,11.0469,9.7318,9.1391,"2"
10.3878,8.4935,8.4852,6.2651,2.6847,5.3877,5.5336,11.4131,7.8689,8.5591,"2"
9.8527,8.5317,11.8836,3.5563,8.3625,9.3646,4.1813,11.6872,7.4704,9.34,"2"
10.0625,8.2866,7.6683,2.7421,5.4673,5.5229,8.0329,9.1538,7.1588,7.4397,"2"
9.5427,7.6009,8.8261,4.4322,2.9714,10.6033,4.6478,13.0672,8.9926,9.2052,"2"
9.5946,8.5372,8.9492,6.7384,8.6038,10.268,9.9481,12.4113,9.7026,9.8797,"2"
9.7531,8.7887,8.7811,7.6573,8.0537,7.884,9.6208,9.3508,8.0276,7.0023,"1"
10.1059,8.8322,8.7039,6.1002,2.6853,10.4049,3.0909,12.7731,9.0474,9.8472,"2"
10.3072,9.1252,8.7127,6.4824,8.2076,8.9693,7.9428,13.0116,10.3864,10.1342,"2"
9.9256,7.9795,9.9817,4.0641,3.0284,9.3479,5.9043,13.9149,10.9053,8.9544,"2"
9.7574,9.0493,8.5383,6.3929,10.4589,7.4395,8.5005,12.0102,8.6074,8.1638,"2"
9.5985,8.785,8.0269,2.3535,7.9763,8.5209,5.0411,12.1311,10.2525,10.2525,"2"
10.2803,8.3615,9.6906,3.077,8.8773,11.0416,8.4736,13.1068,10.3274,9.5077,"2"
9.4695,8.4348,10.2376,4.2331,5.6396,10.162,9.0084,14.0103,10.0742,10.4424,"2"
9.8046,8.5682,7.9791,4.8126,6.8398,8.4216,5.6948,13.9384,9.6954,10.5126,"2"
9.4734,7.9508,7.2608,6.7334,7.8268,8.9272,5.7558,12.7241,8.7559,8.5887,"2"
9.3382,9.0723,10.7241,3.6513,7.8337,10.1112,3.5635,12.2817,9.6344,9.8953,"2"
