"1007_s_at","1053_at","204508_s_at","205225_at","206754_s_at","206799_at","209603_at","209604_s_at","212956_at","215729_s_at","Class"
11.4072,8.1883,5.3555,8.3963,8.1672,4.4583,8.2396,11.8763,9.4395,7.9547,"1"
12.7367,8.0052,9.9006,12.5963,8.4653,9.6497,10.448,14.3791,13.5241,2.9889,"2"
11.9765,7.6044,10.1724,11.8094,11.673,12.5231,11.5412,14.6664,12.4003,2.149,"2"
11.3246,8.2015,5.0777,9.5325,8.523,5.5402,8.5502,11.2533,9.5156,4.9883,"1"
12.0941,7.8253,9.9225,13.2295,10.6489,13.2658,11.2723,14.6063,13.3231,1.9647,"2"
10.7466,4.913,4.9111,9.8211,6.9457,5.0914,8.0455,11.8927,9.7818,6.2769,"1"
11.0495,9.2408,4.8718,8.0818,6.3319,4.2433,3.262,9.0602,10.2891,3.0053,"2"
11.7385,8.1488,4.6842,8.2941,5.8694,4.2842,6.7032,9.8569,9.4854,10.9867,"1"
11.5092,8.145,8.6045,10.7936,7.308,10.9854,9.9565,13.3907,12.3283,7.1663,"1"
11.7728,8.6772,7.9291,10.5265,5.7323,7.6674,8.3648,11.6264,10.6652,9.4107,"1"
12.1022,7.6784,6.8564,10.9363,11.8804,10.8981,9.4729,13.6854,11.7619,4.8463,"2"
12.0736,7.816,10.2253,12.3623,10.0473,7.9773,11.2154,14.3026,13.7027,3.8809,"2"
11.2111,7.323,4.3686,7.7249,7.1169,3.4144,6.819,10.0601,8.6748,10.3695,"1"
11.8962,8.1039,3.8683,8.8049,6.8085,4.3188,8.2934,12.4318,9.8927,9.3743,"1"
12.124,8.588,9.0213,10.9305,6.4077,14.0581,10.2029,14.2924,13.6215,3.5025,"2"
10.9237,8.298,4.3544,7.6342,5.1583,2.8053,8.1925,11.803,9.1482,1.0689,"1"
12.236,7.4006,10.3597,12.3505,6.9298,3.8597,11.2649,14.2572,13.7271,1.2775,"2"
10.7914,8.6287,4.4654,5.6522,7.3472,3.4204,8.8613,11.6091,9.7463,7.8107,"1"
12.2148,7.8514,7.6664,8.8267,8.6548,13.294,8.69,12.2612,11.4818,3.1003,"1"
11.7166,8.6037,10.8188,13.2534,8.7383,10.9965,10.7143,14.4516,12.0823,1.4498,"2"
12.7646,6.7644,4.2515,8.2067,6.5909,4.2971,6.3456,9.323,8.2743,10.4698,"1"
11.9024,7.9691,8.7817,11.2609,8.1456,12.8622,10.454,13.8873,12.12,7.7638,"2"
12.0173,5.1489,9.417,13.2832,12.5153,4.8937,12.1875,15.0499,12.9248,2.9577,"2"
11.2714,7.226,9.2128,11.7827,8.2431,14.8214,9.8295,12.857,11.1322,3.1549,"2"
11.2179,8.7762,3.8957,8.3335,5.892,3.8603,6.7513,10.9505,9.0008,5.5568,"1"
11.2065,8.4165,4.5598,8.3603,7.6677,4.8021,8.5707,12.9642,9.5846,6.1849,"1"
11.4876,8.1887,4.1196,8.9474,5.9233,5.2903,7.8886,11.1661,10.3331,1.9105,"1"
11.8805,9.0496,4.4122,7.5993,5.3579,4.7796,4.2335,8.4591,8.2055,6.772,"1"
11.939,8.5198,9.0992,12.0116,9.5652,10.2749,10.985,14.4863,13.3762,2.8635,"2"
11.5551,7.835,10.6052,13.5384,9.7597,9.134,10.4355,14.0091,13.0526,2.8702,"2"
11.6529,7.4979,5.4812,10.3875,9.7464,5.9668,9.0036,12.7246,10.7508,4.536,"1"
12.0608,7.8334,10.8056,11.8833,8.6569,11.8333,10.3411,14.1508,11.8967,2.5142,"2"
11.5139,8.6451,8.6574,12.7416,6.7339,5.2458,10.6374,13.903,12.0272,1.5145,"2"
11.8896,8.1589,3.7011,8.3177,5.9303,4.2755,8.07,11.9822,9.3578,8.8079,"1"
11.5006,9.1396,3.9342,7.5472,4.3457,4.0027,6.4117,10.0502,8.7783,1.7874,"1"
11.9052,7.7421,4.0861,8.1155,7.8528,3.8327,6.8301,10.4376,9.5652,10.4593,"1"
11.959,9.4844,5.4141,7.6352,5.9165,3.9053,4.5568,8.647,8.6382,8.8795,"1"
12.218,7.7593,9.8616,12.7813,13.8159,9.1695,11.0723,14.6049,12.9626,3.0363,"2"
12.3984,8.5418,4.4204,8.1508,7.4362,5.3695,6.0447,9.2359,8.4697,11.8767,"1"
12.7551,7.7959,9.7046,13.5231,12.3207,11.2637,11.3949,14.6885,12.9057,2.9162,"2"
11.9883,7.7519,7.569,10.1043,9.1966,14.3595,9.5043,13.4794,10.9192,2.592,"2"
12.0864,8.1094,8.4344,12.7246,10.4358,10.6856,12.7051,14.8864,14.0948,5.4828,"2"
11.9235,7.5099,4.4874,8.3319,6.0087,4.0876,9.3373,12.9919,10.3159,7.7407,"1"
11.9922,8.9165,7.3645,10.8645,5.4413,11.0479,9.5157,14.0646,11.6761,4.7745,"2"
11.9809,7.9313,4.621,8.744,5.8108,5.0635,5.7116,10.9437,8.8847,6.6003,"1"
11.9526,8.126,10.6938,12.8959,11.4088,10.1985,12.5287,14.8459,12.6705,2.5212,"1"
12.0866,8.8091,3.8038,9.0738,7.4451,4.4501,7.8664,11.9892,9.2594,7.4796,"1"
12.0421,9.0085,3.5465,8.9677,5.6621,3.9521,7.5786,9.7365,9.6087,10.3429,"1"
12.0653,8.1614,10.235,12.9696,12.4497,4.4312,11.8311,14.639,13.312,1.356,"2"
11.6125,7.5817,8.3783,12.6311,8.8733,14.9199,11.2871,14.6195,12.2282,4.579,"1"
11.8752,8.1642,10.4104,13.8544,7.465,12.624,10.8398,14.0292,13.6781,5.4642,"2"
12.2996,8.5171,9.8327,13.5618,11.9148,13.2848,10.7851,14.4498,12.3461,4.7537,"2"
12.3869,8.4071,5.6005,7.8646,4.9465,11.2546,5.5279,10.3847,9.0089,10.2946,"1"
11.8751,7.9059,8.922,11.5611,8.1142,3.8936,10.2249,13.9413,12.0361,2.0104,"2"
12.2129,7.6896,9.7447,12.3547,11.5898,13.0779,10.4605,14.3246,12.7646,3.1339,"2"
11.5913,9.9503,3.8208,7.3536,5.4581,7.6037,8.0759,11.2951,8.1965,8.1741,"1"
11.954,7.914,4.5014,8.1917,6.0547,4.7873,5.7232,10.5017,8.736,9.1545,"1"
12.1595,8.425,8.9709,13.2489,8.3222,5.1807,9.9662,13.7316,11.845,3.266,"2"
11.9564,6.838,4.998,8.9833,7.5481,10.4618,8.1141,11.9141,10.8705,8.1018,"2"
12.1499,7.8347,9.0212,13.0124,11.6878,4.2508,12.5177,15.222,13.3811,1.3298,"2"
11.8839,7.0411,4.368,8.5951,7.624,4.1427,7.9319,11.3661,10.0212,9.7757,"1"
12.7356,7.8143,8.5372,13.0147,9.8576,11.3314,10.8802,14.1921,13.1573,3.5209,"2"
12.1771,8.3576,11.019,12.4514,7.0101,4.5951,11.7911,14.4429,13.6726,0.9008,"2"
11.6306,8.7054,10.3132,13.1648,10.9327,3.9548,11.4665,14.8381,12.805,2.3728,"2"
12.1274,8.7217,4.2482,7.2934,6.4378,6.0273,6.9991,10.9706,8.1995,7.6396,"1"
12.5949,7.8179,10.9903,11.514,12.9019,7.6637,11.5206,14.6411,13.3285,2.8214,"2"
11.0304,7.6113,7.3388,10.5752,6.2417,4.2041,9.374,13.0389,12.0188,4.3842,"2"
12.4597,7.7361,10.4579,12.9474,9.3094,10.495,11.0125,14.4864,12.5319,4.381,"2"
12.1696,7.7427,9.7538,12.5366,12.5,5.1272,10.4784,13.9689,12.3395,2.4005,"2"
12.4202,7.8715,8.6446,12.2221,9.1604,11.7491,10.0836,13.8432,12.829,5.5252,"2"
11.9979,7.7001,11.0725,13.6248,6.9684,9.7339,11.1768,14.191,13.6042,2.07,"2"
11.9181,6.8594,9.2554,11.4629,11.0155,11.73,10.2244,13.8913,11.8887,3.3747,"2"
11.9971,7.1246,8.7978,12.0708,9.4397,11.5165,9.932,13.8067,11.2556,4.5574,"2"
11.8023,7.8182,9.4939,11.3971,12.4601,10.0918,10.9843,14.3569,12.8832,2.4756,"2"
11.4574,8.0488,8.5265,13.2511,10.5182,4.3181,10.7429,14.808,11.7287,1.7527,"2"
11.9181,7.389,4.8506,12.1679,8.962,8.0387,11.1496,14.0629,12.2949,1.2091,"2"
11.7012,7.7375,10.9406,11.8665,8.781,4.429,10.415,14.0113,13.1773,1.9382,"2"
11.9795,7.9905,9.1084,12.3368,8.241,3.9523,9.9737,13.6365,12.7605,2.6365,"2"
