"201555_at","202683_s_at","203139_at","205229_s_at","205751_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
10.5388,8.0626,9.9106,8.0521,6.5406,9.5982,5.6327,9.5125,10.2043,"2"
10.1804,8.5283,8.3011,5.5413,5.4808,9.5689,6.4512,10.9302,10.5386,"2"
9.7414,8.8818,8.8134,6.6512,6.4894,9.4933,6.6187,9.8738,9.5736,"2"
10.6784,8.8102,9.7061,6.9183,8.0514,8.9333,6.1241,8.5828,7.1506,"1"
10.2872,8.8178,8.7764,6.4985,2.8618,10.044,4.9612,10.7663,9.7678,"2"
9.971,8.9657,9.7097,9.2418,5.4719,8.916,6.3888,8.312,8.9952,"2"
11.3858,9.5847,9.9307,9.1681,7.662,9.2633,4.5178,6.6097,8.0624,"2"
11.2473,9.396,9.3468,7.7156,3.3061,8.3582,5.5881,8.9915,8.2192,"1"
9.7646,8.2116,9.2267,6.9985,3.7318,9.6738,9.344,10.5188,9.2433,"2"
9.3936,8.9714,8.8209,6.217,5.6378,9.0088,8.6112,9.2655,9.3554,"2"
9.8132,9.7897,9.3846,6.4983,6.7129,9.1828,6.4709,9.6002,9.69,"2"
9.6172,9.2809,9.1584,6.9902,6.8895,10.25,7.1348,10.1093,10.8367,"2"
9.7439,9.3533,9.9282,7.6526,6.4521,8.021,8.4683,9.0219,8.1451,"1"
11.7024,8.8077,9.5278,7.7563,6.8028,8.2877,5.187,10.1222,8.4804,"2"
10.7528,8.5953,8.0395,6.7533,5.3719,9.5458,5.0588,9.9928,10.34,"2"
10.5929,8.404,9.3293,9.1308,6.5476,8.8484,4.7105,8.5897,7.9836,"2"
9.6352,9.0844,9.1309,6.2076,5.2005,9.5123,4.5759,9.1775,10.6483,"2"
10.6535,8.7151,9.7226,8.0398,5.503,9.0311,6.5023,8.9805,8.5319,"1"
10.1827,9.1852,10.3948,6.7111,6.1203,8.425,9.0735,7.7709,8.5892,"2"
10.1311,8.7934,8.2162,7.256,6.3451,9.0205,4.0993,9.0986,9.8961,"2"
10.4069,9.6754,10.4546,7.975,7.6142,7.9348,5.315,9.4969,8.6072,"2"
9.9425,8.9794,9.6038,7.2861,6.2785,9.066,8.6689,9.947,10.1541,"2"
9.9246,9.732,9.2316,7.2516,6.829,9.1481,7.2983,9.9427,9.9988,"2"
10.1045,8.3362,9.7305,7.103,7.2013,9.0941,9.0033,9.2526,8.9726,"2"
10.2922,9.1888,9.7847,8.4748,6.7483,9.1704,4.8235,7.848,7.8557,"2"
10.7976,9.5305,9.6846,7.3768,7.4123,8.6767,7.1927,7.0598,7.6429,"2"
9.9193,8.4065,10.3689,5.4621,6.0104,8.4339,6.4955,10.0147,9.0188,"2"
11.1067,9.0967,9.755,6.3084,5.9168,8.0023,4.4449,8.6222,8.3968,"2"
10.2627,9.0406,9.6663,4.0896,7.3701,10.2698,6.0858,9.9791,10.4383,"2"
10.1205,9.126,8.4742,7.5368,6.5208,9.7947,7.2707,10.4644,10.3444,"2"
10.5694,9.1328,9.5024,7.7206,6.9684,9.5053,9.365,7.8027,9.7632,"2"
10.5091,9.7022,9.2025,4.2145,4.4373,8.6987,5.73,8.873,9.5601,"1"
10.4853,8.6979,9.1493,6.6419,4.341,9.2852,8.4235,8.0089,9.9723,"2"
11.7161,9.0326,9.2057,8.2667,6.7453,8.6884,5.9387,9.5963,9.2066,"2"
10.7116,8.814,10.6,4.2233,5.7208,8.5107,4.525,7.7963,7.5665,"1"
10.201,9.5662,10.2846,7.5634,7.1759,9.4734,5.2535,9.4279,8.732,"2"
11.1944,8.8981,8.1836,8.6401,2.8199,3.4689,9.9444,7.049,8.6512,"1"
10.1557,8.4416,8.3288,7.0754,6.2132,9.3536,9.7407,9.5046,9.74,"2"
10.9253,8.2546,10.1838,10.1872,6.5668,7.5242,4.4128,9.5055,8.8986,"1"
10.1983,8.8814,8.5274,6.1234,6.5325,8.2889,6.6454,9.1399,10.1036,"2"
9.8452,9.0486,9.3554,7.6317,6.9933,8.6652,6.9586,8.8011,9.6737,"2"
9.1121,8.8423,8.6908,6.8471,4.3638,10.4276,5.3078,10.5573,9.5547,"2"
9.3665,8.6827,8.3987,6.0145,5.8975,8.4628,4.9031,9.3414,9.7951,"2"
11.1404,8.3331,8.9443,7.3455,5.4147,9.457,6.3533,8.7124,8.3089,"2"
10.4456,9.231,9.7465,7.7528,4.5862,8.9888,5.6931,8.8833,9.4175,"2"
10.5987,8.9036,7.9255,6.7416,5.962,9.4484,5.2135,10.7546,10.3948,"2"
10.7568,9.2716,8.1558,6.2023,3.0726,8.665,4.0775,8.0037,7.7106,"2"
12.086,9.0063,10.1437,10.2194,7.6041,7.0171,4.0082,8.2511,7.6074,"2"
9.8688,8.8268,7.9162,4.4339,5.2699,9.3027,5.2023,10.5106,10.1647,"2"
10.0665,8.9819,8.2061,6.7313,6.1943,7.8627,4.3883,6.9787,10.0524,"2"
9.8911,8.683,7.6204,5.8631,5.4456,9.5811,4.2696,10.4108,10.2925,"2"
10.3435,8.9132,8.7482,5.5598,3.8803,9.2101,4.5864,9.2604,10.0256,"2"
10.258,8.8511,9.427,6.5959,5.3418,8.9967,4.2323,8.6816,8.4964,"1"
9.8626,8.7207,9.1844,6.6642,7.6633,9.1719,6.845,9.4363,9.8628,"2"
10.3334,9.013,9.3983,7.0785,7.5268,8.2545,4.6656,9.1308,9.9313,"2"
10.7116,8.2951,9.3087,8.133,6.0372,6.3564,8.8595,9.2521,7.5391,"1"
10.5117,9.2731,9.7611,9.1292,7.0657,8.3016,6.2286,8.7785,8.6541,"1"
10.251,8.7815,9.6669,7.5407,6.8215,9.4975,5.1268,9.0341,10.2116,"2"
10.3313,8.6359,8.9769,6.6465,6.9307,8.7781,11.0029,9.6161,9.6518,"2"
9.7521,9.134,8.5396,5.8006,6.2648,9.2935,7.5715,9.4143,10.365,"2"
10.6242,8.4841,9.7804,7.5177,6.9738,9.3368,5.6745,8.4886,8.3797,"2"
9.5305,8.8401,7.9855,7.7132,6.3605,10.0719,5.3882,10.7189,10.0754,"2"
10.828,8.7175,8.4881,7.4702,5.7264,9.3897,4.7203,10.3335,9.1524,"2"
10.8125,8.7778,6.8216,8.1689,6.6712,8.3276,5.8961,9.4943,8.9102,"2"
11.0857,9.2654,9.7123,7.4517,6.7439,9.3042,4.8696,9.2844,8.6834,"2"
9.8613,9.1256,9.4937,8.3472,5.5979,9.4687,6.1287,10.7548,10.5801,"2"
10.239,9.2367,9.2171,6.9128,6.4278,9.6939,5.661,7.0037,8.3647,"2"
9.9379,9.0848,8.7951,5.2875,6.5943,9.5981,5.7103,9.7464,9.0615,"2"
10.3559,9.802,9.0288,6.7634,7.244,8.469,5.4561,8.9702,9.4801,"2"
10.0374,8.7298,9.6331,7.8758,6.8328,9.0811,5.6585,9.7392,10.03,"2"
9.7018,9.4444,8.8816,7.0884,7.113,9.8545,5.5724,11.6053,10.0893,"1"
10.1254,8.8494,9.6342,7.3516,6.9637,8.881,5.4658,8.2084,10.2134,"2"
9.9156,8.8102,8.9495,7.2108,7.5802,9.2812,5.5095,10.2861,10.7078,"2"
10.1322,9.5611,9.6354,7.5096,7.6008,9.5254,5.2545,9.3068,9.4244,"2"
10.681,9.3899,9.4285,4.8963,4.7707,8.6014,5.7013,6.6258,8.6566,"2"
9.3947,9.0499,9.9223,6.2737,3.346,9.5188,5.2605,9.2876,9.8081,"2"
9.2209,9.1513,9.5413,8.7439,7.5919,9.0708,5.6077,9.6368,9.7423,"2"
10.9649,9.4754,9.4044,7.4622,7.3383,8.7589,4.9683,7.6139,8.8404,"2"
