"V5","V23","V25","V26","V27","V29","V30","V31","V33","V40","V41"
73,63,77,29,28,52,64,68,73,56,73
61,76,72,60,60,65,64,70,68,58,73
68,73,58,56,51,57,71,68,77,72,64
65,72,49,45,35,67,67,64,66,72,66
66,42,43,61,61,73,62,64,37,72,74
67,70,72,56,55,71,69,70,69,80,77
77,75,72,57,43,68,67,67,66,63,58
74,67,72,66,59,69,70,73,74,78,75
65,75,77,33,31,17,39,43,73,36,47
65,79,67,57,51,56,68,63,77,76,64
72,80,67,60,68,68,48,40,74,62,47
69,70,71,62,65,59,69,62,77,71,62
55,71,40,40,19,77,55,56,68,61,62
54,81,76,74,50,66,57,47,51,68,59
58,81,56,42,42,59,62,66,73,70,69
68,65,74,53,61,67,68,72,72,68,70
60,60,60,48,38,36,29,22,54,23,28
71,81,82,71,57,67,62,69,75,71,77
80,77,65,54,54,58,61,64,74,60,65
74,71,53,51,38,72,68,68,71,66,59
73,79,58,63,57,70,72,59,60,68,63
61,79,80,68,63,62,67,63,75,70,64
76,70,66,32,29,56,57,63,72,72,62
74,85,46,31,35,79,58,64,75,69,61
63,74,69,62,55,59,61,48,66,78,67
53,63,62,44,41,45,42,61,51,57,52
69,73,71,62,56,63,65,65,75,62,64
51,82,66,62,65,61,51,25,72,74,40
44,40,35,33,20,38,35,25,51,37,12
63,74,66,60,61,58,47,40,63,60,57
71,63,61,30,14,41,38,36,65,56,58
54,76,68,66,57,62,66,60,66,79,67
48,62,64,54,62,78,70,59,49,72,61
83,86,79,72,58,57,65,53,75,69,65
70,67,75,17,16,44,36,19,72,48,44
73,82,80,55,55,70,65,67,77,67,68
70,69,53,61,56,69,75,66,71,68,63
65,83,69,73,78,83,71,70,63,77,76
84,76,64,48,47,54,62,64,76,67,58
66,74,76,60,52,63,63,61,71,73,68
84,76,76,58,63,62,58,57,77,55,49
74,68,70,61,59,67,69,66,70,66,51
79,74,62,66,63,70,63,60,65,53,62
75,78,73,55,54,68,63,64,77,72,78
75,75,71,74,68,78,71,67,68,79,71
51,67,73,53,44,53,65,61,64,73,77
77,77,61,48,45,54,66,65,78,55,60
67,67,63,65,64,64,62,63,72,62,47
74,78,70,60,60,61,70,65,71,72,66
68,66,75,65,67,55,71,72,75,79,75
70,74,60,56,57,60,61,61,76,76,77
74,75,76,65,64,73,65,70,72,75,80
78,72,79,75,75,64,73,75,74,72,75
77,77,72,66,63,68,69,65,76,73,71
75,72,66,51,51,53,69,63,76,61,59
67,70,67,48,57,68,58,68,75,63,71
72,75,66,65,62,67,64,68,75,53,64
72,71,79,72,76,61,71,68,75,73,68
70,75,68,66,66,56,71,68,75,81,75
62,77,79,74,77,74,67,72,67,73,67
72,78,70,79,75,79,79,78,71,66,68
65,74,65,54,59,68,65,74,78,59,68
74,78,79,69,75,69,67,69,69,75,76
65,75,74,73,71,64,71,70,70,66,69
57,56,67,64,60,60,64,63,66,79,77
68,71,63,65,56,65,72,70,74,77,70
71,80,68,65,62,67,64,67,75,72,70
78,81,72,55,55,57,65,66,74,69,73
72,67,73,67,75,58,58,58,69,65,58
59,75,64,62,64,67,65,66,67,69,57
74,74,73,67,62,69,73,75,76,71,75
72,74,75,70,71,69,67,66,63,76,76
67,69,63,69,63,57,47,52,64,60,62
74,75,59,57,57,67,46,42,68,47,52
73,80,70,58,61,69,65,72,74,45,66
71,69,73,74,73,62,64,70,77,66,68
56,61,44,38,47,68,42,45,62,51,54
70,73,66,70,59,58,67,66,71,70,61
75,75,65,55,51,67,61,64,78,50,59
35,74,60,53,56,59,28,25,67,39,39
72,69,58,56,54,53,51,38,67,68,46
66,64,53,47,35,71,66,67,73,70,61
60,48,61,18,32,26,39,44,64,63,59
62,66,58,42,49,86,59,52,74,67,58
67,72,71,75,76,59,22,15,72,21,22
72,70,70,46,43,51,71,65,77,73,66
74,77,77,61,53,69,59,62,76,67,69
75,74,73,62,46,65,52,36,73,65,48
74,82,69,66,64,71,68,69,72,68,76
44,77,68,64,64,68,38,40,64,47,48
71,64,73,75,74,64,37,40,75,41,43
82,78,61,24,17,61,63,67,74,48,74
72,76,76,65,63,70,60,63,75,73,69
62,77,68,67,75,73,65,67,72,63,66
54,64,64,76,71,64,68,63,62,72,70
69,72,66,72,67,58,73,70,72,76,66
51,63,63,76,67,66,67,63,54,75,71
67,78,68,61,63,70,67,65,69,68,65
79,79,75,65,59,56,63,67,73,70,72
71,78,74,72,80,69,67,67,74,70,67
34,66,49,17,19,42,53,30,9,29,31
40,65,43,23,23,77,48,32,32,43,39
60,69,54,51,47,80,69,48,59,62,53
69,68,69,66,59,40,55,53,63,65,65
76,45,46,64,48,27,65,67,72,72,69
79,65,62,56,48,50,65,63,75,61,65
75,80,72,53,60,58,46,67,84,67,66
70,73,47,43,46,80,73,73,65,64,66
64,69,68,49,44,48,65,68,72,76,73
74,81,69,65,65,75,67,71,74,69,71
76,79,45,49,48,70,64,35,60,71,49
68,67,69,69,78,67,69,61,71,70,61
69,66,75,72,67,53,72,64,77,70,59
59,72,62,63,55,56,65,64,71,77,65
74,63,73,57,63,69,60,66,71,59,66
70,74,65,71,68,64,66,68,75,69,65
66,75,58,58,61,60,59,60,65,73,75
74,70,72,62,63,61,66,66,80,69,62
78,74,58,60,53,58,62,61,72,74,72
71,71,85,71,71,47,42,39,70,76,73
70,80,73,61,67,61,66,68,71,67,66
78,76,67,60,60,63,62,58,77,64,64
66,56,61,73,64,60,66,74,75,61,73
66,61,70,67,63,66,70,70,70,74,76
74,75,75,73,69,61,71,75,77,74,71
70,74,63,66,61,63,74,69,75,71,68
66,81,67,69,68,68,69,64,73,69,68
77,74,73,67,69,69,68,68,74,79,75
74,72,76,65,69,66,64,65,72,77,78
71,81,78,61,62,72,67,67,75,75,72
