"201555_at","201798_s_at","202683_s_at","203139_at","203928_x_at","203963_at","204681_s_at","204825_at","204914_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","211864_s_at","212344_at","212583_at","214164_x_at","214612_x_at","215867_x_at","216092_s_at","218856_at","218862_at","220034_at","Class"
10.6043,12.4564,8.8928,8.0005,7.4149,11.916,8.6237,9.0227,3.6802,7.7381,3.5356,9.1186,2.8687,6.6194,5.3742,7.6448,9.7065,4.5745,7.5242,10.9906,10.9838,7.2641,6.5478,11.9813,6.833,12.217,10.1453,5.9866,10.3149,5.8878,"2"
10.179,10.3349,9.0843,10.0065,5.5583,8.6398,8.0483,10.1624,10.215,10.6476,5.1732,6.0267,1.9372,3.4495,6.0438,5.5551,7.9681,11.3159,6.7369,10.4111,9.2341,5.6085,6.2444,9.5298,3.5181,9.5794,9.2462,6.4745,8.7312,3.401,"1"
9.7768,10.847,8.671,8.2522,9.0413,8.8253,8.3131,7.8425,2.116,8.8222,2.6208,6.1564,7.2473,1.2254,7.8806,8.1616,8.4329,8.1595,6.7025,7.4519,9.3856,8.4594,4.9762,9.7979,4.0635,9.7829,11.0201,6.8297,9.4588,3.923,"2"
11.3627,10.8392,8.4774,10.3578,8.1531,8.6587,6.9096,10.9267,8.3987,9.6485,5.4269,5.2398,3.0084,5.1843,3.3592,7.4557,7.9754,7.3924,7.4059,7.9928,9.2235,4.1423,4.01,9.1679,4.9402,9.5442,8.25,11.4885,9.4357,3.6024,"1"
10.0811,10.6651,8.7929,7.5071,10.9183,11.7422,8.0487,8.0305,3.3158,7.4195,9.8865,6.1592,4.1976,5.6462,10.4562,10.706,9.0115,10.0373,7.1752,11.508,9.8816,7.1565,7.2114,11.8014,5.4404,11.9344,11.1471,6.4027,10.6393,6.6055,"2"
10.9399,11.1003,8.5249,8.1332,10.7598,11.728,8.1944,9.2584,3.3644,7.5515,2.9942,8.2701,1.9739,6.3242,7.0074,10.9245,9.4589,3.7585,6.2301,11.5596,10.0165,7.1925,7.6974,12.0271,5.393,11.8592,10.4007,5.5001,7.7134,2.8204,"2"
9.6737,10.8877,9.3496,8.8334,10.6699,10.3171,8.1527,6.5086,4.2034,7.8687,4.4651,6.3474,8.3189,7.0117,8.6194,10.6312,9.6399,7.4601,7.0723,11.7166,9.8874,11.1151,7.0385,10.4683,4.37,10.5819,9.5301,6.0286,9.7131,3.5271,"2"
10.4243,10.5641,9.0988,9.0063,9.2531,11.356,6.329,8.7244,8.4014,7.8192,3.7401,9.4033,8.3858,7.1863,7.2543,9.0516,9.5235,4.7845,8.592,8.9839,9.5065,8.8724,7.3632,11.6847,6.9447,11.6647,9.6559,9.4644,9.5686,4.5569,"2"
11.489,11.1045,8.7428,9.6055,7.3691,8.3462,7.6082,10.147,6.9427,7.7452,4.4475,6.0849,3.5091,4.9541,1.455,5.2623,8.555,9.9467,7.4676,7.8222,10.1989,6.0757,6.3673,8.8358,5.3537,9.0829,8.6213,10.5669,9.7675,6.7596,"1"
10.7828,10.0689,8.3378,9.2518,6.409,7.7502,8.3982,10.2818,9.8379,9.2266,7.5044,6.1126,7.6023,5.2113,7.0114,6.7671,8.9291,10.2675,11.5765,7.5922,9.2142,7.2754,4.3566,8.3473,10.1724,8.7861,9.9085,9.4318,8.2309,5.2808,"1"
11.1756,9.7689,9.4808,10.3812,4.5157,7.0838,8.0842,11.3874,9.0031,11.3462,2.8789,5.3526,3.1262,7.5126,6.8685,4.5541,8.9693,4.3763,6.2898,6.7856,8.6278,8.7767,4.3464,7.5039,5.6241,8.1038,7.6612,9.2655,9.4998,3.7997,"1"
10.9818,9.501,8.6481,9.7145,7.7143,8.9223,9.2965,9.3234,10.3579,10.9086,9.7345,6.0802,6.5944,2.326,4.725,6.711,8.5741,6.42,6.6771,7.3408,7.8446,4.4879,3.763,9.6233,7.8355,9.7983,8.8773,10.4797,9.775,5.9363,"1"
10.5183,10.7505,8.8667,10.3462,7.4348,8.1957,9.2926,9.1115,8.8849,9.3755,4.9566,5.1908,2.7958,2.1703,0.7312,7.4051,8.9399,8.7184,6.5998,8.4789,9.5701,8.0752,5.0429,9.2567,5.5599,9.3203,7.5883,10.9426,8.6868,6.7768,"1"
10.1097,12.3745,8.8376,8.1674,11.0085,12.1092,7.7931,8.7482,6.3029,7.7963,7.4237,9.3567,9.9649,5.8002,7.4238,11.0641,9.5603,7.1009,6.5574,11.1457,11.2018,9.2471,7.4359,12.2213,3.6112,12.3123,10.5436,7.2106,10.7866,5.2779,"2"
9.8389,10.1102,8.8409,8.5174,8.0426,11.6731,8.0223,8.9516,3.5354,7.5627,4.8151,7.7112,6.3908,5.8737,4.109,7.0907,9.1595,4.9203,7.7768,10.9915,8.7516,7.7074,7.868,11.885,6.1484,12.1451,8.8647,7.0925,10.0058,6.37,"2"
10.3356,10.9478,8.5476,7.8799,10.3173,13.0861,7.2182,9.2962,4.2096,6.3085,3.2367,10.8799,7.9133,4.1024,6.5967,10.205,8.8288,3.8805,6.5813,11.4351,9.5334,9.0934,7.6307,13.5777,2.6299,13.3377,9.6685,6.0669,9.5268,3.686,"2"
10.1426,11.5942,8.8273,8.953,9.4932,12.2741,7.5663,9.2599,3.6442,7.5325,3.2967,10.502,8.402,5.1685,9.1012,9.6662,9.228,8.563,6.5594,11.157,10.4619,9.6082,7.7124,12.6334,6.272,12.4268,9.4151,6.3153,9.5466,2.1582,"2"
10.2234,11.1675,8.9186,9.3156,9.7224,11.9837,6.969,8.861,7.1841,7.3226,6.1233,9.0638,8.4926,6.9631,5.7058,9.1906,8.2561,5.045,8.3669,11.0987,9.925,10.4061,7.7493,12.2108,6.8536,12.156,10.8503,8.2849,9.6403,3.7695,"2"
9.8379,11.3726,9.0872,8.1751,10.4527,12.1658,9.5969,7.1354,3.4054,8.4298,3.5523,9.9024,3.4367,6.941,10.3224,10.6106,9.7086,7.213,6.3773,11.3986,10.0806,6.8467,7.7057,12.3533,3.4303,12.3598,10.232,5.7805,9.4672,3.2054,"2"
10.7093,11.1294,8.6772,10.3661,6.1058,11.7799,8.8394,9.7813,3.9695,8.8431,4.4137,8.8339,10.7881,5.3949,6.6161,6.9617,8.8503,6.5781,7.6234,10.7427,10.0417,9.786,8.0479,11.7466,5.2022,11.7531,9.2289,7.0412,8.6189,3.6005,"2"
10.6596,10.0451,9.3781,8.3005,8.2385,12.0982,8.5111,9.8995,8.1808,9.6022,2.9041,6.5267,6.5252,2.2611,7.4575,7.8234,8.9428,9.9378,6.9117,12.036,8.9259,9.1737,7.4066,12.6511,5.1362,12.4881,9.9047,9.1809,9.8881,5.0134,"1"
11.1921,11.6723,8.4318,8.1621,7.5649,7.3925,7.7967,10.9992,9.4442,8.558,6.2121,6.2507,3.441,6.3584,5.577,7.0607,8.6123,4.1973,4.8272,7.7591,10.7442,7.176,6.4754,7.8891,5.9747,7.8491,8.3375,8.6155,9.0254,3.3009,"2"
10.5659,10.0889,8.8182,9.8878,7.2136,7.9611,8.2888,11.3268,8.1417,7.4041,8.7101,3.6644,4.8939,6.5829,5.638,4.6072,8.3668,4.0311,6.8715,5.3853,8.5207,7.6509,5.0654,8.2866,4.7106,8.7277,8.2948,9.7438,9.5725,5.856,"1"
10.2238,11.4763,8.5136,8.976,10.055,11.8307,7.5869,8.811,3.3113,8.5517,7.9625,9.0476,6.7067,3.2886,9.6608,10.0213,9.3115,7.1212,7.563,10.4631,10.0269,8.7605,7.4383,12.2398,4.2709,12.3237,9.6809,5.0442,9.4968,7.4329,"2"
10.6924,9.6204,8.6583,9.3423,8.3198,8.0296,8.2718,9.5556,7.81,8.2874,5.0039,6.6152,8.0697,6.0104,6.9061,6.0234,9.0937,5.2871,6.5812,7.2157,8.7046,10.9249,6.4938,8.1543,9.708,8.8596,8.3491,10.22,8.675,3.9802,"2"
11.686,9.3804,8.8859,9.2525,6.5081,11.5362,7.7982,10.1972,3.0484,7.3624,8.9875,6.3311,2.8617,2.8318,6.9259,5.0672,8.3819,6.5167,7.7327,9.6384,8.4118,7.0731,6.2201,11.4492,6.4351,11.3998,11.132,9.0296,8.6492,6.281,"1"
10.4251,11.449,8.3075,8.0614,10.1413,12.0082,8.2759,9.282,4.0528,6.9085,2.804,1.9752,6.1982,4.4016,3.7065,10.1324,9.653,3.6254,7.0086,12.2846,10.3397,8.0798,7.0152,12.5708,5.028,12.2942,10.6706,7.7663,10.291,3.5788,"2"
9.3162,12.3482,8.8435,8.752,10.7286,13.321,7.6141,7.6357,4.1443,7.2406,7.1309,11.4275,3.761,6.4676,6.8416,10.8409,9.442,5.2725,7.6883,11.2264,11.4915,7.9097,7.0636,13.7442,3.9293,13.5062,10.1108,7.609,10.8427,4.1771,"2"
11.4136,10.2126,8.1166,9.434,6.7929,8.8828,6.2864,8.1501,8.5338,8.9752,5.7896,6.4629,4.9964,6.6674,5.4935,4.3572,9.8019,10.2591,4.7639,7.164,9.7848,7.6573,6.7262,9.882,8.262,9.9496,8.4253,11.2093,9.2753,7.4273,"2"
9.52,11.8912,8.967,8.0303,10.3902,11.0726,7.3689,8.1192,3.4692,7.352,4.2491,9.3333,7.0111,4.5499,8.7637,9.968,10.7207,6.828,5.8951,11.0791,10.5472,7.9792,7.7437,11.2563,3.1199,11.2328,8.1619,4.5827,10.5976,4.9292,"2"
9.9158,10.5386,8.4002,8.0292,7.1661,8.5622,7.9604,9.082,9.1586,9.2222,8.1078,5.2885,7.0009,5.4407,7.6185,6.9801,10.0824,10.3347,7.6456,7.8118,9.1299,8.9503,6.4894,9.4506,9.6803,9.7074,8.7965,10.6269,7.9881,4.3139,"2"
9.6217,11.591,8.5629,8.1989,10.3217,11.5175,7.0612,7.6574,3.1625,6.5204,3.6617,10.5906,8.0277,5.2043,8.1699,10.0142,9.215,10.1861,6.3235,10.6735,10.0276,7.9975,6.5855,12.0394,4.5713,11.5032,11.1699,5.5114,9.86,5.8753,"2"
10.61,9.2002,8.4951,8.155,6.5788,10.3906,7.418,10.2918,9.7616,9.3941,9.7834,5.9502,1.5564,5.6975,9.7015,6.3512,8.9089,6.0076,12.9893,9.0168,8.0407,7.7853,7.379,11.076,10.3551,11.2002,10.3819,9.2879,9.2165,3.0172,"2"
10.2746,10.1666,8.7774,9.1708,8.0263,11.86,8.3282,9.495,10.1648,8.3357,8.5992,4.6478,5.6778,3.2196,5.1033,4.6829,9.3043,11.3229,8.09,8.0759,9.2956,7.7537,7.3659,12.7615,4.4934,12.6609,8.5291,11.0744,8.4062,7.8791,"1"
9.9329,10.7946,9.7883,9.4519,11.2551,12.4411,7.1954,9.2073,3.4271,5.8788,1.6566,11.7225,6.8589,5.0061,9.153,11.2591,9.4618,8.0512,5.7895,10.629,9.7682,7.9702,7.0065,12.7348,13.0734,12.4754,9.3779,8.8475,10.5581,2.9659,"2"
11.1504,9.8926,9.1798,8.8264,9.4908,11.8202,7.2407,9.0335,7.8617,8.738,8.0919,6.5669,7.6482,3.2306,1.8715,9.2235,8.9624,8.0197,4.584,10.7869,9.2415,9.1804,6.6906,12.2847,4.1718,12.3601,9.2028,9.6037,8.2541,6.8479,"1"
10.4431,10.5845,8.928,6.9247,11.3713,12.7794,7.584,8.0562,2.598,7.14,7.8051,9.0521,8.084,2.0972,6.6523,11.5201,9.0772,5.7283,6.8711,11.1849,10.3272,7.5007,6.2269,13.5292,5.4183,12.9799,10.7669,9.8254,9.6453,5.2182,"2"
10.9864,10.3766,8.295,8.7546,7.1257,11.7608,6.7642,9.2941,4.1335,8.3035,5.4193,8.36,5.9316,5.4513,3.022,5.7484,9.3638,8.6792,5.316,10.725,9.5043,7.1204,7.2096,12.8285,6.0623,12.1248,10.4152,9.2776,10.3876,3.3951,"2"
10.7568,9.8823,8.738,9.7092,10.5685,12.1047,6.5453,9.0568,4.6709,7.0047,2.8216,9.8425,6.165,5.884,3.5645,10.3504,10.0161,7.8143,7.7328,10.7588,9.2139,8.9683,6.5423,13.0173,5.3086,12.5534,9.6138,8.7564,9.6282,2.2915,"2"
10.746,10.6253,8.6235,8.0477,8.5084,9.659,7.172,10.3325,8.2191,9.6089,6.064,5.8142,5.045,1.5661,7.0728,8.545,8.7633,9.6207,5.9061,7.6964,9.6011,6.8081,7.2807,9.9437,12.7349,9.9286,9.6985,10.5702,9.378,5.1767,"2"
10.0589,9.9497,8.2363,8.4711,9.2665,11.8247,4.6442,4.9519,5.9327,6.8058,9.3255,8.0342,7.4501,3.6865,4.5145,9.6946,9.0083,7.6192,7.4206,10.9914,9.4919,8.2639,8.2188,12.2478,7.4224,12.313,10.0585,8.9863,10.7206,7.7178,"2"
9.817,9.7985,8.6368,8.7714,7.1827,13.5149,6.8946,9.1308,6.7932,8.4896,3.5563,8.1563,3.3156,7.5077,6.7996,8.4009,9.6391,4.0978,6.377,9.569,9.3871,7.9995,7.2265,14.0764,7.747,13.9752,9.6836,8.4596,9.978,5.0665,"2"
10.33,11.0316,8.5998,8.9072,10.7871,12.1587,6.8147,8.1911,2.1151,7.8585,9.6145,11.1199,6.4491,5.6695,7.4605,10.4643,9.2203,8.0776,5.0343,11.3047,9.3051,8.3916,7.0214,12.7134,4.99,12.4954,10.4378,8.7941,10.221,5.0226,"2"
9.811,7.8729,8.5449,7.4552,4.7516,9.5252,8.2488,9.2677,3.1704,6.8312,2.0302,10.3665,5.7718,4.348,10.0269,4.8113,9.5516,3.4496,14.065,11.802,6.1981,6.9855,7.2555,9.4755,12.9399,9.8276,7.3782,4.7626,8.9352,2.2354,"2"
10.2067,10.557,9.1222,8.8871,11.6852,11.466,7.9262,9.3697,10.3621,7.9592,7.5025,8.4682,7.6386,2.3524,5.5177,11.4547,8.8533,4.955,7.6382,11.272,9.0731,10.1454,7.0273,11.4074,5.6997,11.7004,9.638,6.4944,10.5464,3.4827,"2"
10.5579,9.671,9.276,10.2481,7.4475,8.0705,7.1119,12.2253,9.8643,11.4876,5.3749,5.9739,1.9308,4.474,6.1337,7.8623,8.5389,6.9049,4.5988,7.3315,7.8601,3.8007,3.9341,8.871,3.3701,9.7538,8.2662,10.4162,9.5494,5.0417,"1"
9.2315,10.7529,8.1839,10.2936,8.0148,9.8024,7.8067,7.237,2.8835,7.6288,12.201,6.0413,7.2137,5.5426,4.8947,8.2559,9.9116,9.7653,7.5637,8.0909,9.7038,8.0536,7.3282,10.6555,4.2551,10.6948,9.9697,10.2274,9.2421,6.26,"2"
10.9098,9.9654,8.7856,9.3524,6.9268,8.3039,7.9046,8.7246,7.7808,10.1479,5.2516,7.034,7.8198,4.4491,7.0648,5.7018,9.8144,6.2948,8.9033,7.3256,8.9279,10.847,8.0923,8.0169,10.2659,9.7164,8.433,10.7216,8.8205,3.861,"2"
10.3201,10.8574,8.8491,8.1271,5.6045,10.7601,7.8069,9.6864,6.185,9.669,7.0723,7.2159,8.5666,3.2666,7.8534,7.9792,9.4136,7.7927,7.6064,10.5622,8.2781,7.179,7.4974,11.6343,4.0126,11.6786,10.0201,10.1084,9.679,3.6252,"2"
9.7802,10.2941,8.6075,8.3285,10.075,11.9975,7.5876,5.5625,6.3967,7.8318,5.9245,7.7447,4.4006,4.4718,7.8907,10.106,9.6731,8.9199,7.7897,11.2837,10.1072,9.9666,8.1716,12.161,6.9715,11.7016,9.5759,8.3039,10.595,5.0437,"2"
9.816,11.0254,8.4654,9.506,10.1494,11.0794,5.975,6.6557,8.3245,8.5883,4.6851,6.8008,8.0786,5.9476,8.0673,9.3415,9.5907,8.6894,7.7395,10.0573,8.9289,8.0563,7.9834,11.8167,5.6317,11.5719,9.683,10.2197,10.1239,4.3096,"2"
11.1873,11.1419,7.7173,8.4719,5.0253,8.9283,7.1708,9.3256,3.7216,6.1013,2.951,5.6869,1.5296,5.5688,4.9308,4.1019,9.5101,6.2424,6.0387,3.7156,10.7234,10.2896,4.6754,9.1091,2.9896,9.4105,9.1729,11.1099,9.45,2.4258,"2"
9.6388,10.5705,8.2919,9.7538,7.5082,10.8238,7.3748,8.765,9.346,9.6316,9.6584,5.4924,7.8113,6.2939,2.2406,7.7174,8.6604,9.1877,7.3692,9.2016,9.1744,5.7351,7.0446,11.3181,11.2042,11.2668,9.7048,10.116,9.1974,6.2694,"2"
10.3642,10.0124,8.5633,8.9305,8.4431,8.2676,8.8658,10.3825,11.3919,9.1566,10.3047,6.9246,3.8454,5.5994,7.0578,8.1461,7.5699,9.7598,6.2425,5.1312,7.8455,8.0575,6.5485,7.8265,11.7917,8.3812,6.924,10.7086,8.9346,3.9608,"1"
10.2285,10.0172,8.6439,7.3983,11.1396,12.189,7.2999,9.5374,7.568,8.0291,7.4989,6.5489,6.4839,6.5803,7.2947,11.0142,9.3315,3.7908,7.4459,10.78,9.6596,9.1306,6.962,12.7039,3.161,12.5347,9.4629,9.8296,10.7166,2.2574,"2"
10.8789,9.9128,8.806,10.8184,6.9962,7.8912,8.0636,9.2367,7.491,7.5396,4.5853,5.073,8.4809,6.1573,5.7989,5.7297,9.401,5.5649,5.3848,6.9875,8.6651,8.8307,6.7101,8.643,10.2126,7.2726,8.8685,8.4,10.1094,4.2801,"2"
10.6276,9.4474,9.2801,8.092,8.4841,14.8948,6.9479,7.801,2.6233,9.1267,4.1577,7.3047,7.1223,5.2914,8.4435,9.0803,9.2177,10.3221,6.5565,11.9385,8.3043,8.4093,3.7228,14.8983,6.0534,14.7284,11.0616,7.6912,9.8052,4.2887,"2"
11.0685,9.6993,8.8977,11.0269,7.6086,8.0651,7.6103,11.1335,8.6851,10.4564,4.7545,6.9371,5.4968,6.1338,5.5493,8.5133,7.6196,4.1918,7.0727,4.6863,7.6332,7.6949,3.678,7.6351,7.3395,8.368,8.6025,9.9598,10.9711,4.3681,"1"
10.4298,10.3439,8.7418,8.4891,5.4388,11.073,6.3526,8.4018,4.6909,8.236,3.7116,4.0235,8.8632,7.1928,7.1977,7.0578,9.2631,6.5365,9.5248,10.4262,8.5344,8.4899,6.2267,11.6794,5.0225,11.4289,9.7235,6.4898,9.1909,2.654,"2"
10.9094,10.5088,8.0082,8.0826,7.7315,12.2047,7.4021,9.9298,7.6018,7.4525,6.8043,6.1919,10.8606,3.1448,2.356,5.7798,8.4697,8.1365,5.3337,10.7034,9.8524,8.8269,8.1797,12.4894,10.7462,12.607,10.0368,9.5014,7.8205,5.3963,"2"
10.714,11.1631,8.6293,8.4615,11.6023,11.9398,6.4912,8.0873,4.2122,6.9834,4.4069,8.8655,8.6953,5.7268,8.4588,11.1965,9.1321,6.485,7.3663,11.411,9.6625,9.229,7.4839,11.9407,2.8561,11.9018,10.3452,8.0587,10.1903,2.8336,"2"
10.4104,9.7103,9.3621,7.7771,10.0368,11.6818,6.8623,8.6014,6.036,7.4951,3.2286,9.2631,4.47,5.8052,6.6774,10.0359,9.1687,5.3173,7.3806,11.0567,7.1339,8.2074,7.3763,12.1756,7.5677,12.22,9.6254,9.6021,11.0799,6.6689,"2"
11.1706,9.614,9.3352,9.3584,5.9694,7.8811,8.5453,10.7522,7.7127,10.3083,8.1332,6.2014,4.5433,5.4275,3.6613,6.7518,8.831,4.6463,10.684,7.2876,8.7582,7.8457,7.3187,7.7479,5.3017,8.15,7.5825,10.3866,9.0904,6.3371,"1"
10.1161,11.5588,8.877,9.1047,9.6598,11.8006,7.066,8.1237,6.5249,7.167,5.4205,7.4522,10.4472,4.5104,6.9834,10.0016,9.3431,5.071,7.7367,11.3628,10.1595,9.4262,6.1912,12.7763,4.512,12.555,10.7937,10.4336,10.4184,4.6611,"2"
10.6367,9.4918,8.7834,7.2354,7.7287,10.976,6.4127,9.5552,4.7482,7.7138,4.051,9.9353,8.9201,6.7638,7.9041,7.6172,9.4796,4.5768,4.3371,11.0086,8.5304,9.2302,7.4982,11.213,6.6647,11.431,7.3458,8.4025,10.0365,3.8594,"2"
10.0111,10.4332,8.0939,8.3784,5.2444,13.7843,6.9681,8.7584,3.7563,8.4992,5.4706,8.1755,5.4284,3.0322,9.7135,5.5155,9.2987,4.708,6.5872,11.2769,8.8844,7.6881,6.471,14.4136,5.9481,14.1152,8.8805,7.8636,9.1649,3.7899,"2"
9.6214,11.4016,8.5245,8.2776,9.4403,10.6024,8.4536,7.6291,7.732,8.1205,8.3963,7.6299,4.8372,5.4867,5.4392,10.0675,9.1619,10.8215,7.6107,10.3587,9.8719,7.5853,7.101,11.5448,3.7314,11.534,9.5386,9.7427,9.7827,5.7713,"2"
10.119,11.0338,8.8456,9.118,10.7161,12.1372,5.7602,8.4941,5.182,7.7738,7.64,7.5933,6.6906,4.1307,9.6113,10.5054,8.6631,6.4988,7.9264,9.6543,9.5176,10.4869,7.4952,13.1194,4.7241,12.7516,9.7613,9.2178,9.7191,5.8909,"2"
10.3989,10.322,9.5136,9.4682,8.9923,9.3087,8.4912,8.8775,8.6779,9.6076,9.7648,6.738,5.4038,3.3941,7.8205,7.0226,6.1638,8.7133,7.0875,8.9991,8.8454,8.2482,6.5454,9.708,7.4162,9.9146,8.9393,10.0452,6.6149,6.9688,"1"
10.3797,7.4328,8.9422,8.6879,6.4722,7.4954,7.4562,8.4085,4.0814,7.1096,3.5697,6.3667,2.9544,6.4202,4.834,5.5951,9.3874,6.3851,7.9848,6.966,4.7031,4.8915,6.3933,8.2237,6.3355,8.3414,8.5461,9.5231,8.2473,5.9286,"1"
