"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","201508_at","201555_at","201798_s_at","201930_at","202683_s_at","203139_at","203625_x_at","203628_at","203928_x_at","203963_at","204508_s_at","204667_at","204681_s_at","204822_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206391_at","206401_s_at","206793_at","208670_s_at","208712_at","208893_s_at","209173_at","209560_s_at","209603_at","209604_s_at","209942_x_at","210735_s_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","214164_x_at","214612_x_at","215432_at","215609_at","215729_s_at","215867_x_at","216092_s_at","217257_at","218211_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","220034_at","220773_s_at","221704_s_at","222256_s_at"
11.1349,7.6111,8.7835,11.1829,6.7063,9.6152,7.6511,10.1897,9.9683,9.4536,8.5682,9.5816,8.5672,8.7482,8.6564,10.975,9.0767,10.4686,5.6522,7.4228,8.2958,5.0531,12.4562,6.3837,7.4083,8.7115,6.3237,7.5548,4.6883,3.2755,5.181,8.9017,8.618,5.6507,9.253,9.5579,9.3808,12.2194,6.9034,10.0288,14.088,6.437,10.7399,8.772,8.612,6.9287,3.5067,12.4273,11.9349,6.9196,8.0266,4.0814,5.2469,12.0586,9.5618,2.9182,12.0541,11.0891,9.1809,8.7606,8.3161,9.1717,6.5528,7.5869,8.0248,5.1925
11.8757,8.0035,8.1103,10.6567,5.7084,8.7424,10.7154,11.135,9.3501,10.7635,8.6604,8.304,10.0612,11.4914,8.5152,10.7894,8.8618,10.6073,8.1933,8.8704,10.2055,9.7108,12.2024,10.5185,10.0071,4.0478,9.9414,6.3082,2.1806,6.2579,2.5879,3.8307,8.3769,6.9576,8.1136,12.6188,5.0468,12.7413,6.4177,10.9478,14.6333,8.2382,9.7376,7.9844,8.1047,4.4384,4.3931,12.4745,11.1997,7.3174,3.722,5.5159,3.9259,11.2566,8.7275,5.5625,12.9254,12.4416,7.9257,10.035,9.5219,8.4103,6.1829,6.5969,9.0127,4.3361
12.6326,8.3098,7.4773,10.4499,6.2087,8.9361,7.5828,10.5686,10.704,10.571,8.7974,7.9712,8.8118,7.6174,8.3645,9.2444,7.2568,10.4597,9.3327,7.8802,9.0139,10.5103,7.987,5.8487,9.2506,10.9115,6.4253,8.4364,3.8238,7.3116,3.0908,4.3715,8.0774,8.5624,8.6673,10.7266,9.6696,11.9726,7.0161,8.886,13.2361,5.6848,9.0941,9.2198,9.495,7.7082,3.2395,10.9061,9.802,5.4143,4.0008,2.6519,5.8684,9.8661,9.7697,6.3706,12.8248,10.5185,10.5549,8.6279,9.7687,6.1511,6.5667,7.2619,9.5533,5.0226
12.5807,8.0104,7.5885,10.1383,6.7935,9.2063,9.3184,10.2337,9.4685,10.1043,9.1983,9.0914,8.8104,8.2848,7.677,10.8107,8.201,10.0623,8.3981,6.4018,8.9473,4.9466,10.1026,4.2645,6.3837,7.9034,5.1879,9.5474,4.0047,6.9799,2.7015,7.2039,6.4595,13.2007,8.5376,12.8134,10.688,12.5589,6.4264,10.1557,14.1058,6.9406,9.6425,7.8811,8.5059,5.3406,5.9804,10.9066,10.9737,3.3469,3.8138,6.7197,5.6927,10.931,8.8687,6.7925,13.1699,10.1134,9.6717,7.9186,9.7579,7.4243,3.5997,7.2842,8.8195,4.9062
12.4304,7.6919,8.0937,10.1545,5.2033,8.8423,8.6862,10.2255,9.6554,10.5798,8.9442,7.7525,8.6502,6.3248,6.5244,10.3061,8.4555,10.4928,7.525,7.8194,9.3343,4.9721,8.0999,6.9088,7.2145,7.2613,6.1162,6.7426,4.4955,7.261,4.3351,6.8769,4.9002,8.7889,8.8444,10.8236,11.2491,12.1779,6.0344,9.0275,12.722,6.6127,9.4931,7.6334,8.2585,5.9449,4.422,10.6692,10.8545,5.501,3.1495,6.3237,2.1542,10.7828,8.2961,5.9431,13.3308,10.5153,6.7234,6.1713,8.348,6.6081,4.0618,6.5981,9.8511,6.3075
11.9454,7.4614,8.4695,10.7476,4.7954,8.6858,8.6876,9.3428,10.9245,9.6344,8.9176,9.6027,9.0222,7.8213,9.3462,9.284,5.8544,10.0668,8.3388,7.8346,10.0021,10.4273,8.5567,6.899,8.9599,9.6388,2.4784,9.596,6.4841,4.9777,3.3823,5.5338,8.9199,7.2615,7.3558,8.7205,4.9197,13.0221,5.9522,8.4549,12.5708,7.445,8.8212,9.5882,9.5647,7.2319,2.8807,10.2593,10.1915,4.4655,5.1367,3.8667,3.3872,10.5213,9.0413,7.2064,12.1957,10.9975,9.6038,9.0809,9.2747,8.3101,6.7558,6.069,5.3254,5.6486
12.1154,7.9201,6.207,10.5313,5.2639,8.59,10.017,11.5675,11.1908,11.6979,9.0899,9.5148,9.7029,10.7013,8.1382,10.3446,7.7363,9.8205,9.0957,9.3063,11.4325,8.1355,10.7157,7.1564,8.1346,6.7973,5.6437,3.8133,5.8432,8.7999,2.7149,10.9068,8.3074,7.1318,8.4846,8.0605,4.5694,11.9956,7.4149,8.9255,12.6522,6.605,10.0638,10.1424,8.0389,7.547,6.7753,11.99,10.8192,5.9304,3.7694,6.5189,9.8497,10.7924,8.8514,5.4597,11.7831,10.4554,10.0903,9.3209,6.883,5.6502,5.9786,8.15,7.843,4.8064
11.9077,7.6548,9.1468,11.5483,7.6554,7.8311,8.0961,10.2344,10.4369,9.6124,9.248,9.5171,10.1363,6.6642,7.7369,8.508,5.4881,8.1093,6.7644,8.6207,10.7551,8.1079,8.5834,7.4084,9.6133,4.3896,6.4871,3.6812,6.6251,6.9349,3.9018,10.4966,7.585,8.7893,8.6838,9.8031,6.339,4.7856,8.4058,8.068,10.8359,6.5089,8.9721,9.6206,9.074,7.5022,4.2654,8.9875,8.7484,7.2942,5.7886,9.2,8.4034,9.3723,8.957,4.9374,10.5645,9.3621,8.2963,9.8252,6.7185,6.5946,4.4349,6.9762,7.5462,4.5856
11.8592,8.7641,6.7698,10.6987,4.7912,8.5815,10.2777,10.9565,10.8567,10.6784,8.7792,8.0143,9.866,9.6999,10.0494,12.0857,10.3608,11.1903,6.3047,8.8449,10.1406,6.2449,12.8623,6.7249,7.3622,3.1396,10.0839,2.9578,5.8076,6.0788,2.422,3.0625,9.7653,7.7183,8.1874,10.8215,4.4572,12.4992,7.0201,11.4367,14.664,6.8617,11.9763,9.4938,11.4288,4.6239,1.3053,11.6637,12.8061,5.1278,4.0769,4.9473,2.3699,12.5183,8.8968,0.6034,12.4996,12.541,9.1022,11.6778,9.4973,8.4474,2.6589,8.6731,7.28,4.3311
12.0612,8.3111,8.0799,10.6865,5.6633,9.3624,9.7021,10.2032,11.7043,9.4155,8.5043,8.2271,8.1485,10.5476,10.4272,12.6455,10.4822,11.5188,8.2889,7.186,7.9566,2.6181,13.764,6.7412,7.5825,5.9173,10.2329,4.1856,4.9222,8.0772,3.3263,3.4061,10.7203,7.368,9.7715,9.6503,7.7039,12.7371,7.5959,10.3884,14.508,4.2952,12.0741,10.2837,8.7721,7.6018,6.144,13.9558,13.1942,5.3933,4.239,5.0511,1.7151,12.9994,10.1147,5.8991,13.903,12.5266,8.0118,9.5801,9.3241,6.8787,4.052,7.3862,7.8865,8.2076
12.7259,8.4282,8.3729,10.7377,6.5928,8.8756,10.9105,10.6043,12.4564,9.9436,8.8928,8.0005,9.303,10.3318,7.4149,11.916,9.5693,10.692,8.6237,7.5356,9.0227,3.6802,11.444,5.7812,7.7381,3.5356,9.1186,2.8687,6.6194,5.3742,4.5573,6.5231,7.6448,7.5745,9.7065,12.2449,4.5745,14.6533,7.5242,10.9906,14.3534,4.1054,11.0802,10.9838,7.2641,6.5478,5.9103,13.1016,11.9813,6.833,3.9947,6.3892,4.4885,12.217,10.1453,3.2611,13.6199,10.0633,5.9866,10.3149,9.5304,8.3183,5.8878,7.1299,8.1206,6.5372
12.3641,8.9391,7.882,10.1676,5.9152,8.0743,5.044,10.179,10.3349,11.2763,9.0843,10.0065,9.0074,4.6809,5.5583,8.6398,6.3788,11.1752,8.0483,8.4154,10.1624,10.215,7.4728,5.8082,10.6476,5.1732,6.0267,1.9372,3.4495,6.0438,6.9393,6.0677,5.5551,8.4124,7.9681,9.5906,11.3159,12.0081,6.7369,10.4111,13.6927,5.5924,8.6477,9.2341,5.6085,6.2444,4.7975,11.971,9.5298,3.5181,3.1359,5.6877,3.8248,9.5794,9.2462,6.1148,12.8277,9.4642,6.4745,8.7312,7.5159,7.3714,3.401,7.2553,9.5583,4.6163
12.0602,8.6066,7.6073,10.6249,6.8988,7.933,7.7515,9.7768,10.847,9.6327,8.671,8.2522,8.3637,7.168,9.0413,8.8253,6.2395,10.544,8.3131,6.9401,7.8425,2.116,8.4135,5.8388,8.8222,2.6208,6.1564,7.2473,1.2254,7.8806,6.5284,3.3573,8.1616,6.7426,8.4329,8.4438,8.1595,10.4745,6.7025,7.4519,10.2794,5.0773,8.9561,9.3856,8.4594,4.9762,2.396,9.7345,9.7979,4.0635,12.2449,4.4831,5.049,9.7829,11.0201,5.0199,13.3931,8.2852,6.8297,9.4588,8.0183,7.0716,3.923,7.965,9.1479,5.3459
11.281,8.6218,8.3951,10.6988,6.4474,8.9903,7.2746,11.3627,10.8392,10.1274,8.4774,10.3578,10.1748,8.3783,8.1531,8.6587,4.7333,7.3275,6.9096,7.976,10.9267,8.3987,6.8669,8.3626,9.6485,5.4269,5.2398,3.0084,5.1843,3.3592,6.1483,8.5272,7.4557,7.1809,7.9754,7.4293,7.3924,3.8255,7.4059,7.9928,11.3702,5.0796,7.6934,9.2235,4.1423,4.01,5.5162,9.3805,9.1679,4.9402,2.9609,5.0983,7.03,9.5442,8.25,5.7702,9.7824,9.4746,11.4885,9.4357,6.3887,4.951,3.6024,7.657,8.4677,5.2175
12.5553,7.4527,8.5629,10.3224,6.174,8.7361,10.4442,10.0811,10.6651,9.1083,8.7929,7.5071,8.8289,10.3855,10.9183,11.7422,9.3072,11.3218,8.0487,6.6961,8.0305,3.3158,14.2366,5.9812,7.4195,9.8865,6.1592,4.1976,5.6462,10.4562,2.7421,4.0097,10.706,6.4868,9.0115,9.9654,10.0373,12.5434,7.1752,11.508,14.4045,5.2227,10.4727,9.8816,7.1565,7.2114,3.0078,13.1174,11.8014,5.4404,7.3046,4.3573,3.5265,11.9344,11.1471,2.6299,13.9804,12.111,6.4027,10.6393,10.1672,5.1858,6.6055,7.9731,7.4399,5.2219
12.2333,7.8985,7.4182,10.2844,5.0717,8.3558,10.7909,10.9399,11.1003,10.9383,8.5249,8.1332,8.7501,9.9131,10.7598,11.728,9.7793,11.1973,8.1944,8.4478,9.2584,3.3644,13.7238,6.6363,7.5515,2.9942,8.2701,1.9739,6.3242,7.0074,2.3907,3.3543,10.9245,6.8333,9.4589,12.59,3.7585,14.0505,6.2301,11.5596,14.3113,4.7089,10.7946,10.0165,7.1925,7.6974,4.6056,13.7972,12.0271,5.393,4.842,2.3248,1.9596,11.8592,10.4007,5.547,13.3102,10.3827,5.5001,7.7134,10.883,9.8618,2.8204,6.9365,8.0286,6.4472
11.8859,7.5916,7.0778,10.6391,6.5024,9.3544,9.1808,9.6737,10.8877,8.8552,9.3496,8.8334,8.9958,9.1156,10.6699,10.3171,8.1056,10.5357,8.1527,6.5448,6.5086,4.2034,11.4232,6.2017,7.8687,4.4651,6.3474,8.3189,7.0117,8.6194,4.8861,9.2536,10.6312,7.419,9.6399,9.7057,7.4601,12.0435,7.0723,11.7166,14.7897,5.0297,9.9596,9.8874,11.1151,7.0385,1.3336,13.2411,10.4683,4.37,6.7592,6.9133,1.7007,10.5819,9.5301,5.1853,13.135,11.6894,6.0286,9.7131,9.9682,7.8036,3.5271,7.823,7.6739,5.1381
12.1708,7.8654,8.1378,10.9722,6.3551,8.1934,10.7339,10.4243,10.5641,9.0937,9.0988,9.0063,8.767,8.7747,9.2531,11.356,8.7031,10.6694,6.329,8.0732,8.7244,8.4014,11.3391,6.2836,7.8192,3.7401,9.4033,8.3858,7.1863,7.2543,4.8133,8.4396,9.0516,5.4829,9.5235,9.3675,4.7845,13.3049,8.592,8.9839,13.169,6.8618,10.3508,9.5065,8.8724,7.3632,8.2071,12.5047,11.6847,6.9447,5.2233,6.6476,6.2134,11.6647,9.6559,6.2398,13.3526,11.6335,9.4644,9.5686,9.8368,8.5605,4.5569,7.8715,8.2502,5.4672
12.8908,8.094,9.3695,10.7094,3.5129,9.282,8.6288,11.489,11.1045,11.3228,8.7428,9.6055,9.1484,4.9963,7.3691,8.3462,4.5763,7.3697,7.6082,9.5189,10.147,6.9427,8.4676,6.8129,7.7452,4.4475,6.0849,3.5091,4.9541,1.455,7.3277,13.0265,5.2623,8.1117,8.555,8.393,9.9467,2.7363,7.4676,7.8222,12.1343,6.7576,8.6782,10.1989,6.0757,6.3673,8.5389,8.9354,8.8358,5.3537,4.7941,3.381,10.3828,9.0829,8.6213,6.7298,11.29,9.5097,10.5669,9.7675,5.3568,7.1697,6.7596,3.4792,8.9207,5.6151
12.0125,8.3706,7.5099,10.5047,6.609,8.3223,8.4517,10.7828,10.0689,9.7566,8.3378,9.2518,9.3154,6.7392,6.409,7.7502,4.1328,10.5331,8.3982,8.0543,10.2818,9.8379,7.6136,6.9092,9.2266,7.5044,6.1126,7.6023,5.2113,7.0114,4.0866,8.2765,6.7671,10.3456,8.9291,4.942,10.2675,12.1989,11.5765,7.5922,11.4554,10.8144,7.4385,9.2142,7.2754,4.3566,5.5409,10.5317,8.3473,10.1724,4.7086,6.4407,1.8945,8.7861,9.9085,6.2971,12.5725,11.5272,9.4318,8.2309,7.3035,7.6041,5.2808,7.21,9.1773,5.5858
11.1958,8.5326,8.0492,10.1873,4.7842,9.0845,7.9887,11.1756,9.7689,11.8099,9.4808,10.3812,10.0292,7.6927,4.5157,7.0838,4.7115,7.3272,8.0842,9.0162,11.3874,9.0031,8.4559,10.5168,11.3462,2.8789,5.3526,3.1262,7.5126,6.8685,4.3168,9.0895,4.5541,7.1284,8.9693,8.5806,4.3763,3.0943,6.2898,6.7856,10.1851,5.0131,7.6504,8.6278,8.7767,4.3464,1.1651,10.1753,7.5039,5.6241,2.2424,5.1409,10.5956,8.1038,7.6612,5.5676,9.3217,7.8797,9.2655,9.4998,6.8864,7.0328,3.7997,5.8366,8.6077,4.4848
11.5379,8.6753,7.9931,10.5404,2.4833,9.0678,8.4881,10.9818,9.501,10.5525,8.6481,9.7145,10.1653,7.1012,7.7143,8.9223,5.852,7.7178,9.2965,8.8914,9.3234,10.3579,7.8963,10.513,10.9086,9.7345,6.0802,6.5944,2.326,4.725,6.5715,12.1185,6.711,5.0023,8.5741,8.7624,6.42,8.6453,6.6771,7.3408,10.699,9.1603,8.5991,7.8446,4.4879,3.763,7.165,9.7544,9.6233,7.8355,3.9869,3.1245,8.0793,9.7983,8.8773,5.9175,9.7689,8.9031,10.4797,9.775,8.8829,7.2091,5.9363,7.9782,8.5834,3.837
12.2426,8.6863,9.017,10.358,3.8942,8.1464,8.1943,10.5183,10.7505,10.3358,8.8667,10.3462,9.0051,8.0613,7.4348,8.1957,5.6595,8.1495,9.2926,8.4839,9.1115,8.8849,8.15,7.8297,9.3755,4.9566,5.1908,2.7958,2.1703,0.7312,5.3541,11.9998,7.4051,7.2126,8.9399,10.0643,8.7184,6.9472,6.5998,8.4789,12.1241,3.8801,7.985,9.5701,8.0752,5.0429,9.9379,9.7492,9.2567,5.5599,3.385,6.9445,10.2683,9.3203,7.5883,6.2794,9.9266,8.4921,10.9426,8.6868,4.4204,7.0028,6.7768,7.6245,8.7103,4.1544
11.7422,8.3868,7.0016,10.2935,6.3874,8.5742,12.1223,10.1097,12.3745,10.1268,8.8376,8.1674,8.6462,10.119,11.0085,12.1092,10.076,10.8555,7.7931,7.5054,8.7482,6.3029,12.7341,5.4748,7.7963,7.4237,9.3567,9.9649,5.8002,7.4238,2.3913,3.1062,11.0641,7.4858,9.5603,11.9017,7.1009,12.8912,6.5574,11.1457,14.3155,6.4719,11.5397,11.2018,9.2471,7.4359,1.7604,12.6052,12.2213,3.6112,2.3018,5.2082,1.6071,12.3123,10.5436,5.8494,13.0246,11.8633,7.2106,10.7866,10.6273,8.1975,5.2779,7.1009,8.0461,6.4532
12.1271,7.2132,7.9736,10.9648,6.1438,9.4323,9.5181,9.8389,10.1102,9.0516,8.8409,8.5174,7.5265,9.7976,8.0426,11.6731,8.0906,10.8265,8.0223,7.6068,8.9516,3.5354,12.9117,6.8918,7.5627,4.8151,7.7112,6.3908,5.8737,4.109,6.0185,8.2298,7.0907,6.4792,9.1595,10.5825,4.9203,10.1942,7.7768,10.9915,14.9286,5.8548,11.2167,8.7516,7.7074,7.868,5.7446,12.7904,11.885,6.1484,4.1688,6.9721,3.94,12.1451,8.8647,7.0655,13.799,12.6619,7.0925,10.0058,8.8144,7.712,6.37,7.8494,8.0792,5.1612
11.9852,7.7999,8.0232,10.4751,6.0201,8.6265,10.9705,10.3356,10.9478,10.4205,8.5476,7.8799,9.9808,10.4411,10.3173,13.0861,11.4458,11.2336,7.2182,7.1755,9.2962,4.2096,13.8611,6.1555,6.3085,3.2367,10.8799,7.9133,4.1024,6.5967,2.1217,2.9724,10.205,6.7597,8.8288,13.5594,3.8805,14.6352,6.5813,11.4351,14.3454,4.7572,12.572,9.5334,9.0934,7.6307,5.5094,13.3609,13.5777,2.6299,3.5604,5.4915,1.5849,13.3377,9.6685,6.3192,13.6439,12.3172,6.0669,9.5268,11.1123,10.0095,3.686,9.3458,8.3038,4.4539
11.831,7.5973,7.9636,10.3086,3.9819,9.2248,12.0761,10.1426,11.5942,9.6883,8.8273,8.953,8.7709,10.1586,9.4932,12.2741,9.7068,10.9062,7.5663,7.6212,9.2599,3.6442,11.6071,6.9823,7.5325,3.2967,10.502,8.402,5.1685,9.1012,8.5999,4.8281,9.6662,5.8514,9.228,12.9048,8.563,13.5063,6.5594,11.157,14.4465,6.7322,11.2184,10.4619,9.6082,7.7124,6.1627,12.8879,12.6334,6.272,4.268,6.7964,3.4418,12.4268,9.4151,6.3273,13.5583,11.7564,6.3153,9.5466,9.8677,9.4837,2.1582,7.5018,8.2188,8.4022
11.9298,6.9393,8.6826,11.1207,7.2069,9.045,9.9011,10.2234,11.1675,9.4201,8.9186,9.3156,8.9907,8.2562,9.7224,11.9837,9.3395,10.5898,6.969,7.4857,8.861,7.1841,12.9999,5.7927,7.3226,6.1233,9.0638,8.4926,6.9631,5.7058,3.8191,4.2041,9.1906,5.9433,8.2561,9.6908,5.045,10.5679,8.3669,11.0987,14.404,5.3864,11.1162,9.925,10.4061,7.7493,3.9556,11.3677,12.2108,6.8536,3.488,7.3175,2.2721,12.156,10.8503,1.5649,12.8476,12.7905,8.2849,9.6403,8.5531,9.1505,3.7695,6.5917,8.2665,3.912
11.5563,8.5456,7.1632,10.3012,6.4049,8.6548,10.4931,9.8379,11.3726,9.0449,9.0872,8.1751,8.2137,10.7554,10.4527,12.1658,9.8688,11.5064,9.5969,7.0325,7.1354,3.4054,14.1548,3.6554,8.4298,3.5523,9.9024,3.4367,6.941,10.3224,4.4571,3.4015,10.6106,7.1405,9.7086,8.687,7.213,13.1252,6.3773,11.3986,14.3343,6.0832,11.73,10.0806,6.8467,7.7057,3.5802,13.2225,12.3533,3.4303,8.0382,4.4412,2.6906,12.3598,10.232,5.2066,13.6149,13.2121,5.7805,9.4672,8.8412,7.8036,3.2054,8.0729,8.7376,5.3613
12.3898,8.2476,8.0326,10.5134,5.3924,8.1164,9.7694,10.7093,11.1294,10.5295,8.6772,10.3661,8.4722,8.2252,6.1058,11.7799,9.4071,10.1394,8.8394,8.284,9.7813,3.9695,11.7896,7.415,8.8431,4.4137,8.8339,10.7881,5.3949,6.6161,2.9787,7.6762,6.9617,9.4187,8.8503,11.6025,6.5781,15.2752,7.6234,10.7427,14.2872,4.4406,10.7053,10.0417,9.786,8.0479,5.0011,12.177,11.7466,5.2022,4.0311,4.6076,4.5106,11.7531,9.2289,5.7264,12.6497,10.8692,7.0412,8.6189,8.2652,7.7981,3.6005,7.1301,9.1947,4.4139
