"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V14","V15","V17","V21","V23","V25","V26","V27","V29","V30","V31","V33","V34","V35","V38","V40","V41","V42","V43","V44","V45"
73,76,68,74,56,59,73,76,54,48,75,47,53,19,54,79,53,19,14,50,67,71,54,49,48,62,57,72,31,30,15,11
68,76,79,78,63,73,68,78,64,71,73,67,71,57,64,74,72,36,44,54,49,56,81,65,80,63,58,64,52,57,49,50
68,64,65,68,63,64,77,73,75,72,80,70,71,61,62,73,69,48,59,44,66,59,74,64,64,70,74,67,51,48,45,45
62,67,64,70,59,58,67,74,60,66,68,73,71,63,65,77,73,59,58,67,65,69,76,61,62,72,71,71,71,69,66,61
62,67,68,70,65,70,73,77,69,70,69,71,74,71,67,73,74,63,67,68,66,69,79,69,70,72,73,77,72,76,64,66
59,68,69,67,69,59,78,73,66,65,77,74,66,55,68,73,79,69,65,66,68,65,71,59,61,73,81,75,74,65,69,66
75,75,70,77,67,75,75,75,67,66,74,68,72,70,63,75,68,69,68,69,71,74,76,63,70,66,70,73,66,68,58,59
77,79,79,77,74,76,76,81,65,68,66,74,73,68,62,67,69,68,64,61,69,68,75,70,66,70,73,76,79,73,65,63
68,64,74,80,76,72,78,75,67,64,75,78,77,64,60,82,68,63,60,60,54,56,73,59,65,50,73,70,69,65,42,41
76,73,74,76,60,69,76,76,68,69,78,57,62,69,69,81,68,75,69,70,58,65,76,74,71,65,78,68,75,68,62,60
61,76,71,68,77,69,77,69,64,75,71,75,72,69,71,79,65,62,66,65,71,68,71,59,64,60,74,71,69,68,63,59
67,65,77,74,67,66,67,70,65,64,75,66,74,60,72,76,81,66,65,63,63,67,80,63,64,73,76,75,72,74,65,64
71,61,74,74,76,74,69,56,68,78,71,58,64,72,71,78,68,63,60,67,76,74,79,67,71,70,83,76,74,73,54,54
64,70,71,69,72,70,75,78,61,66,69,68,70,70,72,78,81,74,70,79,73,75,73,65,64,59,71,74,68,67,58,57
76,75,68,78,71,72,72,75,61,65,67,67,75,58,63,72,73,56,56,52,67,68,78,65,68,69,77,75,74,70,63,61
74,73,72,75,63,62,67,67,73,74,75,70,71,67,78,80,73,60,62,67,69,69,75,66,67,71,66,69,62,65,55,56
65,67,69,76,62,68,65,66,65,64,74,60,75,63,65,74,69,66,59,59,69,69,79,65,63,69,69,74,69,70,62,57
59,75,70,76,62,70,65,74,65,67,75,70,73,61,69,73,68,67,64,68,70,75,77,59,63,64,65,72,61,61,51,55
76,72,73,69,67,73,74,72,60,65,73,66,73,67,58,76,75,65,64,60,74,71,79,61,68,62,73,76,62,69,52,59
71,75,78,78,68,67,75,72,67,68,72,74,74,66,66,80,75,67,72,67,67,65,78,61,64,51,77,67,78,76,60,59
80,76,75,75,69,68,74,75,77,77,76,74,70,65,73,77,67,61,58,67,61,63,75,66,62,77,69,67,65,66,61,58
68,70,66,72,63,71,77,82,61,63,61,61,65,62,73,78,77,69,69,74,64,63,70,58,60,75,77,77,69,77,65,64
67,57,73,78,63,68,72,73,61,59,59,71,72,66,77,68,75,62,66,78,68,69,76,65,65,62,69,72,70,68,60,59
72,74,67,69,69,70,74,81,66,70,73,69,80,65,70,79,68,56,58,64,68,68,74,62,67,73,74,77,71,72,63,65
62,71,78,84,64,68,72,74,53,57,71,71,72,53,57,71,74,54,57,57,62,64,72,62,65,64,72,77,62,62,61,65
69,78,74,76,70,67,69,73,68,75,75,71,77,61,72,72,62,56,61,62,67,73,74,58,63,66,70,72,64,68,60,56
59,65,53,60,72,74,67,69,64,67,64,71,70,71,70,78,71,71,71,64,67,71,74,62,66,57,64,71,70,69,53,49
66,67,63,70,69,70,73,72,61,62,68,70,71,67,65,78,70,65,64,71,70,71,74,58,63,70,77,79,79,79,66,66
62,66,66,68,73,76,68,71,62,62,63,74,75,68,58,66,76,64,70,60,70,72,77,67,69,63,70,72,75,79,62,59
71,71,69,71,65,65,76,73,67,66,69,76,76,62,66,78,74,68,66,68,68,68,74,59,57,73,78,74,68,70,57,55
63,61,75,72,68,71,69,70,64,56,70,76,73,72,68,76,76,66,73,68,72,75,75,65,61,58,72,72,68,71,57,58
74,81,80,78,70,69,74,77,69,71,73,68,68,61,70,80,74,57,62,65,61,65,76,63,65,70,63,72,68,70,61,64
69,64,73,72,49,70,66,71,57,56,64,76,74,62,63,76,80,75,77,62,74,68,77,70,68,59,69,66,74,75,62,59
70,64,68,67,76,68,76,69,67,64,69,62,65,67,65,75,69,63,63,64,56,61,68,66,66,57,75,64,79,74,59,58
65,68,70,78,65,72,72,74,64,69,71,72,68,62,75,78,76,66,67,61,68,76,78,65,64,64,67,77,66,66,59,57
64,53,74,70,65,63,70,70,57,57,64,73,74,59,62,73,76,75,68,58,69,66,76,64,65,63,75,80,74,67,71,67
70,71,71,74,68,66,72,70,66,69,74,70,69,66,73,81,75,71,70,82,69,72,74,60,56,64,73,72,66,63,54,58
72,70,75,80,73,70,76,73,66,56,72,73,75,65,72,77,79,67,64,66,69,68,75,63,59,74,81,78,79,75,65,66
70,75,72,72,67,71,71,78,63,67,73,71,74,61,71,77,72,61,61,58,63,69,75,64,65,68,70,71,64,67,56,54
59,57,67,71,66,68,68,70,56,62,77,67,71,71,54,75,72,76,79,70,71,77,69,56,54,56,71,68,64,63,56,56
67,64,73,75,77,77,74,70,65,62,74,65,67,70,60,75,64,66,71,61,64,69,76,64,66,65,68,75,74,80,67,68
68,65,72,72,47,74,76,74,67,66,71,69,67,64,74,77,60,49,48,69,70,69,79,63,66,71,73,75,68,56,58,44
66,54,69,66,69,69,75,72,63,62,68,68,70,68,68,72,73,67,63,57,70,68,75,65,67,65,67,69,71,68,59,59
