"V2","V4","V5","V7","V9","V11","V12","V13","V14","V15","V16","V17","V18","V19","V21","V22","V23","V24","V25","V27","V28","V29","V30","V31","V32","V33","V34","V37","V38","V40","V41","V42","V45","Class"
80,82,77,74,77,61,73,73,73,72,62,66,66,68,61,69,75,70,75,64,63,69,66,66,70,77,62,65,67,74,71,66,62,1
63,66,55,58,74,48,63,60,76,67,73,73,58,66,63,72,74,70,72,75,70,71,71,67,75,73,60,70,65,70,69,71,61,1
70,65,62,67,74,61,66,61,69,74,64,62,71,71,70,77,78,69,70,65,67,70,49,48,73,71,65,73,75,73,72,73,64,1
61,58,62,60,75,57,64,71,56,59,66,62,73,76,75,83,84,69,71,69,69,71,49,43,59,64,56,72,70,69,70,65,62,1
70,52,58,89,72,30,46,55,54,59,40,40,39,37,17,59,52,66,72,46,8,31,17,20,49,72,61,13,40,31,30,57,57,1
75,54,51,50,69,55,11,12,43,48,61,60,73,77,45,68,59,65,73,60,55,66,54,41,53,52,58,65,33,64,54,36,52,1
77,62,68,58,68,71,76,77,72,75,62,57,77,74,58,72,76,69,68,53,57,54,69,70,73,79,65,68,67,71,67,60,57,1
75,75,79,68,77,66,73,77,67,73,57,58,69,69,65,77,68,69,65,54,68,60,67,66,75,78,63,64,72,73,61,52,37,1
78,71,72,71,74,64,65,76,65,73,59,57,65,65,73,81,80,68,66,44,62,63,62,59,71,74,59,61,77,62,67,44,30,1
69,75,74,72,72,57,72,71,75,72,70,68,68,62,66,67,67,74,78,68,62,62,64,63,75,77,66,65,62,64,59,74,67,1
72,75,67,59,63,67,75,76,66,48,61,56,69,68,68,68,75,69,67,71,70,68,48,47,74,79,63,62,64,56,52,69,73,1
64,70,75,71,71,60,62,68,70,66,69,72,69,69,63,56,60,62,66,71,62,63,67,65,62,58,52,66,61,64,65,71,63,1
72,68,62,63,61,49,76,75,55,57,43,37,54,52,56,78,78,57,55,37,57,57,41,35,67,70,75,46,63,53,43,38,26,1
79,66,63,62,70,71,73,78,75,65,68,62,76,71,68,72,71,52,48,26,66,59,66,66,72,74,56,63,66,70,74,34,12,1
66,75,72,67,81,73,76,75,69,64,58,57,74,74,62,74,78,55,50,38,65,73,61,61,73,73,61,66,60,46,58,35,20,1
65,71,72,75,83,74,70,76,70,68,63,71,69,76,73,76,80,69,68,59,59,56,62,68,75,73,65,73,66,63,65,65,42,1
71,76,74,68,68,75,75,74,59,58,71,69,70,74,72,71,78,69,72,72,63,61,59,70,72,75,61,71,59,64,60,72,63,1
70,66,68,69,61,67,50,53,73,71,73,63,71,73,81,82,82,67,71,47,67,64,66,67,66,75,58,65,71,70,71,67,53,1
73,68,74,59,76,48,75,78,47,53,25,19,60,56,54,80,79,47,53,14,58,50,67,71,63,54,49,65,62,57,72,31,11,1
68,79,78,73,78,71,73,77,67,71,58,57,61,63,64,64,74,53,72,44,52,54,49,56,73,81,65,60,63,58,64,52,50,1
68,65,68,64,73,72,80,77,70,71,61,61,73,68,62,76,73,69,69,59,62,44,66,59,75,74,64,61,70,74,67,51,45,1
62,64,70,58,74,66,68,68,73,71,60,63,64,74,65,74,77,69,73,58,58,67,65,69,78,76,61,67,72,71,71,71,61,0
62,68,70,70,77,70,69,73,71,74,71,71,76,75,67,73,73,70,74,67,58,68,66,69,78,79,69,73,72,73,77,72,66,0
59,69,67,59,73,65,77,73,74,66,66,55,71,66,68,75,73,80,79,65,69,66,68,65,75,71,59,64,73,81,75,74,66,0
75,70,77,75,75,66,74,73,68,72,64,70,76,70,63,74,75,72,68,68,75,69,71,74,75,76,63,69,66,70,73,66,59,0
77,79,77,76,81,68,66,66,74,73,72,68,67,73,62,72,67,76,69,64,64,61,69,68,73,75,70,70,70,73,76,79,63,0
68,74,80,72,75,64,75,80,78,77,66,64,67,67,60,78,82,70,68,60,64,60,54,56,70,73,59,58,50,73,70,69,41,0
76,74,76,69,76,69,78,79,57,62,69,69,67,66,69,80,81,58,68,69,73,70,58,65,79,76,74,64,65,78,68,75,60,0
61,71,68,69,69,75,71,81,75,72,71,69,70,73,71,69,79,64,65,66,61,65,71,68,67,71,59,65,60,74,71,69,59,0
67,77,74,66,70,64,75,78,66,74,62,60,65,65,72,75,76,74,81,65,65,63,63,67,76,80,63,64,73,76,75,72,64,0
71,74,74,74,56,78,71,78,58,64,70,72,71,68,71,79,78,67,68,60,67,67,76,74,67,79,67,64,70,83,76,74,54,0
64,71,69,70,78,66,69,68,68,70,71,70,75,76,72,80,78,79,81,70,72,79,73,75,77,73,65,72,59,71,74,68,57,0
76,68,78,72,75,65,67,70,67,75,60,58,63,67,63,67,72,74,73,56,52,52,67,68,73,78,65,67,69,77,75,74,61,0
74,72,75,62,67,74,75,79,70,71,64,67,65,69,78,81,80,71,73,62,69,67,69,69,75,75,66,66,71,66,69,62,56,0
65,69,76,68,66,64,74,73,60,75,66,63,64,62,65,77,74,69,69,59,68,59,69,69,76,79,65,60,69,69,74,69,57,0
59,70,76,70,74,67,75,76,70,73,63,61,74,67,69,75,73,70,68,64,79,68,70,75,76,77,59,69,64,65,72,61,55,0
76,73,69,73,72,65,73,66,66,73,68,67,69,70,58,66,76,69,75,64,63,60,74,71,77,79,61,70,62,73,76,62,59,0
71,78,78,67,72,68,72,75,74,74,67,66,66,67,66,78,80,73,75,72,67,67,67,65,77,78,61,66,51,77,67,78,59,0
80,75,75,68,75,77,76,78,74,70,66,65,67,75,73,74,77,68,67,58,60,67,61,63,75,75,66,61,77,69,67,65,58,0
68,66,72,71,82,63,61,62,61,65,65,62,72,77,73,72,78,74,77,69,77,74,64,63,66,70,58,69,75,77,77,69,64,0
67,73,78,68,73,59,59,76,71,72,69,66,70,68,77,79,68,71,75,66,70,78,68,69,70,76,65,67,62,69,72,70,59,0
72,67,69,70,81,70,73,78,69,80,65,65,70,77,70,73,79,64,68,58,67,64,68,68,69,74,62,70,73,74,77,71,65,0
62,78,84,68,74,57,71,70,71,72,54,53,63,67,57,71,71,70,74,57,54,57,62,64,75,72,62,64,64,72,77,62,65,0
69,74,76,67,73,75,75,76,71,77,58,61,66,70,72,76,72,56,62,61,57,62,67,73,76,74,58,68,66,70,72,64,56,0
59,53,60,74,69,67,64,65,71,70,68,71,72,70,70,75,78,72,71,71,67,64,67,71,71,74,62,73,57,64,71,70,49,0
66,63,70,70,72,62,68,68,70,71,71,67,71,69,65,76,78,71,70,64,68,71,70,71,73,74,58,71,70,77,79,79,66,0
62,66,68,76,71,62,63,68,74,75,63,68,71,68,58,65,66,65,76,70,63,60,70,72,71,77,67,71,63,70,72,75,59,0
71,69,71,65,73,66,69,79,76,76,63,62,74,71,66,76,78,78,74,66,69,68,68,68,71,74,59,66,73,78,74,68,55,0
63,75,72,71,70,56,70,75,76,73,70,72,76,73,68,79,76,68,76,73,58,68,72,75,72,75,65,67,58,72,72,68,58,0
74,80,78,69,77,71,73,76,68,68,62,61,68,68,70,74,80,68,74,62,57,65,61,65,71,76,63,67,70,63,72,68,64,0
69,73,72,70,71,56,64,62,76,74,65,62,63,58,63,75,76,78,80,77,51,62,74,68,77,77,70,64,59,69,66,74,59,0
70,68,67,68,69,64,69,65,62,65,70,67,74,68,65,74,75,64,69,63,64,64,56,61,62,68,66,58,57,75,64,79,58,0
65,70,78,72,74,69,71,73,72,68,62,62,65,62,75,79,78,72,76,67,62,61,68,76,72,78,65,63,64,67,77,66,57,0
64,74,70,63,70,57,64,64,73,74,65,59,65,63,62,72,73,79,76,68,60,58,69,66,72,76,64,65,63,75,80,74,67,0
70,71,74,66,70,69,74,72,70,69,64,66,73,72,73,81,81,76,75,70,74,82,69,72,76,74,60,66,64,73,72,66,58,0
72,75,80,70,73,56,72,70,73,75,67,65,69,69,72,81,77,80,79,64,64,66,69,68,70,75,63,63,74,81,78,79,66,0
70,72,72,71,78,67,73,76,71,74,59,61,67,64,71,77,77,70,72,61,62,58,63,69,76,75,64,67,68,70,71,64,54,0
59,67,71,68,70,62,77,61,67,71,75,71,67,64,54,64,75,71,72,79,75,70,71,77,71,69,56,64,56,71,68,64,56,0
67,73,75,77,70,62,74,75,65,67,68,70,66,69,60,74,75,62,64,71,62,61,64,69,73,76,64,64,65,68,75,74,68,0
68,72,72,74,74,66,71,69,69,67,63,64,68,68,74,77,77,73,60,48,42,69,70,69,76,79,63,69,71,73,75,68,44,0
66,69,66,69,72,62,68,66,68,70,71,68,70,69,68,73,72,65,73,63,60,57,70,68,75,75,65,65,65,67,69,71,59,0
